Date,Open,High,Low,Close,Volume,OpenInt
20110809,2.25,2.25,1.42,1.51,1377826,0
20110810,1.5,1.6,1.49,1.51,369004,0
20110811,1.5,1.51,1.49,1.5,157350,0
20110812,1.5,1.59,1.48,1.59,119870,0
20110816,1.65,1.65,1.55,1.63,318611,0
20110817,1.65,1.65,1.55,1.65,140440,0
20110818,1.65,1.65,1.55,1.65,8630,0
20110819,1.63,1.63,1.6,1.62,5100,0
20110822,1.62,1.65,1.55,1.63,13250,0
20110823,1.62,1.63,1.55,1.6,4980,0
20110824,1.63,1.63,1.55,1.6,108643,0
20110825,1.63,1.63,1.52,1.62,79500,0
20110826,1.62,1.63,1.54,1.63,469270,0
20110829,1.61,1.61,1.6,1.6,4650,0
20110830,1.56,1.56,1.5,1.54,56459,0
20110831,1.65,1.65,1.52,1.59,92363,0
20110901,1.58,1.6,1.52,1.6,503413,0
20110902,1.6,1.6,1.5,1.54,4800,0
20110905,1.55,1.55,1.5,1.54,2370,0
20110906,1.54,1.54,1.54,1.54,50797,0
20110907,1.55,1.55,1.45,1.5,6000,0
20110908,1.54,1.54,1.4,1.48,29617,0
20110909,1.48,1.48,1.42,1.48,116064,0
20110912,1.54,1.54,1.45,1.46,91950,0
20110913,1.5,1.5,1.45,1.45,84970,0
20110914,1.48,1.48,1.45,1.48,67220,0
20110915,1.53,1.53,1.53,1.53,920,0
20110916,1.53,1.53,1.53,1.53,1110,0
20110919,1.5,1.5,1.45,1.49,2056,0
20110920,1.49,1.49,1.45,1.49,2374,0
20110921,1.49,1.49,1.45,1.49,1406,0
20110922,1.49,1.49,1.33,1.33,6610,0
20110923,1.39,1.49,1.31,1.49,9524,0
20110926,1.47,1.47,1.45,1.46,12670,0
20110927,1.46,1.46,1.45,1.46,10950,0
20110928,1.47,1.47,1.4,1.47,18154,0
20110929,1.47,1.47,1.4,1.45,1977,0
20110930,1.45,1.45,1.4,1.4,1890,0
20111003,1.45,1.45,1.45,1.45,670,0
20111004,1.45,1.45,1.45,1.45,620,0
20111005,1.43,1.44,1.4,1.4,1881,0
20111006,1.4,1.45,1.39,1.45,93423,0
20111007,1.45,1.45,1.45,1.45,600,0
20111010,1.44,1.44,1.44,1.44,947,0
20111011,1.44,1.5,1.44,1.5,11893,0
20111012,1.47,1.5,1.47,1.5,450256,0
20111013,1.5,1.5,1.5,1.5,610,0
20111014,1.5,1.5,1.5,1.5,112190,0
20111017,1.5,1.5,1.49,1.5,6387,0
20111018,1.49,1.49,1.49,1.49,1000,0
20111019,1.48,1.5,1.48,1.5,119140,0
20111020,1.5,1.5,1.5,1.5,820,0
20111021,1.5,1.5,1.5,1.5,1340,0
20111024,1.5,1.5,1.5,1.5,600,0
20111025,1.5,1.5,1.5,1.5,700,0
20111026,1.5,1.5,1.5,1.5,790,0
20111027,1.5,1.5,1.48,1.49,51720,0
20111028,1.5,1.5,1.5,1.5,650,0
20111031,1.5,1.5,1.5,1.5,540,0
20111102,1.5,1.5,1.49,1.5,16701,0
20111103,1.5,1.5,1.5,1.5,950,0
20111104,1.5,1.5,1.5,1.5,10727,0
20111107,1.49,1.49,1.49,1.49,540,0
20111108,1.48,1.48,1.48,1.48,620,0
20111109,1.48,1.48,1.48,1.48,900,0
20111110,1.48,1.48,1.47,1.48,217820,0
20111114,1.48,1.48,1.35,1.45,188834,0
20111115,1.45,1.45,1.45,1.45,770,0
20111116,1.45,1.45,1.45,1.45,777,0
20111117,1.44,1.44,1.44,1.44,580,0
20111118,1.44,1.44,1.31,1.44,8223,0
20111121,1.48,1.48,1.48,1.48,5890,0
20111122,1.48,1.48,1.44,1.45,2950,0
20111123,1.45,1.45,1.45,1.45,510,0
20111124,1.44,1.44,1.44,1.44,410,0
20111125,1.44,1.44,1.44,1.44,650,0
20111128,1.44,1.44,1.44,1.44,2202,0
20111129,1.44,1.44,1.44,1.44,610,0
20111130,1.44,1.44,1.44,1.44,20954,0
20111201,1.44,1.44,1.44,1.44,640,0
20111202,1.44,1.44,1.43,1.44,1461,0
20111205,1.44,1.44,1.44,1.44,755,0
20111206,1.44,1.44,1.44,1.44,600,0
20111207,1.44,1.44,1.44,1.44,490,0
20111208,1.44,1.44,1.32,1.43,1689,0
20111209,1.43,1.43,1.43,1.43,520,0
20111212,1.43,1.43,1.43,1.43,850,0
20111213,1.43,1.43,1.43,1.43,710,0
20111214,1.43,1.43,1.43,1.43,650,0
20111215,1.43,1.43,1.43,1.43,690,0
20111216,1.43,1.43,1.43,1.43,890,0
20111219,1.43,1.43,1.43,1.43,570,0
20111220,1.43,1.43,1.4,1.42,1212,0
20111221,1.42,1.42,1.42,1.42,675,0
20111222,1.42,1.42,1.42,1.42,635,0
20111223,1.42,1.42,1.41,1.42,26010,0
20111227,1.42,1.42,1.42,1.42,1170,0
20111228,1.42,1.42,1.42,1.42,530,0
20111229,1.42,1.42,1.33,1.42,925,0
20111230,1.42,1.42,1.34,1.42,5115,0
20120102,1.44,1.44,1.4,1.43,32000,0
20120103,1.42,1.42,1.39,1.4,4415,0
20120104,1.4,1.4,1.4,1.4,695,0
20120105,1.39,1.39,1.38,1.38,2334,0
20120109,1.38,1.4,1.37,1.4,1166,0
20120110,1.4,1.4,1.4,1.4,437,0
20120111,1.39,1.39,1.39,1.39,630,0
20120112,1.39,1.44,1.39,1.44,1010,0
20120113,1.43,1.43,1.36,1.42,7548,0
20120116,1.41,1.41,1.4,1.4,1892,0
