Date,Open,High,Low,Close,Volume,OpenInt
20110706,127.87,128.23,123.59,123.77,8019177,0
20110707,123.77,127.68,123.77,127.14,3052484,0
20110708,127.59,129.87,126.5,128.32,1208001,0
20110711,127.68,129.14,124.77,125.59,485637,0
20110712,124.68,126.87,123.77,126.41,913962,0
20110713,125.96,128.69,125.96,128.59,877299,0
20110714,127.68,128.32,126.59,128.32,269201,0
20110715,127.59,128.96,127.41,128.78,495102,0
20110718,128.32,128.78,125.59,127.41,572585,0
20110719,127.59,129.05,127.23,127.41,3914779,0
20110720,126.96,127.41,124.23,125.14,374983,0
20110721,125.32,125.59,123.95,124.68,343227,0
20110722,125.32,125.32,124.13,124.23,180766,0
20110725,124.23,124.23,123.77,123.77,851281,0
20110726,123.77,124.32,123.77,123.95,2162257,0
20110727,123.77,123.86,121.59,122.5,3409573,0
20110728,121.13,123.32,120.68,123.32,191430,0
20110729,122.13,124.41,122.13,124.23,428569,0
20110801,123.86,125.23,123.86,124.68,470081,0
20110802,124.23,124.23,121.77,122.31,146286,0
20110803,119.77,121.4,112.03,114.67,520841,0
20110804,114.22,115.49,103.57,107.3,758635,0
20110805,98.289,105.57,98.289,103.29,685621,0
20110808,100.56,102.29,92.373,92.737,480162,0
20110809,91.918,95.194,80.997,85.821,1062561,0
20110810,91.008,93.101,77.812,78.267,569903,0
20110811,81.816,91.008,78.267,91.008,897123,0
20110812,94.284,98.289,91.918,95.558,463011,0
20110816,98.198,98.198,94.648,96.56,249253,0
20110817,96.377,97.288,94.83,97.288,176351,0
20110818,95.922,95.922,84.637,87.641,376982,0
20110819,84.728,92.919,82.817,90.963,430829,0
20110822,90.644,93.829,88.733,91.554,205934,0
20110823,93.374,95.558,92.646,95.558,261785,0
20110824,96.56,96.924,94.193,95.194,133292,0
20110825,96.377,97.197,95.194,96.924,90789,0
20110826,96.013,96.377,93.283,95.558,64689,0
20110829,96.468,99.381,96.286,98.835,97829,0
20110830,100.11,103.11,99.199,101.02,223139,0
20110831,96.924,99.74,95.103,98.289,693976,0
20110901,98.016,98.016,92.919,94.375,171874,0
20110902,93.283,93.738,88.46,90.826,250610,0
20110905,87.322,88.733,84.637,84.637,167733,0
20110906,85.502,88.278,82.362,84.637,229355,0
20110907,87.277,89.734,86.458,89.734,181272,0
20110908,90.917,93.829,90.553,93.283,224682,0
20110909,91.554,93.283,90.007,91.008,225439,0
20110912,88.46,89.597,86.458,87.413,189712,0
20110913,90.098,90.462,85.684,87.823,141295,0
20110914,89.006,90.098,87.14,90.098,280919,0
20110915,91.008,92.373,90.189,91.008,321548,0
20110916,91.918,94.648,91.19,94.648,1317881,0
20110919,91.19,92.828,91.008,92.737,192137,0
20110920,93.283,94.648,91.554,93.283,148252,0
20110921,93.192,93.647,90.599,91.463,124885,0
20110922,88.733,89.006,81.907,81.907,502106,0
20110923,80.906,84.637,76.447,80.997,632157,0
20110926,78.722,83.727,77.812,80.77,350971,0
20110927,83.818,84.182,81.907,81.907,159019,0
20110928,81.907,83.272,79.45,80.997,250764,0
20110929,80.224,81.68,79.222,79.632,515730,0
20110930,79.951,79.951,76.902,77.357,217716,0
20111003,76.447,77.766,74.126,75.901,182697,0
20111004,74.718,75.082,71.214,73.99,359652,0
20111005,75.537,76.902,75.127,76.447,312322,0
20111006,78.449,80.997,77.63,79.768,308227,0
20111007,80.997,82.59,79.177,80.724,360385,0
20111010,82.044,84.637,80.906,84.637,222503,0
20111011,84.637,85.912,83.454,85.229,298069,0
20111012,84.637,90.325,81.816,90.325,536319,0
20111013,89.461,93.374,88.278,89.188,398698,0
20111014,89.188,90.462,87.732,89.688,109434,0
20111017,90.826,91.918,84.683,86.458,169159,0
20111018,85.502,85.502,83.727,85.092,274146,0
20111019,86.003,86.367,82.635,83.181,207124,0
20111020,81.907,82.226,79.541,79.541,420764,0
20111021,80.633,82.635,79.996,81.452,422992,0
20111024,82.999,84.455,82.999,84.455,269908,0
20111025,85.502,86.276,82.908,84.364,535487,0
20111026,83.727,85.365,82.817,84.774,229996,0
20111027,86.913,87.55,86.003,86.276,352868,0
20111028,86.822,86.822,83.909,86.276,195896,0
20111031,85.001,85.001,83.818,84.728,146721,0
20111102,80.087,84.41,79.814,83.545,545611,0
20111103,82.453,86.003,82.453,85.729,117499,0
20111104,86.003,86.094,82.999,83.727,136897,0
20111107,83.636,85.548,83.272,84.228,85551,0
20111108,84.637,85.639,84.273,84.637,141063,0
20111109,85.548,85.548,81.225,81.452,229410,0
20111110,80.997,82.135,80.087,80.178,232702,0
20111114,83.272,83.363,81.634,82.726,253775,0
20111115,82.817,83.409,80.315,81.407,216020,0
20111116,81.088,82.226,80.542,82.226,124942,0
20111117,80.542,82.135,80.451,80.451,89006,0
20111118,80.952,81.907,80.224,80.997,61741,0
20111121,80.087,80.542,75.173,77.084,295805,0
20111122,77.675,80.77,77.675,80.77,141793,0
20111123,78.267,78.813,77.266,78.176,188912,0
20111124,77.812,77.857,76.447,77.857,134831,0
20111125,76.856,77.721,76.083,76.447,104185,0
20111128,77.175,77.812,75.719,76.811,178813,0
20111129,76.765,77.766,76.219,77.539,121818,0
20111130,76.583,82.999,76.356,82.863,381152,0
20111201,82.817,82.817,81.907,82.817,104801,0
20111202,82.681,84,82.681,83.591,114703,0
20111205,83.591,84,82.817,83.363,59104,0
20111206,81.907,82.817,81.543,81.725,130633,0
20111207,80.997,82.226,80.633,81.634,69903,0
20111208,81.907,82.817,80.133,80.451,109225,0
20111209,79.086,82.772,78.267,82.772,198009,0
20111212,82.271,82.271,80.133,80.542,80529,0
20111213,80.224,81.907,78.904,79.678,106466,0
20111214,80.042,80.633,79.541,80.269,85074,0
20111215,79.404,81.816,79.404,80.997,152025,0
20111216,80.542,81.589,78.403,79.905,299237,0
20111219,78.767,80.815,78.312,78.54,61850,0
20111220,78.722,80.906,78.358,79.723,70178,0
20111221,80.224,80.497,78.267,78.904,107768,0
