Date,Open,High,Low,Close,Volume,OpenInt
20070823,7.0292,7.1032,6.2893,6.317,977597,0
20070824,6.2708,6.5205,6.0395,6.391,114498,0
20070827,6.613,6.613,6.3818,6.391,141115,0
20070828,6.4558,6.4558,6.243,6.2893,61321,0
20070829,6.1505,6.1505,5.8453,6.0488,53165,0
20070830,6.28,6.317,5.9563,6.1413,118701,0
20070831,6.1968,6.2708,6.0118,6.2523,39098,0
20070903,6.2893,6.3263,6.1413,6.28,71481,0
20070904,6.4095,6.4095,5.9193,6.28,40131,0
20070905,6.1505,6.2893,6.0211,6.0211,28489,0
20070906,5.9378,6.1598,5.9378,5.9656,22405,0
20070907,6.132,6.132,5.7713,5.9563,34656,0
20070910,5.8916,5.8916,5.6603,5.7528,11641,0
20070911,5.7436,5.8731,5.6881,5.7806,6187,0
20070912,5.7343,5.8083,5.7066,5.7251,16805,0
20070913,5.6973,5.8638,5.6973,5.7991,4991,0
20070914,5.8268,5.8453,5.6048,5.6973,12899,0
20070917,5.6511,5.8176,5.3274,5.4939,25997,0
20070918,5.5401,5.7066,5.5031,5.5031,18825,0
20070919,5.7066,5.7806,5.5679,5.7066,15230,0
20070920,5.6881,5.6881,5.5216,5.5494,15883,0
20070921,5.5494,5.8083,5.5494,5.6696,27995,0
20070924,5.5401,5.5956,5.4754,5.5956,21584,0
20070925,5.4846,5.4846,5.4199,5.4476,10893,0
20070926,5.5494,5.5771,5.5309,5.5494,9265,0
20070927,5.5494,5.5494,5.4199,5.5309,5769,0
20070928,5.5864,5.5864,5.3644,5.4106,13452,0
20071001,5.2349,5.4106,5.1332,5.2256,12556,0
20071002,5.2256,5.3829,5.1332,5.2719,13732,0
20071003,5.3644,5.4569,5.1794,5.4014,10656,0
20071004,5.3644,5.7343,5.1794,5.5494,50222,0
20071005,5.7621,5.7621,5.5494,5.6233,14910,0
20071008,6.2893,6.2893,5.6881,5.6973,17440,0
20071009,5.8731,5.8731,5.4291,5.6696,8005,0
20071010,5.5494,5.6418,5.4106,5.4199,17370,0
20071011,5.4106,5.4846,5.3644,5.4569,17112,0
20071012,5.3274,5.4569,5.0869,5.3644,18083,0
20071015,5.2719,5.4939,5.2719,5.3274,8839,0
20071016,5.3644,5.3644,5.2256,5.3644,7646,0
20071017,5.3644,5.5494,5.2719,5.4569,10949,0
20071018,5.5031,5.5031,5.3181,5.4106,18967,0
20071019,5.4569,5.4569,5.3181,5.4014,6074,0
20071022,5.4014,5.4014,5.2534,5.2626,14482,0
20071023,5.3644,5.3736,5.2626,5.3644,3877,0
20071024,5.2719,5.4476,5.2719,5.4014,1758,0
20071025,5.4014,5.4014,5.2996,5.3921,1088,0
20071026,5.3089,5.3829,5.2626,5.3829,10144,0
20071029,5.2811,5.4291,5.2441,5.2441,15534,0
20071030,5.2441,5.3921,5.1794,5.3736,47534,0
20071031,5.3644,5.5309,5.3274,5.5031,12457,0
20071102,5.3551,5.6233,5.3459,5.5031,7451,0
20071105,5.5679,5.5679,5.3274,5.4939,2913,0
20071106,5.4754,5.4846,5.2996,5.3089,5014,0
20071107,5.3644,5.3644,4.9482,4.9574,15229,0
20071108,4.3285,5.0407,4.3285,4.9574,39775,0
20071109,5.0869,5.2626,4.7262,4.8094,18747,0
20071112,4.6337,4.7632,4.569,4.6985,21103,0
20071113,4.532,4.5967,4.4395,4.5782,20132,0
20071114,4.5967,4.5967,4.3932,4.532,31817,0
20071115,4.532,4.569,4.0788,4.1158,51484,0
20071116,4.1158,4.1158,3.7921,3.9955,17777,0
20071119,4.0233,4.2453,3.7921,3.8661,4528,0
20071120,3.7921,3.8106,3.4868,3.7828,67368,0
20071121,3.7088,3.7921,3.4129,3.5053,40848,0
20071122,3.5053,3.5516,3.1724,3.5146,38329,0
20071123,3.977,4.0603,3.3759,3.3759,35461,0
20071126,3.3574,3.5793,3.2834,3.2834,34008,0
20071127,3.2834,3.6071,3.2371,3.6071,30731,0
20071128,3.6718,3.7828,3.5146,3.7828,46903,0
20071129,3.8938,4.0233,3.6348,3.7921,32200,0
20071130,3.7921,3.94,3.6996,3.8845,16533,0
20071203,3.7921,3.7921,3.6996,3.7921,4898,0
20071204,3.6718,3.7921,3.5146,3.7366,8624,0
20071205,3.5886,3.94,3.5886,3.9308,20061,0
20071206,3.9308,3.9955,3.8291,3.9678,24727,0
20071207,3.9493,3.9678,3.7921,3.9215,11842,0
20071210,3.9493,3.9863,3.7551,3.903,22404,0
20071211,3.8198,3.8753,3.6996,3.7366,18538,0
20071212,3.6718,3.7458,3.6626,3.7366,16214,0
20071213,3.6718,3.6996,3.5608,3.6996,16562,0
20071214,3.6903,3.6996,3.6071,3.6996,11808,0
20071217,3.6533,3.6533,3.5331,3.6071,56585,0
20071218,3.5146,3.6533,3.4221,3.6071,22126,0
20071219,3.5608,3.6626,3.5608,3.6163,39645,0
20071220,3.5701,3.6718,3.4683,3.6256,74616,0
20071221,3.5146,3.6533,3.4961,3.6441,140427,0
20071227,3.6533,3.9585,3.6533,3.6996,10315,0
20071228,3.8661,3.8661,3.6533,3.6533,2623,0
20080102,3.6256,3.6718,3.5793,3.6718,13632,0
20080103,3.6071,3.6718,3.5793,3.6718,48752,0
20080104,3.6163,3.6626,3.5701,3.6071,24843,0
20080107,3.5701,3.6071,3.5701,3.5886,10184,0
20080108,3.5978,3.6441,3.5886,3.6071,69732,0
20080109,3.5516,3.5608,3.4961,3.5608,18188,0
20080110,3.5978,3.5978,3.4683,3.5608,5686,0
20080111,3.5701,3.5701,3.4221,3.4314,9225,0
20080114,3.3759,3.3759,3.0614,3.3574,38932,0
20080115,3.3296,3.3296,3.1446,3.1446,8282,0
20080116,2.9967,3.1169,2.8672,3.0059,19636,0
20080117,3.1909,3.1909,2.9597,3.0521,59812,0
20080118,3.0521,3.2926,2.9874,3.2926,47074,0
20080121,3.2371,3.2371,2.9227,3.0521,11867,0
20080122,3.0059,3.0891,2.8672,2.9782,33756,0
20080123,3.0799,3.1446,3.0059,3.1446,110264,0
20080124,3.1909,3.3944,3.1909,3.3759,21257,0
20080125,3.4036,3.5423,3.3851,3.4221,17863,0
20080128,3.3759,3.3759,3.2371,3.3296,23829,0
20080129,3.4129,3.4129,3.3666,3.4129,9709,0
20080130,3.4221,3.5608,3.4221,3.4776,8542,0
20080131,3.4314,3.4314,3.3851,3.4221,13795,0
20080201,3.4221,3.4591,3.3944,3.4591,966,0
20080204,3.4129,3.4591,3.4129,3.4406,15507,0
20080205,3.4221,3.4683,3.4221,3.4314,27425,0
20080206,3.3111,3.5053,3.3111,3.5053,2873,0
20080207,3.5053,3.5053,3.4314,3.4314,6446,0
20080208,3.5608,3.5608,3.4314,3.4961,39552,0
20080211,3.4406,3.5331,3.4314,3.4961,8119,0
20080212,3.5516,3.6533,3.5053,3.6533,15257,0
20080213,3.6533,3.6533,3.5886,3.6441,30490,0
20080214,3.6441,3.6441,3.6071,3.6163,120298,0
20080215,3.5886,3.6071,3.5886,3.5886,9801,0
20080218,3.5978,3.6256,3.5978,3.6071,73643,0
20080219,3.6256,3.9955,3.6256,3.9308,69712,0
20080220,3.9585,4.051,3.8661,3.8845,43110,0
20080221,4.0695,4.0695,3.9308,3.977,38239,0
20080222,4.0788,4.1528,3.977,4.1435,51019,0
20080225,4.1528,4.2083,4.0325,4.125,7989,0
20080226,4.2083,4.2638,4.1158,4.1158,57360,0
20080227,4.2268,4.2268,3.94,4.0695,54366,0
20080228,3.9123,4.0695,3.9123,3.977,3193,0
20080229,3.8661,4.1713,3.7458,3.8938,31906,0
20080303,3.6348,3.6811,3.5516,3.6533,26494,0
20080304,3.7273,3.8753,3.5053,3.5423,32815,0
20080305,3.5331,3.8845,3.5146,3.6903,25961,0
20080306,3.7181,3.7921,3.5608,3.6996,15177,0
20080307,3.5978,3.6718,3.5793,3.5886,15985,0
20080310,3.6903,3.6903,3.5146,3.6718,9025,0
20080311,3.5701,3.6718,3.5701,3.6533,4108,0
20080312,3.6811,3.6811,3.5978,3.6811,16774,0
20080313,3.6071,3.6071,3.4961,3.4961,5750,0
20080314,3.4961,3.6348,3.3944,3.6348,14861,0
20080317,3.6071,3.6071,3.3759,3.5238,14617,0
20080318,3.3759,3.5608,3.3759,3.4776,13618,0
20080319,3.4776,3.5516,3.4221,3.5516,1917,0
20080320,3.4221,3.5516,3.4221,3.5423,8574,0
20080325,3.5331,3.5516,3.4036,3.5146,11612,0
20080326,3.5331,3.5331,3.5238,3.5238,4078,0
20080327,3.6533,3.6533,3.4498,3.5793,881,0
20080328,3.6071,3.6071,3.4683,3.5793,1254,0
20080331,3.5608,3.5608,3.5146,3.5146,6714,0
20080401,3.5423,3.5516,3.5053,3.5146,9141,0
20080402,3.5146,3.5423,3.4961,3.4961,3391,0
20080403,3.5053,3.5053,3.4221,3.4221,3847,0
20080404,3.4221,3.5331,3.4221,3.5331,2342,0
20080407,3.5331,3.6256,3.5331,3.5331,22620,0
20080408,3.4498,3.5516,3.4498,3.5516,5211,0
20080409,3.5423,3.8198,3.4961,3.7458,164109,0
20080410,3.6903,3.6903,3.5701,3.5701,15070,0
20080411,3.7366,3.7366,3.4961,3.5053,13665,0
20080414,3.5053,3.5423,3.4776,3.4868,21369,0
20080415,3.4776,3.5608,3.4221,3.5423,22957,0
20080416,3.5793,3.5793,3.4221,3.4221,2780,0
20080417,3.4683,3.5516,3.4406,3.4406,8996,0
20080418,3.4314,3.5146,3.4314,3.5146,4595,0
20080421,3.5146,3.5146,3.4129,3.4129,5622,0
20080422,3.3851,3.4683,3.2371,3.4683,9084,0
20080423,3.2834,3.4221,3.2834,3.4221,6566,0
20080424,3.4498,3.4683,3.3296,3.4498,4488,0
20080425,3.3759,3.4961,3.3759,3.4868,3218,0
20080428,3.4961,3.5978,3.4868,3.5331,10369,0
20080429,3.5053,3.5146,3.3944,3.4406,21287,0
20080430,3.5053,3.5053,3.3759,3.3851,1095,0
20080505,3.4498,3.4776,3.4221,3.4221,5350,0
20080507,3.5608,3.5608,3.3944,3.3944,1633,0
20080508,3.5146,3.5146,3.3759,3.4129,10283,0
20080509,3.4036,3.4776,3.3759,3.4776,1519,0
20080512,3.3296,3.5516,3.2834,3.5516,7921,0
20080513,3.5146,3.5793,3.4868,3.5053,14623,0
20080514,3.5238,3.5793,3.4591,3.5516,19316,0
20080515,3.5146,3.5146,3.5146,3.5146,1081,0
20080516,3.4406,3.5331,3.4406,3.5331,12693,0
20080519,3.4036,3.5146,3.4036,3.5146,487,0
20080523,3.3851,3.4961,3.3759,3.4961,9883,0
