Date,Open,High,Low,Close,Volume,OpenInt
20071123,24,24.45,23.77,24,348172,0
20071126,25,25,24,24.08,216112,0
20071127,24,24.02,24,24.02,112852,0
20071128,24.1,24.4,24.01,24.1,32714,0
20071129,24,24.1,24,24.1,1013,0
20071130,24.1,24.1,24.09,24.09,1102,0
20071203,24.02,24.03,24.02,24.03,3099,0
20071204,24.03,24.05,24.03,24.03,1587,0
20071205,24.01,25,24.01,25,274373,0
20071206,24.16,24.16,24.15,24.15,689,0
20071207,24.5,25.4,24.5,25,12046,0
20071210,25,25,24.95,25,1823,0
20071211,25,27.6,24.94,27.5,234120,0
20071212,26,29,26,29,43214,0
20071213,28.3,31,27.51,30.01,15305,0
20071214,29.95,30.48,29.5,30.01,3830,0
20071217,30,30.4,30,30.4,25320,0
20071218,30.4,33,29,30,26757,0
20071219,30,31,30,31,173352,0
20071220,31,33.88,30,33.88,69161,0
20071221,36,36,33,33.87,214760,0
20071227,34,35.9,33.5,34,207802,0
20071228,33.92,34,33.5,34,6644,0
20080102,39,39,31.7,35,105894,0
20080103,34.95,34.95,33,33.9,143088,0
20080104,33,33.5,31.72,31.72,270965,0
20080107,30.2,33,30.2,31,31440,0
20080108,31.5,33,31,32.7,376520,0
20080109,32.7,32.7,30.9,32,138387,0
20080110,30.46,30.9,30.46,30.9,14380,0
20080111,30.5,32,30.3,32,3906,0
20080114,31.18,32,30.06,32,5290,0
20080115,32.6,32.7,31.9,31.9,490877,0
20080116,31.7,31.7,30.7,30.7,41117,0
20080117,32.4,32.4,30.8,31,109879,0
20080118,31.5,31.5,31.5,31.5,4194,0
20080121,30.8,31.5,29,29.85,72819,0
20080122,29,29.85,29,29.79,51623,0
20080123,29.85,30.88,29,30.5,30151,0
20080124,31.5,31.5,30,30.5,10707,0
20080125,30.3,30.5,30.3,30.5,157637,0
20080128,30.5,30.88,30.45,30.88,51237,0
20080129,31,31,30.5,30.5,382840,0
20080130,30.5,30.5,30.5,30.5,1105,0
20080131,30.26,32.5,30.25,30.5,119935,0
20080201,31,31,30.5,30.51,132799,0
20080204,31.99,32,30.5,30.5,46108,0
20080205,30.51,30.51,30.51,30.51,3585,0
20080206,30.5,31,30.5,31,1090,0
20080207,31,31,31,31,405794,0
20080208,31.4,31.5,30.9,31.5,19622,0
20080211,31.5,32.47,31,31.5,22386,0
20080212,31.5,31.6,31.5,31.6,1043,0
20080213,32.47,32.5,31.02,32.5,3177,0
20080214,32.49,32.5,32,32.5,68975,0
20080215,32.49,33,32.48,33,14311,0
20080218,32,33,32,33,304613,0
20080219,33,33,32,32,11002,0
20080220,32,33,32,33,15929,0
20080221,34,35,34,35,2064,0
20080222,35,36.2,35,35.5,4080,0
20080225,35.2,37.25,35,37,80458,0
20080226,37,40.7,36.26,40.1,94912,0
20080227,40,40,38.01,38.01,23146,0
20080228,38.5,38.55,38.15,38.45,55420,0
20080229,38.25,38.25,38.19,38.19,17688,0
20080303,38,38,36,38,272032,0
20080304,39,39,37.5,37.85,183615,0
20080305,36.5,36.5,35.66,36.49,11714,0
20080306,35.87,38.49,35.6,38.4,12108,0
20080307,36,37.5,36,37,5503956,0
20080310,36.6,37,36.15,36.9,139895,0
20080311,36.5,37,36.01,37,47842,0
20080312,37,39.69,37,37.8,134337,0
20080313,37.8,38.9,37.02,38.9,30047,0
20080314,39,40.4,38,38,250106,0
20080317,37.56,37.56,35.65,36,143456,0
20080318,36.8,36.8,36.02,36.02,23257,0
20080319,36,37.3,35.5,37,651895,0
20080320,36.3,36.3,35.5,35.5,446540,0
20080325,35.5,37,34.1,36.5,64027,0
20080326,36,37,36,36.5,53813,0
20080327,36.12,37.47,36.12,37,220469,0
20080328,36.9,36.9,36.2,36.5,291335,0
20080331,36.06,36.06,35.9,35.9,60580,0
20080401,35.41,35.5,35,35.02,203235,0
20080402,35.02,35.02,34.01,34.75,483270,0
20080403,34.5,35,34.5,35,17942,0
20080404,34.5,35,34.5,34.5,153183,0
20080407,34.11,34.12,34.11,34.11,3617,0
20080408,34.11,34.2,33.9,34,56726,0
20080409,34,34,33.8,34,91775,0
20080410,33.8,33.8,33.51,33.59,6847,0
20080411,33.7,33.7,32.03,32.03,24673,0
20080414,32.09,32.09,31.52,31.9,40422,0
20080415,31.5,31.51,31.5,31.5,1913,0
20080416,31.5,32.98,31.5,32.5,14471,0
20080417,32,32,31.48,32,93017,0
20080418,31.5,32,31,31.5,32365,0
20080421,31.02,31.37,31.02,31.37,61500,0
20080422,31,31,30,30,120546,0
20080423,29.5,29.5,28.01,29,222467,0
20080424,29,30,29,29.3,131174,0
20080425,30.99,31.3,30,31.3,50977,0
20080428,31,35.8,31,35.8,14729,0
20080429,36.38,36.92,34.36,36.5,152736,0
20080430,35,35.95,34.89,34.89,83690,0
20080505,35.1,35.1,34.12,34.51,8335,0
20080506,34.5,35.99,34.5,35.99,43507,0
20080507,35.98,35.99,35.51,35.99,620,0
20080508,35.7,36,35.3,35.3,708984,0
20080509,35.89,35.89,35.19,35.19,904,0
20080512,35,35,34,34.4,3764,0
20080513,34.5,34.5,34.39,34.49,116875,0
20080514,34.46,34.6,34.31,34.31,22923,0
20080515,34.3,35.85,34.25,35.85,1968,0
20080516,36.4,36.65,35,36,185235,0
20080519,36.64,36.64,34.65,36.6,162952,0
20080520,36.3,36.3,35.1,35.1,1230,0
20080521,34.1,35.8,34.1,35.8,20733,0
20080523,34.31,35,34.31,34.96,80987,0
20080526,34.3,34.98,34.1,34.98,3024,0
20080527,35.35,35.35,34,34,9782,0
20080528,33.6,35.66,33.6,35.59,281655,0
20080529,35.5,35.99,35,35,3480,0
20080530,34.01,35.5,34.01,35.5,159950,0
20080602,35,35.5,34.21,34.32,500,0
20080603,34,34.02,33.99,34,48248,0
20080604,33.5,33.5,32.6,32.7,1398,0
20080605,33.4,34.87,32.5,32.8,169744,0
20080606,33.5,34.5,33.5,34.5,5366,0
20080609,34.5,34.5,34,34,3237,0
20080610,34.5,34.5,34,34,257694,0
