Date,Open,High,Low,Close,Volume,OpenInt
20030227,86.142,86.142,86.142,86.142,93,0
20030303,13.781,13.781,13.781,13.781,10,0
20030305,15.549,16.371,15.549,16.371,81,0
20030306,15.549,16.371,15.549,16.026,133,0
20030307,15.938,15.938,15.849,15.938,93,0
20030310,15.549,15.549,15.549,15.549,29,0
20030314,15.505,15.505,15.505,15.505,99,0
20030318,15.505,15.505,15.505,15.505,40,0
20030319,13.781,13.781,13.781,13.781,10,0
20030321,9.476,9.476,9.476,9.476,21,0
20030324,8.6097,8.6097,8.6097,8.6097,10,0
20030326,6.8949,6.8949,6.8949,6.8949,47,0
20030403,7.3192,7.3192,7.3192,7.3192,47,0
20030408,10.333,10.333,10.333,10.333,52,0
20030416,11.633,11.633,11.633,11.633,14,0
20030417,13.781,13.781,13.781,13.781,62,0
20030422,15.505,17.228,15.505,17.228,190,0
20030423,18.086,18.086,18.086,18.086,103,0
20030424,21.445,21.445,17.228,17.228,30,0
20030425,13.958,16.371,13.958,16.371,47,0
20030428,17.228,17.228,14.647,14.647,48,0
20030502,14.647,14.647,14.647,14.647,10,0
20030505,15.505,15.505,15.505,15.505,47,0
20030506,14.647,15.505,14.647,15.505,47,0
20030508,17.228,18.086,17.228,18.086,184,0
20030513,17.228,17.228,17.228,17.228,103,0
20030514,17.228,17.228,17.228,17.228,57,0
20030519,16.884,17.228,16.884,16.972,203,0
20030520,16.884,16.884,16.884,16.884,29,0
20030521,16.795,16.795,16.795,16.795,10,0
20030530,16.795,17.228,16.795,17.228,324,0
20030602,17.228,17.228,17.228,17.228,76,0
20030604,18.174,18.174,18.174,18.174,10,0
20030605,18.952,18.952,18.952,18.952,229,0
20030606,19.553,19.553,19.553,19.553,144,0
20030609,20.676,20.676,20.676,20.676,75,0
20030611,20.499,20.499,20.154,20.154,97,0
20030612,20.243,20.243,20.243,20.243,93,0
20030616,20.676,20.676,20.075,20.075,337,0
20030617,21.533,21.533,21.533,21.533,93,0
20030618,21.533,21.533,21.533,21.533,21,0
20030620,21.533,24.123,21.533,24.123,216,0
20030623,21.533,21.622,15.072,15.072,57,0
20030624,21.533,21.533,21.533,21.533,47,0
20030626,21.533,21.533,21.533,21.533,47,0
20030701,21.533,21.533,21.533,21.533,90,0
20030703,21.533,22.4,21.533,22.4,442,0
20030704,21.533,23.257,21.533,23.257,183,0
20030707,23.257,23.257,21.622,21.622,208,0
20030708,22.4,22.4,22.4,22.4,139,0
20030709,22.4,23.257,21.533,23.257,220,0
20030710,22.4,22.4,22.4,22.4,47,0
20030711,24.123,24.123,24.123,24.123,174,0
20030714,24.123,24.981,24.123,24.981,74,0
20030715,24.548,24.548,24.548,24.548,464,0
20030716,24.981,29.286,24.981,29.286,170,0
20030717,25.838,25.838,22.4,22.4,496,0
20030718,22.4,22.4,22.4,22.4,93,0
20030721,18.086,18.086,18.086,18.086,47,0
20030724,19.809,19.809,19.809,19.809,21,0
20030725,21.533,22.4,21.533,22.4,168,0
20030728,21.533,21.533,21.533,21.533,29,0
20030729,21.533,21.622,21.533,21.622,98,0
20030730,21.533,24.123,21.533,22.824,127,0
20030806,18.607,24.724,18.519,23.778,115436,0
20030807,25.237,30.063,25.237,27.65,122766,0
20030808,29.542,31.186,27.138,28.172,57688,0
20030811,28.596,28.685,27.562,27.65,13055,0
20030812,27.562,27.562,25.67,26.183,14817,0
20030813,25.149,26.015,23.257,23.778,25900,0
20030814,23.513,25.759,23.257,25.069,16200,0
20030818,26.271,26.616,25.838,26.528,11025,0
20030819,26.528,26.616,24.981,26.103,4863,0
20030820,25.414,25.582,24.981,25.069,2129,0
20030821,25.069,25.927,25.069,25.414,1937,0
