Date,Open,High,Low,Close,Volume,OpenInt
20070709,43.94,45.613,39.713,43.808,660174,0
20070710,43.676,44.732,43.455,44.028,178834,0
20070711,43.852,45.701,42.267,45.701,39431,0
20070712,45.833,47.55,45.833,47.374,27117,0
20070713,48.695,53.714,48.695,53.318,41964,0
20070716,51.072,53.714,46.229,52.701,33133,0
20070717,51.821,51.821,49.355,49.487,33495,0
20070718,49.311,49.311,46.141,46.669,42027,0
20070719,45.789,47.858,45.789,46.801,6802,0
20070720,48.43,48.43,46.889,47.55,3892,0
20070723,47.55,47.814,45.26,45.789,16558,0
20070724,44.16,45.745,42.267,44.028,52966,0
20070725,44.019,44.019,41.386,43.13,5714,0
20070726,42.883,44.468,42.883,44.028,16026,0
20070727,43.156,44.028,43.147,44.028,72189,0
20070730,44.204,45.789,44.204,45.26,4830,0
20070731,45.789,46.669,44.908,46.229,3004,0
20070801,45.789,45.789,43.719,44.908,73137,0
20070802,46.141,46.141,44.116,45.789,1594,0
20070803,44.908,46.669,44.292,45.701,7346,0
20070806,44.908,44.908,43.455,43.455,4442,0
20070807,45.349,45.349,41.835,42.619,2520,0
20070808,42.619,43.579,41.078,41.826,3021,0
20070809,41.782,41.782,40.682,40.682,963,0
20070810,40.329,40.682,37.864,38.568,1343,0
20070813,38.128,39.977,36.543,38.744,2568,0
20070814,39.572,39.572,37.864,37.952,2203,0
20070816,36.103,36.103,30.907,33.901,8203,0
20070817,34.342,35.574,32.51,35.574,10048,0
20070820,37.247,37.353,36.015,36.974,2749,0
20070821,36.103,36.886,34.43,36.878,5084,0
20070822,36.878,36.895,35.222,36.446,19432,0
20070823,37.538,37.538,35.486,36.983,19593,0
20070824,36.895,36.895,36.156,36.455,3865,0
20070827,36.446,36.543,34.782,36.543,8914,0
20070828,36.675,38.736,36.103,38.736,8894,0
20070829,36.543,38.656,36.543,38.656,3154,0
20070830,38.7,38.921,37.864,38.04,5160,0
20070831,39.009,39.158,38.181,39.132,5323,0
20070903,39.185,39.625,38.339,39.537,1226,0
20070904,39.009,40.1,39.009,40.1,3573,0
20070905,39.625,39.625,39.017,39.017,915,0
20070906,38.744,40.417,37.873,39.889,7049,0
20070907,39.889,39.977,38.436,39.863,5919,0
20070910,39.185,40.065,38.568,40.065,3823,0
20070911,40.065,41.738,40.065,41.738,27655,0
20070912,40.197,41.826,40.197,41.826,1147,0
20070913,41.729,41.826,40.506,41.826,1751,0
20070914,41.826,41.826,40.514,41.738,1404,0
20070917,40.946,42.073,40.946,41.738,5142,0
20070918,41.386,41.738,41.034,41.738,608,0
20070919,42.619,43.147,41.474,42.707,2365,0
20070920,42.707,44.028,41.43,43.94,6623,0
20070921,43.957,44.028,41.826,43.984,3181,0
20070924,43.587,44.908,42.857,44.908,911,0
20070925,44.072,44.908,42.997,44.908,1734,0
20070926,44.468,44.732,43.631,44.424,1013,0
20070927,43.764,44.028,43.323,44.028,697,0
20070928,43.235,43.244,41.826,41.826,2668,0
20071001,41.386,42.179,40.946,42.179,1653,0
20071002,42.223,42.267,41.034,41.817,1057,0
20071003,41.738,42.09,41.448,41.87,1153,0
20071004,41.906,41.906,40.506,41.562,8806,0
20071005,42.135,42.135,40.118,41.28,7765,0
20071008,40.946,43.579,40.506,42.707,2163,0
20071009,43.147,43.579,41.826,43.05,1283,0
20071010,43.059,43.059,41.034,42.24,7616,0
20071011,40.955,42.707,40.955,42.267,9511,0
20071012,42.619,42.619,42.267,42.61,6349,0
20071015,42.179,42.619,41.474,42.531,8659,0
20071016,41.826,42.663,41.386,41.386,856,0
20071017,41.386,42.267,41.386,42.267,755,0
20071018,41.386,43.059,41.078,42.689,10520,0
20071019,42.707,43.57,41.439,43.57,4286,0
20071022,43.499,43.579,43.147,43.57,10974,0
20071023,42.883,43.147,42.452,43.147,2107,0
20071024,43.147,43.852,42.267,43.852,1749,0
20071025,43.94,44.468,42.804,44.028,6486,0
20071026,43.984,44.864,42.927,43.499,5124,0
20071029,44.116,44.908,44.028,44.908,2353,0
20071030,44.468,44.908,44.028,44.028,802,0
20071031,44.468,44.82,43.147,44.732,1978,0
20071102,42.971,44.732,42.971,44.732,3994,0
20071105,43.764,44.204,42.971,44.204,2620,0
20071106,44.204,44.204,42.267,44.028,1353,0
20071107,42.399,43.94,42.011,43.147,8741,0
20071108,40.506,42.267,40.065,40.585,23887,0
20071109,40.056,40.946,39.361,40.497,8501,0
20071112,41.386,41.386,38.436,39.185,4000,0
20071113,38.744,39.625,38.04,39.185,1577,0
20071114,40.682,42.179,38.744,39.493,1204,0
20071115,38.656,38.744,35.231,36.983,1642,0
20071116,36.543,36.983,35.662,36.103,5187,0
20071119,36.983,37.864,35.662,36.613,1102,0
20071120,35.662,37.415,35.574,36.957,409,0
20071121,36.103,36.103,35.222,35.222,365,0
20071122,33.945,36.103,33.945,36.103,3904,0
20071123,36.103,36.543,34.87,36.543,1577,0
20071126,36.103,36.974,35.442,36.015,1358,0
20071127,34.342,36.015,34.342,36.015,655,0
20071128,35.222,36.015,35.222,35.662,742,0
20071129,34.826,36.983,34.782,35.662,3775,0
20071130,36.543,36.543,35.231,35.662,1379,0
20071203,35.222,36.534,35.134,36.534,875,0
20071204,35.927,35.927,34.967,34.967,999,0
20071205,35.222,35.918,35.222,35.918,324,0
20071206,35.61,35.618,35.31,35.31,249,0
20071207,35.574,35.794,33.461,33.989,5526,0
20071210,35.61,35.61,34.342,35.222,840,0
20071211,34.518,35.398,34.35,35.398,166,0
20071212,35.222,35.574,33.021,35.574,1168,0
20071213,35.574,35.636,34.799,35.636,342,0
20071214,34.386,35.636,34.386,35.627,792,0
20071217,35.486,35.662,34.518,35.662,989,0
20071218,35.222,35.478,35.222,35.478,41,0
20071219,35.557,35.557,33.734,35.134,1592,0
20071220,34.342,34.342,33.021,34.333,6004,0
20071221,33.461,33.901,32.677,33.901,3103,0
20071227,33.884,33.884,31.612,33.435,6359,0
20071228,33.884,33.884,33.153,33.435,14962,0
20080102,33.461,36.895,33.461,36.895,3125,0
20080103,36.886,36.886,34.35,36.103,2788,0
20080104,35.592,36.543,34.174,35.134,10223,0
20080107,32.845,34.342,31.788,33.461,2354,0
20080108,33.126,33.126,32.008,32.58,2936,0
20080109,32.14,33.373,31.7,32.58,40825,0
20080110,32.237,33.355,32.14,33.347,36640,0
20080111,33.435,33.435,31.788,31.964,631,0
20080114,30.996,31.26,30.819,30.819,3839,0
20080115,31.004,31.004,30.819,30.819,1490,0
20080116,30.379,30.819,30.379,30.731,19229,0
20080117,30.819,31.7,28.178,29.058,3117,0
20080118,29.058,33.364,29.058,33.364,2204,0
20080121,33.021,33.021,30.819,32.58,22971,0
20080122,32.484,33.435,30.379,33.241,4044,0
20080123,33.443,33.443,30.819,32.008,5481,0
20080124,33.021,34.324,32.246,33.989,863,0
20080125,33.461,34.782,33.461,34.782,1149,0
20080128,35.046,35.046,32.58,32.58,4653,0
20080129,34.245,35.662,34.245,35.618,687,0
20080130,35.618,35.618,33.461,33.461,1450,0
20080131,33.452,33.461,32.757,33.461,860,0
20080201,33.452,33.549,33.452,33.549,2326,0
20080204,33.021,33.021,31.964,32.58,78,0
20080205,31.392,32.757,31.392,32.757,83,0
20080206,31.7,31.7,31.7,31.7,26,0
20080207,31.876,35.618,31.876,35.134,472,0
20080208,32.58,35.213,32.58,32.765,987,0
20080211,34.782,34.782,32.58,34.606,600,0
20080212,34.773,35.222,34.121,34.342,638,0
20080213,34.342,34.342,33.461,34.077,188,0
20080214,34.298,34.342,34.298,34.342,243,0
20080215,33.012,34.342,33.012,34.342,166,0
20080218,34.166,34.166,32.58,33.901,1496,0
20080219,34.342,34.342,32.58,33.452,1720,0
20080220,32.633,34.245,32.607,33.461,2748,0
20080221,33.461,33.461,32.686,32.757,577,0
20080222,32.589,33.021,32.158,33.021,4499,0
20080225,32.933,32.933,32.184,32.58,1680,0
20080226,34.113,34.333,33.021,33.021,11523,0
20080227,33.901,33.901,32.14,33.276,3460,0
