Date,Open,High,Low,Close,Volume,OpenInt
20030115,9.695,9.695,9.695,9.695,103,0
20030116,9.2106,9.2106,9.2106,9.2106,52,0
20030117,9.2106,9.2106,9.2106,9.2106,52,0
20030224,7.1746,7.1746,7.1746,7.1746,2645,0
20030225,9.1137,9.1137,9.1137,9.1137,36,0
20030226,5.6233,5.6233,5.6233,5.6233,5609,0
20030304,5.6233,5.6233,4.8477,4.8477,12604,0
20030305,4.8477,4.8477,4.8477,4.8477,516,0
20030310,5.5264,5.5264,4.8477,4.8477,12893,0
20030312,4.8477,4.8477,4.8477,4.8477,928,0
20030317,5.4294,5.4294,4.8477,4.8477,11346,0
20030321,4.8477,4.8477,4.8477,4.8477,3610,0
20030324,5.2355,5.2355,4.8477,4.8477,10016,0
20030325,4.8477,4.8477,4.8477,4.8477,556,0
20030326,5.0901,5.0901,5.0901,5.0901,544,0
20030328,5.0901,5.0901,5.0901,5.0901,1733,0
20030331,4.8477,4.8477,4.8477,4.8477,686,0
20030408,5.3325,6.7868,5.3325,6.7868,1720,0
20030409,8.338,9.2106,5.8172,5.8172,2032,0
20030410,8.7258,8.7258,5.8172,5.8172,1341,0
20030417,5.5264,5.5264,5.5264,5.5264,578,0
20030423,6.7868,6.7868,6.7868,6.7868,103,0
20030424,6.302,6.6898,6.302,6.6898,772,0
20030425,4.8962,4.8962,4.8962,4.8962,199,0
20030505,4.8477,4.8477,4.8477,4.8477,95,0
20030512,4.8477,4.8477,4.8477,4.8477,8,0
20030514,4.8477,4.8477,4.8477,4.8477,230,0
20030515,5.5264,5.5264,5.5264,5.5264,1,0
20030523,5.3325,5.3325,5.3325,5.3325,301,0
20030526,5.8172,5.8172,5.8172,5.8172,516,0
20030527,5.3325,5.3325,5.3325,5.3325,516,0
20030528,6.302,6.302,5.8172,5.8172,740,0
20030529,5.7688,5.9142,5.7688,5.8172,1444,0
20030602,7.7563,9.55,6.0111,6.9807,108508,0
20030603,6.8352,6.8352,6.7868,6.7868,464,0
20030604,7.2715,7.2715,7.2715,7.2715,1599,0
20030623,4.9931,4.9931,4.8477,4.8477,151,0
20030627,6.7868,6.7868,6.7868,6.7868,126,0
20030701,6.7868,6.7868,6.7868,6.7868,286,0
20030708,6.7868,6.7868,6.7868,6.7868,85,0
20030710,6.205,6.205,6.205,6.205,218,0
20030721,8.435,8.435,8.435,8.435,1960,0
20030724,4.8962,4.9446,4.8477,4.9446,975,0
20030725,5.8657,5.8657,5.8657,5.8657,342,0
20030728,6.6898,6.6898,6.6898,6.6898,516,0
20030801,5.9142,6.0111,5.9142,6.0111,1924,0
20030805,6.399,6.399,6.399,6.399,1044,0
20030808,6.302,6.302,6.302,6.302,928,0
20030811,6.302,6.302,6.302,6.302,535,0
20030812,5.8172,6.302,5.8172,6.302,619,0
20030814,5.8657,5.8657,5.8657,5.8657,195,0
20030818,5.8172,5.9142,5.8172,5.9142,1734,0
20030819,5.8172,5.8172,5.8172,5.8172,309,0
20030820,5.8172,5.8172,5.8172,5.8172,7267,0
20030821,5.8172,5.8172,5.8172,5.8172,1004,0
20030825,5.8172,5.8172,5.8172,5.8172,1031,0
20030918,5.9142,5.9142,5.9142,5.9142,157,0
20030926,4.8962,5.9627,4.8962,5.9627,1801,0
20030929,4.9446,4.9446,4.9446,4.9446,86,0
20031013,5.8172,5.8172,5.8172,5.8172,95,0
20031014,6.302,6.302,6.0111,6.0111,1111,0
20031015,6.2535,6.2535,5.8172,5.8172,200,0
20031017,6.2535,6.302,6.2535,6.302,1547,0
20031020,6.302,6.6898,6.302,6.6898,1386,0
20031021,6.6898,6.6898,6.6898,6.6898,309,0
20031023,6.6898,7.6594,6.6898,7.6109,886,0
20031027,6.7868,6.7868,6.7868,6.7868,1031,0
20031029,7.6109,7.7563,7.6109,7.7563,1238,0
20031031,7.5624,7.6109,7.5624,7.6109,2278,0
20031103,7.6109,7.6109,7.6109,7.6109,309,0
20031104,7.5624,7.5624,7.5624,7.5624,516,0
20031112,7.5624,7.5624,7.5624,7.5624,1547,0
20031113,7.6594,7.6594,7.6109,7.6109,1022,0
20031114,7.7078,7.7078,7.7078,7.7078,946,0
20031126,6.205,6.205,6.205,6.205,309,0
20031201,7.5624,7.5624,6.205,6.205,1887,0
20031202,6.205,6.9807,6.205,6.9807,1581,0
20031204,7.2715,7.2715,7.2715,7.2715,361,0
20031209,7.5624,7.7078,7.5624,7.7078,2063,0
20031215,7.5624,7.5624,7.5624,7.5624,31,0
20031217,8.1441,8.1441,8.1441,8.1441,1166,0
20031218,8.1441,8.1441,7.5624,7.5624,3170,0
20031223,8.1441,8.2411,8.1441,8.2411,2779,0
20031229,8.1441,8.6289,8.1441,8.6289,3919,0
20031230,8.6289,8.6289,8.6289,8.6289,131,0
20031231,9.1137,9.1137,9.1137,9.1137,1031,0
20040102,9.1137,9.1137,9.1137,9.1137,258,0
20040106,8.7258,8.7258,8.7258,8.7258,309,0
20040107,8.7258,8.7258,8.7258,8.7258,206,0
20040113,8.7258,8.7258,8.7258,8.7258,1086,0
20040121,7.9502,7.9502,7.9502,7.9502,210,0
20040122,8.7258,8.7258,8.7258,8.7258,206,0
20040123,9.1137,13.574,9.1137,13.574,2101,0
20040127,9.598,9.598,9.598,9.598,151,0
20040130,9.3076,9.3076,9.3076,9.3076,155,0
20040202,9.3076,9.598,9.3076,9.598,113,0
20040203,9.598,9.598,9.598,9.598,206,0
20040204,9.598,9.598,9.3076,9.3076,355,0
20040205,9.2106,9.356,9.2106,9.356,309,0
20040206,9.695,10.083,9.695,10.083,919,0
20040209,10.083,10.083,9.695,10.083,1430,0
20040210,10.083,10.277,10.083,10.277,1547,0
20040211,10.18,10.18,10.18,10.18,2063,0
20040212,9.695,10.132,9.695,10.132,1437,0
20040218,10.035,10.035,10.035,10.035,650,0
20040224,9.938,9.938,9.938,9.938,516,0
20040226,7.1261,8.8228,7.1261,8.8228,949,0
20040227,7.7563,9.55,7.7563,9.55,950,0
20040301,7.0292,8.2411,7.0292,8.2411,3486,0
20040302,9.1137,9.502,8.9198,9.502,721,0
20040303,9.3076,9.3076,9.2106,9.2106,1009,0
20040304,9.2106,9.3076,8.7258,9.2106,4442,0
20040305,9.1137,9.502,5.3325,9.2106,21971,0
20040308,9.2106,9.3076,9.2106,9.2106,4787,0
20040309,9.3076,9.453,9.3076,9.453,2527,0
20040310,9.2106,9.2106,9.2106,9.2106,516,0
20040311,9.2106,9.2106,9.2106,9.2106,691,0
20040312,9.0167,9.2106,9.0167,9.0167,676,0
20040315,8.7258,8.7743,8.7258,8.7743,1031,0
20040316,8.8228,9.0167,8.8228,8.8228,1134,0
