Date,Open,High,Low,Close,Volume,OpenInt
20110412,8.034,8.547,8.0256,8.4064,655821,0
20110413,8.4394,8.6048,8.3733,8.398,217565,0
20110414,8.3733,8.3733,8.1994,8.2491,73435,0
20110415,8.2408,8.2738,7.885,8.1911,82183,0
20110418,8.1828,8.398,8.034,8.2738,107856,0
20110419,8.1911,8.4725,8.1911,8.4311,42804,0
20110420,8.3566,8.4394,8.3152,8.3566,12642,0
20110421,8.3566,8.4725,8.2822,8.456,119101,0
20110426,8.4807,8.8944,8.4807,8.82,99258,0
20110427,8.82,9.4239,8.7703,9.2337,101914,0
20110428,9.1923,9.3909,9.184,9.2998,29855,0
20110429,9.184,9.3164,9.184,9.2419,10821,0
20110502,9.184,9.184,9.0351,9.1509,8304,0
20110504,9.0682,9.275,8.6876,9.2254,48588,0
20110505,9.184,9.3082,8.9358,9.275,22323,0
20110506,9.2668,9.3743,8.9524,9.3743,41937,0
20110509,9.2419,9.3825,9.0185,9.3082,11954,0
20110510,9.2584,9.3494,9.0516,9.3082,18701,0
20110511,9.0599,9.3494,9.0599,9.2998,19746,0
20110512,9.1592,9.3412,9.1592,9.3329,21252,0
20110513,9.2254,9.3412,9.2254,9.2916,21153,0
20110516,9.2668,9.3412,9.1427,9.2254,25812,0
20110517,9.1096,9.2668,9.0599,9.1013,14172,0
20110518,9.1013,9.3494,9.1013,9.3494,44115,0
20110519,9.3412,9.755,9.1427,9.631,40302,0
20110520,9.531,9.68,9.515,9.656,13908,0
20110523,9.523,9.523,9.3412,9.515,9461,0
20110524,9.3743,9.523,9.3743,9.523,4126,0
20110525,9.515,9.515,9.2006,9.4323,21838,0
20110526,9.2337,9.507,9.2088,9.4156,1674,0
20110527,9.507,9.515,9.1096,9.3082,3901,0
20110530,9.184,9.672,9.1013,9.457,20996,0
20110531,9.4323,9.4488,9.1096,9.184,3490,0
20110601,9.1427,9.2668,9.0269,9.2668,2334,0
20110602,9.2584,9.3494,9.1013,9.3082,7251,0
20110603,9.1096,9.3494,9.1096,9.3494,7477,0
20110606,9.1096,9.3082,9.1013,9.184,3233,0
20110607,9.184,9.2668,8.3566,9.093,8229,0
20110608,9.093,9.2584,8.7952,9.2254,6333,0
20110609,9.0185,9.1757,9.0185,9.1013,3130,0
20110610,9.1013,9.1013,9.0185,9.1013,3396,0
20110613,9.0185,9.1013,9.0185,9.093,4249,0
20110614,8.7952,9.1427,8.7703,9.0102,30546,0
20110615,8.7703,9.0102,8.5221,8.9358,5978,0
20110616,8.5718,9.0102,8.5221,8.7703,5563,0
20110617,8.4807,8.7124,8.4807,8.547,3937,0
20110620,8.4807,8.4807,8.1911,8.4311,20752,0
20110621,8.2738,8.2738,8.1911,8.2738,1967,0
20110622,8.2738,8.3484,8.1994,8.2738,36873,0
20110624,8.1581,8.1911,8.1581,8.1663,1610,0
20110627,8.1663,8.2738,8.067,8.2656,2348,0
20110628,8.067,8.1497,8.0256,8.0256,3906,0
20110629,8.0256,8.2656,7.8685,8.2656,7711,0
20110630,8.2325,8.2325,7.9181,8.2242,1537,0
20110701,7.8768,8.2573,7.8768,8.2491,5793,0
20110704,8.2491,8.2573,8.2491,8.2491,1584,0
20110705,7.9512,8.1828,7.9512,8.1084,3867,0
20110706,8.1001,8.1084,8.1001,8.1084,1813,0
20110707,8.1084,8.1084,8.0256,8.1001,4337,0
20110708,7.8768,8.1415,7.8768,8.0505,4579,0
20110711,7.9181,8.1001,7.8602,8.0918,2833,0
20110712,7.8602,8.0422,7.7527,8.034,2044,0
20110713,7.8602,8.0836,7.794,8.0587,2795,0
20110714,7.8602,8.0422,7.8354,7.9181,2530,0
20110715,7.6202,7.8602,7.6202,7.8519,9640,0
20110718,7.8437,7.8519,7.0825,7.4465,25467,0
20110719,7.1983,7.4465,7.1569,7.1569,2885,0
20110720,7.1569,7.1983,7.0328,7.1901,703,0
20110721,7.0742,7.1901,7.0742,7.1901,192,0
20110722,7.0742,7.2149,7.0742,7.2149,867,0
20110725,7.0825,7.0825,7.0328,7.0742,2845,0
20110726,7.0328,7.0328,6.9583,7.0328,1346,0
20110727,7.1156,7.1156,6.8673,7.0742,501,0
20110728,6.8673,7.0742,6.7018,7.0742,270,0
20110729,7.0742,7.0742,6.7184,6.7846,3040,0
20110801,6.7018,6.7432,6.2219,6.3958,3105,0
20110802,6.4288,6.6108,6.2386,6.6108,4634,0
20110803,6.7763,6.7763,6.1145,6.5281,24816,0
20110804,6.2137,6.2137,6.0482,6.2054,5870,0
20110805,5.8497,6.2054,5.709,6.2054,6144,0
