Date,Open,High,Low,Close,Volume,OpenInt
19980604,5.2766,5.2766,5.2766,5.2766,42900,0
19980605,5.7743,5.7743,5.7743,5.7743,43824,0
19980608,6.3219,6.3219,6.3219,6.3219,161836,0
19980609,5.9735,5.9735,5.9735,5.9735,55104,0
19980610,5.9735,5.9735,5.9735,5.9735,23102,0
19980615,5.3761,5.3761,5.3761,5.3761,14454,0
19980616,4.8385,4.8385,4.8385,4.8385,30887,0
19980617,5.177,5.177,5.177,5.177,11169,0
19980618,5.5752,5.5752,5.5752,5.5752,13851,0
19980619,5.8739,5.8739,5.8739,5.8739,74007,0
19980622,5.9735,5.9735,5.9735,5.9735,32112,0
19980623,6.2721,6.2721,6.2721,6.2721,19205,0
19980624,6.4215,6.4215,6.4215,6.4215,15077,0
19980625,6.7201,6.7201,6.7201,6.7201,75484,0
19980626,7.0188,7.0188,7.0188,7.0188,42016,0
19980629,7.7157,7.7157,7.7157,7.7157,96708,0
19980630,8.3628,8.3628,8.3628,8.3628,25684,0
19980701,8.1139,8.1139,8.1139,8.1139,6991,0
19980702,7.3175,7.3175,7.3175,7.3175,50493,0
19980703,8.0144,8.0144,8.0144,8.0144,59754,0
19980706,8.8108,8.8108,8.8108,8.8108,35698,0
19980707,8.1637,8.1637,8.1637,8.1637,9382,0
19980708,8.9602,8.9602,8.9602,8.9602,56219,0
19980709,9.458,9.458,9.458,9.458,57987,0
19980710,9.458,9.458,9.458,9.458,33297,0
19980713,9.458,9.458,9.458,9.458,26045,0
19980714,9.856,9.856,9.856,9.856,24709,0
19980715,10.802,10.802,10.802,10.802,60638,0
19980716,10.254,10.254,10.254,10.254,24950,0
19980717,11.25,11.25,11.25,11.25,30455,0
19980720,12.345,12.345,12.345,12.345,71466,0
19980721,11.698,11.698,11.698,11.698,23564,0
19980722,10.553,10.553,10.553,10.553,6127,0
19980723,9.508,9.508,9.508,9.508,8578,0
19980724,10.454,10.454,10.454,10.454,12053,0
19980727,11.25,11.25,11.25,11.25,4369,0
19980728,10.354,10.354,10.354,10.354,5464,0
19980729,10.951,10.951,10.951,10.951,4018,0
19980730,9.856,9.856,9.856,9.856,0,0
19980731,8.9104,8.9104,8.9104,8.9104,10888,0
19980803,8.0642,8.0642,8.0642,8.0642,3536,0
19980804,8.8606,8.8606,8.8606,8.8606,14253,0
19980805,8.0144,8.0144,8.0144,8.0144,6599,0
19980806,7.2179,7.2179,7.2179,7.2179,11210,0
19980807,6.969,6.969,6.969,6.969,3877,0
19980810,6.3717,6.3717,6.3717,6.3717,1969,0
19980811,6.7201,6.7201,6.7201,6.7201,2391,0
19980812,7.2179,7.2179,7.2179,7.2179,2491,0
19980813,6.7699,6.7699,6.7699,6.7699,2642,0
19980814,6.3717,6.3717,6.3717,6.3717,2059,0
19980817,6.7201,6.7201,6.7201,6.7201,3857,0
19980818,6.969,6.969,6.969,6.969,5986,0
19980819,7.2677,7.2677,7.2677,7.2677,9351,0
19980820,7.0686,7.0686,7.0686,7.0686,5022,0
19980821,6.7699,6.7699,6.7699,6.7699,2079,0
19980824,6.6704,6.6704,6.6704,6.6704,2150,0
19980825,6.6704,6.6704,6.6704,6.6704,3978,0
19980826,6.073,6.073,6.073,6.073,4540,0
19980827,5.4757,5.4757,5.4757,5.4757,2270,0
19980828,4.9281,4.9281,4.9281,4.9281,2451,0
19980831,5.3761,5.3761,5.3761,5.3761,2009,0
19980901,4.8385,4.8385,4.8385,4.8385,6408,0
19980902,5.2766,5.2766,5.2766,5.2766,17668,0
19980903,5.7743,5.7743,5.7743,5.7743,4299,0
19980904,5.2268,5.2268,5.2268,5.2268,1266,0
19980907,5.3761,5.3761,5.3761,5.3761,11812,0
19980908,5.2766,5.2766,5.2766,5.2766,6207,0
19980909,4.7489,4.7489,4.7489,4.7489,8889,0
19980910,4.5896,4.5896,4.5896,4.5896,4962,0
19980911,4.5797,4.5797,4.5797,4.5797,5324,0
19980914,4.5797,4.5797,4.5797,4.5797,6077,0
19980915,4.3805,4.3805,4.3805,4.3805,1105,0
19980916,4.0819,4.0819,4.0819,4.0819,8839,0
19980917,3.9325,3.9325,3.9325,3.9325,7403,0
19980918,3.6339,3.6339,3.6339,3.6339,3164,0
19980921,3.2754,3.2754,3.2754,3.2754,2471,0
19980922,3.1361,3.1361,3.1361,3.1361,9793,0
19980923,3.2854,3.2854,3.2854,3.2854,4801,0
19980924,3.6139,3.6139,3.6139,3.6139,7734,0
19980925,3.7832,3.7832,3.7832,3.7832,5876,0
19980928,3.5841,3.5841,3.5841,3.5841,7563,0
19980929,3.385,3.385,3.385,3.385,3214,0
19980930,3.4845,3.4845,3.4845,3.4845,4691,0
19981001,3.385,3.385,3.385,3.385,8739,0
19981002,3.6339,3.6339,3.6339,3.6339,5022,0
19981005,3.6339,3.6339,3.6339,3.6339,6810,0
19981006,3.5343,3.5343,3.5343,3.5343,4721,0
19981007,3.6339,3.6339,3.6339,3.6339,6348,0
19981008,3.7832,3.7832,3.7832,3.7832,8287,0
19981009,3.9823,3.9823,3.9823,3.9823,10828,0
19981012,4.3308,4.3308,4.3308,4.3308,8779,0
19981013,4.3308,4.3308,4.3308,4.3308,191,0
19981014,4.1914,4.1914,4.1914,4.1914,3968,0
19981015,4.1914,4.1914,4.1914,4.1914,2280,0
19981016,4.6095,4.6095,4.6095,4.6095,8638,0
19981019,4.5797,4.5797,4.5797,4.5797,10135,0
