Date,Open,High,Low,Close,Volume,OpenInt
20080214,9,9,3.85,3.98,267804,0
20080215,3.9,5.9,3.77,5.25,232937,0
20080218,5.25,7.55,5.25,6.95,273109,0
20080219,7.05,7.71,6.1,6.35,126247,0
20080220,6.5,7,5.6,5.99,55735,0
20080221,6,6.2,5.37,5.53,41685,0
20080222,5.35,5.49,4.72,5.28,37599,0
20080225,5.2,5.9,4.77,5.01,84839,0
20080226,5.1,5.1,4.3,4.4,127683,0
20080227,4.48,4.93,4.42,4.76,72187,0
20080228,4.8,5.38,4.5,4.65,52570,0
20080229,4.71,5.1,4.42,4.74,35383,0
20080303,4.45,4.58,4.2,4.58,13381,0
20080304,4.36,5.4,4.36,5,55260,0
20080305,5.24,5.28,4.58,4.82,56258,0
20080306,4.72,4.84,4.65,4.76,14252,0
20080307,4.78,4.78,4.62,4.75,3134,0
20080310,4.66,4.66,4.35,4.5,14885,0
20080311,4.48,4.48,4.22,4.37,11254,0
20080312,4.45,4.45,4.16,4.25,16794,0
20080313,4.16,5.2,4.12,4.66,97911,0
20080314,4.75,5,4.45,4.71,24276,0
20080317,4.4,4.4,3.77,3.98,90225,0
20080318,3.91,4.15,3.78,4.15,14193,0
20080319,4.25,4.25,4.05,4.05,141,0
20080320,4.15,4.15,3.85,3.93,2971,0
20080325,4.1,4.1,3.92,4.04,7824,0
20080326,3.95,4.08,3.81,3.85,17105,0
20080327,3.88,3.88,3.81,3.85,2588,0
20080328,4.2,4.2,3.83,3.85,5799,0
20080331,3.8,3.88,3.71,3.88,4430,0
20080401,3.76,3.88,3.76,3.77,1085,0
20080402,3.78,3.8,3.65,3.8,3922,0
20080403,3.6,3.76,3.45,3.67,7105,0
20080404,3.66,3.66,3.4,3.55,11477,0
20080407,3.55,3.93,3.55,3.83,8734,0
20080408,3.8,3.8,3.64,3.7,5568,0
20080409,3.55,3.59,3.42,3.42,10330,0
20080410,3.51,3.79,3.42,3.79,14167,0
20080411,3.81,3.95,3.7,3.8,11765,0
20080414,3.66,3.7,3.61,3.61,2463,0
20080415,3.61,3.75,3.61,3.61,7184,0
20080416,3.7,3.7,3.55,3.69,1717,0
20080417,3.72,3.72,3.55,3.55,301,0
20080418,3.55,3.68,3.52,3.67,3305,0
20080421,3.46,3.69,3.46,3.69,1590,0
20080422,3.68,3.68,3.25,3.5,4746,0
20080423,3.3,3.47,3.03,3.45,4261,0
20080424,3.15,3.44,3.15,3.4,2225,0
20080425,3.4,3.66,3.4,3.6,3023,0
20080428,3.6,3.6,3,3.49,9057,0
