Date,Open,High,Low,Close,Volume,OpenInt
19970210,48.921,48.921,48.921,48.921,282329,0
19970211,38.546,38.546,38.546,38.546,500081,0
19970212,30.038,30.038,30.038,30.038,294088,0
19970213,33.987,33.987,33.987,33.987,131459,0
19970214,37.477,37.477,37.477,37.477,98040,0
19970217,42.524,42.524,42.524,42.524,125542,0
19970218,39.775,39.775,39.775,39.775,90247,0
19970219,37.993,37.993,37.993,37.993,66880,0
19970220,37.58,37.58,37.58,37.58,99382,0
19970221,37.148,37.148,37.148,37.148,39112,0
19970224,37.186,37.186,37.186,37.186,43226,0
19970225,37.176,37.176,37.176,37.176,42202,0
19970226,36.904,36.904,36.904,36.904,28090,0
19970227,36.933,36.933,36.933,36.933,89213,0
19970228,38.696,38.696,38.696,38.696,32705,0
19970303,37.983,37.983,37.983,37.983,31681,0
19970304,36.689,36.689,36.689,36.689,22045,0
19970305,35.413,35.413,35.413,35.413,35594,0
19970306,35.3,35.3,35.3,35.3,18996,0
19970307,34.841,34.841,34.841,34.841,22664,0
19970310,34.559,34.559,34.559,34.559,12664,0
19970311,34.353,34.353,34.353,34.353,20169,0
19970312,34.597,34.597,34.597,34.597,9658,0
19970313,34.531,34.531,34.531,34.531,10670,0
19970314,34.465,34.465,34.465,34.465,9179,0
19970317,34.184,34.184,34.184,34.184,12409,0
19970318,33.452,33.452,33.452,33.452,19039,0
19970319,33.293,33.293,33.293,33.293,15521,0
19970320,33.086,33.086,33.086,33.086,12525,0
19970321,32.205,32.205,32.205,32.205,67200,0
19970324,31.801,31.801,31.801,31.801,29560,0
19970325,31.126,31.126,31.126,31.126,26831,0
19970326,30.206,30.206,30.206,30.206,29912,0
19970327,31.21,31.21,31.21,31.21,52671,0
19970328,30.891,30.891,30.891,30.891,38952,0
19970401,30.619,30.619,30.619,30.619,4573,0
19970402,31.445,31.445,31.445,31.445,25552,0
19970403,34.062,34.062,34.062,34.062,45838,0
19970404,33.237,33.237,33.237,33.237,20009,0
19970407,31.754,31.754,31.754,31.754,18090,0
19970408,32.524,32.524,32.524,32.524,6386,0
19970409,32.58,32.58,32.58,32.58,10852,0
19970410,32.383,32.383,32.383,32.383,13868,0
19970411,33.218,33.218,33.218,33.218,9732,0
19970414,32.955,32.955,32.955,32.955,10788,0
19970415,32.664,32.664,32.664,32.664,7985,0
19970416,32.505,32.505,32.505,32.505,5853,0
19970417,33.237,33.237,33.237,33.237,7910,0
19970418,33.143,33.143,33.143,33.143,10287,0
19970421,32.796,32.796,32.796,32.796,7345,0
19970422,32.514,32.514,32.514,32.514,15755,0
19970423,32.655,32.655,32.655,32.655,19177,0
19970424,32.767,32.767,32.767,32.767,16960,0
19970425,32.88,32.88,32.88,32.88,19124,0
19970428,32.505,32.505,32.505,32.505,5276,0
19970429,32.327,32.327,32.327,32.327,8784,0
19970430,32.43,32.43,32.43,32.43,4723,0
19970505,32.411,32.411,32.411,32.411,7377,0
19970506,32.42,32.42,32.42,32.42,10596,0
19970507,32.58,32.58,32.58,32.58,15180,0
19970508,33.312,33.312,33.312,33.312,18655,0
19970509,33.968,33.968,33.968,33.968,39133,0
19970512,32.983,32.983,32.983,32.983,34314,0
19970513,32.57,32.57,32.57,32.57,29539,0
19970514,32.42,32.42,32.42,32.42,55176,0
19970515,31.792,31.792,31.792,31.792,32588,0
19970516,31.858,31.858,31.858,31.858,26160,0
19970519,31.679,31.679,31.679,31.679,3677,0
19970520,31.82,31.82,31.82,31.82,5384,0
19970521,32.373,32.373,32.373,32.373,45188,0
19970522,32.327,32.327,32.327,32.327,10255,0
19970523,32.42,32.42,32.42,32.42,6790,0
19970526,32.298,32.298,32.298,32.298,7174,0
19970527,32.242,32.242,32.242,32.242,8464,0
19970528,31.782,31.782,31.782,31.782,14487,0
19970529,32.43,32.43,32.43,32.43,15830,0
19970530,32.317,32.317,32.317,32.317,6386,0
19970602,31.689,31.689,31.689,31.689,7408,0
19970603,31.904,31.904,31.904,31.904,13101,0
19970604,31.848,31.848,31.848,31.848,22013,0
19970605,31.595,31.595,31.595,31.595,14338,0
19970606,30.76,30.76,30.76,30.76,22375,0
19970609,30.685,30.685,30.685,30.685,6929,0
19970610,30.704,30.704,30.704,30.704,11161,0
19970611,30.15,30.15,30.15,30.15,21256,0
19970612,29.85,29.85,29.85,29.85,8730,0
19970613,29.278,29.278,29.278,29.278,20574,0
19970616,28.893,28.893,28.893,28.893,13463,0
19970617,28.846,28.846,28.846,28.846,9956,0
19970618,28.809,28.809,28.809,28.809,7760,0
19970619,29.69,29.69,29.69,29.69,8017,0
19970620,29.925,29.925,29.925,29.925,8486,0
19970623,30.178,30.178,30.178,30.178,14391,0
19970624,30.188,30.188,30.188,30.188,9519,0
19970626,30.76,30.76,30.76,30.76,9956,0
19970627,32.101,32.101,32.101,32.101,18805,0
19970630,33.19,33.19,33.19,33.19,21352,0
19970701,37.073,37.073,37.073,37.073,65868,0
19970702,43.415,43.415,43.415,43.415,186027,0
