Date,Open,High,Low,Close,Volume,OpenInt
20110510,39.77,41.9,39.11,41.71,927676,0
20110511,41.61,41.61,41.01,41.01,55258,0
20110512,40.7,41.5,39.83,41,76529,0
20110513,40.6,40.68,40.4,40.53,12443,0
20110516,40.55,40.9,40.48,40.79,39808,0
20110517,40.7,40.78,40.4,40.41,69461,0
20110518,40.5,40.63,40.41,40.5,7886,0
20110519,40.5,40.56,39.45,40.55,23489,0
20110520,40.58,40.58,40.23,40.5,21690,0
20110523,40.51,40.51,40.22,40.3,39410,0
20110524,40,40.5,39.6,40.5,41476,0
20110525,40.4,41,40.4,41,9212,0
20110526,40.75,41.4,40.7,40.7,33342,0
20110527,40.41,40.8,40.41,40.75,9943,0
20110530,40.46,40.6,40.1,40.11,15048,0
20110531,40.04,41.68,39.99,41.46,60446,0
20110601,41.46,41.46,40.5,41.35,1527,0
20110602,41.3,41.3,40.5,41.19,6055,0
20110603,40.55,41.15,40.5,40.55,5806,0
20110606,40.41,41,40.2,41,38237,0
20110607,40.5,41,40.5,41,54230,0
20110608,40.5,41,40.5,41,118074,0
20110609,40.8,40.8,40.5,40.5,37810,0
20110610,40.4,40.5,40.1,40.5,56822,0
20110613,40.4,40.6,40.4,40.55,21872,0
20110614,40.04,40.31,40.04,40.31,57814,0
20110615,40.01,40.5,40.01,40.48,11765,0
20110616,38.2,40.05,38.2,40,16773,0
20110617,39.85,40,39.4,40,42272,0
20110620,38.5,40,38.5,39.7,96887,0
20110621,39.5,40,39.5,39.7,112899,0
20110622,39.51,40.49,39.51,40,3067,0
20110624,39.99,40.2,39.81,40,11715,0
20110627,39.92,40.1,39.9,40,52858,0
20110628,39.2,40,39.2,40,2625,0
20110629,39.9,40.2,39.9,40.2,8329,0
20110630,40.5,40.5,40,40.5,11642,0
20110701,41,42.95,41,42.81,35054,0
20110704,42.75,43.5,42.75,43.5,23526,0
20110705,43.65,43.7,43.02,43.3,12452,0
20110706,43.16,43.3,42.2,43.3,8675,0
20110707,43.3,43.8,42.64,43.5,14366,0
20110708,43.3,43.75,42.05,42.05,5135,0
20110711,42.02,42.9,41.97,42.1,4513,0
20110712,42.72,42.72,39.58,41.98,42686,0
20110713,41,42.5,41,42,6426,0
20110714,41.11,41.99,41.11,41.98,16962,0
20110715,41.98,41.98,41.5,41.8,623,0
20110718,41.12,41.12,40.5,40.9,2219,0
20110719,40.7,40.9,40.02,40.5,2480,0
20110720,40.5,40.85,40.13,40.14,1959,0
20110721,40.4,40.4,39.51,40,4036,0
20110722,40.01,40.85,40.01,40.85,51001,0
20110725,40.97,40.97,40.3,40.95,2589,0
20110726,40.96,41.49,40.8,41,3920,0
20110727,41,41.2,40.5,40.5,2555,0
20110728,40.5,40.5,39.7,40.1,6685,0
20110729,40.71,40.71,39.91,40.7,23259,0
20110801,40.01,40.25,39.39,39.5,49196,0
20110802,39.85,39.85,39.4,39.4,21034,0
20110803,39.8,39.8,37.5,38.6,33219,0
20110804,37,38.9,37,37.2,33969,0
20110805,32,37.5,32,36.8,27161,0
20110808,34.1,36.5,34,34.9,24499,0
20110809,34,34.05,30.71,33.5,141482,0
20110810,34.4,35,31.11,32,67592,0
20110811,32.5,34,31.7,34,12416,0
20110812,35.45,35.9,34.5,35.73,3287,0
20110816,36.8,36.8,34.3,35.4,8495,0
20110817,36.67,36.67,35,35,1950,0
20110818,34.98,35.83,33.2,33.2,9984,0
20110819,33.2,34.59,33.2,34.57,3650,0
20110822,35,35.6,34.5,35.5,934,0
20110823,35.7,35.7,35,35,1629,0
20110824,34.8,35,34.8,35,438,0
20110825,35.1,36,35.1,35.5,798,0
20110826,36.34,36.34,35.5,36,1183,0
20110829,36.4,36.8,35.5,36.8,52361,0
20110830,36.8,36.8,36.4,36.6,27948,0
20110831,37.82,39.3,36.8,37.7,28818,0
20110901,38.5,38.5,36,37.49,1818,0
20110902,36.75,37.51,36.75,37.37,4878,0
20110905,36.5,37,35.7,37,2423,0
20110906,36.98,37.3,36.6,37.3,71357,0
20110907,37.3,37.96,37.25,37.6,619,0
20110908,40,40,39.15,40,313916,0
20110909,39.98,40.1,38.02,39.6,14498,0
20110912,39.6,39.6,37.65,38.1,4280,0
20110913,38.1,39.01,37.5,38,3128,0
20110914,38,38.1,38,38,15113,0
20110915,38.8,38.8,38.41,38.46,1255,0
20110916,38.01,39.48,38.01,39.45,1711,0
20110919,39.5,39.5,38.3,39.1,64899,0
20110920,39.1,39.7,39.1,39.7,2529,0
20110921,39.5,40.86,39.5,40.4,2989,0
20110922,40,40,39.15,39.3,6193,0
20110923,38.32,39.84,38.32,38.8,117613,0
20110926,39.5,40.32,39.18,40.32,2473,0
20110927,40.3,42,40.3,41.5,13563,0
20110928,41.6,43.21,41.6,43.1,59905,0
20110929,43,43.87,43,43.87,9955,0
20110930,42.5,44.32,42.5,43,63009,0
20111003,43,43,41.1,42.19,7442,0
20111004,42,42,40.33,40.4,10903,0
20111005,41,42.21,40.9,42.19,5977,0
20111006,42.28,43,42.1,42.5,665,0
20111007,42.21,42.21,41.85,42,6222,0
20111010,42,42,41.1,42,9041,0
20111011,42.28,42.3,41.8,42.3,41340,0
20111012,42.4,42.7,41.56,42.7,33058,0
20111013,42.7,43.98,41.91,42.4,6264,0
20111014,42.03,42.4,42,42.1,40834,0
20111017,43.3,43.3,42,42,1398,0
20111018,41.52,42,40.75,42,1828,0
