Date,Open,High,Low,Close,Volume,OpenInt
20071206,79.637,79.637,63.897,70.081,17029,0
20071207,71.205,73.547,68.863,72.938,2955,0
20071210,73.454,73.454,67.739,72.142,331,0
20071211,71.205,73.313,65.022,68.675,2520,0
20071212,65.584,68.629,61.93,68.394,1275,0
20071213,67.457,68.394,64.178,68.394,648,0
20071214,68.863,68.863,64.647,68.394,1041,0
20071217,64.647,64.647,61.93,62.726,1465,0
20071218,62.398,62.773,58.088,62.726,1295,0
20071219,65.584,65.584,60.899,61.836,508,0
20071220,67.457,67.457,67.457,67.457,53,0
20071221,68.863,68.863,61.368,63.71,7167,0
20071227,69.331,69.331,63.335,64.647,129,0
20071228,63.71,64.647,61.836,64.553,5644,0
20080102,66.521,66.521,65.209,65.209,3203,0
20080103,63.335,63.335,60.431,60.946,274,0
20080104,63.148,63.148,61.836,63.148,106,0
20080107,60.899,66.521,60.899,66.521,662,0
20080108,64.647,66.052,64.647,66.052,117,0
20080109,65.349,65.677,64.647,65.584,974,0
20080111,61.836,65.443,61.836,65.443,22,0
20080115,65.349,65.349,59.025,64.647,56,0
20080116,63.71,63.71,63.71,63.71,3,0
20080121,60.899,62.773,60.899,62.773,279,0
20080122,57.151,58.088,56.215,56.215,4010,0
20080123,57.151,57.151,51.062,56.027,21533,0
20080124,55.933,56.121,52.467,54.809,595,0
20080125,51.624,55.184,51.624,52.935,1928,0
20080128,52.467,52.467,52.467,52.467,451,0
20080129,54.341,54.341,51.53,51.53,118,0
20080130,55.278,55.278,55.184,55.278,272,0
20080131,55.278,55.278,54.809,54.809,2,0
20080201,54.528,54.809,51.53,51.53,4032,0
20080204,54.294,54.294,52.467,52.467,328,0
20080206,52.42,52.467,51.53,51.53,5390,0
20080207,52.373,52.467,49.656,49.656,284,0
20080208,50.125,50.593,49.656,50.593,116,0
20080211,47.782,49.844,47.782,49.844,456,0
20080212,47.923,47.923,47.923,47.923,22,0
20080213,50.593,50.593,50.593,50.593,4435,0
20080214,51.062,51.53,50.593,50.593,315,0
20080215,48.719,50.78,48.719,50.78,350,0
20080218,52.842,52.842,51.436,51.53,1477,0
20080219,51.53,51.53,51.53,51.53,90,0
20080220,51.436,51.436,49.656,49.75,218,0
20080222,50.499,50.593,46.845,50.312,348,0
20080225,50.312,50.312,50.312,50.312,19,0
