Date,Open,High,Low,Close,Volume,OpenInt
19970103,16.606,16.606,16.606,16.606,136,0
19970106,16.606,16.606,16.606,16.606,28518,0
19970107,16.675,16.675,16.675,16.675,20809,0
19970108,17.327,17.327,17.327,17.327,21844,0
19970109,18.047,18.047,18.047,18.047,35461,0
19970110,18.768,18.768,18.768,18.768,43583,0
19970113,19.128,19.128,19.128,19.128,37557,0
19970114,18.768,18.768,18.768,18.768,24002,0
19970115,18.047,18.047,18.047,18.047,20805,0
19970116,18.047,18.047,18.047,18.047,16290,0
19970117,18.047,18.047,18.047,18.047,12025,0
19970120,17.327,17.327,17.327,17.327,11024,0
19970121,17.327,17.327,17.327,17.327,17315,0
19970122,16.966,16.966,16.966,16.966,12614,0
19970123,16.966,16.966,16.966,16.966,16917,0
19970124,17.327,17.327,17.327,17.327,17489,0
19970127,16.606,16.606,16.606,16.606,16864,0
19970128,15.302,15.302,15.302,15.302,19504,0
19970129,15.886,15.886,15.886,15.886,10862,0
19970130,15.886,15.886,15.886,15.886,16277,0
19970131,15.808,15.808,15.808,15.808,6673,0
19970203,16.606,16.606,16.606,16.606,8069,0
19970204,16.606,16.606,16.606,16.606,7560,0
19970205,16.46,16.46,16.46,16.46,7654,0
19970206,16.606,16.606,16.606,16.606,10570,0
19970207,16.966,16.966,16.966,16.966,16445,0
19970210,16.889,16.889,16.889,16.889,10004,0
19970211,16.606,16.606,16.606,16.606,18761,0
19970212,16.46,16.46,16.46,16.46,7777,0
19970213,15.886,15.886,15.886,15.886,6737,0
19970214,16.169,16.169,16.169,16.169,9988,0
19970217,15.74,15.74,15.74,15.74,11406,0
19970218,15.594,15.594,15.594,15.594,13468,0
19970219,15.234,15.234,15.234,15.234,16707,0
19970220,15.156,15.156,15.156,15.156,10457,0
19970221,15.886,15.886,15.886,15.886,14388,0
19970224,16.383,16.383,16.383,16.383,12235,0
19970225,17.327,17.327,17.327,17.327,63664,0
19970226,18.768,18.768,18.768,18.768,75576,0
19970227,18.047,18.047,18.047,18.047,59094,0
19970228,18.768,18.768,18.768,18.768,92863,0
19970303,18.768,18.768,18.768,18.768,55622,0
19970304,19.634,19.634,19.634,19.634,70688,0
19970305,20.217,20.217,20.217,20.217,98722,0
19970306,20.217,20.217,20.217,20.217,48755,0
19970307,20.217,20.217,20.217,20.217,60506,0
19970310,19.848,19.848,19.848,19.848,45888,0
19970311,19.634,19.634,19.634,19.634,55968,0
19970312,19.42,19.42,19.42,19.42,40475,0
19970313,18.768,18.768,18.768,18.768,25120,0
19970314,17.687,17.687,17.687,17.687,68951,0
19970317,17.687,17.687,17.687,17.687,15013,0
19970318,17.473,17.473,17.473,17.473,18946,0
19970319,16.966,16.966,16.966,16.966,39200,0
19970320,16.675,16.675,16.675,16.675,16221,0
19970321,16.966,16.966,16.966,16.966,13706,0
19970324,17.112,17.112,17.112,17.112,11105,0
19970325,17.541,17.541,17.541,17.541,21576,0
19970326,17.618,17.618,17.618,17.618,18224,0
19970327,17.901,17.901,17.901,17.901,26334,0
