Date,Open,High,Low,Close,Volume,OpenInt
19960130,21.415,21.415,21.415,21.415,139557,0
19960131,22.185,22.185,22.185,22.185,147444,0
19960201,22.185,22.185,22.185,22.185,71651,0
19960202,23.108,23.108,23.108,23.108,118139,0
19960205,23.343,23.343,23.343,23.343,46401,0
19960206,23.108,23.108,23.108,23.108,86420,0
19960207,22.185,22.185,22.185,22.185,244678,0
19960208,23.108,23.108,23.108,23.108,143843,0
19960209,25.416,25.416,25.416,25.416,146091,0
19960212,27.96,27.96,27.96,27.96,86528,0
19960213,29.272,29.272,29.272,29.272,261391,0
19960214,28.502,28.502,28.502,28.502,98650,0
19960215,28.502,28.502,28.502,28.502,95632,0
19960216,28.421,28.421,28.421,28.421,44862,0
19960219,27.733,27.733,27.733,27.733,48502,0
19960220,27.344,27.344,27.344,27.344,70690,0
19960221,27.344,27.344,27.344,27.344,86540,0
19960222,28.113,28.113,28.113,28.113,42789,0
19960223,27.96,27.96,27.96,27.96,27213,0
19960226,28.195,28.195,28.195,28.195,44912,0
19960227,28.04,28.04,28.04,28.04,48247,0
19960228,27.733,27.733,27.733,27.733,10240,0
19960229,28.729,28.729,28.729,28.729,65673,0
19960301,28.883,28.883,28.883,28.883,29927,0
19960304,29.887,29.887,29.887,29.887,63302,0
19960305,31.815,31.815,31.815,31.815,60620,0
19960306,32.811,32.811,32.811,32.811,32416,0
19960307,36.124,36.124,36.124,36.124,34034,0
19960308,32.965,32.965,32.965,32.965,48274,0
19960311,32.584,32.584,32.584,32.584,21576,0
19960312,32.811,32.811,32.811,32.811,31517,0
19960313,33.2,33.2,33.2,33.2,34058,0
19960314,32.811,32.811,32.811,32.811,18273,0
19960315,33.119,33.119,33.119,33.119,6112,0
19960318,34.277,34.277,34.277,34.277,11609,0
19960319,35.281,35.281,35.281,35.281,34952,0
19960320,36.585,36.585,36.585,36.585,53813,0
19960321,36.205,36.205,36.205,36.205,103402,0
19960322,36.585,36.585,36.585,36.585,25773,0
19960325,36.432,36.432,36.432,36.432,111172,0
19960326,35.816,35.816,35.816,35.816,6252,0
19960327,35.662,35.662,35.662,35.662,6867,0
19960328,36.124,36.124,36.124,36.124,11114,0
19960329,36.205,36.205,36.205,36.205,11684,0
19960401,36.051,36.051,36.051,36.051,7406,0
19960402,35.662,35.662,35.662,35.662,7656,0
19960403,35.281,35.281,35.281,35.281,9836,0
19960404,34.893,34.893,34.893,34.893,11534,0
19960405,35.281,35.281,35.281,35.281,25680,0
19960409,34.666,34.666,34.666,34.666,15090,0
19960410,34.666,34.666,34.666,34.666,16658,0
19960411,34.974,34.974,34.974,34.974,7650,0
19960412,35.128,35.128,35.128,35.128,2347,0
19960415,35.662,35.662,35.662,35.662,8844,0
19960416,35.662,35.662,35.662,35.662,16921,0
19960417,35.816,35.816,35.816,35.816,7243,0
19960418,36.432,36.432,36.432,36.432,16603,0
19960419,36.205,36.205,36.205,36.205,6532,0
19960422,36.432,36.432,36.432,36.432,25772,0
19960423,36.585,36.585,36.585,36.585,33562,0
19960424,36.585,36.585,36.585,36.585,35747,0
19960425,36.585,36.585,36.585,36.585,8542,0
19960426,35.281,35.281,35.281,35.281,24152,0
19960429,35.662,35.662,35.662,35.662,12786,0
19960430,35.816,35.816,35.816,35.816,9112,0
19960506,35.816,35.816,35.816,35.816,13667,0
19960507,36.585,36.585,36.585,36.585,11317,0
19960508,36.585,36.585,36.585,36.585,31374,0
19960509,36.974,36.974,36.974,36.974,15807,0
19960510,36.585,36.585,36.585,36.585,19458,0
19960513,36.974,36.974,36.974,36.974,9073,0
19960514,37.59,37.59,37.59,37.59,80603,0
19960515,37.201,37.201,37.201,37.201,51942,0
19960516,37.201,37.201,37.201,37.201,39981,0
19960517,36.82,36.82,36.82,36.82,28639,0
19960520,36.513,36.513,36.513,36.513,19433,0
19960521,36.432,36.432,36.432,36.432,7780,0
19960522,35.743,35.743,35.743,35.743,10729,0
19960523,35.281,35.281,35.281,35.281,14357,0
19960524,34.739,34.739,34.739,34.739,22956,0
19960527,34.512,34.512,34.512,34.512,11982,0
19960528,33.969,33.969,33.969,33.969,5621,0
19960529,33.119,33.119,33.119,33.119,9491,0
19960530,32.811,32.811,32.811,32.811,6522,0
19960531,32.965,32.965,32.965,32.965,653,0
19960603,33.2,33.2,33.2,33.2,720,0
19960604,33.354,33.354,33.354,33.354,2262,0
19960605,33.508,33.508,33.508,33.508,12551,0
19960607,33.354,33.354,33.354,33.354,1214,0
19960610,33.508,33.508,33.508,33.508,1431,0
19960611,33.508,33.508,33.508,33.508,24547,0
19960612,33.046,33.046,33.046,33.046,954,0
19960613,33.119,33.119,33.119,33.119,3063,0
19960614,32.965,32.965,32.965,32.965,6022,0
19960617,33.354,33.354,33.354,33.354,7359,0
19960618,32.965,32.965,32.965,32.965,15893,0
19960619,33.354,33.354,33.354,33.354,27314,0
19960620,33.427,33.427,33.427,33.427,61880,0
19960621,33.119,33.119,33.119,33.119,50736,0
19960624,33.119,33.119,33.119,33.119,33919,0
19960625,33.119,33.119,33.119,33.119,35670,0
