Date,Open,High,Low,Close,Volume,OpenInt
20070629,6.6,6.78,6.06,6.06,12243038,0
20070702,6.16,6.16,5.44,5.83,5005328,0
20070703,6,6.14,5.95,6.02,4093340,0
20070704,6.1,6.22,6.03,6.1,1571943,0
20070705,6.17,6.17,5.95,6.06,1254384,0
20070706,6.08,6.09,5.98,5.99,467380,0
20070709,6.01,6.01,5.75,5.79,777142,0
20070710,5.77,5.8,5.53,5.58,1537995,0
20070711,5.6,5.6,5.3,5.41,1125061,0
20070712,5.34,5.48,5.3,5.39,731687,0
20070713,5.39,5.58,5.34,5.55,754799,0
20070716,5.57,5.68,5.11,5.4,410798,0
20070717,5.36,5.36,5.14,5.27,557286,0
20070718,5.3,5.3,5.15,5.18,776089,0
20070719,5.2,5.72,5.2,5.62,1332901,0
20070720,5.7,5.7,5.45,5.47,560769,0
20070723,5.47,5.58,5.3,5.4,343573,0
20070724,5.52,5.52,5.17,5.19,892447,0
20070725,5,5.18,4.78,5.15,1469742,0
20070726,5.15,5.18,4.98,4.98,872935,0
20070727,4.81,5.05,4.79,4.8,1155882,0
20070730,4.85,5,4.85,4.9,411269,0
20070731,4.99,5.15,4.99,5.05,691273,0
20070801,5,5,4.88,4.92,401846,0
20070802,5.06,5.09,4.84,4.84,1205289,0
20070803,4.93,4.93,4.78,4.8,224689,0
20070806,4.7,4.72,4.5,4.6,595295,0
20070807,4.7,4.74,4.23,4.23,966658,0
20070808,4.31,4.48,4.23,4.25,1341116,0
20070809,4.3,4.3,3.91,4.02,2507152,0
20070810,3.86,3.88,3.59,3.65,2229878,0
20070813,3.65,4.14,3.65,4.05,2186017,0
20070814,4.05,4.18,3.99,3.99,2166180,0
20070816,3.79,3.79,3.42,3.6,1553831,0
20070817,3.59,3.99,3.54,3.9,2412368,0
20070820,4.05,4.15,3.9,3.97,728987,0
20070821,4.01,4.01,3.79,3.95,652150,0
20070822,4,4.15,3.91,4.08,2004881,0
20070823,4.14,4.26,4.06,4.09,1914994,0
20070824,4.1,4.27,4.02,4.16,1374292,0
20070827,4.25,4.4,4.25,4.29,988206,0
20070828,4.29,4.37,4.22,4.31,602132,0
20070829,4.06,4.32,4.05,4.29,709612,0
20070830,4.4,4.46,3.98,4.09,1343819,0
20070831,4.17,4.3,4.17,4.2,398446,0
20070903,4.22,4.25,4.1,4.2,261726,0
20070904,4.2,4.2,4.07,4.12,421433,0
20070905,4.13,4.14,3.88,3.88,760619,0
20070906,3.93,3.95,3.78,3.88,426693,0
20070907,3.84,3.92,3.69,3.74,598936,0
20070910,3.65,3.74,3.54,3.64,524392,0
20070911,3.67,3.77,3.66,3.75,567560,0
20070912,3.79,3.81,3.7,3.72,233500,0
20070913,3.69,4.02,3.65,3.99,937827,0
20070914,3.99,4.13,3.78,3.82,1007841,0
20070917,3.81,3.82,3.71,3.79,371672,0
20070918,3.78,3.79,3.7,3.78,776849,0
20070919,3.92,3.95,3.84,3.86,782706,0
20070920,3.85,3.88,3.78,3.78,498649,0
20070921,3.78,3.96,3.78,3.8,1417266,0
20070924,3.81,3.88,3.75,3.77,385817,0
20070925,3.75,3.95,3.75,3.93,1280961,0
20070926,3.95,4.74,3.9,4.49,6703635,0
20070927,4.54,4.65,4.25,4.28,3047339,0
