Date,Open,High,Low,Close,Volume,OpenInt
20050601,5.9066,5.9066,5.5304,5.6433,239097,0
20050602,5.9066,6.2828,5.8691,6.2076,116596,0
20050603,6.3581,6.3581,5.8313,6.0572,67412,0
20050606,6.0947,6.0947,5.9443,6.0572,32372,0
20050607,6.0194,6.0194,5.9819,6.0194,5762,0
20050608,6.0947,6.1324,6.0194,6.0947,22101,0
20050609,6.0194,6.2828,5.9819,6.2828,35968,0
20050610,6.2828,6.847,6.2828,6.5462,81845,0
20050613,6.5838,6.5838,6.4333,6.5462,23615,0
20050614,6.471,6.5086,6.3205,6.3205,21727,0
20050615,6.3205,6.471,6.2452,6.4333,24374,0
20050616,6.4333,6.5086,6.2452,6.3957,62222,0
20050617,6.3205,6.4333,6.3205,6.4333,4746,0
20050620,6.2828,6.3957,6.2828,6.3957,90,0
20050621,6.2828,6.3205,6.2076,6.3205,3811,0
20050622,6.0947,6.3205,5.9819,6.2828,29690,0
20050623,6.0572,6.2828,6.0194,6.2828,29632,0
20050627,6.1324,6.2452,6.1324,6.2452,5804,0
20050628,6.2076,6.2076,6.2076,6.2076,465,0
20050629,6.0572,6.0947,6.0194,6.0947,5511,0
20050630,6.1324,6.17,6.1324,6.17,2112,0
20050701,6.0947,6.1324,6.0947,6.1324,6646,0
20050704,6.17,6.17,6.17,6.17,399,0
20050706,6.0947,6.1324,6.0947,6.1324,3296,0
20050707,6.1324,6.17,6.0194,6.17,16282,0
20050708,6.0194,6.17,6.0194,6.17,12653,0
20050711,6.17,6.17,6.17,6.17,1185,0
20050712,6.0572,6.0572,6.0572,6.0572,652,0
20050713,6.0947,6.0947,6.0572,6.0947,9318,0
20050714,6.0947,6.0947,6.0947,6.0947,132,0
20050715,6.0947,6.0947,6.0947,6.0947,687,0
20050718,6.1324,6.17,6.0947,6.0947,5523,0
20050719,6.0947,6.1324,6.0947,6.1324,7693,0
20050720,6.17,6.3957,6.17,6.3957,56592,0
20050721,6.3205,6.3957,6.2828,6.3957,2354,0
20050722,6.3581,6.3581,6.3205,6.3581,7131,0
20050725,6.4333,6.4333,6.4333,6.4333,5183,0
20050726,6.4333,6.4333,6.3205,6.3205,6073,0
20050727,6.3205,6.3205,6.2828,6.3205,4666,0
20050728,6.3581,6.3581,6.2076,6.2076,2160,0
20050729,6.2076,6.2452,6.2076,6.2452,166,0
20050801,6.3957,6.5838,6.2076,6.5462,31737,0
20050802,6.5462,6.5462,6.5462,6.5462,864,0
20050803,6.5462,6.5462,6.3957,6.471,4310,0
20050804,6.3205,6.7343,6.3205,6.7343,28011,0
20050805,6.5838,6.7343,6.5462,6.6591,21277,0
20050808,6.6591,6.8848,6.6591,6.6591,9227,0
20050810,6.6967,6.6967,6.6215,6.6215,571,0
20050812,6.2828,6.5086,6.2828,6.3581,2659,0
20050816,6.2076,6.2076,6.2076,6.2076,630,0
20050817,6.3205,6.3957,6.2076,6.3957,3257,0
20050818,6.3957,6.3957,6.3957,6.3957,771,0
20050819,6.3581,6.3957,6.17,6.3205,3137,0
20050822,6.2076,6.2076,6.2076,6.2076,332,0
20050823,6.2076,6.2076,6.2076,6.2076,140941,0
20050824,6.17,6.2076,6.17,6.2076,32988,0
20050825,6.2076,6.2076,6.2076,6.2076,4717,0
20050826,6.17,6.17,6.17,6.17,28,0
20050829,6.17,6.17,6.0194,6.0572,6999,0
20050830,6.17,6.5086,6.17,6.5086,8639,0
20050831,6.5462,6.5462,6.4333,6.5086,5105,0
20050901,6.3205,6.3957,6.3205,6.3957,221,0
20050902,6.3581,6.3581,6.3581,6.3581,198,0
20050906,6.3957,6.3957,6.3957,6.3957,1821,0
20050907,6.2076,6.3957,6.17,6.3205,967,0
20050908,6.3205,6.3957,6.2452,6.3957,411075,0
20050909,6.2828,6.2828,6.0194,6.0194,2570,0
20050912,6.2452,6.2452,6.0194,6.0194,955,0
20050913,6.0572,6.0572,6.0572,6.0572,662,0
20050916,6.0572,6.0572,6.0194,6.0194,2060,0
20050919,6.0194,6.0572,6.0194,6.0572,2006,0
20050920,6.0572,6.0572,5.6809,5.9819,19550,0
20050921,6.0194,6.0194,6.0194,6.0194,1749,0
20050923,5.7562,6.0194,5.7186,6.0194,2924,0
20050926,6.0947,6.0947,6.0947,6.0947,267,0
20050927,6.0572,6.6215,6.0572,6.2828,10916,0
20050928,6.5838,6.5838,6.5086,6.5086,1563,0
20050929,6.1324,6.2452,6.0194,6.1324,8682,0
20050930,6.2076,6.3957,6.17,6.3957,6912,0
20051003,6.17,6.17,6.1324,6.17,3917,0
20051004,6.17,6.17,6.0947,6.17,1474,0
20051005,6.0572,6.1324,6.0572,6.1324,788,0
20051006,6.0572,6.0572,5.9443,5.9819,6013,0
20051007,5.9066,5.9066,5.9066,5.9066,665,0
20051010,5.8691,5.9819,5.8691,5.9819,338,0
20051011,5.8691,5.8691,5.8691,5.8691,5556,0
20051012,5.7937,6.0194,5.7186,5.8691,270667,0
20051013,5.7937,5.7937,5.6809,5.6809,5561,0
20051014,5.6056,5.8313,5.6056,5.8313,817,0
20051017,5.8313,5.8313,5.8313,5.8313,211,0
20051019,5.9443,5.9819,5.6433,5.6433,19949,0
20051020,5.6433,5.8313,5.6433,5.8313,79603,0
20051021,5.9819,6.0194,5.9066,5.9066,10339,0
20051025,6.0194,6.0194,5.9819,5.9819,5424,0
20051026,5.7562,6.0194,5.6433,6.0194,2368,0
20051027,5.7562,6.0194,5.7562,6.0194,95,0
20051028,5.7937,5.7937,5.7937,5.7937,2,0
20051031,5.9819,5.9819,5.8691,5.8691,725,0
20051102,5.9819,6.2452,5.9819,6.17,3023,0
20051103,6.0947,6.0947,5.9443,6.0947,889,0
20051104,6.0194,6.2076,6.0194,6.2076,6142,0
20051107,5.8691,5.8691,5.6433,5.7562,7933,0
20051108,5.7562,5.8691,5.7562,5.8691,2230,0
20051114,5.6809,5.8313,5.6809,5.8313,2685,0
20051115,5.7562,5.7562,5.6809,5.6809,1661,0
20051116,5.6809,5.6809,5.6809,5.6809,665,0
20051117,5.6433,5.6433,5.568,5.6433,2268,0
20051118,5.7562,5.7562,5.568,5.568,4516,0
20051121,5.6433,5.7562,5.568,5.568,4369,0
20051122,5.568,5.568,5.5304,5.568,2146,0
20051123,5.568,5.9443,5.568,5.7186,321458,0
20051124,6.0194,6.0194,5.6433,5.6433,158433,0
20051125,5.6433,5.7186,5.6433,5.7186,983,0
20051128,5.7186,5.9066,5.7186,5.9066,12630,0
20051129,5.9443,6.0194,5.8691,5.9443,32119,0
20051130,5.9066,5.9443,5.9066,5.9443,26581,0
20051201,5.9443,5.9443,5.9443,5.9443,267,0
20051202,5.9443,5.9443,5.9443,5.9443,3323,0
20051205,5.7186,5.9819,5.7186,5.9819,13729,0
20051206,6.0194,6.0947,5.9443,6.0947,16574,0
20051207,6.1324,6.3957,6.0194,6.3957,21676,0
20051208,6.17,6.17,6.1324,6.1324,5552,0
20051209,6.17,6.17,6.17,6.17,1519,0
20051212,6.17,6.17,6.0194,6.1324,2452,0
20051213,6.0194,6.0194,5.9066,6.0194,10261,0
20051214,5.9443,5.9443,5.8691,5.8691,1529,0
20051215,5.9443,6.17,5.9443,6.1324,8115,0
20051219,6.0194,6.0194,5.9819,5.9819,665,0
20051220,5.9443,6.0194,5.9443,6.0194,995,0
20051222,6.17,6.17,6.0947,6.1324,1767,0
20051223,5.9819,6.0947,5.9443,6.0947,1062,0
20051227,5.9819,5.9819,5.8691,5.8691,2146,0
20051228,6.0947,6.1324,5.9443,6.1324,8705,0
20051229,6.17,6.17,6.0194,6.1324,10876,0
20051230,6.0194,6.17,5.9066,6.17,5051,0
20060102,5.8691,6.1324,5.8691,5.9819,3145,0
20060103,6.0194,6.0947,6.0194,6.0947,474,0
20060104,6.0947,6.17,6.0572,6.17,18019,0
20060106,6.1324,6.17,6.0194,6.1324,6170,0
20060109,6.17,6.17,6.0194,6.0194,1098,0
20060111,6.0194,6.0947,6.0194,6.0194,1567,0
20060112,6.0572,6.0572,5.8691,5.9819,3297,0
20060113,5.8691,6.17,5.8691,6.0194,143547,0
20060116,6.0947,6.3581,5.9443,6.2828,32630,0
20060117,6.3205,6.3205,5.9066,6.0947,46827,0
20060118,6.0947,6.1324,5.9819,6.0947,21300,0
20060119,6.0947,6.2076,6.0947,6.17,10578,0
20060120,6.0947,6.0947,5.9819,6.0194,8253,0
20060123,6.0194,6.0194,5.8691,5.8691,1994,0
20060125,5.9066,5.9443,5.8691,5.8691,135021,0
20060126,6.0572,6.1324,6.0572,6.0947,20352,0
20060127,6.0947,6.1324,6.0947,6.1324,4206,0
20060130,6.0947,6.17,6.0572,6.0947,81664,0
20060131,6.2452,6.2452,6.0194,6.0194,7903,0
20060201,6.0947,6.471,6.0194,6.4333,61623,0
20060202,6.5086,6.5086,6.2076,6.3581,4827,0
20060203,6.471,6.471,6.0572,6.2452,4036,0
20060206,6.2452,6.3581,6.1324,6.2828,13177,0
20060207,6.3581,6.3581,6.2828,6.2828,7476,0
20060208,6.2828,6.6967,6.2828,6.471,26569,0
20060209,6.6215,6.6215,6.3957,6.6215,2848,0
20060210,6.5462,6.5838,6.3957,6.5462,2412,0
20060213,6.6215,6.6215,6.5462,6.6215,2251,0
20060214,6.5462,6.6215,6.3205,6.3205,3275,0
20060215,6.5838,6.8848,6.5838,6.7719,37749,0
20060216,6.9977,8.1264,6.9977,7.5245,235106,0
20060217,7.5996,7.5996,7.1106,7.4114,32080,0
20060220,7.5245,7.5245,7.1482,7.3739,35665,0
20060221,7.3739,7.3739,7.1482,7.2233,21442,0
20060222,7.2987,7.2987,7.0353,7.1106,29253,0
20060223,7.1482,7.2987,6.9977,7.1857,4310,0
20060224,7.1857,7.5245,7.1106,7.5245,41964,0
20060227,7.5245,7.5996,7.2233,7.3739,19393,0
20060228,7.4114,7.4114,7.1482,7.1482,28026,0
20060301,7.1482,7.4114,6.847,7.4114,170925,0
20060302,7.4114,7.4114,7.2233,7.2609,75125,0
20060303,7.4114,7.4114,7.1857,7.3362,8835,0
20060306,7.4868,7.4868,7.2233,7.2609,4294,0
20060307,7.2609,7.2609,7.1482,7.2233,13804,0
20060308,7.1482,7.1482,6.9601,7.1106,8590,0
20060309,7.1106,7.2609,6.9601,7.1482,2534,0
20060310,7.2233,7.2233,6.9977,7.073,1484,0
20060313,7.1482,7.1482,6.8848,7.073,3659,0
20060314,6.9224,7.1482,6.9224,7.1106,3406,0
20060315,7.073,7.3739,7.0353,7.3739,13090,0
20060316,7.3739,7.5996,7.2233,7.5996,17251,0
20060317,7.5996,7.8253,7.5996,7.8253,15798,0
20060320,7.9006,8.2392,7.863,8.0134,17389,0
20060321,8.0887,8.0887,7.8253,7.9006,13275,0
20060322,7.7501,7.9758,7.7125,7.9758,15659,0
20060323,8.1264,8.1264,7.9758,8.0511,688,0
20060324,7.9006,8.0887,7.8253,8.0887,11014,0
20060327,8.2392,8.3897,8.0887,8.3897,7647,0
20060328,8.3897,8.8788,8.3897,8.8036,15812,0
20060329,8.8036,9.0291,8.6529,9.0291,73727,0
20060330,9.0291,9.2925,9.0291,9.0666,24423,0
20060331,9.1041,9.1041,8.8036,8.9541,29074,0
20060403,8.8036,9.1041,8.8036,8.9916,18573,0
20060404,9.0291,9.668,9.0291,9.668,28629,0
20060405,9.707,9.932,9.518,9.782,189927,0
20060406,9.744,9.857,9.1041,9.744,26657,0
20060407,9.782,9.857,9.744,9.857,43212,0
20060410,9.782,9.932,9.707,9.932,63925,0
20060411,9.744,9.782,9.631,9.707,103330,0
20060412,9.631,9.631,9.4434,9.593,20818,0
20060413,9.556,9.556,9.33,9.556,7652,0
20060418,9.631,9.631,9.33,9.4809,1056,0
20060419,9.593,9.593,9.0666,9.2175,24746,0
20060420,9.2925,9.2925,9.0291,9.255,9605,0
20060421,9.1041,9.3675,9.1041,9.3675,1332,0
20060424,9.4809,9.4809,9.18,9.2925,6929,0
20060425,9.2925,9.2925,9.0291,9.2925,1957,0
20060426,9.1041,9.4434,9.0291,9.3675,14461,0
20060427,9.3675,9.4059,8.9541,9.0291,15101,0
20060428,9.0291,9.2175,8.9541,9.2175,12091,0
20060502,9.0666,9.255,8.9541,9.255,8943,0
20060504,9.4809,9.857,9.4434,9.4809,39754,0
20060505,9.4809,9.556,9.2175,9.2925,11518,0
20060508,9.518,9.518,9.0291,9.255,19189,0
20060509,9.0291,9.1041,8.8788,9.0291,9039,0
20060510,8.8036,8.9916,8.5026,8.5026,8700,0
20060511,8.5777,8.9916,8.5026,8.766,29642,0
20060512,8.766,8.8036,8.4273,8.5777,11138,0
20060515,8.5026,8.5026,8.2768,8.4273,3481,0
20060516,8.4273,8.4273,8.1264,8.2016,5833,0
20060517,8.1264,8.6529,8.1264,8.5026,9179,0
20060518,8.2768,8.3145,8.2016,8.2016,3392,0
20060519,8.2016,8.2768,8.1264,8.2392,8314,0
20060522,8.2392,8.2392,7.8253,7.8253,3630,0
20060523,7.5996,7.5996,6.7719,7.5245,85942,0
20060524,7.4868,7.6748,6.847,6.9224,42592,0
20060525,7.1482,7.2233,6.847,7.1106,137036,0
