Date,Open,High,Low,Close,Volume,OpenInt
20061221,10.65,11.29,10.4,10.79,311421,0
20061222,10.88,10.88,10.14,10.14,97665,0
20061227,10.2,10.68,10.2,10.57,15447,0
20061228,10.62,10.62,10.25,10.31,16165,0
20061229,10.56,10.56,10.28,10.38,16947,0
20070102,10.4,10.79,10.35,10.5,9276,0
20070103,10.65,10.65,10.35,10.5,11174,0
20070104,10.44,10.64,10.22,10.57,17559,0
20070105,10.5,10.5,10.3,10.49,14057,0
20070108,10.22,10.38,10.22,10.28,7578,0
20070109,10.22,10.38,10.21,10.3,7164,0
20070110,10.22,10.45,10.22,10.28,7475,0
20070111,10.25,10.4,10.2,10.35,5922,0
20070112,10.36,10.65,10.36,10.6,21504,0
20070115,10.65,10.7,10.4,10.57,8853,0
20070116,10.61,11.28,10.32,10.94,38321,0
20070117,11.11,11.11,10.87,10.99,26060,0
20070118,11,11.49,11,11.39,62815,0
20070119,11.35,11.48,11,11.19,23103,0
20070122,11.34,11.48,10.9,11.2,32112,0
20070123,11.21,11.35,11,11.15,12878,0
20070124,10.95,11.09,10.7,11.09,8765,0
20070125,10.84,11,10.75,10.95,11828,0
20070126,10.75,11,10.75,11,9017,0
20070129,11.09,11.12,10.91,11,5095,0
20070130,10.95,11.05,10.6,10.8,19021,0
20070131,10.85,10.85,10.8,10.8,2114,0
20070201,10.96,11.11,10.91,10.91,21023,0
20070202,10.95,11.09,10.86,11.02,14688,0
20070205,11,11.02,10.9,10.95,5289,0
20070206,10.95,10.95,10.75,10.8,9327,0
20070207,10.8,11,10.75,10.97,4459,0
20070208,10.8,10.9,10.77,10.84,12140,0
20070209,10.94,10.95,10.8,10.95,4877,0
20070212,10.95,10.95,10.75,10.76,2448,0
20070213,10.85,10.94,10.76,10.94,2110,0
20070214,10.9,11.1,10.9,11.08,11378,0
20070215,11.12,11.3,11.08,11.15,18758,0
20070216,11.22,11.7,11.14,11.7,56010,0
20070219,11.8,11.95,11.51,11.71,30111,0
20070220,11.7,11.7,11.4,11.6,9764,0
20070221,11.6,11.6,11.12,11.35,18429,0
20070222,11.2,11.55,11.2,11.5,9330,0
20070223,11.3,11.4,11.05,11.34,17309,0
20070226,11,11.37,10.95,11.29,13366,0
20070227,11.05,11.25,10.4,10.92,15548,0
20070228,10.35,10.79,10.35,10.68,14786,0
20070301,10.9,10.9,10.55,10.7,14575,0
20070302,10.5,10.78,10.39,10.42,30011,0
20070305,10.22,10.22,9.58,9.71,18368,0
20070306,9.77,9.8,9.65,9.79,10178,0
20070307,9.79,9.99,9.79,9.82,6489,0
20070308,9.85,10.19,9.82,10.19,21088,0
20070309,10.19,10.38,9.91,10,17465,0
20070312,10.15,10.19,9.9,10,5007,0
20070313,9.99,9.99,9.61,9.75,4047,0
20070314,9.65,9.74,9.51,9.53,11401,0
20070315,9.6,9.9,9.51,9.8,4393,0
20070316,9.75,9.84,9.6,9.8,10523,0
20070319,9.8,9.89,9.7,9.85,13769,0
20070320,9.99,10.29,9.85,10,14233,0
20070321,10.13,10.3,10.11,10.16,11093,0
20070322,10.31,10.36,10.2,10.2,7204,0
20070323,10.3,10.3,9.95,10.1,8215,0
20070326,10.16,10.4,10.16,10.16,26507,0
20070327,10.39,11.95,10.39,11.19,129159,0
20070328,11.35,11.35,10.85,10.9,22875,0
20070329,11,11.36,10.5,11.17,19778,0
20070330,11.2,11.2,10.95,11,7362,0
20070402,10.9,11.3,10.9,11.2,21118,0
20070403,11.4,12.5,11.4,12,123363,0
20070404,12.21,12.4,12,12.15,55316,0
20070405,12.22,12.22,11.81,12.17,18441,0
20070410,12.2,12.21,11.85,12,22843,0
