Date,Open,High,Low,Close,Volume,OpenInt
20050609,31.76,31.76,29.78,29.78,1508266,0
20050610,29.88,30.28,29.28,29.28,570376,0
20050613,29.78,29.88,29.28,29.48,179709,0
20050614,29.68,29.68,29.48,29.48,152381,0
20050615,29.48,29.58,29.28,29.48,134694,0
20050616,29.48,29.48,28.99,28.99,144032,0
20050617,29.18,29.18,28.79,28.89,240468,0
20050620,28.79,28.89,28.59,28.79,193213,0
20050621,28.79,28.89,28.59,28.79,275548,0
20050622,28.89,29.68,28.89,29.58,251680,0
20050623,29.78,30.08,29.38,29.38,186132,0
20050624,29.48,29.68,29.18,29.18,35833,0
20050627,29.18,29.58,29.08,29.48,18934,0
20050628,29.58,29.58,29.18,29.48,18097,0
20050629,29.68,29.68,29.28,29.38,29360,0
20050630,29.48,29.48,29.08,29.38,47079,0
20050701,29.48,29.48,29.18,29.28,33740,0
20050704,29.28,29.68,29.28,29.48,40579,0
20050705,29.58,29.98,29.48,29.78,79470,0
20050706,29.78,29.78,29.58,29.68,19520,0
20050707,29.78,29.78,29.28,29.68,74408,0
20050708,29.78,31.07,29.78,30.77,955529,0
20050711,31.17,31.57,30.67,30.87,575301,0
20050712,30.97,30.97,30.77,30.87,206602,0
20050713,30.87,31.27,30.87,31.27,401047,0
20050714,31.37,31.47,31.17,31.27,322420,0
20050715,31.17,31.17,30.97,31.07,196047,0
20050718,30.97,31.07,30.38,30.47,189488,0
20050719,30.38,30.57,30.08,30.47,166869,0
20050720,30.47,30.77,30.08,30.18,165787,0
20050721,30.28,30.47,29.78,29.78,235347,0
20050722,29.68,29.78,29.38,29.48,216429,0
20050725,29.68,30.57,29.68,30.57,244216,0
20050726,30.57,31.07,30.57,31.07,508052,0
20050727,31.07,31.17,30.87,31.17,326509,0
20050728,31.17,31.37,31.07,31.37,673075,0
20050729,31.37,31.37,31.07,31.17,235311,0
20050801,31.07,31.17,30.77,30.97,179647,0
20050802,31.07,31.47,31.07,31.27,988670,0
20050803,31.27,31.57,30.97,31.47,621516,0
20050804,31.37,31.47,31.17,31.37,219127,0
20050805,31.37,31.37,31.07,31.17,135868,0
20050808,31.27,32.36,31.27,32.36,1114936,0
20050809,32.36,32.86,32.36,32.66,795455,0
20050810,32.76,33.95,32.76,33.65,1607428,0
20050811,33.85,34.64,33.75,34.54,1635072,0
20050812,34.45,34.45,33.75,33.85,992944,0
20050816,33.85,34.25,33.65,33.75,1046642,0
20050817,33.85,33.85,33.55,33.75,440118,0
20050818,33.65,33.75,32.96,33.06,389999,0
20050819,32.86,33.35,32.36,33.25,374000,0
20050822,33.45,33.85,33.45,33.65,362437,0
20050823,33.65,33.65,33.45,33.55,132343,0
20050824,33.55,33.75,33.45,33.65,391856,0
20050825,33.55,33.65,33.35,33.35,96851,0
20050826,33.25,33.55,33.15,33.55,164990,0
20050829,33.55,34.05,33.35,33.95,308421,0
20050830,34.05,34.54,34.05,34.15,639340,0
20050831,34.15,34.64,34.15,34.54,712130,0
20050901,34.94,36.23,34.94,35.93,1922993,0
20050902,36.13,37.22,36.13,36.83,2217419,0
20050905,36.63,36.63,36.13,36.33,442908,0
20050906,36.23,36.63,35.93,36.63,344418,0
20050907,36.73,36.83,36.03,36.13,319484,0
20050908,36.03,36.13,35.64,36.03,314137,0
20050909,36.23,36.73,36.23,36.63,249656,0
20050912,36.83,37.42,36.83,37.22,360029,0
20050913,37.82,38.81,37.42,37.42,863765,0
20050914,37.22,38.12,36.83,38.12,288856,0
20050915,38.22,39.51,38.22,38.71,1101641,0
20050916,39.21,39.51,38.91,39.41,562847,0
20050919,39.41,40.8,39.01,40.8,754047,0
20050920,41.2,42.19,39.51,40.6,962244,0
20050921,40,40.4,39.9,40,600110,0
20050922,40.5,41.79,40.4,40.7,855332,0
20050923,41,41.2,39.61,40.4,1073171,0
20050926,39.71,40.7,39.51,40.6,540255,0
20050927,40.7,41.89,40.2,41.79,826974,0
20050928,42.09,42.68,40.6,40.7,931262,0
20050929,40.7,41.39,40.3,41.2,420221,0
20050930,41.69,42.29,41.59,42.19,1092253,0
20051003,42.29,43.88,42.29,43.38,1461548,0
20051004,43.88,44.87,43.88,44.87,755839,0
20051005,44.27,44.57,43.68,43.68,1391540,0
