Date,Open,High,Low,Close,Volume,OpenInt
20140411,19.29,19.29,18.15,18.5,136772,0
20140414,18.39,18.39,17.85,18,37039,0
20140415,18,18.17,17.9,17.99,3312,0
20140416,17.99,18.13,17.9,17.9,3257,0
20140417,17.8,18.2,17.8,18,3553,0
20140422,18.29,18.59,18.05,18.55,2162,0
20140423,18.5,18.6,18.4,18.55,7017,0
20140424,18.55,18.55,18.54,18.54,910,0
20140425,18.38,18.5,18,18.5,8832,0
20140428,18.55,18.55,18.01,18.49,817,0
20140429,18.49,18.49,18,18.49,1459,0
20140430,18.55,18.55,18,18.39,3128,0
20140502,18.48,18.48,18,18,3589,0
20140505,18.4,18.46,18.1,18.1,691,0
20140506,18.1,18.3,18,18.1,1218,0
20140507,18,18.01,17.78,17.94,6702,0
20140508,17.94,17.95,17.91,17.91,1536,0
20140509,17.92,17.92,17.7,17.7,721,0
20140512,17.7,17.79,16.72,17.2,58060,0
20140513,17.39,17.39,17,17.18,2527,0
20140514,17.02,17.02,16.9,17.02,13923,0
20140515,17,17.5,17,17.5,303,0
20140516,17.49,17.5,17,17.49,2293,0
20140519,17.45,17.45,17.45,17.45,10,0
20140520,17.11,17.15,16.68,17.12,1514,0
20140521,17.11,17.13,16.65,17.05,777,0
20140522,17.14,17.94,17,17.94,3188,0
20140523,17.85,17.99,17.85,17.99,1011,0
20140526,17.99,18.05,17.99,18.05,5,0
20140527,18,18,17.75,17.98,669,0
20140528,17.99,17.99,17.99,17.99,10,0
20140529,17.8,17.8,17.6,17.7,433,0
20140530,17.6,18.49,17.3,18.49,5048,0
20140602,18.45,18.45,17.8,17.94,1155,0
20140603,18,18,17.04,17.85,251,0
20140604,17.2,17.85,17.2,17.8,712,0
20140605,17.4,17.65,17.4,17.65,387,0
20140606,17.8,18.25,17.62,17.62,11675,0
20140609,17.94,18.35,17.5,18.35,4039,0
20140610,18.47,18.48,18.3,18.3,2820,0
20140611,18.3,18.3,18,18.23,1112,0
20140612,18.23,18.23,18.2,18.22,314,0
20140613,18,18.21,18,18.21,743,0
