Date,Open,High,Low,Close,Volume,OpenInt
20090625,51.261,53.317,50.348,52.541,3701181,0
20090626,52.952,55.739,52.952,53.637,485791,0
20090629,54.596,54.734,53.637,54.368,92411,0
20090630,54.825,56.15,54.825,55.693,200798,0
20090701,54.916,56.013,54.916,55.602,61102,0
20090702,55.739,55.739,53.454,53.82,152800,0
20090703,52.906,53.637,52.541,52.997,38281,0
20090706,52.541,53.728,50.804,53.226,73041,0
20090707,52.952,53.089,52.449,52.997,137085,0
20090708,52.449,52.769,51.353,52.358,10955,0
20090709,52.129,52.997,52.084,52.541,154149,0
20090710,52.586,52.997,52.449,52.541,99699,0
20090713,51.17,52.541,51.17,52.084,6352,0
20090714,52.449,53.911,52.266,53.911,18151,0
20090715,53.911,55.327,53.911,55.282,31402,0
20090716,54.825,55.739,54.825,55.282,66312,0
20090717,55.282,55.739,54.916,55.373,17205,0
20090720,55.282,56.104,54.459,56.104,35903,0
20090721,55.739,56.424,54.871,56.15,16610,0
20090722,54.871,56.104,54.871,55.83,95225,0
20090723,55.739,57.749,55.282,57.338,37903,0
20090724,57.749,62.592,57.383,61.13,51377,0
20090727,62.318,63.917,60.353,61.678,69915,0
20090728,62.135,62.135,60.856,61.13,65934,0
20090729,60.581,62.135,60.307,62.135,53363,0
20090730,62.181,62.546,62.135,62.455,35305,0
20090731,63.003,63.049,62.546,63.049,69862,0
20090803,63.231,63.78,62.135,62.592,43580,0
20090804,63.14,63.14,60.81,61.724,29367,0
20090805,61.313,61.724,61.221,61.221,27735,0
20090806,61.313,61.404,60.856,61.404,42499,0
20090807,60.856,63.597,60.856,63.506,9972,0
20090810,63.506,63.962,62.409,63.962,18499,0
20090811,63.506,65.333,63.506,63.962,21526,0
20090812,63.506,63.506,62.043,63.506,22736,0
20090813,63.506,66.658,63.506,66.247,41183,0
20090814,66.704,66.704,65.881,65.881,14914,0
20090817,64.785,64.785,63.597,63.962,13480,0
20090818,63.962,63.962,63.049,63.688,27345,0
20090819,65.15,65.15,63.414,64.876,2189,0
20090820,64.876,65.79,64.876,65.79,4146,0
20090821,66.247,66.704,65.15,66.704,41520,0
20090824,66.704,66.704,65.607,65.79,22139,0
20090825,66.612,66.612,63.825,64.237,41671,0
20090826,64.237,65.333,63.78,63.871,10521,0
20090827,63.78,63.962,62.82,63.962,96400,0
20090828,63.962,65.333,63.962,64.693,16254,0
20090831,64.693,65.15,63.78,65.15,5111,0
20090901,64.876,65.607,62.226,63.78,7904,0
20090902,62.226,62.226,60.307,61.678,21736,0
20090903,60.856,63.049,60.856,62.957,4610,0
20090904,62.957,63.962,61.404,63.049,34499,0
20090907,61.952,63.049,61.952,62.226,14177,0
20090908,63.871,63.871,60.764,61.176,56218,0
20090909,61.176,61.176,59.851,60.307,41556,0
20090910,60.353,61.678,57.658,58.663,38644,0
20090911,59.394,60.307,58.937,60.307,15958,0
20090914,60.033,60.033,57.932,58.206,34944,0
20090915,58.571,59.851,58.571,58.937,24270,0
20090916,59.851,60.49,59.394,60.49,11226,0
20090917,60.81,62.957,60.81,62.775,18758,0
20090918,62.181,63.78,62.135,63.78,10379,0
20090921,63.049,65.333,63.049,64.968,18251,0
20090922,64.054,67.161,64.054,67.161,121419,0
20090923,66.704,67.526,65.333,67.161,11144,0
20090924,66.018,67.617,66.018,67.526,17277,0
20090925,66.704,67.161,65.927,67.161,7414,0
20090928,66.064,67.206,66.064,67.206,12263,0
20090929,67.206,67.206,66.704,67.161,54355,0
20090930,66.11,67.435,66.064,67.343,10826,0
20091001,67.343,67.435,66.293,66.749,6302,0
20091002,66.247,67.343,65.79,67.343,9487,0
20091005,66.704,68.485,66.612,67.526,29674,0
20091006,68.074,68.531,67.526,68.485,8893,0
20091007,68.531,68.531,66.064,68.074,3685,0
20091008,67.617,67.937,66.338,67.892,4999,0
20091009,67.983,69.628,67.161,68.531,19722,0
20091012,68.897,70.816,67.617,70.816,22473,0
20091013,71.09,71.09,68.623,69.491,10388,0
20091014,69.902,69.902,69.354,69.902,127658,0
20091015,70.267,70.267,68.577,69.582,39941,0
20091016,69.171,69.445,68.577,68.988,3911,0
20091019,69.354,69.354,66.704,68.074,4738,0
20091020,67.526,68.074,65.516,67.343,18009,0
20091021,67.161,67.617,65.607,67.617,7500,0
20091022,65.79,68.074,65.79,68.074,50398,0
20091023,67.617,67.617,67.161,67.617,16268,0
20091026,66.749,68.531,66.704,68.531,2305,0
20091027,67.617,67.617,66.978,67.526,3153,0
20091028,68.988,69.902,67.252,67.617,12870,0
20091029,67.617,68.805,67.161,68.805,9869,0
20091030,68.988,68.988,68.074,68.988,12560,0
