Date,Open,High,Low,Close,Volume,OpenInt
20100810,14.15,14.15,13.21,13.48,64674,0
20100811,13.75,13.75,12.53,13.45,16735,0
20100812,13.5,13.54,13.3,13.5,13678,0
20100813,13.41,13.51,13.4,13.4,3801,0
20100816,13.45,13.45,13.1,13.39,18993,0
20100817,13.33,13.4,13.3,13.32,9250,0
20100818,13,13.2,12.6,13.18,20333,0
20100819,13.1,13.1,12.81,12.9,2175,0
20100820,12.81,13.02,12.81,12.9,6755,0
20100823,12.5,12.95,12.5,12.8,5635,0
20100824,12.9,12.94,12.9,12.94,90,0
20100825,12.9,12.9,12.9,12.9,373,0
20100826,12.96,12.96,12.9,12.9,1390,0
20100827,12.95,12.95,12.8,12.84,4538,0
20100830,12.95,12.95,12.9,12.9,343,0
20100831,12.96,12.96,12.9,12.9,450,0
20100901,12.9,12.9,12.9,12.9,1120,0
20100902,12.91,12.91,12.64,12.84,3794,0
20100903,13,13,12.87,12.87,2655,0
20100906,12.6,12.6,12.35,12.5,5971,0
20100907,12.87,12.87,12.3,12.45,2356,0
20100908,12.2,12.4,12.2,12.4,4526,0
20100909,12.5,12.85,12.5,12.85,6227,0
20100910,12.85,12.85,12.85,12.85,450,0
20100913,12.8,12.8,12.41,12.78,745,0
20100914,12.78,13.37,12.78,13.28,3573,0
20100915,13.28,13.28,13.28,13.28,289,0
20100916,13.05,13.29,13,13.29,1667,0
20100917,13.22,13.29,13.22,13.25,2000,0
20100920,13.3,13.3,13.01,13.29,602,0
20100921,13.15,13.15,12.7,12.98,5079,0
20100922,12.8,12.8,12.7,12.7,3839,0
20100923,12.42,12.45,12.4,12.4,393,0
20100924,12.37,13.38,12.37,12.8,4572,0
20100927,12.99,13.1,12.7,12.85,7674,0
20100928,12.85,12.9,12.75,12.88,1501,0
20100929,13,13,12.97,13,620,0
20100930,12.99,13.25,12.7,13.24,40376,0
20101001,13.56,14.8,13.5,14.79,66556,0
20101004,14.85,16.93,14.85,16.43,34909,0
20101005,16.92,16.92,15.55,16,12053,0
20101006,16.26,16.27,15.8,15.8,5717,0
20101007,16,16,15.68,16,3300,0
20101008,16,16,15,15.9,4176,0
20101011,16.47,16.47,15.9,15.99,46853,0
20101012,15.99,15.99,15.83,15.98,22062,0
20101013,16.47,16.5,15,15.7,26760,0
20101014,16.39,16.4,15.3,15.3,7001,0
20101015,15.29,15.95,15.2,15.68,8275,0
20101018,15.95,16,15.7,15.8,26864,0
20101019,15.95,15.95,15.3,15.69,10883,0
20101020,15.71,15.95,15.16,15.48,9962,0
20101021,15.5,15.69,15.2,15.48,5110,0
20101022,15.45,15.46,15.15,15.36,6698,0
20101025,15.49,15.87,15.41,15.7,2587,0
20101026,15.7,15.9,15.5,15.7,21564,0
20101027,15.75,15.95,15.54,15.7,10161,0
20101028,15.7,15.9,15.5,15.65,11837,0
20101029,16.29,17.91,15.1,15.28,177572,0
20101102,15.65,15.65,15.05,15.1,83683,0
20101103,15.2,15.48,15.01,15.35,47168,0
20101104,15.4,15.48,15.21,15.44,41501,0
20101105,15.48,15.48,15.36,15.4,65347,0
20101108,15.49,15.72,15.49,15.59,22721,0
20101109,15.79,16.99,15.73,16.7,62487,0
20101110,16.7,16.75,16.16,16.38,11335,0
20101112,16.24,16.35,16,16.34,6799,0
20101115,16.35,16.35,15.9,16.16,5556,0
20101116,16.3,16.6,15.97,16.3,25480,0
20101117,16.43,16.5,15.96,15.99,10216,0
20101118,16,16.41,15.87,16.39,14954,0
20101119,16.34,16.34,15.88,15.99,11400,0
20101122,16,16.19,15.81,16.19,2540,0
20101123,15.83,15.94,15.22,15.4,16368,0
20101124,15.25,16,15.13,16,8656,0
20101125,16.48,16.48,15.5,15.52,6518,0
20101126,15.78,15.78,15.25,15.47,9190,0
20101129,15.45,15.75,15.16,15.5,1705,0
20101130,15.5,15.68,15.25,15.31,905,0
20101201,15.32,15.64,15.11,15.46,29220,0
20101202,15.2,15.7,15.2,15.4,10698,0
20101203,15.5,15.93,15.5,15.88,15790,0
20101206,15.99,16.44,15.95,16.42,21620,0
20101207,16.39,17.58,16.1,17.22,53658,0
20101208,17.2,17.47,16.9,16.99,38364,0
20101209,17.34,17.34,17,17.05,1765,0
20101210,16.9,17.3,16.7,17,981,0
20101213,17,17,16.95,17,2735,0
20101214,16.98,17.97,16.98,17.3,26638,0
20101215,17.4,18,16.7,16.8,92058,0
20101216,16.8,16.8,16.5,16.5,4308,0
20101217,16.45,16.5,16.3,16.49,3307,0
20101220,16.35,16.44,15.8,15.99,5846,0
20101221,15.88,16.84,15.85,16.79,1867,0
20101222,16.75,16.75,15.25,15.35,16673,0
20101223,15.75,15.75,15.02,15.02,28762,0
20101227,15.1,15.2,15.1,15.11,944,0
20101228,15.22,15.41,15.19,15.4,3208,0
20101229,15.21,15.35,15.15,15.34,215,0
20101230,15.2,15.2,15.03,15.1,5352,0
20101231,15.26,15.69,15.26,15.69,3500,0
20110103,15.66,15.66,15,15.52,5785,0
20110104,15.3,15.3,15.07,15.07,490,0
20110105,15.28,15.28,14.66,14.97,3214,0
20110107,14.96,14.97,14.9,14.9,2000,0
20110110,14.56,14.57,14.52,14.52,1183,0
20110111,14.51,14.79,14.27,14.66,690,0
20110112,14.66,14.86,14.3,14.3,1551,0
20110113,14.03,14.2,13.62,14.2,3760,0
20110114,14,14,14,14,900,0
20110117,14,14.15,14,14.15,768,0
20110118,14,14.29,13.57,14.25,6717,0
20110119,14,14.19,13.66,14.19,399,0
20110120,14,14,13.56,13.99,3982,0
20110121,13.88,13.99,13.88,13.99,453,0
20110124,13.7,14.46,13.68,14.25,800,0
20110125,14,14.2,13.6,14.2,4954,0
20110126,13.6,14.19,13.3,14.18,3657,0
20110127,14.19,14.19,13.95,14.18,612,0
20110128,14,14,13.65,13.65,2753,0
20110131,13.5,13.51,12.7,12.7,12623,0
20110201,12.7,13.6,12.7,13.35,3513,0
20110202,12.91,13.36,12.88,13,1586,0
20110203,13,13,12.51,13,1200,0
20110204,13,13,12.5,12.7,7782,0
20110207,12.51,12.99,12.29,12.99,3865,0
20110208,12.81,13.1,12.75,13.1,14004,0
20110209,13.39,14.75,13.35,13.88,7844,0
20110210,13.97,14,13.7,14,3650,0
20110211,14,14.14,13.37,14.14,7728,0
20110214,13.73,13.84,13.3,13.67,4049,0
20110215,13.64,13.64,13.36,13.59,302,0
20110216,13.67,13.67,13,13.47,1940,0
20110218,12.72,12.89,12.41,12.89,7866,0
20110221,12.53,12.74,12.46,12.46,6204,0
20110222,12.49,12.7,12.46,12.7,1726,0
20110223,12.4,12.58,12.26,12.58,5126,0
20110224,12.36,13.25,12.36,13.14,10650,0
20110225,13.13,13.96,13.13,13.96,6798,0
20110228,13.8,13.8,13.5,13.79,487,0
20110301,13.77,13.99,13.55,13.94,4589,0
20110302,13.63,13.85,13.6,13.85,834,0
20110303,13.49,14.14,13.49,14.14,3989,0
20110304,14.18,14.18,13.7,14.1,1085,0
20110307,13.55,13.75,13.5,13.7,3111,0
20110308,13.6,13.6,13.5,13.5,865,0
20110309,13.21,13.69,13.21,13.68,285,0
20110310,13.59,13.66,13.32,13.66,1210,0
20110311,13.2,13.56,13.2,13.56,1111,0
20110314,13.6,13.6,12.95,13.3,3469,0
20110315,12.95,13.15,12.3,12.95,5672,0
20110316,12.96,13.42,12.95,12.95,3554,0
20110317,12.98,13.28,12.98,13.28,2293,0
20110318,13.1,13.1,13,13,1255,0
20110321,13,13.27,12.52,12.52,3364,0
20110322,12.64,13.35,12.53,13.35,752,0
20110323,13.32,13.32,13.1,13.2,1174,0
20110324,13.2,13.2,12.8,13,2064,0
20110325,13,13.2,12.8,13.2,805,0
20110328,12.93,12.93,12.75,12.93,1947,0
20110329,12.7,12.91,12.7,12.91,822,0
20110330,12.71,12.92,12.65,12.92,810,0
20110331,12.71,12.9,12.6,12.9,2990,0
20110401,12.88,12.88,12,12.63,9422,0
20110404,12.5,12.5,12.12,12.21,7459,0
20110405,12.21,12.21,12.02,12.02,8807,0
20110406,12.05,12.5,12.02,12.2,4552,0
20110407,12,12.17,11.84,11.91,6146,0
20110408,11.81,11.98,11.34,11.49,10805,0
20110411,11.69,11.7,10.53,10.7,7580,0
20110412,11.26,11.75,11.1,11.35,27826,0
20110413,11.94,11.94,11.13,11.32,11800,0
20110414,11.14,11.31,11.11,11.25,3409,0
20110415,11.05,11.21,11,11.1,5372,0
20110418,11.1,11.14,10.85,11.1,1935,0
20110419,10.85,11.07,10.85,10.85,948,0
20110420,10.65,10.65,10.63,10.65,938,0
20110421,10.97,10.97,10.53,10.6,8603,0
20110426,10.99,10.99,10.98,10.98,3078,0
20110427,10.72,11.3,10.7,10.95,2185,0
20110428,10.76,11.21,10.76,10.85,840,0
20110429,11,11,10.89,10.95,1051,0
20110502,11,11,11,11,2020,0
20110504,11.22,11.6,11.01,11.6,2828,0
20110505,11.4,11.9,10.85,11.48,1579,0
20110506,11.05,11.1,11.01,11.1,276,0
20110509,10.88,11.21,10.88,11.21,160,0
20110510,11.18,11.21,11.18,11.21,303,0
20110511,11.3,11.45,11.3,11.45,150,0
20110512,11.48,11.79,11.48,11.5,2615,0
20110513,11.6,11.65,11,11.1,6874,0
20110516,10.9,10.9,10.89,10.9,615,0
20110517,10.51,10.6,10.45,10.6,2261,0
20110518,10.4,10.77,10.35,10.77,560,0
20110519,10.69,10.69,10.69,10.69,200,0
20110520,10.14,10.14,9.79,9.85,9254,0
20110523,9.9,9.9,9.3,9.68,5225,0
20110524,9.77,9.79,9.7,9.7,1052,0
20110525,9.7,9.85,9.7,9.85,2235,0
20110526,9.85,9.85,9.2,9.48,5246,0
20110527,9.25,9.47,9.25,9.47,444,0
20110530,9.26,9.35,9.05,9.35,3213,0
20110531,9.31,9.8,9.13,9.8,2922,0
20110601,9.22,9.31,9.02,9.31,3756,0
20110602,9.24,9.24,9.22,9.23,2010,0
20110603,9.04,9.27,9.01,9.24,2140,0
20110606,9.17,9.17,9.12,9.16,630,0
20110607,9.1,9.16,8.8,8.8,6625,0
20110608,8.8,8.8,8.13,8.4,3900,0
20110609,8.87,8.87,8.35,8.6,2572,0
20110610,8.4,8.6,8.36,8.6,2343,0
20110613,8.6,8.89,8.6,8.89,721,0
20110614,8.89,9.27,8.89,9.27,455,0
20110615,9.65,10.4,9.65,10.34,6239,0
20110616,10,10.28,9.62,10.27,907,0
20110617,10.28,10.4,10.28,10.4,1572,0
20110620,10.25,11.49,10.25,11.48,3754,0
20110621,11.48,11.48,10.57,10.57,1250,0
20110622,10.14,10.6,10.14,10.3,1364,0
20110624,10.11,10.11,10.11,10.11,626,0
20110627,10.2,10.33,10.12,10.33,472,0
20110628,10.16,10.19,9.81,10.19,490,0
20110629,10.19,10.19,10.19,10.19,170,0
20110630,10.28,10.28,9.82,10.23,1559,0
20110701,9.9,10.95,9.8,10.54,2074,0
20110704,10.5,10.73,10.5,10.73,200,0
20110705,10.6,10.6,10.2,10.2,1060,0
20110706,10.72,10.79,10.72,10.79,1000,0
20110707,10.7,10.7,10.25,10.31,717,0
20110708,10.68,10.68,10.68,10.68,100,0
20110711,10.46,10.68,10.46,10.47,499,0
20110712,10.25,10.26,9.8,10.26,3005,0
20110713,10.5,10.5,10.15,10.15,750,0
20110714,10.15,10.15,10.15,10.15,50,0
20110715,10.15,10.39,10.15,10.39,177,0
20110719,10.2,10.2,10.15,10.15,344,0
20110720,10.15,10.15,10,10,663,0
20110721,9.95,10.79,9.95,10.79,1541,0
20110722,10.02,10.87,10.02,10.5,850,0
20110725,10.14,10.14,10.13,10.13,420,0
20110726,10.13,10.13,10.1,10.1,849,0
20110727,10.05,10.17,10.05,10.17,1469,0
20110728,10.05,10.05,10.05,10.05,130,0
20110729,10.28,10.6,10.28,10.6,950,0
20110801,10.98,10.98,10.98,10.98,300,0
20110802,10.56,10.56,10.56,10.56,153,0
20110803,10.5,10.5,10.15,10.15,1699,0
20110804,10.39,10.4,9.8,9.8,4446,0
20110805,9.75,10,9.1,10,3299,0
20110808,9.3,9.5,9,9,6621,0
20110809,9,9,8.6,8.6,2450,0
20110810,8.6,9,8.52,8.8,1416,0
20110811,8.99,9,8.99,9,140,0
20110812,9.39,9.39,9.39,9.39,120,0
20110816,9.8,10.18,9.65,10.18,1494,0
20110818,10.45,10.45,9.51,9.7,847,0
20110819,10.15,10.25,10,10.1,850,0
20110822,10.4,10.45,10.2,10.45,1294,0
20110823,10.12,10.2,9.65,10.2,2944,0
20110825,10,10,10,10,50,0
20110826,9.4,9.97,9.4,9.97,620,0
20110829,9.5,10.1,9.5,10.1,1255,0
20110830,10,10.15,10,10.15,240,0
20110831,10.1,10.35,10.1,10.35,1095,0
20110901,10.25,10.45,10.25,10.45,1270,0
20110902,10.6,10.99,10.6,10.65,1042,0
20110905,10.6,11,10.02,10.03,4450,0
20110906,10.2,10.49,10.05,10.49,373,0
20110907,10.11,10.11,10.08,10.11,1411,0
20110908,10.06,10.06,9.81,9.81,658,0
20110909,10,10,9.99,10,318,0
20110912,9.8,9.8,9.4,9.7,433,0
20110913,9.98,9.98,9.7,9.7,200,0
20110914,9.52,10,9.52,9.8,1016,0
20110915,9.75,10.3,9.75,10.28,263,0
20110916,10.43,10.43,10.43,10.43,2,0
20110920,9.64,10.01,9.64,10.01,440,0
20110921,10.01,10.01,9.55,9.6,3711,0
20110922,9.6,9.6,9.5,9.5,300,0
20110923,9.34,10,9.34,9.7,700,0
20110926,9.7,9.84,9.7,9.84,151,0
20110927,9.79,9.97,9.79,9.8,1000,0
20110928,9.49,9.7,9.4,9.69,1988,0
20110929,9.5,9.79,9.5,9.77,650,0
20111003,9.5,9.5,9,9.49,2164,0
20111004,9.59,9.59,9.59,9.59,200,0
20111005,9.5,9.5,9.5,9.5,100,0
20111006,9.5,9.5,9.5,9.5,100,0
20111010,9.5,9.65,9.5,9.5,416,0
20111011,9.5,9.5,9.23,9.31,264,0
20111012,9.23,9.23,9.23,9.23,66,0
20111013,9.51,9.51,9.5,9.5,350,0
20111014,9.59,9.63,9.31,9.57,1634,0
20111017,9.67,9.7,9.66,9.7,1392,0
20111018,10.16,10.16,10.16,10.16,10,0
