Date,Open,High,Low,Close,Volume,OpenInt
20071001,45,48,41.89,44,27619,0
20071002,44,44,42,42,11132,0
20071003,43,44.99,41.02,44.99,8374,0
20071004,44.99,46.98,44.99,46.5,5111,0
20071005,46,46,44.5,44.5,1949,0
20071008,45.95,45.95,43.5,44,4568,0
20071009,44.67,44.67,44,44.5,1486,0
20071010,44.45,44.45,43,43,605,0
20071011,43,44,42.58,43.5,3766,0
20071012,43.9,44.6,43.9,44.6,2270,0
20071015,44.6,44.6,43.4,43.4,587,0
20071016,42.5,43,42.5,42.99,1656,0
20071017,41.52,43,41.52,42.5,192,0
20071018,41.52,42,41.5,42,686,0
20071019,42.6,42.6,42,42.1,1013,0
20071022,41,42.45,41,42.44,249,0
20071023,42.45,43.99,42,43.99,10254,0
20071024,44.5,44.5,43.3,43.9,5479,0
20071025,43.89,43.89,43.7,43.79,360,0
20071026,43.6,43.99,43.5,43.9,29330,0
20071029,43.5,43.9,43.5,43.89,3712,0
20071030,43.7,43.7,43.6,43.7,88,0
20071031,42.5,42.5,42.5,42.5,30,0
20071102,43,43,43,43,2419,0
20071105,42.01,43.5,41.99,43.5,830,0
20071106,43.5,43.5,43.5,43.5,500,0
20071107,42,42,40,40,1380,0
20071108,38.5,40,38.5,40,983,0
20071109,40.5,40.5,40.5,40.5,1200,0
20071112,40.9,40.9,39,40.49,1425,0
20071113,39.8,40.6,39.8,40.6,450,0
20071114,40.01,40.01,40,40,450,0
20071115,40,40,38.5,40,1610,0
20071116,38.05,40,38.05,40,710,0
20071119,40.3,40.35,40.3,40.35,180,0
20071120,39,40.4,39,40.4,2300,0
20071121,40.3,40.3,40.3,40.3,54,0
20071122,39.5,40.05,39.5,40.05,344,0
20071126,40.29,40.29,39.95,40.2,264,0
20071127,40.29,40.29,40.19,40.2,300,0
20071128,40.1,40.1,40.1,40.1,22,0
20071129,40.3,40.3,40,40,430,0
20071130,39.39,39.39,39.05,39.05,228,0
20071203,39.3,39.3,39.3,39.3,100,0
20071204,40.29,40.29,39,39.95,150,0
20071205,39.9,39.9,39.79,39.8,193,0
20071206,39,39,39,39,50,0
20071207,39.99,39.99,39.8,39.8,175,0
20071210,40,40.3,40,40.3,164,0
20071211,40.3,40.3,40,40,800,0
20071214,40.1,40.3,40.1,40.3,1173,0
20071217,39.1,39.5,39.1,39.5,800,0
20071218,38.8,40,38.8,40,445,0
20071219,39,40.5,39,40.5,7850,0
20071220,40.3,41.01,40.2,41,1515,0
20071221,40.8,41,40.8,41,463,0
20071227,41.79,41.79,41.79,41.79,35,0
20071228,41.79,42.49,41.79,42,11643,0
20080102,42.3,42.3,42.3,42.3,1233,0
20080103,42.3,42.3,42,42.3,1520,0
20080104,41.5,41.5,41.5,41.5,149,0
20080107,40.01,40.01,40,40,150,0
20080109,40,40,39,40,573,0
20080110,38.7,38.7,38.7,38.7,242,0
20080111,38,38,36.8,36.8,1385,0
20080114,36,36,34.7,36,1262,0
20080115,35,35,33.8,35,7940,0
20080116,33.9,33.9,32.7,33.8,561,0
20080117,33.8,33.8,32.8,32.8,1169,0
20080118,32.7,32.7,31.8,32.7,778,0
20080121,32.6,32.6,31.7,31.7,125,0
20080122,30,30,30,30,500,0
20080123,29.3,30,29.3,30,4743,0
20080124,31,31,31,31,500,0
20080125,31.5,31.5,30,30,747,0
20080128,29,29,29,29,336,0
20080129,28.5,30.1,28.5,30.1,845,0
20080130,31,31,30,30.4,820,0
20080201,33.4,33.4,31.17,31.17,286,0
20080205,31,31.2,31,31.2,51,0
20080206,31,31,30,30,77,0
20080207,30.39,30.39,30.39,30.39,20,0
20080208,29.6,30.6,29.6,30.6,51,0
20080211,29.6,30,29,30,802,0
20080213,30.2,30.2,30.2,30.2,1,0
20080215,30,30.4,29.45,30.4,731,0
20080218,30.4,31.5,30.4,31.5,1500,0
20080219,32,32,32,32,15,0
20080220,31.5,31.5,31.5,31.5,100,0
20080221,31.9,31.9,31,31,507,0
20080222,31,31,31,31,200,0
20080225,31.5,31.5,31.5,31.5,69,0
20080226,31.5,31.5,31.5,31.5,580,0
20080227,32,32,31,31,145,0
20080229,30,30,30,30,500,0
20080303,29,29,27,27,3147,0
20080304,27,29,27,29,1230,0
20080305,29.2,30,29,29,1360,0
20080306,28.6,28.7,27,28.7,1007,0
20080307,28,29,28,29,41,0
20080310,29.5,29.5,27.8,28.5,753,0
20080311,28.48,29.3,28.31,29.3,8579,0
20080312,29,29.7,28.7,28.7,446,0
20080313,28.5,28.5,28.01,28.5,1000,0
20080317,27.51,28.5,27.5,27.5,602,0
20080318,28,28,28,28,15,0
20080319,28.5,28.5,28.5,28.5,31,0
20080325,28.5,28.5,28.5,28.5,20,0
20080328,28.5,28.5,28.5,28.5,40,0
20080331,28,28,28,28,150,0
20080401,28,28,28,28,10,0
20080402,28,28.2,28,28.2,110,0
20080403,27.5,27.5,27.5,27.5,36,0
20080404,27.5,27.5,27.1,27.1,97,0
20080407,27.3,27.3,27.3,27.3,50,0
20080408,27.5,27.5,26.8,27.4,227,0
20080409,28,28.05,27.2,27.2,7072,0
20080411,27,27.5,27,27.5,180,0
20080414,27,27.4,26.6,26.6,773,0
20080415,27.2,27.2,26.5,27.2,220,0
20080416,26.3,26.5,26.3,26.3,573,0
20080417,26.5,26.5,26.5,26.5,26,0
20080418,26.5,26.5,26.5,26.5,19,0
20080421,25.7,26.5,25.7,26.5,128,0
20080422,26.5,27,26.5,27,701,0
20080423,26,26.7,26,26,1342,0
20080424,26,26,26,26,30,0
20080425,26.6,26.6,26.6,26.6,120,0
20080428,26.91,26.91,26.91,26.91,80,0
20080429,25.9,26.7,25.9,26.7,26,0
20080505,26.1,26.1,26,26.1,54,0
20080506,26.5,26.5,26.1,26.1,80,0
20080507,26.2,26.2,26.2,26.2,40,0
20080508,26.29,26.29,26,26,370,0
20080509,26.29,28,26,26,811,0
20080513,26.6,26.6,26.6,26.6,69,0
20080514,26.09,26.09,26.09,26.09,28,0
20080515,26.5,26.5,26.5,26.5,49,0
20080516,26,26,26,26,101,0
