Date,Open,High,Low,Close,Volume,OpenInt
20100629,99.5,100,81,83,1129,0
20100630,79,91,79,82.5,2030,0
20100701,83.4,83.4,80,81,2313,0
20100702,83,83.8,83,83.8,41,0
20100705,83,83,83,83,13,0
20100706,87,99,87,88,201,0
20100707,87.5,115,87.5,115,635,0
20100708,115.5,115.5,115,115,2214,0
20100713,115,115,114,114,135,0
20100714,115,115,115,115,30,0
20100716,114.2,114.5,114.2,114.5,90,0
20100721,100,114,97.5,114,12,0
20100722,97.5,114.3,97.5,97.5,7,0
20100723,109.8,109.8,97.5,97.5,11,0
20100726,97.5,106.9,97.5,97.5,61,0
20100727,98,98,98,98,50,0
20100729,106.5,106.5,98,98,1316,0
20100730,106.9,106.9,98.5,98.5,102,0
20100802,98.5,106.8,98.5,99,435,0
20100803,100.5,100.5,100.5,100.5,47,0
20100804,106.9,106.9,101,101,27,0
20100805,103,103,103,103,21,0
20100809,103,103,103,103,5,0
20100811,105,115.6,105,115,146,0
20100813,99,113,98,105,593,0
20100816,105,105,105,105,50,0
20100818,110,110,110,110,2,0
20100823,110,115,110,115,591,0
20100824,115,115,115,115,101,0
20100830,115,115,115,115,8,0
20100901,115,115.1,114.5,115,202,0
20100902,115,117.5,114.9,117.5,902,0
20100903,117.5,117.5,116,117.4,1750,0
20100906,117.5,117.5,117.4,117.4,1475,0
20100907,117.4,118,117.4,118,1843,0
20100908,118,118.7,118,118.7,1442,0
20100909,118.7,119.5,118.7,119.5,3693,0
20100910,119.5,119.5,119.5,119.5,1210,0
20100913,120,120,120,120,860,0
20100914,120,125,120,125,41,0
20100915,129.3,129.3,129.3,129.3,30,0
20100916,129.5,129.5,129.5,129.5,1,0
20100920,129,129,129,129,15,0
20100922,128.5,128.5,127.5,127.5,810,0
20100923,127.5,127.5,127.5,127.5,1600,0
20100924,125,126,124,125,1518,0
20100927,129,129,129,129,579,0
20100928,127,130,127,129.9,3647,0
20100929,129,129,128,129,59,0
20100930,130,130,129,130,5110,0
20101001,130.3,130.3,130.2,130.3,4965,0
20101004,130.3,130.3,130.3,130.3,3,0
20101005,128.5,128.5,128.5,128.5,3,0
20101006,130.4,131.5,130.4,131.5,2080,0
20101007,131.8,132,131.5,131.5,8085,0
20101008,126,131.6,125,131.6,4981,0
20101011,132.4,133.1,131,133.1,5951,0
20101012,133.5,134.2,133.5,134.2,2105,0
20101013,135.7,139.2,135.7,138.9,2057,0
20101014,139,139.9,135.2,139.2,411,0
20101015,139.5,139.9,139.5,139.9,70,0
20101018,135,139.5,134,135,232,0
20101019,135,135,134.1,135,1807,0
20101020,133,135,130,135,647,0
20101021,135,136.9,135,136.9,386,0
20101022,135,135,135,135,250,0
20101025,139,139,137,137,46,0
20101026,138.8,138.8,138.8,138.8,1,0
20101027,139,139,135,135,31,0
20101028,139,139,139,139,1,0
20101029,137.5,137.5,133,137.5,45,0
20101102,135,137,135,137,1298,0
20101103,135,137,133,136.8,31,0
20101104,132,137.4,132,137.4,5546,0
20101105,135,137.4,134.5,137.4,80,0
20101108,137.45,138.8,134,138.8,3076,0
20101109,138.8,138.8,138.8,138.8,601,0
20101110,138.45,138.9,135,138.9,522,0
20101112,138.8,139,135,139,439,0
20101115,139,139,139,139,3,0
20101116,139,139,139,139,100,0
20101117,139,139,139,139,102,0
20101118,141.4,141.85,141.4,141.85,87,0
20101119,141,141.5,141,141.5,108,0
20101123,140,146,139,146,10110,0
20101124,149.85,150,149.85,150,55,0
20101125,162,162,162,162,1,0
20101126,161,162,161,162,10000,0
20101129,162,162,162,162,10000,0
20101130,161.9,167,161.9,162,341,0
