Date,Open,High,Low,Close,Volume,OpenInt
20010201,8,8.95,7.85,8.95,517265,0
20010202,8.65,9.35,8.65,8.85,255745,0
20010205,8.5,8.9,8.5,8.85,65965,0
20010206,8.5,8.9,8.5,8.85,115001,0
20010207,8.75,8.85,8.5,8.8,83898,0
20010208,8.85,9.4,8.85,9.4,143081,0
20010209,9.75,10.8,9.75,10.75,206604,0
20010212,10.95,10.95,9.9,10.05,136728,0
20010213,9.8,10.2,9.55,10,130132,0
20010214,9.7,9.85,9.7,9.75,22326,0
20010215,9.7,9.85,9.1,9.4,185055,0
20010216,9.45,9.5,9,9.05,67595,0
20010219,9,9.15,8.75,8.75,53716,0
20010220,8.8,8.8,8.3,8.65,55355,0
20010221,8.4,8.8,8.4,8.7,76955,0
20010222,8.35,8.8,8.35,8.75,35033,0
20010223,8.9,9.5,8.6,8.6,28136,0
20010226,9.1,9.2,8.9,9,24129,0
20010227,9,9.1,8.9,9.05,8752,0
20010228,8.6,8.95,8.6,8.95,8154,0
20010301,8.6,8.8,8.6,8.7,4304,0
20010302,8.85,8.85,8.65,8.8,23109,0
20010305,8.8,8.8,8.45,8.75,19054,0
20010306,8.7,8.7,8.5,8.6,152322,0
20010307,8.4,8.5,7.95,8.05,35861,0
20010308,8,8,7.6,7.8,15531,0
20010309,7.7,7.75,6.75,7.6,19670,0
20010312,7.5,7.5,7,7.2,35486,0
20010313,7,7.5,6.9,7.15,68890,0
20010314,7.1,7.15,6.95,7.15,12488,0
20010315,7.2,7.45,7.05,7.2,19708,0
20010316,7.2,7.2,7.05,7.1,15226,0
20010319,7.45,7.45,6.95,7.1,16802,0
20010320,7.1,7.3,7.1,7.2,11713,0
20010321,7.15,7.2,7.05,7.2,3988,0
20010322,7.15,7.25,7.05,7.25,2215,0
20010323,7.4,7.85,7.4,7.75,51339,0
20010326,7.9,8.5,7.7,7.8,65120,0
20010327,7.65,7.65,7.45,7.6,13148,0
20010328,7.65,7.75,7.6,7.7,25950,0
20010329,7.65,7.7,7.65,7.65,29440,0
20010330,7.7,7.85,7.7,7.7,11862,0
20010402,7.6,7.7,7.5,7.5,26672,0
20010403,7.5,7.5,7.35,7.5,13488,0
20010404,7.45,7.5,7.3,7.3,20707,0
20010405,7.4,7.45,7.3,7.35,12769,0
20010406,7.5,7.5,7.3,7.4,16226,0
20010409,7.4,7.45,7.3,7.45,1953,0
20010410,7.45,7.55,7.3,7.3,30692,0
20010411,7.5,7.5,7.05,7.1,28349,0
20010412,7.2,7.2,7,7.05,21765,0
20010417,7.2,7.2,6.1,7,9904,0
20010418,7,7.1,6.9,7,6684,0
20010419,7.25,7.25,6.95,7,18757,0
20010420,7,7.05,6.8,6.8,12783,0
20010423,6.7,6.9,6.6,6.7,7142,0
20010424,6.6,6.7,6.2,6.5,66487,0
20010425,6.5,6.5,6.4,6.45,66284,0
20010426,6.45,6.55,6.3,6.4,21807,0
20010427,6.45,6.45,6.15,6.15,14633,0
20010430,6.45,6.45,5.9,6.15,23604,0
20010502,6,6,5.6,5.8,11003,0
20010504,5.6,5.6,5.35,5.45,15419,0
20010507,5.3,5.3,5.1,5.25,24864,0
20010508,5.05,5.1,4.9,5,13394,0
20010509,4.8,4.84,4.27,4.31,52054,0
20010510,4.3,4.92,4.3,4.75,94292,0
20010511,4.51,5.2,4.51,5.2,130225,0
20010514,5.4,5.4,5.15,5.2,32212,0
20010515,5.25,5.25,4.98,5,20210,0
20010516,4.99,4.99,4.82,4.9,17987,0
20010517,5.05,5.1,4.95,4.95,25899,0
20010518,4.88,4.9,4.8,4.84,4852,0
20010521,4.91,5.1,4.8,5.1,17382,0
20010522,5.2,5.35,5.1,5.2,43518,0
20010523,5.2,5.3,5,5.2,17769,0
20010524,5.05,5.1,5,5.05,11116,0
20010525,5,5,4.9,4.9,7397,0
20010528,4.94,4.95,4.91,4.91,17370,0
20010529,4.98,4.98,4.9,4.9,7692,0
20010530,4.77,4.94,4.77,4.94,5944,0
20010531,4.8,4.93,4.8,4.91,7930,0
20010601,4.75,4.91,4.74,4.85,5119,0
20010604,4.79,4.9,4.7,4.75,17396,0
20010605,4.68,4.79,4.6,4.6,3498,0
20010606,4.6,4.6,4.4,4.4,22872,0
20010607,4.3,4.4,4.26,4.3,10309,0
