Date,Open,High,Low,Close,Volume,OpenInt
19970728,17.201,18.577,15.137,17.889,10233,0
19970729,17.201,17.201,15.481,15.481,4504,0
19970730,14.793,14.793,14.517,14.586,437,0
19970731,14.517,14.655,14.449,14.449,727,0
19970801,14.173,14.449,14.105,14.105,755,0
19970804,14.105,14.105,13.761,13.761,437,0
19970805,13.829,13.829,13.761,13.761,727,0
19970806,13.761,14.105,13.761,13.761,1308,0
19970807,13.692,13.692,13.21,13.21,3777,0
19970808,13.692,13.692,13.692,13.692,291,0
19970811,13.692,13.829,13.692,13.761,262,0
19970812,13.21,13.21,13.21,13.21,727,0
19970813,13.829,13.829,13.21,13.21,682,0
19970814,13.21,14.655,13.21,14.655,1016,0
19970818,14.793,14.793,14.793,14.793,103,0
19970819,14.793,14.793,13.829,13.829,217,0
19970820,14.105,14.38,14.036,14.38,1816,0
19970821,14.173,14.449,14.105,14.105,772,0
19970822,14.449,14.449,14.449,14.449,103,0
19970825,13.829,14.449,13.829,14.449,244,0
19970827,13.829,13.829,13.761,13.761,915,0
19970828,13.967,13.967,13.967,13.967,291,0
19970829,13.898,13.967,13.898,13.898,727,0
19970901,13.761,13.761,13.761,13.761,437,0
19970902,13.761,13.761,13.761,13.761,871,0
19970903,13.761,13.761,13.761,13.761,291,0
19970904,13.623,13.623,13.141,13.141,1891,0
19970905,13.348,13.417,13.279,13.417,2181,0
19970908,13.348,13.417,13.348,13.417,903,0
19970909,13.417,13.485,13.417,13.485,3037,0
19970910,13.554,14.105,13.554,14.105,2907,0
19970911,13.967,14.449,13.967,14.449,944,0
19970915,14.724,14.793,14.724,14.793,1454,0
19970916,14.724,14.861,14.655,14.861,2218,0
19970917,14.793,14.861,14.793,14.861,1598,0
19970918,14.793,14.861,14.793,14.793,915,0
19970919,15.068,15.137,15.068,15.137,1454,0
19970922,15.205,15.274,15.205,15.274,437,0
19970923,15.137,15.412,15.137,15.137,145,0
19970924,15.068,15.137,15.068,15.068,931,0
19970925,14.793,14.793,14.793,14.793,437,0
19970926,14.449,14.517,14.449,14.517,437,0
19970929,14.793,14.793,14.449,14.449,305,0
19970930,14.449,14.517,14.449,14.449,1454,0
19971001,14.449,14.449,14.449,14.449,871,0
19971002,14.311,14.311,14.311,14.311,291,0
19971003,14.311,14.311,14.242,14.242,1454,0
19971008,14.449,14.449,14.449,14.449,173,0
19971009,14.311,14.311,14.311,14.311,291,0
19971017,14.311,14.311,14.311,14.311,145,0
19971021,14.311,14.311,14.311,14.311,145,0
19971024,14.036,14.036,13.967,13.967,523,0
19971028,14.036,14.036,12.729,12.729,1089,0
19971029,14.105,14.105,14.105,14.105,437,0
19971030,13.967,13.967,13.967,13.967,145,0
19971031,13.829,13.829,13.761,13.761,727,0
19971103,14.105,14.105,14.105,14.105,145,0
19971104,14.105,14.105,13.417,13.417,328,0
19971105,14.105,14.105,14.105,14.105,16,0
19971106,13.554,13.554,13.554,13.554,145,0
19971112,13.417,13.417,13.348,13.348,523,0
19971113,13.485,13.485,12.729,12.729,596,0
19971114,12.729,12.729,12.729,12.729,437,0
19971117,12.591,12.591,12.591,12.591,145,0
19971124,12.247,12.247,11.697,11.697,1236,0
19971125,11.353,11.353,11.353,11.353,145,0
19971127,11.697,11.697,11.697,11.697,145,0
19971204,12.041,12.041,12.041,12.041,145,0
19971205,11.697,11.697,11.697,11.697,291,0
19971222,11.628,11.628,11.628,11.628,145,0
19971223,11.628,11.628,11.49,11.49,727,0
19980108,11.008,11.008,11.008,11.008,145,0
19980112,10.802,10.802,10.802,10.802,145,0
19980115,11.146,11.146,11.146,11.146,437,0
19980120,10.665,10.665,10.665,10.665,145,0
19980121,11.697,11.697,11.628,11.697,727,0
19980122,11.353,11.353,11.353,11.353,1454,0
19980127,11.559,11.628,11.559,11.628,1454,0
19980130,11.559,11.559,11.559,11.559,727,0
19980209,11.697,11.697,11.697,11.697,291,0
19980210,11.697,11.697,11.697,11.697,145,0
19980216,11.697,11.697,11.697,11.697,291,0
19980219,12.041,12.041,11.353,11.697,5858,0
