Date,Open,High,Low,Close,Volume,OpenInt
20070719,45.822,58.008,45.822,54.596,1283777,0
20070720,54.596,54.596,50.696,50.696,141893,0
20070723,49.234,51.671,48.893,49.721,37168,0
20070724,49.672,51.622,48.746,50.696,34825,0
20070725,51.184,51.184,48.259,48.746,102265,0
20070726,49.234,49.234,47.381,47.781,13855,0
20070727,47.771,47.771,45.042,47.771,17503,0
20070730,46.796,47.186,45.822,46.796,4251,0
20070731,46.796,50.209,46.796,49.331,80258,0
20070801,49.331,49.331,46.016,48.503,8734,0
20070802,48.746,49.039,47.869,47.869,91056,0
20070803,48.649,48.698,47.771,47.771,1334,0
20070806,46.796,46.796,44.847,44.847,6232,0
20070807,45.822,47.186,44.847,46.406,67339,0
20070808,46.796,47.576,46.504,46.601,1563,0
20070809,47.186,47.186,46.211,46.26,6310,0
20070810,44.554,45.919,42.409,44.847,10476,0
20070813,44.847,46.796,44.847,46.699,1187,0
20070814,46.894,46.894,45.188,45.188,342,0
20070816,42.351,42.604,38.129,38.997,17229,0
20070817,38.997,40.167,38.022,38.997,12353,0
20070820,41.922,41.922,38.997,38.997,3818,0
20070821,39.972,39.972,36.833,38.022,2294,0
20070822,38.022,42.897,38.022,41.922,27901,0
20070823,45.334,45.334,43.579,43.579,72521,0
20070824,45.334,45.334,44.652,44.749,1276,0
20070827,44.652,46.601,43.872,44.847,2821,0
20070828,45.822,45.822,42.897,44.652,509,0
20070829,41.922,43.862,41.922,43.579,8150,0
20070830,43.872,43.989,43.872,43.969,5897,0
20070831,42.994,44.359,42.994,43.979,614,0
20070903,44.847,45.334,44.554,45.334,2321,0
20070904,45.432,45.432,44.847,45.334,2013,0
20070905,44.554,45.237,44.554,45.237,2713,0
20070906,45.334,45.724,43.872,45.724,50681,0
20070907,45.822,45.822,42.409,45.822,2560,0
20070910,42.029,45.334,42.029,45.334,1724,0
20070911,45.627,45.627,45.627,45.627,605,0
20070912,43.881,45.227,43.872,45.227,52,0
20070913,45.519,45.519,44.349,45.315,635,0
20070914,44.847,44.847,43.092,44.359,399,0
20070917,43.872,44.837,43.872,44.837,175,0
20070918,44.067,45.237,44.067,45.237,552,0
20070919,45.237,45.315,43.433,44.359,1998,0
20070920,43.579,44.252,42.994,44.213,290,0
20070921,43.872,44.944,43.872,44.847,1969,0
20070924,44.847,46.309,44.847,45.042,5621,0
