Date,Open,High,Low,Close,Volume,OpenInt
20111109,19.683,21.16,19.191,20.166,7637,0
20111110,21.16,21.16,18.699,20.668,2703,0
20111114,20.668,21.16,20.668,21.16,254,0
20111115,22.144,22.636,20.864,21.652,939,0
20111116,22.144,22.144,21.553,21.553,117,0
20111117,21.652,21.652,19.674,19.674,5446,0
20111121,19.536,19.536,18.798,18.798,119,0
20111122,18.798,19.674,18.798,19.487,189,0
20111123,19.575,19.575,18.207,18.207,194,0
20111124,17.735,18.158,17.223,17.666,2599,0
20111125,17.666,17.715,17.666,17.715,67,0
20111128,18.001,18.001,17.223,17.223,133,0
20111129,17.125,17.125,15.452,16.928,198,0
20111130,17.164,17.666,16.977,17.666,256,0
20111201,18.197,18.197,18.197,18.197,5,0
20111202,18.04,18.04,17.518,17.518,137,0
20111205,17.518,17.518,16.928,16.977,588,0
20111206,16.928,16.928,16.633,16.829,1306,0
20111207,16.829,16.928,16.337,16.928,602,0
20111208,16.731,17.321,16.731,17.321,222,0
20111213,17.026,17.026,17.026,17.026,10,0
20111214,16.977,16.977,16.938,16.977,2024,0
20111215,16.977,16.977,16.938,16.938,48,0
20111220,16.928,16.928,16.928,16.928,30,0
20111221,16.741,17.321,16.741,17.321,1411,0
20111222,17.321,17.321,17.075,17.321,4694,0
20111223,17.321,17.321,17.321,17.321,10,0
20111227,17.42,19.388,17.42,19.388,5496,0
20111228,19.388,19.388,19.388,19.388,610,0
20111229,19.388,19.388,19.388,19.388,274,0
20111230,19.388,26.573,19.388,25.096,17174,0
20120102,25.096,27.065,23.719,25.096,3663,0
20120103,24.122,26.868,23.719,26.081,831,0
20120104,27.065,27.508,26.573,27.055,3219,0
20120105,27.065,27.458,26.868,26.868,1007,0
20120109,26.819,26.819,26.081,26.081,1677,0
20120110,25.884,27.163,25.392,27.065,782,0
20120111,27.163,31.494,27.163,31.484,5564,0
20120112,32.802,37.595,32.802,35.922,4356,0
20120113,36.808,38.471,35.922,36.808,508,0
20120116,39.259,39.259,36.414,37.399,1050,0
20120117,35.922,36.906,30.017,35.43,897,0
20120118,34.446,35.43,31.494,34.446,1191,0
20120119,33.462,35.43,31.494,35.43,422,0
20120120,34.446,35.332,31.592,34.741,629,0
20120123,33.659,33.659,33.659,33.659,7,0
20120124,32.97,35.43,32.97,35.381,774,0
20120125,35.135,35.725,34.446,35.725,1011,0
20120126,35.529,36.513,33.462,36.513,718,0
20120127,35.43,36.414,35.037,36.316,505,0
20120130,35.43,35.43,35.135,35.43,77,0
20120131,35.43,36.897,35.43,36.897,1219,0
20120201,36.897,37.389,35.43,35.43,750,0
20120202,36.414,36.424,34.544,36.218,282,0
20120203,36.808,39.367,36.414,39.318,4531,0
20120206,39.318,40.351,38.481,39.318,1707,0
20120207,39.357,40.341,37.399,38.481,942,0
20120208,39.367,39.859,38.186,39.249,2904,0
20120209,39.859,41.335,39.859,40.253,2475,0
20120210,41.335,44.288,41.335,44.239,1193,0
20120213,44.583,47.181,43.304,45.262,1955,0
20120214,47.24,56.679,47.191,53.145,8014,0
20120215,53.441,58.017,51.285,54.612,3785,0
20120216,54.031,55.114,53.736,53.736,1746,0
20120217,54.366,54.366,47.24,52.407,483,0
20120220,52.407,52.545,42.812,52.545,491,0
20120221,52.555,52.555,49.209,51.177,1389,0
20120222,51.551,51.551,47.25,51.128,305,0
20120223,51.128,51.128,49.11,51.02,335,0
20120224,50.98,57.997,50.98,57.997,5880,0
20120227,57.279,67.908,57.259,67.908,10462,0
