Date,Open,High,Low,Close,Volume,OpenInt
20110225,24.226,25.306,24.145,24.676,39757,0
20110228,24.599,24.626,23.685,24.132,6590,0
20110301,23.595,23.892,23.055,23.055,3379,0
20110302,22.965,22.965,22.352,22.424,3072,0
20110303,22.424,23.235,21.632,23.055,2160,0
20110304,22.965,24.136,22.965,23.955,1501,0
20110307,23.415,23.415,22.533,23.307,1724,0
20110308,22.695,22.965,22.334,22.515,2900,0
20110309,22.515,22.605,22.154,22.163,550,0
20110310,22.073,23.415,22.073,23.1,4363,0
20110311,22.343,22.343,22.289,22.334,657,0
20110314,22.244,22.947,22.244,22.289,870,0
20110315,22.334,22.515,22.334,22.334,3622,0
20110316,22.379,22.956,22.199,22.253,350,0
20110317,22.249,22.844,22.204,22.844,159,0
20110318,22.965,23.415,22.073,23.415,1416,0
20110321,22.298,23.406,22.298,22.965,187,0
20110322,22.325,23.415,22.325,22.523,299,0
20110323,22.523,22.965,22.523,22.65,267,0
20110324,22.523,23.055,22.523,22.605,438,0
20110325,22.623,22.74,22.523,22.74,857,0
20110328,22.695,22.74,22.515,22.515,774,0
20110329,22.74,22.74,22.515,22.605,200,0
20110330,22.334,22.695,22.334,22.695,44,0
20110331,22.38,22.568,22.38,22.511,305,0
20110401,22.785,23.397,22.785,22.965,1265,0
20110404,22.965,23.775,22.965,22.965,1055,0
20110405,22.983,24.045,22.983,23.865,2992,0
20110406,23.505,23.505,23.01,23.01,341,0
20110407,23.019,23.145,22.992,23.145,247,0
20110408,23.055,23.145,22.875,22.965,360,0
20110411,22.965,23.397,22.884,23.388,388,0
20110412,23.01,23.01,22.839,22.839,291,0
20110413,23.01,23.055,23.01,23.01,68,0
20110414,22.569,23.01,22.569,22.965,180,0
20110415,22.965,23.145,22.965,23.055,320,0
20110418,23.055,23.055,22.92,22.92,714,0
20110419,22.65,23.325,22.515,23.145,1268,0
20110420,22.325,22.875,22.325,22.875,34,0
20110421,22.605,23.055,22.515,22.875,854,0
20110426,22.605,23.316,22.605,23.316,214,0
20110427,22.605,23.316,22.605,22.875,2737,0
20110428,22.74,22.965,22.74,22.92,158,0
20110429,23.301,23.301,22.944,22.963,657,0
20110502,22.965,22.965,22.965,22.965,125,0
20110504,23.01,23.298,22.965,22.965,314,0
20110505,22.962,23.054,22.752,23.054,792,0
20110506,22.83,22.965,22.83,22.857,157,0
