Date,Open,High,Low,Close,Volume,OpenInt
19920813,0.5924,0.5924,0.5924,0.5924,335667,0
19920818,0.5924,0.5924,0.5924,0.5924,0,0
19920820,0.5841,0.5841,0.5841,0.5841,346440,0
19920825,0.5841,0.5841,0.5841,0.5841,0,0
19920827,0.5841,0.5841,0.5841,0.5841,385465,0
19920901,0.5183,0.5183,0.5183,0.5183,100210,0
19920903,0.51,0.51,0.51,0.51,336391,0
19920908,0.5018,0.5018,0.5018,0.5018,382815,0
19920910,0.51,0.51,0.51,0.51,219680,0
19920915,0.5511,0.5511,0.5511,0.5511,85135,0
19920917,0.5511,0.5511,0.5511,0.5511,129926,0
19920922,0.5595,0.5595,0.5595,0.5595,106836,0
19920924,0.5511,0.5511,0.5511,0.5511,121220,0
19920929,0.5595,0.5595,0.5595,0.5595,170246,0
19921001,0.5924,0.5924,0.5924,0.5924,95201,0
19921006,0.5924,0.5924,0.5924,0.5924,119848,0
19921008,0.5924,0.5924,0.5924,0.5924,53394,0
19921013,0.6087,0.6087,0.6087,0.6087,184629,0
19921015,0.5924,0.5924,0.5924,0.5924,49895,0
19921020,0.5924,0.5924,0.5924,0.5924,108300,0
19921022,0.5924,0.5924,0.5924,0.5924,87378,0
19921027,0.5924,0.5924,0.5924,0.5924,65449,0
19921029,0.5924,0.5924,0.5924,0.5924,37312,0
19921103,0.5924,0.5924,0.5924,0.5924,131921,0
19921105,0.5759,0.5759,0.5759,0.5759,18951,0
19921110,0.5183,0.5183,0.5183,0.5183,17680,0
19921112,0.5183,0.5183,0.5183,0.5183,22342,0
19921117,0.5511,0.5511,0.5511,0.5511,67548,0
19921119,0.5511,0.5511,0.5511,0.5511,36083,0
19921124,0.5183,0.5183,0.5183,0.5183,51348,0
19921126,0.5183,0.5183,0.5183,0.5183,23001,0
19921201,0.5511,0.5511,0.5511,0.5511,60020,0
19921203,0.5511,0.5511,0.5511,0.5511,72718,0
19921208,0.51,0.51,0.51,0.51,74082,0
19921210,0.5511,0.5511,0.5511,0.5511,30829,0
19921215,0.5429,0.5429,0.5429,0.5429,38911,0
19921217,0.5511,0.5511,0.5511,0.5511,49868,0
19921222,0.5759,0.5759,0.5759,0.5759,147054,0
19921229,0.6251,0.6251,0.6251,0.6251,208402,0
19930104,0.5759,0.5759,0.5759,0.5759,22902,0
19930105,0.5841,0.5841,0.5841,0.5841,41104,0
19930107,0.6087,0.6087,0.6087,0.6087,13681,0
19930111,0.5924,0.5924,0.5924,0.5924,17423,0
19930112,0.5924,0.5924,0.5924,0.5924,19807,0
19930114,0.5595,0.5595,0.5595,0.5595,21494,0
19930118,0.5841,0.5841,0.5841,0.5841,21156,0
19930119,0.5595,0.5595,0.5595,0.5595,14448,0
19930121,0.5595,0.5595,0.5595,0.5595,38972,0
19930125,0.5759,0.5759,0.5759,0.5759,42378,0
19930126,0.5595,0.5595,0.5595,0.5595,9988,0
19930128,0.5511,0.5511,0.5511,0.5511,14510,0
19930201,0.5595,0.5595,0.5595,0.5595,18371,0
19930202,0.5595,0.5595,0.5595,0.5595,21846,0
19930204,0.5511,0.5511,0.5511,0.5511,27563,0
19930208,0.5759,0.5759,0.5759,0.5759,10526,0
19930209,0.5511,0.5511,0.5511,0.5511,4987,0
19930211,0.5429,0.5429,0.5429,0.5429,26738,0
19930215,0.5429,0.5429,0.5429,0.5429,14289,0
19930216,0.5429,0.5429,0.5429,0.5429,14105,0
19930218,0.5429,0.5429,0.5429,0.5429,32178,0
19930222,0.5348,0.5348,0.5348,0.5348,15569,0
19930223,0.5348,0.5348,0.5348,0.5348,15569,0
19930225,0.5429,0.5429,0.5429,0.5429,8388,0
19930301,0.5511,0.5511,0.5511,0.5511,51501,0
19930302,0.5511,0.5511,0.5511,0.5511,44337,0
19930304,0.5595,0.5595,0.5595,0.5595,18549,0
19930308,0.5841,0.5841,0.5841,0.5841,53106,0
19930309,0.5841,0.5841,0.5841,0.5841,26683,0
19930311,0.5924,0.5924,0.5924,0.5924,108464,0
19930315,0.6251,0.6251,0.6251,0.6251,157441,0
19930316,0.6828,0.6828,0.6828,0.6828,187388,0
19930318,0.6992,0.6992,0.6992,0.6992,107082,0
19930322,0.6581,0.6581,0.6581,0.6581,92404,0
19930323,0.6498,0.6498,0.6498,0.6498,72276,0
19930325,0.6581,0.6581,0.6581,0.6581,175136,0
19930329,0.6581,0.6581,0.6581,0.6581,16472,0
19930330,0.6581,0.6581,0.6581,0.6581,47525,0
19930401,0.6663,0.6663,0.6663,0.6663,26154,0
19930405,0.6581,0.6581,0.6581,0.6581,36415,0
19930406,0.6498,0.6498,0.6498,0.6498,49345,0
19930408,0.6581,0.6581,0.6581,0.6581,265654,0
19930413,0.6828,0.6828,0.6828,0.6828,296482,0
19930415,0.6828,0.6828,0.6828,0.6828,233112,0
19930419,0.6828,0.6828,0.6828,0.6828,242006,0
19930420,0.7403,0.7403,0.7403,0.7403,351519,0
19930422,0.8144,0.8144,0.8144,0.8144,836670,0
19930426,0.8884,0.8884,0.8884,0.8884,1193843,0
19930427,0.8063,0.8063,0.8063,0.8063,306808,0
19930429,0.7322,0.7322,0.7322,0.7322,600381,0
19930504,0.7979,0.7979,0.7979,0.7979,234232,0
19930506,0.765,0.765,0.765,0.765,480167,0
19930510,0.8391,0.8391,0.8391,0.8391,0,0
19930511,0.9213,0.9213,0.9213,0.9213,632461,0
19930513,1.0118,1.0118,1.0118,1.0118,1105176,0
19930517,0.9296,0.9296,0.9296,0.9296,876496,0
19930518,0.9543,0.9543,0.9543,0.9543,724680,0
19930520,1.0447,1.0447,1.0447,1.0447,1465617,0
19930524,0.9789,0.9789,0.9789,0.9789,908539,0
19930525,1.0694,1.0694,1.0694,1.0694,971144,0
19930527,1.1681,1.1681,1.1681,1.1681,1322750,0
19930531,1.0694,1.0694,1.0694,1.0694,1152025,0
19930601,0.9872,0.9872,0.9872,0.9872,727948,0
19930603,0.9213,0.9213,0.9213,0.9213,861976,0
19930607,0.8309,0.8309,0.8309,0.8309,773697,0
19930608,0.7486,0.7486,0.7486,0.7486,533191,0
19930609,0.8309,0.8309,0.8309,0.8309,305491,0
19930614,0.9131,0.9131,0.9131,0.9131,402399,0
19930615,0.9954,0.9954,0.9954,0.9954,567778,0
19930617,0.9954,0.9954,0.9954,0.9954,965208,0
19930621,0.9049,0.9049,0.9049,0.9049,0,0
19930622,0.8473,0.8473,0.8473,0.8473,400732,0
19930624,0.9296,0.9296,0.9296,0.9296,534851,0
19930628,0.8391,0.8391,0.8391,0.8391,427072,0
19930629,0.8802,0.8802,0.8802,0.8802,573475,0
19930701,0.9543,0.9543,0.9543,0.9543,1208846,0
19930705,1.0118,1.0118,1.0118,1.0118,1040633,0
19930706,0.9872,0.9872,0.9872,0.9872,658654,0
19930708,0.9543,0.9543,0.9543,0.9543,826209,0
19930712,1.0118,1.0118,1.0118,1.0118,467496,0
19930713,1.0447,1.0447,1.0447,1.0447,535557,0
19930715,1.0364,1.0364,1.0364,1.0364,534715,0
19930719,1.1434,1.1434,1.1434,1.1434,1621883,0
19930720,1.201,1.201,1.201,1.201,1047212,0
19930722,1.1846,1.1846,1.1846,1.1846,579132,0
19930726,1.201,1.201,1.201,1.201,512997,0
19930727,1.1681,1.1681,1.1681,1.1681,192371,0
19930729,1.1434,1.1434,1.1434,1.1434,336499,0
19930802,1.2422,1.2422,1.2422,1.2422,1057666,0
19930803,1.3244,1.3244,1.3244,1.3244,1014456,0
19930805,1.456,1.456,1.456,1.456,3271885,0
19930809,1.5876,1.5876,1.5876,1.5876,2563492,0
19930810,1.7522,1.7522,1.7522,1.7522,543549,0
