Date,Open,High,Low,Close,Volume,OpenInt
19960110,2.89,2.89,2.89,2.89,347929,0
19960111,2.87,2.87,2.87,2.87,351551,0
19960112,2.75,2.75,2.75,2.75,148639,0
19960115,2.83,2.83,2.83,2.83,135352,0
19960116,2.75,2.75,2.75,2.75,55130,0
19960117,2.81,2.81,2.81,2.81,114976,0
19960118,2.75,2.75,2.75,2.75,32567,0
19960119,2.66,2.66,2.66,2.66,41652,0
19960122,2.54,2.54,2.54,2.54,25349,0
19960123,2.59,2.59,2.59,2.59,43017,0
19960124,2.77,2.77,2.77,2.77,80256,0
19960125,2.69,2.69,2.69,2.69,78472,0
19960126,2.72,2.72,2.72,2.72,91954,0
19960129,2.75,2.75,2.75,2.75,61676,0
19960130,2.76,2.76,2.76,2.76,133100,0
19960131,2.86,2.86,2.86,2.86,91688,0
19960201,2.82,2.82,2.82,2.82,43083,0
19960202,2.81,2.81,2.81,2.81,58228,0
19960205,2.75,2.75,2.75,2.75,29294,0
19960206,2.76,2.76,2.76,2.76,78463,0
19960207,2.75,2.75,2.75,2.75,27291,0
19960208,2.78,2.78,2.78,2.78,26938,0
19960209,2.81,2.81,2.81,2.81,35056,0
19960212,3.07,3.07,3.07,3.07,153771,0
19960213,2.9,2.9,2.9,2.9,51114,0
19960214,2.9,2.9,2.9,2.9,239361,0
19960215,2.9,2.9,2.9,2.9,151261,0
19960216,2.98,2.98,2.98,2.98,41299,0
19960219,2.98,2.98,2.98,2.98,23172,0
19960220,2.93,2.93,2.93,2.93,136431,0
19960221,2.95,2.95,2.95,2.95,11171,0
19960222,3.06,3.06,3.06,3.06,45560,0
19960223,3,3,3,3,122978,0
19960226,3.04,3.04,3.04,3.04,71606,0
19960227,3.06,3.06,3.06,3.06,58788,0
19960228,2.98,2.98,2.98,2.98,19148,0
19960229,3.06,3.06,3.06,3.06,130657,0
19960301,3.06,3.06,3.06,3.06,101586,0
19960304,3.12,3.12,3.12,3.12,75618,0
19960305,3.28,3.28,3.28,3.28,85868,0
19960306,3.29,3.29,3.29,3.29,100926,0
19960307,3.36,3.36,3.36,3.36,55598,0
19960308,3.36,3.36,3.36,3.36,90232,0
19960311,3.36,3.36,3.36,3.36,38346,0
19960312,3.19,3.19,3.19,3.19,8611,0
19960313,3.29,3.29,3.29,3.29,33899,0
19960314,3.29,3.29,3.29,3.29,139372,0
19960315,3.36,3.36,3.36,3.36,79235,0
19960318,3.53,3.53,3.53,3.53,121020,0
19960319,3.53,3.53,3.53,3.53,220105,0
19960320,3.53,3.53,3.53,3.53,67807,0
19960321,3.6,3.6,3.6,3.6,213974,0
19960322,3.5,3.5,3.5,3.5,25748,0
19960325,3.42,3.42,3.42,3.42,11250,0
19960326,3.29,3.29,3.29,3.29,5006,0
19960327,3.31,3.31,3.31,3.31,35143,0
19960328,3.15,3.15,3.15,3.15,112873,0
19960329,3.13,3.13,3.13,3.13,73386,0
19960401,3.15,3.15,3.15,3.15,24789,0
19960402,3.18,3.18,3.18,3.18,32057,0
19960403,3.17,3.17,3.17,3.17,17824,0
19960404,3.17,3.17,3.17,3.17,22247,0
19960405,3.22,3.22,3.22,3.22,31066,0
19960409,3.15,3.15,3.15,3.15,23694,0
19960410,3.17,3.17,3.17,3.17,19235,0
19960411,3.18,3.18,3.18,3.18,28909,0
19960412,3.15,3.15,3.15,3.15,9370,0
19960415,3.17,3.17,3.17,3.17,7105,0
19960416,3.19,3.19,3.19,3.19,27083,0
19960417,3.22,3.22,3.22,3.22,32779,0
19960418,3.24,3.24,3.24,3.24,16501,0
19960419,3.23,3.23,3.23,3.23,54794,0
19960422,3.3,3.3,3.3,3.3,97043,0
19960423,3.44,3.44,3.44,3.44,49185,0
19960424,3.46,3.46,3.46,3.46,56644,0
19960425,3.44,3.44,3.44,3.44,46149,0
19960426,3.34,3.34,3.34,3.34,26345,0
19960429,3.37,3.37,3.37,3.37,19700,0
19960430,3.42,3.42,3.42,3.42,33015,0
19960506,3.47,3.47,3.47,3.47,32978,0
19960507,3.74,3.74,3.74,3.74,103975,0
19960508,3.74,3.74,3.74,3.74,70250,0
19960509,3.86,3.86,3.86,3.86,156591,0
19960510,3.98,3.98,3.98,3.98,148079,0
19960513,4.34,4.34,4.34,4.34,141732,0
19960514,4.22,4.22,4.22,4.22,157985,0
19960515,4.06,4.06,4.06,4.06,134021,0
19960516,4.01,4.01,4.01,4.01,10963,0
19960517,4.01,4.01,4.01,4.01,64418,0
19960520,4.13,4.13,4.13,4.13,24196,0
19960521,4.13,4.13,4.13,4.13,37139,0
19960522,4.01,4.01,4.01,4.01,17816,0
19960523,3.86,3.86,3.86,3.86,32667,0
19960524,3.62,3.62,3.62,3.62,34297,0
19960527,3.62,3.62,3.62,3.62,19500,0
19960528,3.62,3.62,3.62,3.62,67612,0
19960529,3.65,3.65,3.65,3.65,56548,0
19960530,3.65,3.65,3.65,3.65,34915,0
19960531,3.7,3.7,3.7,3.7,92543,0
19960603,3.7,3.7,3.7,3.7,109604,0
19960604,3.47,3.47,3.47,3.47,69279,0
19960605,3.39,3.39,3.39,3.39,38533,0
19960607,3.41,3.41,3.41,3.41,30058,0
19960610,3.58,3.58,3.58,3.58,30024,0
19960611,3.66,3.66,3.66,3.66,117353,0
19960612,3.7,3.7,3.7,3.7,167510,0
19960613,3.68,3.68,3.68,3.68,203786,0
19960614,3.53,3.53,3.53,3.53,16568,0
19960617,3.53,3.53,3.53,3.53,47580,0
19960618,3.59,3.59,3.59,3.59,23669,0
19960619,3.89,3.89,3.89,3.89,123318,0
19960620,3.88,3.88,3.88,3.88,153294,0
19960621,3.94,3.94,3.94,3.94,126197,0
19960624,4.18,4.18,4.18,4.18,112832,0
19960625,4.3,4.3,4.3,4.3,137895,0
19960626,4.25,4.25,4.25,4.25,223785,0
19960627,4.3,4.3,4.3,4.3,80040,0
19960628,4.25,4.25,4.25,4.25,78750,0
19960701,4.3,4.3,4.3,4.3,64592,0
19960702,4.3,4.3,4.3,4.3,49957,0
19960703,4.42,4.42,4.42,4.42,58763,0
19960704,4.74,4.74,4.74,4.74,52682,0
19960705,4.74,4.74,4.74,4.74,167116,0
19960708,4.66,4.66,4.66,4.66,83703,0
19960709,4.74,4.74,4.74,4.74,89419,0
19960710,4.66,4.66,4.66,4.66,128396,0
19960711,4.79,4.79,4.79,4.79,36873,0
19960712,4.99,4.99,4.99,4.99,84180,0
19960715,5.11,5.11,5.11,5.11,84939,0
19960716,4.99,4.99,4.99,4.99,119656,0
19960717,4.99,4.99,4.99,4.99,59324,0
19960718,4.94,4.94,4.94,4.94,23470,0
19960719,5.06,5.06,5.06,5.06,76945,0
19960722,4.82,4.82,4.82,4.82,91058,0
