Date,Open,High,Low,Close,Volume,OpenInt
20131028,30,30,28.5,29.85,21694,0
20131029,29.85,31.9,28.51,29.5,1426,0
20131030,28.5,28.8,28,28.6,6433,0
20131031,28.6,28.6,27.5,27.5,987,0
20131104,27.5,28,27.5,28,1253,0
20131105,27.8,27.8,27.03,27.03,66,0
20131106,27,27.99,27,27.99,6458,0
20131107,27.98,27.98,27.98,27.98,24,0
20131114,26,26.42,26,26.42,140,0
20131115,27.25,29,27,29,621,0
20131118,28.5,28.88,27.51,28,5762,0
20131119,27.9,28,27.61,27.62,1287,0
20131120,27.5,27.8,27.5,27.8,6962,0
20131122,27.3,27.8,27.3,27.5,18787,0
20131125,27.95,27.95,27.95,27.95,27,0
20131126,27,27,27,27,160,0
20131127,27.01,27.05,27.01,27.05,12,0
20131128,27,27.05,26.45,26.56,1904,0
20131129,27,27,27,27,11684,0
20131202,27.04,27.79,27.04,27.79,15,0
20131204,26.4,27,26.3,27,16470,0
20131205,27.4,27.4,26.2,26.2,880,0
20131206,26.98,27.4,26.51,27,5354,0
20131209,27,27.2,27,27.2,850,0
20131216,25.51,26.9,25.51,26.9,500,0
20131220,26.68,26.9,25.15,26.9,23261,0
20131223,26.85,27,26.85,27,30000,0
20131227,26.5,28,26.5,28,23874,0
20131230,27.55,28,26.5,28,10714,0
20140103,26.51,28,26.51,28,1724,0
20140107,25.9,28,25.9,27.95,13628,0
20140108,25.9,27.95,25.9,27.95,108,0
20140113,25.64,25.64,25.64,25.64,10,0
20140114,26.5,26.5,26.5,26.5,115,0
20140116,27,27,26.6,26.6,28651,0
20140120,27,27,27,27,115,0
20140121,26.53,26.53,26.53,26.53,187,0
20140122,27.75,28.5,27.75,28,2563,0
20140123,28,28,28,28,1080,0
20140124,28,28,28,28,290,0
20140128,27.8,28,27.8,28,220,0
20140130,28,28,28,28,1968,0
20140205,26.1,28,26.1,28,38,0
20140212,27,27.1,27,27.1,65,0
20140213,26,27.1,23.45,27.1,171,0
20140214,27.1,27.1,27.1,27.1,29423,0
20140217,27.1,28.1,25.4,28.1,32635,0
20140219,27.1,28.1,27.1,28.1,30891,0
20140220,27.1,28.6,26.5,28.6,1794,0
20140221,27.15,28,27.1,28,772,0
20140224,28,28,28,28,36,0
20140225,26.4,26.99,24.82,25.6,1681,0
20140226,26.8,28,26.3,28,21200,0
20140227,26.9,26.9,26.9,26.9,418,0
20140228,27.5,27.5,27.5,27.5,100,0
20140303,26.52,27,26.52,27,682,0
20140304,26.9,26.9,26.9,26.9,28,0
20140306,27.6,28,27.6,28,33214,0
20140307,28,28,28,28,36,0
20140312,26.55,28.25,26.55,27.93,279,0
20140314,27,27,27,27,29,0
20140317,25.7,27.5,25.7,27.5,380,0
20140318,26.63,27.9,26.63,27.9,153,0
20140403,25.2,25.2,25.2,25.2,8,0
20140407,27.5,27.5,27.5,27.5,203,0
20140408,27.49,27.5,27.49,27.5,99,0
20140409,25.42,27.86,25.42,27.86,23,0
20140411,27.86,27.86,27.86,27.86,269,0
20140423,27.84,27.89,27.84,27.89,701,0
20140508,27.8,27.8,27.8,27.8,1800,0
20140509,27.8,27.8,27.8,27.8,1800,0
20140513,25.2,27.7,25.2,27.69,429,0
20140522,25.2,26.01,25.2,26.01,66,0
20140530,27.69,28,27.69,28,2244,0
20140603,26.99,26.99,26.15,26.15,31,0
