Date,Open,High,Low,Close,Volume,OpenInt
20101206,33.818,35.787,32.94,35.115,107627,0
20101207,35.105,35.787,34.617,35.592,18921,0
20101208,36.07,36.07,35.163,35.846,46902,0
20101209,36.031,37.533,36.031,37.533,26140,0
20101210,37.533,38.02,37.533,37.972,17001,0
20101213,37.981,38.03,37.055,37.669,8929,0
20101214,37.669,37.933,37.669,37.689,3082,0
20101215,37.738,37.738,37.055,37.153,41656,0
20101216,37.426,37.689,37.426,37.601,26745,0
20101217,37.543,38.518,37.543,38.42,19283,0
20101220,38.42,39.99,38.42,39.98,18586,0
20101221,39.512,43.335,39.512,42.418,7374,0
20101222,43.003,45.441,43.003,44.417,14166,0
20101223,45.548,46.806,45.548,45.821,14172,0
20101227,47.586,48.757,47.294,47.781,17061,0
20101228,48.757,48.757,43.881,47.274,4659,0
20101229,45.929,45.929,42.321,44.866,21873,0
20101230,44.759,44.759,43.881,44.622,9642,0
20101231,43.588,44.466,43.052,43.725,7665,0
20110103,43.783,43.881,42.906,43.384,2829,0
20110104,43.101,45.607,43.101,45.607,9954,0
20110105,44.71,44.71,43.403,44.027,2969,0
20110107,43.881,44.466,42.126,43.686,7590,0
20110110,44.066,44.066,42.428,42.906,8213,0
20110111,42.906,46.319,42.906,44.369,4967,0
20110112,45.344,45.782,42.467,42.613,22017,0
20110113,43.345,43.881,42.418,42.711,13789,0
20110114,42.906,43.579,42.711,43.345,15176,0
20110117,42.955,43.052,41.248,42.789,5839,0
20110118,43.198,44.515,42.789,43.93,11084,0
20110119,43.93,44.369,43.442,44.32,1539,0
20110120,43.891,44.32,42.126,42.174,4467,0
20110121,42.896,43.783,41.248,43.003,3616,0
20110124,41.599,42.028,40.663,41.053,15872,0
20110125,40.761,41.151,40.078,40.829,2817,0
20110126,40.936,40.936,39.005,40.468,3540,0
20110127,40.848,41.638,40.848,41.443,31042,0
20110128,41.043,41.043,40.517,40.956,1265,0
20110131,39.98,39.98,39.493,39.649,643,0
20110201,39.054,39.054,37.445,39.044,19454,0
20110202,38.332,40.663,37.309,40.663,8444,0
20110203,40.663,40.663,40.644,40.644,205,0
20110204,39.512,39.737,39.103,39.347,9845,0
20110207,39.395,39.98,39.395,39.98,1337,0
20110208,40.078,40.458,39.444,39.98,49078,0
20110209,40.156,40.468,39.688,39.98,25486,0
20110210,39.98,39.98,39.493,39.493,2162,0
20110211,39.356,39.493,39.356,39.493,214,0
20110214,38.518,39.493,37.543,39.395,5748,0
20110215,39.971,39.971,39.054,39.493,201229,0
20110216,39.025,39.493,39.025,39.2,6560,0
20110217,38.518,39.395,38.518,38.518,15149,0
20110218,38.137,39.298,38.137,39.005,592,0
20110221,39.005,42.886,38.225,42.418,25374,0
20110222,42.808,42.808,41.775,42.418,2016,0
20110223,42.223,42.418,41.775,42.418,5932,0
20110224,42.418,42.418,41.931,41.931,690,0
20110225,40.956,41.833,40.956,41.833,256,0
20110228,40.185,41.931,40.185,41.931,2360,0
20110301,41.248,41.833,40.965,41.004,451,0
20110302,40.956,41.921,40.224,40.956,2984,0
20110303,40.956,40.956,40.858,40.956,2177,0
20110304,40.956,40.956,40.468,40.956,202,0
20110307,41.833,41.833,40.956,40.956,599,0
20110308,40.956,41.248,39.98,41.248,637,0
20110309,41.053,41.053,40.341,40.341,185,0
20110310,40.37,40.37,39.298,40.175,958,0
20110311,39.493,40.175,39.493,40.175,104,0
20110314,39.21,39.21,38.615,39.005,1249,0
20110315,37.572,38.05,37.055,37.143,7932,0
20110316,37.055,38.518,37.055,38.508,1189,0
20110317,38.03,38.03,38.03,38.03,410,0
20110318,38.03,39.005,37.396,38.908,1220,0
20110321,38.908,40.956,37.153,40.907,2188,0
20110322,39.893,40.907,39.405,40.907,548,0
20110323,40.907,40.907,40.907,40.907,1,0
20110324,40.897,40.897,39.98,39.98,9037,0
20110325,39.971,40.946,39.737,40.517,12564,0
20110328,39.249,39.785,39.064,39.785,1793,0
20110329,39.785,39.98,39.005,39.98,7259,0
20110330,39.493,39.971,39.493,39.971,692,0
20110331,39.21,39.776,39.2,39.249,225,0
20110401,39.493,39.98,39.103,39.98,720,0
20110404,38.761,40.468,37.153,40.458,804,0
20110405,39.98,40.175,39.21,40.175,504,0
20110406,39.269,40.078,39.269,40.078,724,0
20110407,39.688,39.873,39.59,39.59,2140,0
20110408,39.59,40.517,39.59,40.292,55870,0
20110411,40.858,40.858,40.351,40.761,3954,0
20110412,40.761,40.761,40.273,40.273,1405,0
20110413,40.751,40.761,40.078,40.663,617,0
20110414,40.468,40.761,40.37,40.761,430,0
20110415,40.127,40.761,40.127,40.127,253,0
20110418,40.127,40.127,39.59,39.59,226,0
20110419,39.493,39.493,39.493,39.493,28,0
20110420,39.493,39.493,39.298,39.493,441,0
20110421,39.152,39.298,39.103,39.298,323,0
20110426,39.493,39.493,38.03,39.347,2085,0
20110427,39.005,39.005,39.005,39.005,584,0
20110428,39.005,39.2,39.005,39.2,1118,0
20110429,39.005,39.005,38.225,39.005,632,0
20110502,38.908,38.908,38.42,38.469,217,0
20110504,38.157,38.215,38.03,38.03,1232,0
20110505,37.835,38.03,37.289,38.03,446,0
20110506,37.64,37.689,37.64,37.689,113,0
20110509,37.445,37.445,37.26,37.299,625,0
20110510,37.299,37.299,36.226,37.201,1593,0
20110511,37.055,37.162,36.08,36.86,660,0
20110512,36.08,36.567,35.982,35.982,2836,0
20110513,36.08,36.275,36.08,36.275,304,0
20110516,36.08,36.997,36.08,36.997,340,0
20110517,36.762,37.972,36.762,37.972,371,0
20110518,37.055,37.104,37.055,37.104,240,0
20110519,36.811,36.811,36.665,36.665,561,0
20110520,37.153,37.153,37.055,37.055,133,0
20110523,37.494,37.494,36.665,36.665,182,0
20110525,36.86,36.86,36.86,36.86,51,0
20110526,36.47,36.47,36.47,36.47,72,0
20110527,37.055,37.543,37.055,37.543,687,0
20110530,37.543,38.03,37.543,38.03,430,0
20110531,37.952,37.952,37.543,37.543,527,0
20110601,37.445,37.64,37.445,37.64,169,0
20110602,37.738,37.933,37.055,37.933,580,0
20110603,37.543,37.543,37.396,37.396,340,0
20110606,37.055,37.055,37.055,37.055,308,0
20110608,36.86,36.86,36.372,36.616,297,0
20110609,36.324,36.324,36.324,36.324,144,0
20110610,33.057,36.567,33.057,34.832,135380,0
20110613,35.592,37.055,34.91,37.055,3260,0
20110614,37.055,37.055,36.08,36.08,11000,0
20110615,35.787,35.787,34.286,34.286,7921,0
20110616,34.52,34.52,33.154,33.74,21798,0
20110617,33.252,33.252,32.696,32.716,6239,0
20110620,32.716,33.154,32.716,33.154,10048,0
20110621,33.154,33.262,33.008,33.154,13629,0
20110622,33.252,33.252,33.252,33.252,233,0
20110624,32.667,32.911,31.984,32.277,202,0
20110627,32.179,32.179,31.692,32.179,709,0
20110628,32.082,32.179,32.082,32.179,861,0
20110629,31.302,32.618,31.302,32.618,981,0
20110630,33.154,33.154,32.911,33.154,2271,0
20110701,34.958,34.958,32.423,32.423,1517,0
20110704,33.642,33.642,32.423,33.252,3423,0
20110705,32.033,32.862,32.033,32.033,220,0
20110706,31.741,32.911,31.204,32.082,1195,0
20110707,31.682,32.082,31.682,31.692,1584,0
20110708,32.179,33.057,32.179,32.667,3999,0
20110711,32.179,32.326,31.692,32.326,1545,0
20110712,32.179,33.154,32.179,33.154,2434,0
20110713,33.154,33.154,32.667,32.911,188,0
20110714,32.911,32.959,32.569,32.569,955,0
20110715,32.277,32.667,32.277,32.667,2164,0
20110718,32.472,32.472,32.082,32.228,3589,0
20110719,32.277,32.277,32.228,32.228,820,0
20110720,32.423,32.423,32.423,32.423,308,0
20110721,32.179,32.521,32.179,32.521,194,0
20110722,32.189,32.472,32.179,32.423,579,0
20110725,32.277,32.423,32.277,32.423,305,0
20110726,32.423,32.423,32.423,32.423,5230,0
20110727,32.423,32.423,32.326,32.326,711,0
20110728,32.423,32.764,32.374,32.667,9579,0
20110729,32.423,32.667,32.423,32.667,1833,0
20110801,32.667,32.667,32.472,32.472,169,0
20110803,32.667,32.667,32.16,32.667,6924,0
20110804,32.179,32.179,31.692,32.179,4231,0
20110805,30.57,31.692,30.57,31.692,2307,0
20110808,31.204,31.204,29.156,30.229,7108,0
20110809,29.254,29.254,28.23,28.25,9980,0
20110810,28.298,29.254,28.289,29.254,10451,0
20110811,28.328,28.328,27.304,27.304,98456,0
20110812,27.791,27.791,27.06,27.304,4784,0
20110816,27.304,27.304,27.011,27.304,6180,0
20110817,27.304,27.304,27.167,27.304,3796,0
20110818,27.304,27.304,27.011,27.011,2564,0
20110819,26.816,26.816,25.402,26.231,6614,0
20110822,26.231,26.329,26.182,26.182,5950,0
20110823,26.182,26.182,26.134,26.182,2396,0
20110824,26.143,26.182,26.143,26.182,2303,0
20110825,26.182,26.182,26.153,26.182,1026,0
20110826,25.451,26.182,25.451,26.182,1343,0
20110829,25.841,25.841,25.597,25.841,496,0
