Date,Open,High,Low,Close,Volume,OpenInt
19980402,2.1945,2.1945,2.1945,2.1945,0,0
19980407,2.6502,2.6502,2.6502,2.6502,729293,0
19980408,2.566,2.566,2.566,2.566,366744,0
19980409,2.448,2.448,2.448,2.448,248652,0
19980414,2.3629,2.3629,2.3629,2.3629,190751,0
19980415,2.4055,2.4055,2.4055,2.4055,143516,0
19980416,2.4817,2.4817,2.4817,2.4817,90431,0
19980417,2.448,2.448,2.448,2.448,93278,0
19980420,2.5322,2.5322,2.5322,2.5322,102449,0
19980421,2.3629,2.3629,2.3629,2.3629,84191,0
19980422,2.3718,2.3718,2.3718,2.3718,108014,0
19980423,2.4055,2.4055,2.4055,2.4055,75674,0
19980424,2.5065,2.5065,2.5065,2.5065,137044,0
19980427,2.448,2.448,2.448,2.448,140775,0
19980428,2.3629,2.3629,2.3629,2.3629,141503,0
19980429,2.3629,2.3629,2.3629,2.3629,75495,0
19980430,2.3629,2.3629,2.3629,2.3629,51282,0
19980504,2.3629,2.3629,2.3629,2.3629,52094,0
19980505,2.3629,2.3629,2.3629,2.3629,98506,0
19980506,2.2787,2.2787,2.2787,2.2787,44304,0
19980507,2.2787,2.2787,2.2787,2.2787,47425,0
19980508,2.1865,2.1865,2.1865,2.1865,176414,0
19980511,2.2033,2.2033,2.2033,2.2033,107003,0
19980512,2.1945,2.1945,2.1945,2.1945,76275,0
19980513,1.9834,1.9834,1.9834,1.9834,136211,0
19980514,1.9834,1.9834,1.9834,1.9834,160899,0
19980515,1.9834,1.9834,1.9834,1.9834,144486,0
19980518,1.9754,1.9754,1.9754,1.9754,43630,0
19980519,1.9409,1.9409,1.9409,1.9409,89589,0
19980520,1.7467,1.7467,1.7467,1.7467,186292,0
19980521,1.8991,1.8991,1.8991,1.8991,308631,0
19980522,1.9754,1.9754,1.9754,1.9754,315599,0
19980525,1.8567,1.8567,1.8567,1.8567,47930,0
19980526,1.8487,1.8487,1.8487,1.8487,105358,0
19980527,1.7724,1.7724,1.7724,1.7724,140744,0
19980528,1.6882,1.6882,1.6882,1.6882,190139,0
19980529,1.7387,1.7387,1.7387,1.7387,118355,0
19980601,1.6794,1.6794,1.6794,1.6794,100277,0
19980602,1.5613,1.5613,1.5613,1.5613,135885,0
19980603,1.5782,1.5782,1.5782,1.5782,193502,0
19980604,1.6456,1.6456,1.6456,1.6456,197645,0
19980605,1.6288,1.6288,1.6288,1.6288,176742,0
19980608,1.6456,1.6456,1.6456,1.6456,97947,0
19980609,1.6456,1.6456,1.6456,1.6456,154585,0
19980610,1.5951,1.5951,1.5951,1.5951,123509,0
19980615,1.4435,1.4435,1.4435,1.4435,138836,0
19980616,1.4346,1.4346,1.4346,1.4346,251035,0
19980617,1.5702,1.5702,1.5702,1.5702,89030,0
19980618,1.6039,1.6039,1.6039,1.6039,236161,0
19980619,1.6545,1.6545,1.6545,1.6545,218010,0
19980622,1.7298,1.7298,1.7298,1.7298,200860,0
19980623,1.8061,1.8061,1.8061,1.8061,163249,0
19980624,1.7724,1.7724,1.7724,1.7724,163681,0
19980625,1.8567,1.8567,1.8567,1.8567,141166,0
19980626,1.8991,1.8991,1.8991,1.8991,149040,0
19980629,1.9409,1.9409,1.9409,1.9409,107003,0
19980630,1.9409,1.9409,1.9409,1.9409,84750,0
19980701,1.9834,1.9834,1.9834,1.9834,101668,0
19980702,1.9409,1.9409,1.9409,1.9409,49796,0
19980703,1.8567,1.8567,1.8567,1.8567,75600,0
19980706,1.916,1.916,1.916,1.916,126756,0
19980707,1.9577,1.9577,1.9577,1.9577,177068,0
19980708,1.9409,1.9409,1.9409,1.9409,89335,0
19980709,1.9409,1.9409,1.9409,1.9409,48088,0
19980710,1.8149,1.8149,1.8149,1.8149,51567,0
19980713,1.9754,1.9754,1.9754,1.9754,82895,0
19980714,2.0091,2.0091,2.0091,2.0091,159465,0
19980715,1.9834,1.9834,1.9834,1.9834,128959,0
19980716,1.9409,1.9409,1.9409,1.9409,71469,0
19980717,1.9923,1.9923,1.9923,1.9923,57796,0
19980720,2.0596,2.0596,2.0596,2.0596,145456,0
19980721,2.026,2.026,2.026,2.026,140618,0
19980722,1.8991,1.8991,1.8991,1.8991,86299,0
19980723,1.8567,1.8567,1.8567,1.8567,58893,0
19980724,1.9072,1.9072,1.9072,1.9072,96872,0
19980727,1.8567,1.8567,1.8567,1.8567,86511,0
19980728,1.7724,1.7724,1.7724,1.7724,93932,0
19980729,1.6882,1.6882,1.6882,1.6882,127473,0
19980730,1.7724,1.7724,1.7724,1.7724,122782,0
19980731,1.7298,1.7298,1.7298,1.7298,57933,0
19980803,1.6376,1.6376,1.6376,1.6376,143200,0
19980804,1.5782,1.5782,1.5782,1.5782,120537,0
19980805,1.5782,1.5782,1.5782,1.5782,183382,0
19980806,1.6119,1.6119,1.6119,1.6119,86932,0
19980807,1.5871,1.5871,1.5871,1.5871,83412,0
19980810,1.5871,1.5871,1.5871,1.5871,44294,0
19980811,1.5189,1.5189,1.5189,1.5189,47107,0
19980812,1.5189,1.5189,1.5189,1.5189,178017,0
19980813,1.5613,1.5613,1.5613,1.5613,109733,0
19980814,1.5365,1.5365,1.5365,1.5365,93636,0
19980817,1.5445,1.5445,1.5445,1.5445,99708,0
19980818,1.5951,1.5951,1.5951,1.5951,65207,0
19980819,1.6456,1.6456,1.6456,1.6456,196643,0
19980820,1.6039,1.6039,1.6039,1.6039,154616,0
19980821,1.6039,1.6039,1.6039,1.6039,58829,0
19980824,1.5613,1.5613,1.5613,1.5613,126915,0
19980825,1.5871,1.5871,1.5871,1.5871,65354,0
19980826,1.5613,1.5613,1.5613,1.5613,47530,0
19980827,1.4097,1.4097,1.4097,1.4097,138635,0
19980828,1.2741,1.2741,1.2741,1.2741,0,0
19980831,1.2067,1.2067,1.2067,1.2067,277482,0
19980901,1.0888,1.0888,1.0888,1.0888,198024,0
19980902,1.1145,1.1145,1.1145,1.1145,123593,0
19980903,1.1057,1.1057,1.1057,1.1057,370096,0
19980904,1.0294,1.0294,1.0294,1.0294,139142,0
19980907,1.1314,1.1314,1.1314,1.1314,131574,0
19980908,1.173,1.173,1.173,1.173,287812,0
19980909,1.1987,1.1987,1.1987,1.1987,188990,0
19980910,1.165,1.165,1.165,1.165,75042,0
19980911,1.1225,1.1225,1.1225,1.1225,75558,0
19980914,1.2324,1.2324,1.2324,1.2324,144897,0
19980915,1.283,1.283,1.283,1.283,128000,0
19980916,1.2404,1.2404,1.2404,1.2404,127431,0
19980917,1.2236,1.2236,1.2236,1.2236,109985,0
19980918,1.1482,1.1482,1.1482,1.1482,41848,0
19980921,1.0976,1.0976,1.0976,1.0976,219792,0
19980922,1.1562,1.1562,1.1562,1.1562,73450,0
19980923,1.173,1.173,1.173,1.173,127505,0
19980924,1.2236,1.2236,1.2236,1.2236,153857,0
19980925,1.1482,1.1482,1.1482,1.1482,153024,0
19980928,1.1314,1.1314,1.1314,1.1314,140080,0
19980929,1.08,1.08,1.08,1.08,459136,0
19980930,1.0551,1.0551,1.0551,1.0551,177374,0
19981001,1.0125,1.0125,1.0125,1.0125,114507,0
19981002,0.9709,0.9709,0.9709,0.9709,145930,0
19981005,0.9789,0.9789,0.9789,0.9789,133787,0
19981006,0.9283,0.9283,0.9283,0.9283,52273,0
19981007,0.962,0.962,0.962,0.962,119335,0
19981008,0.9283,0.9283,0.9283,0.9283,36209,0
19981009,0.8689,0.8689,0.8689,0.8689,40793,0
19981012,0.9283,0.9283,0.9283,0.9283,148197,0
19981013,0.9283,0.9283,0.9283,0.9283,59789,0
19981014,0.8946,0.8946,0.8946,0.8946,45495,0
19981015,0.9115,0.9115,0.9115,0.9115,46697,0
19981016,0.9283,0.9283,0.9283,0.9283,72365,0
19981019,0.9283,0.9283,0.9283,0.9283,83612,0
19981020,0.9203,0.9203,0.9203,0.9203,63089,0
19981021,0.9203,0.9203,0.9203,0.9203,113896,0
19981022,0.9283,0.9283,0.9283,0.9283,140344,0
19981023,0.954,0.954,0.954,0.954,146753,0
19981026,1.0045,1.0045,1.0045,1.0045,234949,0
19981027,1.0462,1.0462,1.0462,1.0462,99012,0
19981028,0.954,0.954,0.954,0.954,120178,0
19981029,1.0125,1.0125,1.0125,1.0125,188738,0
19981030,1.0125,1.0125,1.0125,1.0125,151581,0
19981102,1.0888,1.0888,1.0888,1.0888,192163,0
19981103,1.0551,1.0551,1.0551,1.0551,127525,0
19981104,1.0462,1.0462,1.0462,1.0462,87248,0
19981105,1.0551,1.0551,1.0551,1.0551,142315,0
19981106,1.0214,1.0214,1.0214,1.0214,83211,0
19981109,1.0462,1.0462,1.0462,1.0462,49838,0
19981110,1.0551,1.0551,1.0551,1.0551,108320,0
19981112,1.0294,1.0294,1.0294,1.0294,41985,0
19981113,1.0214,1.0214,1.0214,1.0214,53949,0
19981116,1.0551,1.0551,1.0551,1.0551,51061,0
19981117,1.0888,1.0888,1.0888,1.0888,156840,0
19981118,1.0719,1.0719,1.0719,1.0719,63141,0
19981119,1.0125,1.0125,1.0125,1.0125,65038,0
19981120,1.0125,1.0125,1.0125,1.0125,58787,0
19981123,1.0294,1.0294,1.0294,1.0294,69107,0
19981124,1.0462,1.0462,1.0462,1.0462,116542,0
19981125,1.0045,1.0045,1.0045,1.0045,31149,0
19981126,1.0045,1.0045,1.0045,1.0045,32456,0
19981127,0.9877,0.9877,0.9877,0.9877,116752,0
19981130,0.8946,0.8946,0.8946,0.8946,108203,0
19981201,0.9203,0.9203,0.9203,0.9203,52157,0
19981202,0.9035,0.9035,0.9035,0.9035,47592,0
19981203,0.8689,0.8689,0.8689,0.8689,68190,0
19981204,0.9035,0.9035,0.9035,0.9035,149999,0
19981207,0.9283,0.9283,0.9283,0.9283,244184,0
