Date,Open,High,Low,Close,Volume,OpenInt
19971030,0.82,0.82,0.46,0.76,1233502,0
19971031,0.68,0.79,0.68,0.76,199829,0
19971103,0.78,0.87,0.78,0.87,258851,0
19971104,0.88,0.96,0.88,0.96,602655,0
19971105,0.97,1.03,0.97,1,508365,0
19971106,1.03,1.03,0.84,0.91,272618,0
19971107,0.9,0.91,0.87,0.91,80759,0
19971112,0.9,0.93,0.84,0.84,398184,0
19971113,0.84,0.85,0.84,0.85,183372,0
19971114,0.9,0.9,0.85,0.85,74999,0
19971117,0.85,0.88,0.85,0.88,54167,0
19971118,0.84,0.88,0.82,0.85,181403,0
19971119,0.85,0.85,0.84,0.85,8797,0
19971120,0.85,0.85,0.84,0.84,19501,0
19971121,0.85,0.88,0.85,0.88,11914,0
19971124,0.88,0.88,0.87,0.87,6516,0
19971125,0.82,0.84,0.82,0.82,39449,0
19971126,0.87,0.87,0.81,0.81,30284,0
19971127,0.81,0.81,0.81,0.81,2630,0
19971128,0.81,0.82,0.79,0.82,27522,0
19971201,0.81,0.81,0.81,0.81,657,0
19971202,0.82,0.82,0.82,0.82,45892,0
19971203,0.82,0.82,0.82,0.82,119205,0
19971204,0.82,0.88,0.82,0.88,55012,0
19971205,0.88,0.88,0.88,0.88,21316,0
19971208,0.9,0.9,0.87,0.88,86104,0
19971209,0.9,0.9,0.9,0.9,9862,0
19971210,0.9,0.9,0.9,0.9,1499,0
19971211,0.88,0.88,0.87,0.88,29258,0
19971212,0.84,0.99,0.84,0.99,17588,0
19971215,0.9,0.91,0.9,0.91,1696,0
19971216,0.91,0.91,0.91,0.91,1315,0
19971217,0.91,0.91,0.91,0.91,21697,0
19971218,0.9,0.93,0.9,0.93,91324,0
19971219,0.93,0.93,0.91,0.91,193957,0
19971222,0.93,0.93,0.91,0.91,44380,0
19971223,0.91,0.93,0.91,0.91,77912,0
19971229,0.93,0.94,0.93,0.94,80772,0
19971230,0.93,0.94,0.93,0.93,49969,0
19971231,0.93,0.93,0.91,0.91,85696,0
19980105,0.91,0.91,0.91,0.91,12328,0
19980106,0.94,0.94,0.93,0.93,27286,0
19980107,0.96,0.99,0.96,0.96,35767,0
19980108,0.93,1.05,0.91,1.05,93034,0
19980109,1.06,1.14,1.06,1.13,123935,0
19980112,1.13,1.14,1.08,1.08,157947,0
19980113,1.08,1.26,1.08,1.23,265906,0
19980114,1.28,1.49,1.28,1.48,319043,0
19980115,1.44,1.49,1.37,1.37,309924,0
19980116,1.37,1.44,1.37,1.4,153660,0
19980119,1.37,1.44,1.37,1.44,46681,0
19980120,1.43,1.43,1.38,1.4,18344,0
19980121,1.37,1.4,1.37,1.38,42664,0
19980122,1.38,1.4,1.37,1.37,66833,0
19980123,1.38,1.38,1.29,1.29,104967,0
19980126,1.35,1.35,1.31,1.35,314737,0
19980127,1.32,1.41,1.32,1.41,84230,0
19980128,1.4,1.44,1.4,1.43,40435,0
19980129,1.43,1.43,1.38,1.4,74032,0
19980130,1.44,1.44,1.38,1.38,45399,0
19980202,1.41,1.41,1.37,1.38,277898,0
19980203,1.38,1.38,1.37,1.38,40895,0
19980204,1.35,1.41,1.35,1.38,646279,0
19980205,1.41,1.48,1.41,1.48,118248,0
19980206,1.49,1.75,1.49,1.66,505709,0
19980209,1.75,1.79,1.63,1.69,499785,0
19980210,1.67,1.7,1.6,1.67,69364,0
19980211,1.67,1.67,1.61,1.63,25642,0
19980212,1.66,1.75,1.64,1.72,129563,0
19980213,1.73,1.87,1.73,1.84,337611,0
19980216,1.83,1.9,1.83,1.89,28620,0
19980217,1.89,1.92,1.81,1.83,121680,0
19980218,1.87,1.89,1.84,1.86,39699,0
19980219,1.87,1.9,1.86,1.89,30244,0
19980220,1.87,1.89,1.87,1.89,44347,0
19980223,1.86,1.89,1.84,1.86,55768,0
19980224,1.86,1.87,1.84,1.87,32545,0
19980225,1.86,1.86,1.75,1.83,53946,0
19980226,1.75,1.83,1.75,1.83,6739,0
19980227,1.81,1.83,1.79,1.83,35833,0
19980302,1.84,1.89,1.83,1.83,8435,0
19980303,1.84,1.84,1.79,1.79,22026,0
19980304,1.79,1.83,1.78,1.79,13807,0
19980305,1.78,1.79,1.72,1.73,47339,0
19980306,1.69,1.72,1.67,1.67,51612,0
19980309,1.69,1.69,1.64,1.64,36951,0
19980310,1.69,1.69,1.58,1.6,21105,0
19980311,1.6,1.73,1.55,1.66,67523,0
19980312,1.6,1.61,1.6,1.6,5917,0
19980313,1.61,1.61,1.6,1.6,14991,0
19980316,1.6,1.63,1.55,1.61,29061,0
19980317,1.58,1.6,1.58,1.6,10474,0
19980318,1.55,1.55,1.54,1.55,9205,0
19980319,1.58,1.58,1.58,1.58,1111,0
19980320,1.57,1.58,1.54,1.54,20711,0
19980323,1.57,1.6,1.55,1.6,27286,0
19980324,1.6,1.67,1.6,1.67,20382,0
19980325,1.67,1.73,1.63,1.7,52408,0
19980326,1.72,1.73,1.64,1.72,62020,0
19980327,1.72,1.73,1.64,1.64,187757,0
19980330,1.63,1.7,1.63,1.7,56728,0
19980331,1.69,1.72,1.67,1.72,28666,0
19980401,1.73,1.83,1.7,1.81,1050952,0
19980402,1.86,1.98,1.86,1.98,133028,0
19980406,1.95,2.02,1.86,1.98,52868,0
19980407,1.98,2.07,1.98,2.07,194266,0
19980408,2.04,2.05,1.95,1.95,46293,0
19980409,1.99,2.08,1.99,2.08,43427,0
19980414,2.08,2.13,2.07,2.13,52073,0
