Date,Open,High,Low,Close,Volume,OpenInt
19951211,16.713,17.016,16.713,17.016,766,0
19951212,16.826,16.912,16.756,16.912,1036,0
19951222,16.123,16.574,16.123,16.574,3286,0
19951227,16.027,16.713,16.027,16.713,4522,0
19951228,16.756,16.903,16.522,16.903,5521,0
19951229,16.921,16.999,16.921,16.921,5123,0
19960104,17.277,18.655,17.277,18.577,1614,0
19960105,19.757,23.087,19.757,21.596,1091,0
19960108,22.168,23.391,22.168,22.94,7680,0
19960109,22.957,22.957,21.431,22.957,3918,0
19960110,22.203,22.732,22.125,22.585,2993,0
19960111,21.882,22.038,21.5,21.656,993,0
19960112,20.728,21.491,20.199,21.179,3666,0
19960115,20.667,21.266,20.503,21.04,1908,0
19960116,21.066,21.986,21.066,21.908,1464,0
19960117,21.795,22.107,21.344,21.726,451,0
19960118,21.258,21.942,21.258,21.717,1141,0
19960119,21.769,22.228,21.544,21.925,1575,0
19960122,22.038,22.264,22.038,22.038,3074,0
19960123,22.029,22.645,22.029,22.645,2658,0
19960124,22.384,22.983,22.384,22.688,10322,0
19960125,23.018,23.625,22.792,23.322,8451,0
19960126,23.131,23.131,22.983,23.131,2555,0
19960129,23.096,23.989,23.096,23.989,2082,0
19960130,24.102,26.366,24.102,26.21,2074,0
19960131,26.253,26.782,26.253,26.782,5474,0
19960201,26.868,27.173,26.417,26.791,5885,0
19960202,26.765,26.765,25.863,26.236,3527,0
19960205,26.131,26.279,25.975,26.21,1610,0
19960206,25.715,25.863,25.411,25.715,1442,0
19960207,25.473,25.706,25.473,25.629,594,0
19960208,25.464,25.603,25.385,25.603,1525,0
19960209,25.715,27.146,25.715,26.539,6681,0
19960212,26.079,26.912,25.932,26.609,984,0
19960213,26.357,26.73,25.975,26.435,2777,0
19960214,26.097,26.244,25.49,26.244,3622,0
19960215,25.767,25.767,22.741,23.573,1693,0
19960216,22.61,23.217,21.101,21.709,857,0
19960219,21.526,21.604,20.329,21.231,3918,0
19960220,21.397,21.397,20.641,20.641,250,0
19960221,21.04,21.873,20.893,21.873,299,0
19960222,22.671,23.573,22.671,23.426,1164,0
19960223,24.059,25.863,24.059,25.559,3475,0
19960226,25.923,26.834,25.923,26.609,745,0
19960227,26.4,26.4,25.195,25.567,1755,0
19960228,25.195,25.949,25.195,25.793,2055,0
19960229,25.533,25.611,25.161,25.385,1068,0
19960301,25.498,25.958,25.498,25.88,941,0
19960304,25.785,26.695,25.785,26.695,3561,0
19960305,26.565,28.299,26.565,27.927,2984,0
19960306,27.91,28.89,27.91,28.282,3885,0
19960307,28.1,28.1,27.493,27.874,897,0
19960308,27.329,27.329,26.487,26.565,5014,0
19960311,25.819,25.819,24.683,25.672,417,0
19960312,26.565,27.329,25.802,27.016,274,0
19960313,26.453,26.678,26.374,26.453,171,0
19960314,27.034,27.415,26.808,27.415,1758,0
19960318,27.199,27.571,27.042,27.199,2405,0
19960319,26.955,26.955,25.672,25.742,1886,0
19960320,25.663,25.733,25.507,25.663,458,0
19960321,25.845,25.845,24.787,24.943,1224,0
19960322,25.221,25.221,23.478,23.781,2222,0
19960325,24.943,24.943,24.258,24.258,1973,0
19960326,24.336,24.336,23.807,23.807,1540,0
19960327,23.548,23.548,23.174,23.548,7067,0
19960328,24.189,24.189,22.818,22.818,1351,0
19960329,23.078,23.46,22.706,23.078,821,0
19960401,23.183,23.252,22.957,22.957,1363,0
19960402,23.339,23.339,22.29,22.29,1939,0
19960403,22.602,22.749,22.523,22.749,1430,0
19960404,23.417,23.417,22.809,22.966,1128,0
19960405,23.078,23.833,22.931,23.382,385,0
19960409,23.625,23.772,22.559,23.096,936,0
19960410,22.992,23.07,22.922,23.07,323,0
19960411,23.096,23.096,21.587,22.194,1085,0
19960412,22.706,22.706,22.09,22.393,1817,0
19960415,22.845,22.922,22.541,22.619,1294,0
19960416,23.226,23.304,22.706,23.001,1217,0
19960417,23.174,23.174,21.353,21.882,2534,0
19960418,22.324,22.706,22.324,22.549,2049,0
19960419,22.662,23.721,22.662,23.339,4590,0
19960422,23.555,23.937,23.33,23.555,2087,0
19960423,24.033,24.033,23.435,23.729,2040,0
19960424,23.816,23.816,23.521,23.738,1368,0
19960425,23.911,24.285,23.833,24.215,1026,0
19960426,24.362,24.51,24.137,24.441,1276,0
19960429,24.484,24.64,24.415,24.484,600,0
19960430,24.241,24.544,24.172,24.172,758,0
19960502,23.929,23.997,23.929,23.929,1130,0
19960503,24.119,24.571,24.119,24.492,1470,0
19960506,24.431,24.579,24.354,24.501,1186,0
19960507,24.441,24.441,24.215,24.215,1853,0
19960508,24.518,25.498,24.371,25.048,3074,0
19960509,25.221,25.603,25.073,25.524,2181,0
19960510,25.594,25.594,24.683,24.683,939,0
19960513,24.892,25.559,24.441,25.559,1526,0
19960514,26.131,28.742,26.131,28.517,10215,0
19960515,30.191,30.191,27.181,27.78,3442,0
19960516,27.797,27.953,27.199,27.423,1976,0
19960517,27.233,27.233,26.323,26.548,1110,0
19960520,26.461,27.146,26.461,26.912,1208,0
19960521,27.094,27.242,26.791,26.791,4026,0
19960522,27.103,27.103,26.348,26.799,1719,0
19960523,26.53,26.686,26.305,26.383,1296,0
19960524,26.279,27.259,25.828,26.582,3022,0
19960528,26.34,26.34,26.192,26.34,1758,0
19960529,26.261,26.791,26.261,26.643,1375,0
19960530,26.678,27.06,26.6,26.748,1372,0
19960531,26.383,26.461,26.227,26.227,455,0
19960603,26.556,26.782,26.556,26.556,1273,0
19960604,26.652,27.103,26.652,26.799,2759,0
19960605,26.617,26.617,26.461,26.461,903,0
19960606,26.261,26.261,25.048,26.036,1330,0
19960607,25.836,25.836,25.082,25.385,443,0
19960610,25.42,25.793,25.039,25.646,478,0
19960611,25.715,25.715,24.96,25.334,1045,0
19960612,25.516,25.75,25.516,25.68,1212,0
19960613,25.967,25.967,25.663,25.898,218,0
19960614,25.715,25.715,25.099,25.481,470,0
19960617,25.169,25.403,25.091,25.169,445,0
19960618,24.016,24.319,23.642,24.016,1470,0
19960619,24.249,25.325,24.102,25.169,4423,0
19960620,25.195,25.654,25.195,25.577,834,0
19960621,25.247,25.247,25.099,25.178,2306,0
19960624,25.178,25.247,24.484,24.484,196,0
19960625,24.64,24.64,24.258,24.336,1333,0
19960626,24.362,24.362,23.911,24.059,1320,0
19960627,24.223,25.281,24.223,24.822,4503,0
19960628,25.03,25.411,25.03,25.334,1409,0
19960701,25.281,25.438,25.134,25.212,770,0
19960702,25.247,25.473,25.178,25.403,551,0
19960703,25.438,25.438,25.134,25.281,475,0
19960704,25.221,25.915,25.221,25.915,487,0
19960705,25.759,26.513,25.611,26.062,656,0
19960708,26.028,26.028,25.204,25.43,1331,0
19960709,25.048,25.654,24.588,25.577,1016,0
19960710,24.674,25.438,24.518,25.204,455,0
19960711,24.917,25.299,24.614,24.986,864,0
19960712,24.223,25.134,24.223,24.978,1171,0
19960715,24.779,25.013,24.779,25.013,364,0
19960716,24.041,24.041,22.29,22.446,1156,0
19960717,22.671,23.729,22.671,23.356,2402,0
19960718,23.729,23.807,23.651,23.651,2255,0
19960719,24.033,25.334,24.033,25.255,1186,0
19960722,25.229,25.229,25.004,25.082,428,0
19960723,25.03,25.186,24.571,24.571,254,0
19960724,24.223,24.527,23.704,23.851,498,0
19960725,23.66,24.189,23.279,23.435,1971,0
19960726,23.452,23.599,23.452,23.521,348,0
19960729,22.792,23.548,22.792,23.399,74,0
19960730,22.818,22.818,22.367,22.741,1339,0
19960731,22.897,22.897,22.359,22.446,1155,0
19960801,22.723,23.018,22.42,22.723,3943,0
19960802,23.053,24.561,23.053,24.561,1093,0
19960805,24.605,25.507,24.605,25.438,2022,0
19960806,25.524,25.524,24.31,24.31,1734,0
