Date,Open,High,Low,Close,Volume,OpenInt
20061220,22.11,22.8,21.79,22.18,450820,0
20061221,22.5,22.95,22.21,22.95,75946,0
20061222,23,23.97,23,23.97,89419,0
20061227,24.2,24.98,24,24.68,40206,0
20061228,24.66,24.66,24.01,24.39,19509,0
20061229,24.4,25.09,23.99,25,29199,0
20070102,24.06,25,24.06,25,8845,0
20070103,25,25.3,24.5,25.3,21234,0
20070104,25,25.15,24.6,25.15,86442,0
20070105,25.19,25.19,24.8,25,9508,0
20070108,25.21,27.7,25.21,26.79,54553,0
20070109,26.9,27.9,26.57,27.9,32153,0
20070110,27.41,28.2,26.81,26.85,38674,0
20070111,27.3,27.8,27,27.55,10638,0
20070112,27.6,28,27.5,27.6,24321,0
20070115,27.8,27.9,27,27.1,19342,0
20070116,27,27.9,26.01,27.85,45282,0
20070117,27.99,29.8,27.25,29.5,35639,0
20070118,29.99,30.1,28.9,29.99,34342,0
20070119,29.88,29.88,28.5,28.9,8824,0
20070122,28.9,28.9,27,27.2,8013,0
20070123,28.2,28.5,26.15,26.49,40004,0
20070124,26.4,27.24,25.41,25.52,40270,0
20070125,25.7,26.25,25.5,25.51,18728,0
20070126,25.9,26.2,25.3,25.78,45397,0
20070129,26.29,27.71,26.2,26.35,9594,0
20070130,26.6,27.52,26.6,27.49,13810,0
20070131,27.66,28,27.55,27.97,26232,0
20070201,28.3,28.55,27.11,28.55,123299,0
20070202,28.3,28.59,27.8,28.4,32837,0
20070205,27.91,28.59,27.9,28.5,13120,0
20070206,28.3,28.45,28.1,28.16,5763,0
20070207,28.5,28.53,28.2,28.5,16057,0
20070208,28.59,28.9,28.11,28.5,23115,0
20070209,28,28.49,27.8,28.48,8235,0
20070212,28,28.1,26.3,28.1,14875,0
20070213,28,28,27.1,28,26487,0
20070214,28,28.3,28,28.1,37239,0
20070215,28.2,28.86,28.2,28.86,27365,0
20070216,28.8,29.3,28.1,29,24671,0
20070219,29.05,29.15,28.5,28.74,11478,0
20070220,28.9,29,28.5,28.6,22839,0
20070221,28.5,28.8,28.5,28.75,3732,0
20070222,28.5,28.65,28.5,28.6,3956,0
20070223,28.6,31,28.6,30,104041,0
20070226,30.45,30.5,29.71,30,19707,0
20070227,30,30,27.5,28.5,37436,0
20070228,27,29.7,27,29.5,27467,0
20070301,29,29.98,29,29.6,22993,0
20070302,29.9,29.9,29.06,29.85,3658,0
20070305,28.9,29,28.51,28.9,7188,0
20070306,29.5,29.99,28.9,29.98,8498,0
20070307,29.99,34.5,29.99,34,71458,0
20070308,35.86,38.9,35.5,36.96,89191,0
20070309,36.8,36.89,35.1,36.2,27536,0
20070312,36.2,38.49,36.2,38.4,44970,0
20070313,38.4,43.49,38,40.4,52200,0
20070314,38.6,42,38.36,42,49207,0
20070315,44.8,45,43,44.72,43866,0
20070316,44.95,45.2,43.2,44.81,34378,0
20070319,45,45,42.81,44.85,14879,0
20070320,44.85,45,44.03,44.55,16318,0
20070321,44.55,44.55,43.01,43.99,15193,0
20070322,44,44.9,42.8,44.2,23262,0
20070323,43.75,44,40.1,43,15911,0
20070326,41.91,42.4,41.6,41.7,12880,0
20070327,41.8,42.5,41,41.5,9459,0
20070328,41.5,42,40.1,40.1,18729,0
20070329,40.16,40.79,39.04,39.5,15112,0
20070330,39.6,40.2,39.6,40.1,10733,0
20070402,40.4,43.75,40,43,23550,0
20070403,43,43.49,41.5,42.2,15117,0
20070404,42.3,46.5,41.01,45.5,57951,0
20070405,46,46.48,45.1,45.5,26398,0
