Date,Open,High,Low,Close,Volume,OpenInt
20081229,1.1502,2.246,1.1321,2.246,206161,0
20081230,1.7298,2.0921,1.7117,1.766,258473,0
20081231,1.7208,2.246,1.7208,2.246,212561,0
20090105,2.1826,2.3638,1.9925,2.083,163087,0
20090106,2.0106,2.0649,1.9019,1.9019,75452,0
20090107,1.8113,2.074,1.7298,1.8657,108499,0
20090108,1.9653,1.9653,1.9019,1.9019,31492,0
20090109,1.9019,1.92,1.8113,1.8838,38585,0
20090112,1.9019,1.9109,1.7298,1.7389,25799,0
20090113,1.7208,1.7208,1.5577,1.6664,29708,0
20090114,1.6936,1.6936,1.4581,1.5396,45318,0
20090115,1.3766,1.5758,1.3766,1.3766,60300,0
20090116,1.5034,1.5034,1.4128,1.4943,23037,0
20090119,1.4943,1.5215,1.4581,1.4581,20258,0
20090120,1.4943,1.4943,1.3766,1.44,23312,0
20090121,1.44,1.4943,1.4038,1.4943,47810,0
20090122,1.4943,1.4943,1.4762,1.4853,33059,0
20090123,1.5215,1.5215,1.4038,1.4943,97912,0
20090126,1.5306,1.5306,1.4581,1.5306,112973,0
20090127,1.5306,1.5668,1.5306,1.5306,63964,0
20090128,1.5306,1.5577,1.4943,1.5396,124442,0
20090129,1.5306,1.5306,1.5125,1.5306,69899,0
20090130,1.5577,1.5668,1.5215,1.5577,66174,0
20090202,1.5577,1.5577,1.4943,1.5487,31488,0
20090203,1.5487,1.5487,1.4853,1.5396,33585,0
20090204,1.5487,1.5487,1.4943,1.5487,38215,0
20090205,1.5487,1.5487,1.5306,1.5396,51719,0
20090206,1.5487,1.5668,1.5396,1.5668,54623,0
20090209,1.4943,1.5577,1.4943,1.5577,18550,0
20090210,1.5577,1.5577,1.5306,1.5396,17867,0
20090211,1.5396,1.5396,1.5125,1.5396,19014,0
20090212,1.5396,1.5487,1.5306,1.5487,28587,0
20090213,1.5487,1.6211,1.5034,1.5849,75560,0
20090216,1.5849,1.594,1.5577,1.5849,67984,0
20090217,1.5849,1.5849,1.5306,1.5758,35191,0
20090218,1.5849,1.5849,1.5668,1.5758,23022,0
20090219,1.5758,1.594,1.5487,1.5849,25365,0
20090220,1.5849,1.5849,1.5396,1.5668,15927,0
20090223,1.5849,1.5849,1.5396,1.5758,14143,0
20090224,1.5758,1.5758,1.5396,1.5668,12421,0
20090225,1.5758,1.5849,1.5487,1.5668,25844,0
20090226,1.5758,1.5758,1.5668,1.5758,13151,0
20090227,1.5668,1.5668,1.5306,1.5306,19434,0
20090302,1.5668,1.5668,1.5125,1.5306,12703,0
20090303,1.5306,1.5396,1.5125,1.5396,6448,0
20090304,1.5306,1.5396,1.5034,1.5306,15204,0
20090305,1.5306,1.5306,1.4943,1.5215,28404,0
20090306,1.5306,1.5306,1.4762,1.4762,59760,0
20090309,1.5396,1.5396,1.4853,1.5306,24728,0
20090310,1.5306,1.5396,1.5215,1.5306,7641,0
20090311,1.5487,1.5577,1.5306,1.5396,38911,0
20090312,1.5396,1.5577,1.4943,1.5487,15469,0
20090313,1.5577,1.5668,1.5577,1.5668,17481,0
20090316,1.5668,1.5668,1.5577,1.5668,14291,0
20090317,1.5577,1.5668,1.5396,1.5668,45178,0
20090318,1.5668,1.5668,1.5306,1.5577,39518,0
20090319,1.5577,1.5577,1.5306,1.5487,40013,0
20090320,1.5577,1.5668,1.5487,1.5577,24079,0
20090323,1.5668,1.5668,1.5396,1.5668,12808,0
20090324,1.5668,1.5668,1.5215,1.5487,15922,0
