Date,Open,High,Low,Close,Volume,OpenInt
20131121,17.55,18.5,15.82,16.01,395371,0
20131122,16.03,16.34,15.55,16,61823,0
20131125,15.93,16.12,15.51,16,29649,0
20131126,15.88,16.1,15.81,16.05,13172,0
20131127,16.1,16.1,15.7,15.96,11326,0
20131128,15.76,15.9,15.68,15.88,6280,0
20131129,15.65,16,15.16,16,20486,0
20131202,16,16,15.54,15.7,9674,0
20131203,15.6,15.6,15.2,15.2,20467,0
20131204,15.2,15.34,14.58,15,12460,0
20131205,14.99,15.49,14.81,15.38,8076,0
20131206,15.45,15.95,15.1,15.89,5033,0
20131209,15.87,15.9,15.6,15.75,6793,0
20131210,15.55,15.6,15.2,15.5,8527,0
20131211,15.4,15.5,15.16,15.44,5396,0
20131212,15.22,15.39,15.15,15.38,4833,0
20131213,15.29,15.39,14.93,15.39,7674,0
20131216,15.3,15.76,15,15.75,4946,0
20131217,15.75,15.75,15.13,15.7,5541,0
20131218,15.25,15.7,15.25,15.63,5928,0
20131219,15.63,15.63,15.15,15.44,2639,0
20131220,15.59,15.59,14.96,15.27,18645,0
20131223,15.01,15.48,15,15.44,2433,0
20131227,15.42,15.85,15.15,15.84,10575,0
20131230,15.36,15.82,15.36,15.8,5553,0
20140102,15.2,15.79,15.02,15.44,16757,0
20140103,15.39,15.39,14.86,15.08,9329,0
20140107,15.04,15.07,14.8,15.07,1595,0
20140108,15.08,15.09,14.76,15.09,1680,0
20140109,14.77,15.05,14.71,14.97,2519,0
20140110,14.97,14.97,14.4,14.78,6009,0
20140113,14.94,14.94,14.66,14.77,1294,0
20140114,14.7,14.89,14.49,14.81,1950,0
20140115,14.5,14.97,14.4,14.72,4067,0
20140116,14.37,14.78,14.37,14.67,4205,0
20140117,14.95,14.95,14.31,14.65,3563,0
20140120,14.38,14.93,14.38,14.8,2405,0
20140121,14.8,14.9,14.45,14.79,975,0
20140122,14.8,14.8,14.49,14.78,2269,0
20140123,14.7,14.77,14.3,14.7,5419,0
20140124,14.3,14.74,14.19,14.7,2975,0
20140127,14.7,14.7,14.01,14.67,1071,0
20140128,14.67,14.67,14.06,14.63,1585,0
20140129,14.63,14.65,14.2,14.58,1898,0
20140130,14.58,14.58,14.25,14.58,280,0
20140131,14.58,14.95,14.15,14.95,4796,0
20140203,14.95,14.95,14.75,14.76,1862,0
20140204,14.94,14.94,14.52,14.89,561,0
20140205,14.89,14.9,14.65,14.9,762,0
20140206,14.89,14.9,14.3,14.83,6277,0
20140207,14.5,14.83,14.32,14.81,5551,0
20140210,14.4,14.9,14.4,14.9,5306,0
20140211,14.8,15.67,14.8,14.99,27595,0
20140212,15.3,15.55,15,15.35,5541,0
20140213,15.35,15.39,15.05,15.24,4166,0
20140214,15.39,15.39,15,15.3,10092,0
20140217,15,15.28,14.91,15.15,2104,0
20140218,14.8,15.05,14.68,15,2564,0
20140219,14.95,15,14.85,15,460,0
20140220,15,15,14.2,14.7,4591,0
20140221,14.42,14.8,14.42,14.79,2447,0
20140224,14.8,15.12,14.55,14.95,3248,0
20140225,15,15.1,14.52,15.1,8773,0
20140226,15.09,15.09,14.21,14.65,17938,0
20140227,14.6,14.75,13.55,14.49,9735,0
20140228,14.49,14.59,14.15,14.43,5657,0
20140303,13.99,13.99,13,13.95,10662,0
20140304,13.95,13.95,13.5,13.8,1267,0
20140305,13.8,13.8,13.1,13.1,10048,0
20140306,13.01,13.09,12.3,13.09,12303,0
20140307,13.1,13.4,12.47,12.8,79113,0
20140310,12.8,13.07,12.5,12.91,4626,0
20140311,12.9,12.95,12.6,12.94,645,0
20140312,12.89,12.89,12.31,12.75,15264,0
20140313,12.89,12.89,12.28,12.73,517,0
20140314,12.5,12.7,11.5,12.39,30620,0
20140317,12,12.85,12,12.85,2520,0
20140318,12.75,12.8,12.05,12.8,3348,0
20140319,12.8,12.8,12.21,12.7,5226,0
20140320,12.8,13.45,12.6,13.35,17607,0
20140321,13.15,13.75,12.95,13.5,7480,0
20140324,13.5,13.5,12.51,13.4,3093,0
20140325,13.4,13.4,12.7,13.26,227,0
20140326,13.26,13.26,12.9,13.26,849,0
