Date,Open,High,Low,Close,Volume,OpenInt
19920528,0.45,0.45,0.45,0.45,314222,0
19920602,0.45,0.45,0.45,0.45,466666,0
19920604,0.45,0.45,0.45,0.45,341888,0
19920609,0.28,0.28,0.28,0.28,330702,0
19920611,0.26,0.26,0.26,0.26,73462,0
19920616,0.24,0.24,0.24,0.24,262500,0
19920623,0.24,0.24,0.24,0.24,169376,0
19920625,0.26,0.26,0.26,0.26,170576,0
19920630,0.28,0.28,0.28,0.28,98422,0
19920702,0.32,0.32,0.32,0.32,0,0
19920707,0.34,0.34,0.34,0.34,331160,0
19920709,0.34,0.34,0.34,0.34,354928,0
19920714,0.32,0.32,0.32,0.32,183282,0
19920716,0.33,0.33,0.33,0.33,74394,0
19920721,0.34,0.34,0.34,0.34,185072,0
19920723,0.35,0.35,0.35,0.35,241572,0
19920728,0.34,0.34,0.34,0.34,144782,0
19920730,0.34,0.34,0.34,0.34,184776,0
19920804,0.34,0.34,0.34,0.34,134638,0
19920806,0.34,0.34,0.34,0.34,133334,0
19920811,0.34,0.34,0.34,0.34,241740,0
19920813,0.34,0.34,0.34,0.34,102608,0
19920818,0.35,0.35,0.35,0.35,220142,0
19920820,0.35,0.35,0.35,0.35,157746,0
19920825,0.36,0.36,0.36,0.36,166438,0
19920827,0.41,0.41,0.41,0.41,332716,0
19920901,0.41,0.41,0.41,0.41,257778,0
19920903,0.4,0.4,0.4,0.4,178000,0
19920908,0.41,0.41,0.41,0.41,195308,0
19920910,0.41,0.41,0.41,0.41,215366,0
19920915,0.43,0.43,0.43,0.43,245058,0
19920917,0.45,0.45,0.45,0.45,227192,0
19920922,0.47,0.47,0.47,0.47,348830,0
19920924,0.52,0.52,0.52,0.52,654564,0
19920929,0.56,0.56,0.56,0.56,410974,0
19921001,0.58,0.58,0.58,0.58,257566,0
19921006,0.55,0.55,0.55,0.55,288182,0
19921008,0.5,0.5,0.5,0.5,480800,0
19921013,0.51,0.51,0.51,0.51,319412,0
19921015,0.56,0.56,0.56,0.56,258018,0
19921020,0.62,0.62,0.62,0.62,496992,0
19921022,0.63,0.63,0.63,0.63,326880,0
19921027,0.63,0.63,0.63,0.63,543840,0
19921029,0.63,0.63,0.63,0.63,399360,0
19921103,0.64,0.64,0.64,0.64,271406,0
19921105,0.65,0.65,0.65,0.65,434806,0
19921110,0.65,0.65,0.65,0.65,469692,0
19921112,0.68,0.68,0.68,0.68,265294,0
19921117,0.66,0.66,0.66,0.66,146288,0
19921119,0.65,0.65,0.65,0.65,131076,0
19921124,0.64,0.64,0.64,0.64,208268,0
19921126,0.64,0.64,0.64,0.64,96328,0
19921201,0.71,0.71,0.71,0.71,163972,0
19921203,0.78,0.78,0.78,0.78,548646,0
19921208,0.7,0.7,0.7,0.7,335928,0
19921210,0.71,0.71,0.71,0.71,590422,0
19921215,0.7,0.7,0.7,0.7,446142,0
19921217,0.74,0.74,0.74,0.74,289730,0
19921222,0.71,0.71,0.71,0.71,149362,0
19921229,0.69,0.69,0.69,0.69,190362,0
19930104,0.76,0.76,0.76,0.76,189536,0
19930105,0.83,0.83,0.83,0.83,575636,0
19930107,0.78,0.78,0.78,0.78,228408,0
19930111,0.81,0.81,0.81,0.81,238036,0
19930112,0.83,0.83,0.83,0.83,171030,0
19930114,0.84,0.84,0.84,0.84,332560,0
19930118,0.85,0.85,0.85,0.85,310824,0
19930119,0.85,0.85,0.85,0.85,167706,0
19930121,0.84,0.84,0.84,0.84,323096,0
19930125,0.84,0.84,0.84,0.84,183952,0
19930126,0.83,0.83,0.83,0.83,110904,0
19930128,0.84,0.84,0.84,0.84,137306,0
19930201,0.84,0.84,0.84,0.84,229764,0
19930202,0.85,0.85,0.85,0.85,331882,0
19930204,0.84,0.84,0.84,0.84,166666,0
19930208,0.81,0.81,0.81,0.81,401304,0
19930209,0.81,0.81,0.81,0.81,125154,0
19930211,0.82,0.82,0.82,0.82,266158,0
19930215,0.83,0.83,0.83,0.83,85516,0
19930216,0.83,0.83,0.83,0.83,118856,0
19930218,0.84,0.84,0.84,0.84,356666,0
19930222,0.85,0.85,0.85,0.85,298648,0
19930223,0.81,0.81,0.81,0.81,172796,0
19930225,0.83,0.83,0.83,0.83,135302,0
19930301,0.84,0.84,0.84,0.84,130236,0
19930302,0.85,0.85,0.85,0.85,157058,0
19930304,0.86,0.86,0.86,0.86,300058,0
19930308,0.86,0.86,0.86,0.86,648382,0
19930309,0.88,0.88,0.88,0.88,468858,0
19930311,0.88,0.88,0.88,0.88,533864,0
19930315,0.83,0.83,0.83,0.83,715212,0
19930316,0.86,0.86,0.86,0.86,112456,0
19930318,0.87,0.87,0.87,0.87,179540,0
19930322,0.89,0.89,0.89,0.89,237248,0
19930323,0.92,0.92,0.92,0.92,504946,0
19930325,0.91,0.91,0.91,0.91,380054,0
19930329,0.93,0.93,0.93,0.93,409622,0
19930330,0.93,0.93,0.93,0.93,284756,0
19930401,0.93,0.93,0.93,0.93,325216,0
19930405,0.95,0.95,0.95,0.95,198000,0
19930406,0.98,0.98,0.98,0.98,254206,0
19930408,1.02,1.02,1.02,1.02,475366,0
19930413,1.11,1.11,1.11,1.11,425180,0
19930415,1.13,1.13,1.13,1.13,552844,0
