Date,Open,High,Low,Close,Volume,OpenInt
20040705,13.472,13.472,12.587,12.724,18549,0
20040706,12.665,12.665,10.915,11.072,20253,0
20040707,11.112,11.112,10.384,10.384,8715,0
20040708,10.03,10.03,9.322,9.44,30437,0
20040709,9.3417,10.423,9.3417,10.423,35120,0
20040712,10.463,10.64,9.951,9.951,7337,0
20040713,9.951,10.325,9.4793,9.597,3595,0
20040714,9.637,9.637,9.263,9.4793,1810,0
20040715,9.637,9.637,9.3023,9.617,1683,0
20040716,9.637,9.637,9.44,9.637,1790,0
20040719,9.735,9.735,9.617,9.617,2395,0
20040720,9.44,9.912,9.263,9.263,25378,0
20040721,9.676,9.676,9.263,9.2827,4566,0
20040722,9.2827,9.4597,8.85,8.85,4403,0
20040723,8.6533,9.0073,8.1813,8.496,9534,0
20040726,8.7713,8.8893,8.1617,8.4567,33615,0
20040727,8.26,8.8107,8.1617,8.6533,14059,0
20040728,8.4173,8.8697,8.4173,8.791,8761,0
20040729,8.8107,8.8107,8.555,8.791,3681,0
20040730,8.8303,8.8303,8.555,8.555,2456,0
20040803,8.437,8.437,8.378,8.378,188,0
20040804,8.2207,8.555,8.2207,8.4567,3463,0
20040805,8.378,8.673,8.378,8.555,2283,0
20040806,8.5353,8.555,8.5353,8.555,2746,0
20040809,8.3583,8.555,8.0633,8.555,9331,0
20040810,8.4567,8.555,8.3583,8.555,4297,0
20040811,8.4173,8.6533,8.4173,8.6533,173,0
20040812,8.4567,8.732,8.4567,8.6533,3686,0
20040813,8.4763,8.4763,8.2993,8.3583,4185,0
20040816,8.4567,8.4567,7.965,8.0633,8944,0
20040817,7.8863,7.9257,7.788,7.8667,2136,0
20040818,7.5913,7.67,7.375,7.3947,11034,0
20040819,7.3947,7.3947,7.198,7.375,9458,0
20040820,7.5323,7.5323,7.375,7.434,2278,0
20040823,7.6503,7.6503,7.1783,7.1783,4653,0
20040824,6.9817,6.9817,6.7063,6.7063,5227,0
20040825,6.5687,6.5687,6.0377,6.254,16337,0
20040826,6.3327,6.8637,5.841,6.726,50258,0
20040827,6.785,7.0013,6.6277,6.6277,9671,0
20040830,6.49,6.667,6.3327,6.3917,8781,0
20040831,6.549,6.667,6.49,6.49,3264,0
20040901,6.49,6.5097,6.49,6.49,829,0
20040902,6.3917,6.4703,5.9,6.4703,10337,0
20040903,6.136,6.3917,5.9,6.1557,10983,0
20040906,6.0967,6.195,6.0967,6.195,2949,0
20040907,6.195,6.3917,6.195,6.3917,7017,0
20040908,6.3917,6.7653,6.3917,6.6867,22317,0
20040909,6.4703,6.6473,6.3917,6.6473,2807,0
20040910,6.4507,6.5883,6.3523,6.5687,1098,0
20040913,6.5687,6.8243,6.5687,6.8243,3361,0
20040914,6.6277,6.8637,6.6277,6.6473,2914,0
20040915,6.6277,6.8833,6.5293,6.6867,1683,0
20040916,6.667,6.667,6.5883,6.5883,305,0
20040920,6.372,6.3917,6.1753,6.3917,3117,0
20040921,6.1163,6.2933,6.0967,6.2933,1408,0
20040922,6.136,6.2933,6.1163,6.2933,453,0
20040923,6.1163,6.1753,6.018,6.1557,3285,0
20040924,5.9787,6.0967,5.9787,6.0573,1302,0
20040927,6.0967,6.0967,5.841,5.9787,2258,0
20040928,5.8607,5.8803,5.664,5.8017,6661,0
20040929,5.8607,6.2933,5.605,6.2933,23141,0
20040930,6.3917,6.8637,6.1163,6.4507,9320,0
20041001,6.4703,6.8637,6.4703,6.6473,7012,0
20041004,6.785,6.785,6.49,6.49,1937,0
20041005,6.5883,6.5883,5.9983,6.018,9463,0
20041006,6.1753,6.195,6.077,6.1163,9127,0
20041007,6.2147,6.2147,5.9393,6.2147,5075,0
20041008,6.195,6.195,5.9983,6.136,1668,0
20041011,6.136,6.136,5.9,5.9983,4098,0
20041012,5.9983,5.9983,5.9,5.9,1424,0
20041013,5.8607,5.9,5.605,5.9,11268,0
20041014,5.8017,6.0377,5.8017,5.959,5497,0
20041015,5.782,6.0377,5.782,6.0377,12839,0
