Date,Open,High,Low,Close,Volume,OpenInt
20080619,13,59,13,16,2968,0
20080620,16,17.6,14.8,15.3,13179,0
20080623,15,15,14,14.98,2266,0
20080624,15.49,15.49,14.25,15,1279,0
20080625,15,15,14.5,14.5,1890,0
20080626,14.15,14.7,14,14.7,415,0
20080627,14.1,15.82,14.1,15.5,153,0
20080630,15.8,17.37,15.3,15.99,173,0
20080701,16.99,16.99,15.5,15.99,52,0
20080702,16,16,15.9,15.9,3,0
20080703,16,16,16,16,1,0
20080704,15.2,15.2,15.2,15.2,209,0
20080707,15.64,15.64,15.12,15.12,27,0
20080708,15.12,15.12,15.06,15.06,2,0
20080709,15.1,15.75,15.1,15.75,19,0
20080710,15.8,15.8,15,15.2,2488,0
20080711,15.22,15.22,14.55,15,102,0
20080714,15.17,15.17,14.65,15.17,1023,0
20080715,15.17,15.2,15.17,15.2,461,0
20080716,15.38,15.38,14.7,15.2,45,0
20080717,15.37,15.37,15.33,15.33,2,0
20080718,15.38,15.38,14.69,15.38,52,0
20080721,15.28,15.28,15.28,15.28,2,0
20080722,15.38,15.38,15.38,15.38,2,0
20080723,16,16,15.49,15.49,2,0
20080724,15.38,15.38,15.38,15.38,2,0
20080725,14.65,14.65,14.65,14.65,2,0
20080728,14.65,14.65,14.65,14.65,1,0
20080729,14.65,14.65,14.65,14.65,10,0
20080730,14.6,14.6,14.5,14.5,92,0
20080731,14.4,14.4,13.8,13.8,735,0
20080801,13.7,15,13.7,15,1138,0
20080804,16,16,15.95,15.95,205,0
20080805,15.15,15.15,15.15,15.15,1,0
20080806,15.25,15.25,15.25,15.25,1,0
20080807,15.25,15.25,15.25,15.25,1,0
20080808,15.2,15.2,15.2,15.2,1,0
20080811,15.2,15.2,15.2,15.2,1,0
20080812,15.24,15.24,15.24,15.24,1,0
20080813,15.24,15.24,15.24,15.24,1,0
20080814,15.24,15.24,15.24,15.24,2,0
20080818,15.24,15.24,15.24,15.24,1,0
20080819,15.25,15.25,15.19,15.19,351,0
20080820,15,15,15,15,1,0
20080821,15,15,15,15,11,0
20080822,15,15,15,15,1,0
20080825,15,15,15,15,1,0
20080826,15,15,15,15,1,0
20080827,15,15,15,15,1,0
20080828,15,15,15,15,1,0
20080829,15,15,15,15,1,0
20080901,14.99,14.99,14.99,14.99,1,0
20080902,14.95,14.95,14.94,14.94,592,0
20080903,14.8,14.8,14.8,14.8,1,0
20080904,14.7,14.7,14.7,14.7,1,0
20080905,14.68,14.68,14.68,14.68,1,0
20080908,14.71,14.71,14.71,14.71,1,0
20080909,14.71,14.71,14.7,14.7,201,0
20080910,14.6,14.6,14.6,14.6,1,0
20080911,14.59,14.59,14.59,14.59,1,0
20080912,14.59,14.59,14.59,14.59,207,0
20080915,14.2,14.2,14.2,14.2,1,0
20080917,14.15,14.15,14.15,14.15,10,0
20080918,14,14,14,14,11,0
20080919,14.49,14.49,14.49,14.49,21,0
20080922,14.59,14.59,14.59,14.59,1,0
20080924,14.59,14.59,14.59,14.59,1,0
20081001,14.59,14.59,13.9,13.9,21,0
20081007,14.17,14.17,14.17,14.17,1,0
20081014,14.28,14.28,14.28,14.28,2,0
20081016,13.65,13.65,13.65,13.65,1,0
20081021,13.65,13.65,13.65,13.65,3,0
20081022,13,13,13,13,3,0
20081024,12.95,12.95,12.95,12.95,550,0
20081027,12,12,12,12,482,0
20081105,12,12,12,12,1,0
20081106,12,12,12,12,500,0
20081110,11.9,11.9,11.9,11.9,630,0
20081113,12.3,12.31,12.3,12.31,10,0
20081114,11.85,11.85,11.85,11.85,1,0
20081117,11.82,11.82,11.82,11.82,1,0
20081118,11.89,12.39,11.89,12.39,384,0
20081119,12.4,12.8,12.4,12.8,866,0
20081120,12.2,12.2,12.2,12.2,230,0
20081121,12,12,12,12,104,0
20081126,12,12,12,12,5,0
20081201,12,12,12,12,10,0
20081202,11.8,11.8,11.8,11.8,2,0
20081204,11.8,11.8,11.8,11.8,1,0
20081210,12,12,12,12,1,0
20081215,12.25,12.25,12.25,12.25,202,0
20081223,12.04,12.04,12.04,12.04,1,0
20081230,12,12.5,12,12.5,251,0
20081231,12.25,12.25,12.25,12.25,1,0
20090106,12.64,12.64,12.64,12.64,30,0
20090107,12.64,12.64,12.64,12.64,2,0
20090108,12.64,12.64,12.64,12.64,37,0
20090109,13.02,13.02,13.02,13.02,1,0
20090112,13.07,13.07,13.07,13.07,1,0
20090113,13.07,13.11,13.07,13.11,6,0
20090115,12.78,12.78,12.78,12.78,5,0
20090116,12.55,12.55,12.55,12.55,100,0
20090123,13.12,13.12,13.12,13.12,230,0
20090126,13.4,14.17,13.4,14.17,1141,0
20090129,14.45,14.45,13.8,13.8,340,0
20090202,14,14,14,14,1,0
20090203,13.75,13.75,13.75,13.75,35,0
20090204,14,14,14,14,70,0
20090212,14.1,14.1,14.1,14.1,1,0
20090213,14.18,14.18,14.18,14.18,1,0
20090225,13.95,13.95,13.95,13.95,1,0
20090303,13.75,13.8,13.75,13.8,40,0
20090305,14.17,14.17,14.17,14.17,2,0
20090309,14.25,14.25,14.25,14.25,10,0
20090311,14.2,14.2,14,14,199,0
20090312,14.25,14.25,14.25,14.25,10,0
20090313,14,14,14,14,210,0
20090317,14.25,14.3,14.25,14.3,196,0
20090324,14.4,14.4,14.4,14.4,10,0
20090326,14.4,14.4,14.4,14.4,2,0
20090327,14.4,14.4,14,14.4,89,0
20090330,14.7,14.7,14.7,14.7,2,0
20090331,15.06,15.07,15.06,15.07,4,0
20090401,15.38,15.39,15.38,15.39,2,0
20090402,15.75,15.75,15.75,15.75,32,0
20090403,15.75,15.75,15.75,15.75,1,0
20090406,15.76,15.76,15.76,15.76,117,0
20090407,16.07,16.07,16.07,16.07,10,0
20090409,16.06,16.06,15.8,15.8,117,0
20090422,15.5,15.5,15.5,15.5,32,0
20090506,15.2,15.2,15.2,15.2,100,0
20090515,14.96,14.96,14.96,14.96,5,0
20090518,15.25,17.72,13.01,13.25,20185,0
20090519,13.25,13.25,12.8,13.2,1346,0
20090520,12.95,12.95,12,12.9,1437,0
20090521,12.65,12.65,11.8,12.38,3317,0
20090522,12.39,12.39,11.5,11.98,1517,0
20090525,11.98,11.98,11.1,11.5,800,0
20090526,11.11,11.4,10.7,10.8,2246,0
20090527,11.11,11.18,10.6,11.18,560,0
20090528,10.61,11.08,10.61,11.08,2,0
20090529,11,11.05,10.8,10.8,525,0
20090601,11.49,11.49,11.06,11.06,301,0
20090602,11.83,12,11.08,11.8,605,0
20090603,11.85,11.85,11.4,11.4,233,0
20090604,11.59,11.6,11.59,11.6,259,0
20090608,11.01,11.01,11.01,11.01,100,0
20090609,10.8,10.8,10.8,10.8,245,0
20090610,11,11,11,11,739,0
20090612,11.43,11.43,11.23,11.35,257,0
20090616,11.42,11.43,11,11,526,0
20090617,11,11,10.25,10.8,2367,0
20090618,10.87,10.87,10.6,10.8,229,0
20090619,10.4,10.6,10.25,10.6,2590,0
20090622,10.45,10.5,10.4,10.5,220,0
20090623,10.81,10.81,10.25,10.37,881,0
20090624,10.25,10.25,10.25,10.25,810,0
20090625,10.25,10.4,10.25,10.4,319,0
20090626,10.4,10.4,10.4,10.4,63,0
20090629,10.45,10.5,10.45,10.5,117,0
20090630,10.55,10.55,10.55,10.55,240,0
20090701,10.45,10.45,10.35,10.35,500,0
20090706,10.3,10.31,10.3,10.31,145,0
20090707,10.3,10.3,10.25,10.25,263,0
20090708,10.3,10.56,10.25,10.56,300,0
20090709,10.65,10.65,10.65,10.65,20,0
20090713,10.55,10.55,10.55,10.55,410,0
20090715,10.55,10.55,10.55,10.55,5,0
20090716,10.7,10.7,10.7,10.7,10,0
20090717,10.7,10.7,10.55,10.55,408,0
20090723,10.5,10.5,10.5,10.5,55,0
20090724,10.5,10.5,10.5,10.5,25,0
20090727,10.4,10.4,10.33,10.33,261,0
20090728,10.4,12.49,10.4,12.47,3855,0
20090729,12.65,13.25,11.4,12.18,11564,0
20090730,11.71,12,11,11.3,5456,0
20090731,11.88,12,11.31,11.93,3038,0
20090803,12.15,13,11.81,12.15,1511,0
20090804,12,12.14,11.45,11.92,1887,0
20090805,11.5,11.6,11.21,11.6,929,0
20090806,11.4,11.4,11.2,11.2,354,0
20090807,11.55,12,11.2,12,2527,0
20090810,12.25,12.25,11.29,11.29,1797,0
20090811,11.84,11.84,11.45,11.45,220,0
20090812,11.7,12.3,11.45,12.29,3313,0
20090813,12.45,15.05,12.3,15.05,5488,0
20090814,18.5,18.5,16.65,17.39,7256,0
20090817,17.2,23.13,15.7,23.13,10155,0
20090818,25.44,27.98,24.1,26.1,25096,0
20090819,23.5,25.85,21.63,24.2,8158,0
20090820,24.9,25.2,22,22.4,5246,0
20090821,24.4,24.4,22.46,23.01,2934,0
20090824,23.47,23.47,20,20.3,5623,0
20090825,19.61,21,19,19.5,16002,0
20090826,20.28,20.28,18,19.48,3890,0
20090827,20,20,18.51,18.6,1678,0
20090828,19.75,19.75,17.11,17.11,2391,0
20090831,17.1,18.3,15.72,17.8,3373,0
20090901,18.19,18.19,16.02,16.57,3941,0
20090902,16,16.5,15.1,15.46,1383,0
20090903,15.2,15.4,14,15,6454,0
20090904,14.8,16,14.75,16,927,0
20090907,16.1,20.3,16.1,20.3,15139,0
