Date,Open,High,Low,Close,Volume,OpenInt
19980408,22.7,22.7,22.7,22.7,62967,0
19980409,21.1,21.1,21.1,21.1,8473,0
19980414,20.5,20.5,20.5,20.5,16651,0
19980415,20.4,20.4,20.4,20.4,6374,0
19980416,20.3,20.3,20.3,20.3,3165,0
19980417,19.2,19.2,19.2,19.2,3746,0
19980420,19.3,19.3,19.3,19.3,10114,0
19980421,19.7,19.7,19.7,19.7,8236,0
19980422,20.2,20.2,20.2,20.2,10235,0
19980423,19.9,19.9,19.9,19.9,10012,0
19980424,19.9,19.9,19.9,19.9,11562,0
19980427,19.8,19.8,19.8,19.8,5784,0
19980428,19.3,19.3,19.3,19.3,2147,0
19980429,19.1,19.1,19.1,19.1,4773,0
19980430,19.3,19.3,19.3,19.3,2102,0
19980504,19,19,19,19,1916,0
19980505,18.9,18.9,18.9,18.9,2740,0
19980506,18,18,18,18,1118,0
19980507,18,18,18,18,3769,0
19980508,17,17,17,17,5377,0
19980511,17,17,17,17,4688,0
19980512,16.6,16.6,16.6,16.6,690,0
19980513,15.6,15.6,15.6,15.6,2652,0
19980514,15.4,15.4,15.4,15.4,9938,0
19980515,15.2,15.2,15.2,15.2,8817,0
19980518,15.2,15.2,15.2,15.2,3944,0
19980519,14.5,14.5,14.5,14.5,13711,0
19980520,14.4,14.4,14.4,14.4,5395,0
19980521,15,15,15,15,6599,0
19980522,15,15,15,15,2207,0
19980525,13.5,13.5,13.5,13.5,3740,0
19980526,13.6,13.6,13.6,13.6,16679,0
19980527,13.2,13.2,13.2,13.2,2031,0
19980528,12.9,12.9,12.9,12.9,4891,0
19980529,12.8,12.8,12.8,12.8,6762,0
19980601,12.1,12.1,12.1,12.1,5158,0
19980602,11.6,11.6,11.6,11.6,4653,0
19980603,11.6,11.6,11.6,11.6,9610,0
19980604,11.6,11.6,11.6,11.6,7425,0
19980605,11.5,11.5,11.5,11.5,10954,0
19980608,11.3,11.3,11.3,11.3,8689,0
19980609,11,11,11,11,3983,0
19980610,10.7,10.7,10.7,10.7,2945,0
19980615,10.3,10.3,10.3,10.3,14956,0
19980616,10.2,10.2,10.2,10.2,31314,0
19980617,10.6,10.6,10.6,10.6,4238,0
19980618,11.2,11.2,11.2,11.2,8340,0
19980619,11,11,11,11,8200,0
19980622,11.6,11.6,11.6,11.6,9271,0
19980623,11.3,11.3,11.3,11.3,2114,0
19980624,11.1,11.1,11.1,11.1,1700,0
19980625,11.4,11.4,11.4,11.4,13507,0
19980626,11.6,11.6,11.6,11.6,6550,0
19980629,11.6,11.6,11.6,11.6,2436,0
19980630,11.6,11.6,11.6,11.6,13970,0
19980701,12.1,12.1,12.1,12.1,7550,0
