Date,Open,High,Low,Close,Volume,OpenInt
20061103,8.5,11.9,8.5,10,706757,0
20061106,10.39,10.44,9.61,9.91,162424,0
20061107,9.8,9.91,9.5,9.65,54608,0
20061108,9.78,9.78,9.5,9.69,29214,0
20061109,9.5,9.65,9.12,9.13,48291,0
20061110,9.15,9.15,8.69,8.8,33125,0
20061113,8.7,8.71,8.28,8.28,18652,0
20061114,8.19,8.4,7.99,8.3,43793,0
20061115,8.2,8.4,8.01,8.19,16314,0
20061116,8.2,8.3,8.01,8.03,8849,0
20061117,8,8.19,8,8.14,4649,0
20061120,8.11,8.11,7.41,7.49,44666,0
20061121,7.5,7.85,7.49,7.85,53069,0
20061122,7.87,8.25,7.6,8.25,19585,0
20061123,8.8,9.96,8.8,9.45,171809,0
20061124,9.45,9.57,9,9.43,27214,0
20061127,9.5,9.5,9.35,9.45,21022,0
20061128,9.4,9.49,9.11,9.44,11855,0
20061129,9.44,9.48,9.43,9.43,6560,0
20061130,9.5,9.5,9.4,9.45,7888,0
20061201,9.75,9.85,9.51,9.74,21351,0
20061204,9.8,9.8,9.5,9.77,8791,0
20061205,9.81,9.83,9.6,9.6,9000,0
20061206,9.6,9.7,9.6,9.6,10771,0
20061207,9.8,9.9,9.6,9.71,28773,0
20061208,9.7,9.7,9.32,9.39,13349,0
20061211,9.39,9.54,9.3,9.5,3667,0
20061212,9.3,9.57,8.92,9.19,25958,0
20061213,9.01,9.17,8.93,9.17,6801,0
20061214,9.17,9.17,9,9.1,7106,0
20061215,9,9,7.8,8.7,16684,0
20061218,8.59,8.69,8.59,8.69,550,0
20061219,8.69,8.7,8.29,8.66,1520,0
20061220,8.67,8.67,8.29,8.5,10327,0
20061221,8.4,8.6,8.25,8.54,4341,0
20061222,8.59,8.9,8.59,8.88,8064,0
20061227,9,9.36,8.88,9.36,2093,0
20061228,9.39,9.55,9.36,9.4,12881,0
20061229,9.4,9.4,9,9.29,5902,0
20070102,9.29,9.55,9,9.5,6650,0
20070103,9.5,9.5,9.31,9.31,2934,0
20070104,9.31,9.49,9,9.25,7980,0
20070105,9,9.24,9,9.24,860,0
20070108,9.24,9.24,8.75,8.81,3724,0
20070109,8.8,8.8,8.53,8.8,3820,0
20070110,8.8,8.8,8.43,8.69,4431,0
20070111,8.65,8.65,8.3,8.4,12124,0
20070112,8.62,8.62,8.4,8.59,1278,0
20070115,8.65,9.48,8.65,9.2,12459,0
20070116,9.01,9.26,8.7,9,5637,0
20070117,9.05,9.05,8.67,8.69,5421,0
20070118,8.69,8.95,8.69,8.88,1922,0
20070119,8.99,8.99,8.88,8.88,2716,0
20070122,9,9,8.71,8.72,3184,0
20070123,9.15,10.38,8.99,10.19,164143,0
20070124,10.19,10.5,9.75,10.27,39995,0
20070125,10.27,10.27,9.82,10.1,12879,0
20070126,9.95,10.2,9.72,10.2,13597,0
20070129,10.05,10.76,10.05,10.76,44088,0
20070130,10.79,10.85,10.46,10.85,15354,0
20070131,10.79,11.6,10.45,11.38,38318,0
20070201,11.03,11.39,10.86,10.89,17307,0
20070202,10.95,11,10.68,10.8,8767,0
20070205,10.75,11,10.5,10.93,7091,0
20070206,11,13.1,11,12.7,120344,0
20070207,13,13,11.45,11.64,97359,0
20070208,11.65,11.65,10.8,10.8,41290,0
20070209,10.7,11.39,10.7,11.39,13600,0
20070212,11.3,11.3,10.7,10.96,10217,0
20070213,10.75,11.13,10.72,11.1,4860,0
20070214,10.77,11.05,10.77,10.99,11337,0
20070215,11.55,11.55,10.8,11,9519,0
20070216,10.8,11,10.78,10.9,2489,0
20070219,10.77,10.89,10.56,10.8,5437,0
20070220,10.5,10.5,10.11,10.3,20846,0
20070221,10.35,10.35,10.1,10.3,20022,0
20070222,10.3,10.3,9.9,10.03,17956,0
20070223,9.9,10.03,9.81,9.9,12821,0
20070226,9.99,10.38,9.94,10.15,5234,0
20070227,10.27,10.27,9.5,9.51,11420,0
20070228,9.52,9.52,9,9.5,5915,0
20070301,9.55,9.75,9.01,9.2,6299,0
20070302,9.2,9.5,8.92,9.5,13925,0
20070305,9.2,9.2,8.52,8.98,16041,0
20070306,8.98,9.3,8.9,9.15,7233,0
20070307,9.2,9.43,8.91,9.1,5456,0
20070308,9.2,9.24,9,9.22,8530,0
20070309,9.23,10.19,9.21,9.99,48603,0
20070312,10.1,10.1,9.5,9.8,8362,0
20070313,9.8,9.8,9.48,9.63,8295,0
20070314,9,9.5,9,9.4,7292,0
20070315,9.45,9.68,9.15,9.2,9403,0
20070316,9.2,9.22,9,9.2,10164,0
20070319,9.35,9.5,9.2,9.5,8678,0
20070320,9.6,9.64,9.52,9.6,5633,0
20070321,9.55,9.6,9.5,9.6,4823,0
20070322,9.8,9.87,9.71,9.87,12052,0
20070323,11.7,12.4,10.8,10.91,251445,0
20070326,11.1,11.24,10.41,10.5,62129,0
20070327,10.45,10.85,10.4,10.43,13417,0
