Date,Open,High,Low,Close,Volume,OpenInt
19990729,74.06,77.916,72.35,75.586,7171404,0
19990730,73.607,74.143,73.163,74.06,233627,0
19990802,74.06,74.957,73.163,74.504,478236,0
19990803,75.761,75.761,74.421,74.421,118557,0
19990804,74.06,74.772,73.875,73.875,56067,0
19990805,74.504,74.504,64.722,68.67,171193,0
19990806,69.298,69.298,68.402,68.67,53567,0
19990809,68.041,68.041,64.99,64.99,14585,0
19990810,60.681,64.99,60.237,62.031,383523,0
19990811,61.939,62.743,60.589,62.392,12134,0
19990812,62.567,66.072,62.567,66.072,137526,0
19990813,65.887,65.887,64.99,64.99,25965,0
19990816,64.546,65.443,64.546,64.546,17947,0
19990817,64.001,64.001,60.506,62.207,114694,0
19990818,60.681,61.31,56.909,56.909,21263,0
19990819,57.454,57.454,57.454,57.454,6680,0
19990820,59.156,59.609,58.712,59.609,35845,0
19990823,59.609,60.506,59.609,60.053,132052,0
19990824,60.413,60.866,60.145,60.145,39350,0
19990825,60.237,60.681,57.538,57.538,148408,0
19990826,57.538,57.991,56.733,56.733,81592,0
19990827,56.28,56.733,55.836,56.733,61821,0
19990830,57.898,57.898,56.373,56.373,46234,0
19990831,61.218,61.218,58.527,58.527,161056,0
19990901,59.96,60.145,58.795,58.795,52616,0
19990902,59.331,59.784,57.991,59.784,75183,0
19990903,59.331,62.031,59.331,61.578,37316,0
19990907,62.392,63.289,61.218,62.836,57919,0
19990908,61.846,63.196,61.578,61.578,37545,0
19990909,62.567,62.567,60.949,61.671,5569,0
19990910,61.218,61.402,60.321,60.774,6680,0
19990913,60.949,62.299,60.949,62.299,3007,0
19990914,62.928,62.928,61.763,61.939,9252,0
19990915,63.02,63.917,63.02,63.917,20617,0
19990916,64.269,65.175,63.825,65.175,32208,0
19990917,65.175,71.185,64.269,70.288,68411,0
19990920,69.752,69.752,67.052,67.237,101647,0
19990921,69.483,71.813,67.237,69.927,48483,0
19990922,70.556,71.813,69.298,70.648,56278,0
19990923,69.123,72.266,69.123,69.752,79453,0
19990924,69.659,69.659,68.309,69.03,42209,0
19990927,68.762,69.752,67.865,67.865,35319,0
19990928,68.041,68.938,66.247,66.7,100351,0
19990929,66.515,66.968,66.072,66.072,12923,0
19990930,65.979,65.979,63.289,64.629,33753,0
19991001,63.196,63.917,63.196,63.917,1336,0
19991004,64.269,64.722,63.372,64.361,38443,0
19991005,65.082,65.082,65.082,65.082,2784,0
19991006,63.917,64.814,63.917,64.814,15268,0
19991007,63.732,66.247,63.732,66.247,19380,0
19991008,65.175,66.34,65.175,65.175,69426,0
19991011,65.619,65.619,64.722,65.175,22496,0
19991012,64.546,64.99,64.546,64.99,4681,0
19991013,63.732,63.732,63.732,63.732,5461,0
19991014,63.732,63.732,61.218,61.402,59636,0
19991015,61.134,61.134,59.331,59.331,7687,0
19991018,59.609,59.609,57.538,58.98,132293,0
19991019,59.248,60.413,59.063,59.063,298849,0
19991020,59.063,60.866,58.619,59.063,32633,0
19991021,58.619,58.619,58.619,58.619,557,0
19991022,61.486,61.486,61.486,61.486,446,0
19991025,61.486,61.486,59.609,59.877,9352,0
19991027,60.053,60.053,59.516,60.053,3785,0
19991028,60.774,61.218,59.331,59.331,45693,0
19991029,59.424,59.424,57.991,58.98,30511,0
19991101,58.712,59.424,58.712,59.156,8916,0
19991102,58.888,59.331,53.682,55.568,86562,0
19991103,54.126,56.012,53.682,55.115,92521,0
19991104,54.486,54.939,53.497,53.497,41438,0
19991105,55.651,56.641,54.671,55.383,91469,0
19991108,52.6,52.961,51.528,51.62,21963,0
19991109,53.146,53.146,52.156,52.868,2675,0
19991110,52.785,52.785,50.899,50.899,7462,0
19991111,50.899,52.332,50.363,50.363,29434,0
19991112,50.899,52.785,50.899,51.888,8014,0
19991115,51.343,53.775,51.343,53.775,16719,0
19991116,53.146,53.146,52.156,52.693,11246,0
19991117,52.868,52.868,51.435,51.435,68033,0
19991118,51.796,52.693,50.807,52.693,47797,0
