Date,Open,High,Low,Close,Volume,OpenInt
20070412,5.6093,5.6471,4.7123,4.8161,8142172,0
20070413,5.0049,5.1655,4.8161,4.8256,1916232,0
20070416,4.9011,4.9011,4.7311,4.7689,518230,0
20070417,4.7689,4.7689,4.6178,4.6461,405064,0
20070418,4.6083,4.6083,4.3534,4.4479,698439,0
20070419,4.3439,4.4761,4.2968,4.4384,223067,0
20070420,4.429,4.5234,4.3345,4.3439,228920,0
20070423,4.4195,4.4195,4.089,4.1268,423088,0
20070424,4.1079,4.1362,3.9379,4.0701,269423,0
20070425,4.1079,4.2212,4.0512,4.2023,117625,0
20070426,4.2023,4.5234,4.2023,4.4572,403199,0
20070427,4.5328,4.6178,4.3534,4.4572,162912,0
20070430,4.4667,4.5234,4.3723,4.4195,80321,0
20070502,4.4384,4.495,4.4006,4.495,55920,0
20070504,4.495,4.495,4.4195,4.4667,47477,0
20070507,4.4856,4.4856,4.3534,4.4006,71534,0
20070508,4.3628,4.4006,4.2306,4.2495,115353,0
20070509,4.2495,4.325,4.2306,4.325,77528,0
20070510,4.3439,4.3439,4.2306,4.2306,70957,0
20070511,4.1457,4.2023,4.0606,4.1928,90710,0
20070514,4.259,4.3912,4.1834,4.3439,157593,0
20070515,4.3534,4.3534,4.259,4.2968,85304,0
20070516,4.2873,4.2873,4.2023,4.2495,113355,0
20070517,4.2495,4.259,4.1362,4.1551,104760,0
20070518,4.1173,4.1551,4.0606,4.1551,80814,0
20070521,4.2212,4.2212,4.089,4.1079,101907,0
20070522,4.1551,4.1551,4.0701,4.1362,71406,0
20070523,4.1551,4.4195,4.1551,4.2968,244602,0
20070524,4.3345,4.3912,4.1551,4.3439,153163,0
20070525,4.2495,4.4479,4.2401,4.429,215161,0
20070528,4.6745,4.8161,4.6272,4.6839,378224,0
20070529,4.7028,4.9578,4.6083,4.8822,763620,0
20070530,4.8633,5.0522,4.7217,4.8161,370535,0
20070531,4.8633,5.0049,4.8445,4.8916,194413,0
20070601,4.9105,4.9105,4.6461,4.7217,111182,0
20070604,4.6934,4.7123,4.5801,4.5989,130926,0
20070605,4.5989,4.6745,4.4572,4.5045,89888,0
20070606,4.4856,4.6272,4.4856,4.5989,110654,0
20070608,4.5989,4.5989,4.495,4.5612,44636,0
20070611,4.6272,4.6934,4.5706,4.6272,93315,0
20070612,4.6272,4.6272,4.5517,4.5894,63577,0
20070613,4.5801,4.5989,4.5234,4.5801,51867,0
20070614,4.6178,4.6745,4.5801,4.665,114420,0
20070615,4.6272,4.665,4.5423,4.665,105578,0
20070618,4.6461,4.665,4.5801,4.6272,53919,0
20070619,4.6272,4.665,4.5612,4.6556,92198,0
