Date,Open,High,Low,Close,Volume,OpenInt
19941216,6.3369,6.3369,6.3369,6.3369,65230,0
19941219,6.8106,6.8106,6.8106,6.8106,179594,0
19941220,6.4553,6.4553,6.4553,6.4553,59539,0
19941221,6.3369,6.3369,6.3369,6.3369,36548,0
19941222,6.5145,6.5145,6.5145,6.5145,31568,0
19941223,6.633,6.633,6.633,6.633,37554,0
19941227,6.5145,6.5145,6.5145,6.5145,33493,0
19941228,6.3369,6.3369,6.3369,6.3369,34591,0
19941229,6.633,6.633,6.633,6.633,36335,0
19950102,7.1068,7.1068,7.1068,7.1068,49461,0
19950103,7.8175,7.8175,7.8175,7.8175,119666,0
19950104,7.6397,7.6397,7.6397,7.6397,81612,0
19950105,7.6991,7.6991,7.6991,7.6991,71825,0
19950106,7.166,7.166,7.166,7.166,47587,0
19950109,7.3437,7.3437,7.3437,7.3437,37585,0
19950110,7.3437,7.3437,7.3437,7.3437,29820,0
19950111,7.1068,7.1068,7.1068,7.1068,11958,0
19950112,7.2845,7.2845,7.2845,7.2845,39329,0
19950113,7.4621,7.4621,7.4621,7.4621,30955,0
19950116,7.403,7.403,7.403,7.403,16009,0
19950117,7.166,7.166,7.166,7.166,21562,0
19950118,6.9291,6.9291,6.9291,6.9291,16309,0
19950119,6.9291,6.9291,6.9291,6.9291,34132,0
19950120,6.8106,6.8106,6.8106,6.8106,21290,0
19950123,6.633,6.633,6.633,6.633,27061,0
19950124,6.3962,6.3962,6.3962,6.3962,28455,0
19950125,6.2777,6.2777,6.2777,6.2777,46514,0
19950126,6.0408,6.0408,6.0408,6.0408,25826,0
19950127,6.0408,6.0408,6.0408,6.0408,30542,0
19950130,6.0408,6.0408,6.0408,6.0408,36170,0
19950131,5.7448,5.7448,5.7448,5.7448,25763,0
19950201,5.9223,5.9223,5.9223,5.9223,45843,0
19950202,5.4486,5.4486,5.4486,5.4486,68459,0
19950203,5.3301,5.3301,5.3301,5.3301,33114,0
19950206,5.863,5.863,5.863,5.863,24987,0
19950207,6.3962,6.3962,6.3962,6.3962,80829,0
19950208,6.3962,6.3962,6.3962,6.3962,82705,0
19950209,6.633,6.633,6.633,6.633,57516,0
19950210,6.3369,6.3369,6.3369,6.3369,48525,0
19950213,6.1,6.1,6.1,6.1,44016,0
19950214,6.3962,6.3962,6.3962,6.3962,29863,0
19950215,6.3369,6.3369,6.3369,6.3369,31323,0
19950216,6.5145,6.5145,6.5145,6.5145,54647,0
19950217,6.3962,6.3962,6.3962,6.3962,53392,0
19950220,6.1,6.1,6.1,6.1,22949,0
19950221,5.5077,5.5077,5.5077,5.5077,86152,0
19950222,5.6263,5.6263,5.6263,5.6263,35458,0
19950223,5.863,5.863,5.863,5.863,40250,0
19950224,6.3962,6.3962,6.3962,6.3962,72935,0
