Date,Open,High,Low,Close,Volume,OpenInt
20131205,22.95,23.45,22.5,23.2,3695748,0
20131206,23.2,23.2,22.25,22.85,495491,0
20131209,23,23,22.72,22.8,253871,0
20131210,22.74,22.74,22.25,22.31,141481,0
20131211,22.22,22.31,21.56,22,112115,0
20131212,21.8,21.9,21.4,21.56,138364,0
20131213,21.5,21.98,21.5,21.62,35713,0
20131216,21.98,21.98,21.72,21.9,32237,0
20131217,21.9,21.9,21.21,21.5,63111,0
20131218,21.3,21.9,21.3,21.6,16728,0
20131219,21.9,21.98,21.11,21.16,54597,0
20131220,21.21,21.3,21.03,21.21,48964,0
20131223,21.34,21.9,21.34,21.7,15877,0
20131227,21.7,21.88,21.5,21.88,19420,0
20131230,21.81,21.94,21.63,21.77,17796,0
20140102,21.9,21.99,21.8,21.8,68401,0
20140103,21.8,21.9,21.62,21.83,10466,0
20140107,21.9,21.9,21.55,21.7,63547,0
20140108,21.78,21.78,21.25,21.4,20908,0
20140109,21.28,21.3,20.4,20.55,42033,0
20140110,20.55,21.3,20.45,21.3,95401,0
20140113,21.5,21.6,21.2,21.6,107029,0
20140114,21.58,21.58,21.3,21.37,56255,0
20140115,21.5,21.5,21.34,21.34,72279,0
20140116,21.34,21.5,21.2,21.31,4825,0
20140117,21.35,21.5,21.21,21.41,71047,0
20140120,21.7,21.95,21.46,21.77,12898,0
20140121,21.9,22,21.62,21.7,40379,0
20140122,21.7,21.79,21.62,21.66,135324,0
20140123,21.6,21.7,21.53,21.68,15598,0
20140124,21.65,21.65,21.4,21.42,5966,0
20140127,21.35,21.48,21.35,21.4,20631,0
20140128,21.4,21.57,21.35,21.5,14752,0
20140129,21.57,21.97,21.51,21.52,88650,0
20140130,21.5,21.6,21.37,21.6,7629,0
20140131,21.6,21.69,21.2,21.6,51291,0
20140203,21.6,21.6,21.11,21.42,12706,0
20140204,21.2,21.42,21.12,21.4,14671,0
20140205,21.35,21.6,21.31,21.52,38647,0
20140206,21.32,21.53,21.32,21.42,142325,0
20140207,21.5,21.5,21.2,21.38,110873,0
20140210,21.22,21.35,20.77,21.19,90184,0
20140211,21,21.2,20.9,21.13,11669,0
20140212,21.04,21.13,20.92,21.05,42917,0
20140213,21,21.15,21,21.01,29412,0
20140214,21.05,21.26,20.96,21.26,9275,0
20140217,21.13,21.38,21.1,21.23,64274,0
20140218,21.37,21.38,21.1,21.28,24023,0
20140219,21.2,21.9,21.2,21.51,19737,0
20140220,21.39,21.5,21.01,21.24,70534,0
20140221,21.3,21.31,20.93,21.22,105602,0
20140224,21.25,21.34,21.1,21.21,12005,0
20140225,21.21,21.25,20.77,20.8,177030,0
20140226,20.8,20.8,19.9,19.9,145269,0
20140227,19.9,20.18,19.8,19.9,93344,0
20140228,19.8,19.9,19.24,19.48,41729,0
20140303,19.19,19.2,18.5,18.61,35960,0
20140304,18.52,19.15,18.52,19,31312,0
20140305,19,19.05,18.9,18.98,9598,0
20140306,18.99,19.05,18.71,18.71,8345,0
20140307,18.72,18.89,18.7,18.71,87584,0
20140310,18.69,18.75,18.24,18.28,7988,0
20140311,18.26,18.65,18.25,18.58,111909,0
20140312,18.6,18.8,18.24,18.31,7397,0
20140313,18.29,18.5,18.29,18.4,10061,0
20140314,18.29,18.29,17.51,18.07,22812,0
20140317,18.11,18.23,17.85,18.2,14742,0
20140318,18.2,18.22,17.9,18.1,8399,0
20140319,18,18.23,18,18.1,6253,0
20140320,17.95,18.18,17.95,18.18,1285,0
20140321,18.15,18.37,18.1,18.37,4455,0
20140324,18.4,19.29,18.4,19.29,122313,0
20140325,19.29,20.24,19.29,20.2,21404,0
20140326,20.12,20.5,19.99,20.25,24356,0
20140327,20,20.24,19.99,20,5856,0
20140328,20,20.24,20,20.2,38805,0
20140331,20.21,20.37,19.5,19.5,27165,0
20140401,19.84,20.14,19.8,19.9,24486,0
20140402,20.05,20.1,19.52,20.1,33638,0
20140403,19.74,20.52,19.72,20.5,50446,0
20140404,20.5,20.5,20.4,20.5,34050,0
20140407,20.47,20.47,20.31,20.4,26460,0
20140408,20.4,20.55,20.4,20.45,23956,0
20140409,20.4,20.44,20.4,20.4,13856,0
20140410,20.4,20.45,20.4,20.4,4990,0
20140411,20.29,20.42,20.23,20.4,4395,0
20140414,20.39,20.39,19.76,20.25,49484,0
20140415,20.3,20.3,20,20.07,2929,0
20140416,20,20,19.91,20,25555,0
20140417,20,20,19.83,19.99,842,0
20140422,19.95,20,19.88,19.88,20057,0
20140423,19.89,19.91,19.89,19.9,29714,0
20140424,19.9,19.9,19.71,19.87,24152,0
20140425,19.52,19.87,19.52,19.55,6835,0
20140428,19.53,19.81,19.5,19.65,29405,0
20140429,19.5,19.78,19.43,19.5,25261,0
20140430,19.31,19.5,19.11,19.49,16650,0
20140502,19.5,19.5,19.4,19.4,252,0
20140505,19.4,19.4,18.9,19.14,3748,0
20140506,19.1,19.1,18.8,18.83,2354,0
20140507,18.8,18.83,18.07,18.5,28819,0
20140508,18.5,18.8,18.5,18.6,27812,0
20140509,18.6,18.6,18.46,18.54,49799,0
20140512,18.5,18.5,18.2,18.3,167613,0
20140513,18.3,18.58,17.9,18.41,14822,0
20140514,18.26,18.4,18.2,18.33,2091,0
20140515,18.4,18.5,18.4,18.4,12042,0
20140516,18.43,18.5,18.01,18.15,1124,0
20140519,18.45,18.46,18,18.32,12955,0
20140520,18.46,19.5,18.33,19.49,33948,0
20140521,19.49,20.48,19.14,20.48,37333,0
20140522,20.48,20.8,20.1,20.19,175445,0
20140523,20.79,20.79,19.91,20.35,6879,0
20140526,20.4,20.4,20.14,20.17,62074,0
20140527,20.14,20.16,20.06,20.15,90370,0
20140528,20,20,19.55,19.95,4048,0
20140529,19.7,19.84,19.51,19.73,1188,0
20140530,19.51,20.1,19.51,20,51408,0
20140602,19.75,20,19.75,19.9,468,0
20140603,19.86,19.9,19.55,19.88,945,0
20140604,19.89,19.89,19.55,19.55,1711,0
20140605,19.55,20,19.55,20,18894,0
20140606,20.1,20.1,19.87,20,3775,0
20140609,19.6,20.13,19.6,20,3548,0
20140610,20,20.55,19.74,20.55,33436,0
20140611,20.6,20.71,20.1,20.32,8072,0
20140612,20.32,20.35,20.08,20.3,1531,0
20140613,20.29,20.29,20.08,20.1,702,0
