Date,Open,High,Low,Close,Volume,OpenInt
20080512,52.056,53.424,50.902,53.252,461554,0
20080513,53.252,53.252,52.74,52.74,8891,0
20080514,52.996,55.389,52.996,54.791,52801,0
20080515,55.048,55.518,54.022,54.706,21463,0
20080516,55.646,58.21,55.646,58.21,50763,0
20080519,58.979,63.681,58.979,62.954,67088,0
20080520,63.082,63.082,57.954,58.552,14099,0
20080521,61.031,61.031,59.834,60.946,44150,0
20080523,61.031,62.398,61.031,61.587,377699,0
20080526,60.689,61.971,60.561,61.116,201825,0
20080527,60.946,63.253,60.689,63.253,142419,0
20080528,62.527,63.168,62.014,63.082,90738,0
20080529,63.253,65.39,63.253,64.963,38462,0
20080530,66.672,66.672,62.826,63.339,12753,0
20080602,66.245,66.245,63.681,64.621,4273,0
20080603,65.305,66.672,65.305,66.544,16134,0
20080604,64.108,64.877,61.202,63.253,15703,0
20080605,65.006,65.006,61.587,61.843,125766,0
20080606,63.681,63.681,62.484,63.595,16271,0
20080609,61.8,62.954,61.8,62.783,99581,0
20080610,61.544,61.544,60.86,61.544,142137,0
20080611,61.458,61.544,59.193,60.262,169921,0
20080612,60.603,61.501,60.176,61.116,195079,0
20080613,60.347,62.398,59.236,62.398,15961,0
20080616,64.108,66.672,64.108,64.706,14483,0
20080617,64.621,65.818,64.108,65.818,1130,0
20080618,65.818,68.382,65.818,67.228,12101,0
20080619,68.382,72.57,68.382,72.57,26202,0
20080620,72.57,74.365,70.989,74.365,33360,0
20080623,71.245,71.801,69.109,69.237,25140,0
20080624,70.006,71.374,70.006,71.288,106936,0
20080625,69.151,71.758,67.014,67.698,7029,0
20080626,65.39,65.818,63.253,63.852,8833,0
20080627,62.313,66.587,61.544,65.818,10696,0
20080630,65.39,66.801,64.621,66.672,5360,0
20080701,66.63,66.63,62.142,65.39,22224,0
20080702,64.963,64.963,61.715,63.253,2767,0
20080703,64.108,64.108,53.894,54.321,81688,0
20080704,55.347,58.125,55.347,56.586,18294,0
20080707,58.339,58.979,56.415,57.526,2375,0
20080708,55.432,55.688,54.278,54.877,14650,0
20080709,53.509,53.979,53.124,53.765,4158,0
20080710,54.278,56.843,53.765,56.415,5339,0
20080711,57.056,58.039,55.561,57.868,9437,0
20080714,57.954,59.791,57.954,59.15,24396,0
20080715,58.125,58.125,55.603,56.586,1722,0
20080716,55.389,58.979,54.706,58.339,29473,0
20080717,57.783,57.783,55.176,55.389,5528,0
20080718,54.919,55.048,49.834,51.714,27408,0
20080721,52.526,52.91,52.184,52.91,5493,0
20080722,53.21,54.278,53.124,53.252,4597,0
20080723,52.996,53.081,52.569,52.825,3167,0
20080724,51.799,51.885,49.278,49.363,50734,0
20080725,49.064,50.175,48.081,48.722,4472,0
20080728,49.15,50.688,49.15,50.688,2378,0
20080729,50.432,53.21,49.62,52.825,37071,0
20080730,53.295,54.919,53.295,53.851,2894,0
20080731,54.446,55.561,53.34,53.761,9400,0
20080801,53.424,53.424,53.424,53.424,39,0
20080804,51.287,51.714,50.859,50.859,1414,0
20080805,49.15,49.406,49.15,49.406,6099,0
20080806,49.577,51.97,49.577,51.671,853,0
20080807,52.398,53.552,52.398,53.21,1062,0
20080808,53.124,53.466,53.124,53.466,173,0
20080811,53.424,53.424,51.714,52.74,2271,0
20080812,51.116,51.415,50.987,51.03,794,0
20080813,50.945,50.945,50.047,50.047,1157,0
20080814,52.398,53.252,51.671,52.825,6163,0
20080818,52.825,52.825,52.441,52.441,751,0
20080819,52.441,54.064,52.441,53.424,3534,0
20080820,55.09,56.33,55.09,56.33,7410,0
20080821,58.296,58.296,56.415,58.125,4802,0
20080822,58.125,59.621,58.125,59.621,3473,0
20080825,57.654,57.825,56.885,57.27,1704,0
20080826,56.971,57.142,55.048,56.586,2453,0
20080827,57.099,57.697,57.099,57.697,485,0
20080828,56.415,56.415,53.637,54.535,10417,0
20080829,56.757,57.27,55.09,55.561,4215,0
20080901,55.561,55.561,53.979,54.193,6443,0
20080902,53.68,53.68,51.586,51.628,10806,0
20080903,51.714,52.056,48.808,49.534,41140,0
20080904,52.056,52.056,46.286,46.286,51596,0
20080905,46.457,47.44,42.568,45.047,5818,0
