Date,Open,High,Low,Close,Volume,OpenInt
20060822,26.9,30,14.35,15.5,1795550,0
20060823,15.5,15.5,14,14,393948,0
20060824,13.1,14.5,12.75,14.2,242626,0
20060825,14.2,14.2,13.5,13.5,53965,0
20060828,13.6,13.9,13.15,13.15,51541,0
20060829,13.4,13.6,13.3,13.5,42689,0
20060830,13.6,14.4,13.6,14.1,49750,0
20060831,14.2,14.3,13.9,14.1,26408,0
20060901,14.49,14.49,13.9,14.1,27580,0
20060904,14.1,14.1,13.72,13.85,20499,0
20060905,13.85,13.85,13.53,13.8,19467,0
20060906,13.75,13.79,13.4,13.5,9291,0
20060907,13.42,13.5,13.11,13.33,10281,0
20060908,13.45,13.5,13.32,13.32,18785,0
20060911,13.5,13.5,13.07,13.15,16037,0
20060912,13.05,13.1,12.9,13,25214,0
20060913,13.3,13.3,13.02,13.18,10704,0
20060914,12.81,13.05,12.81,13.05,12800,0
20060915,13,13.1,12.84,12.84,15529,0
20060918,13.19,13.19,12.87,13.14,3165,0
20060919,13.02,13.06,12.84,13,14534,0
20060920,12.86,12.86,12.5,12.6,15112,0
20060921,12.61,13.18,12.5,13,12239,0
20060922,12.78,13.2,12.78,13.2,8506,0
20060925,13.1,13.3,12.92,13.25,10032,0
20060926,13.35,13.98,13.35,13.8,34189,0
20060927,13.7,13.7,12.91,13.41,19446,0
20060928,13.59,13.59,13.08,13.47,7311,0
20060929,13.49,13.5,13.2,13.4,4589,0
20061002,13.22,13.5,12.8,13.5,2957,0
20061003,13.45,13.45,13.01,13.2,5429,0
20061004,13.21,13.3,13,13.15,2563,0
20061005,13.15,13.9,13.14,13.5,12204,0
20061006,13.22,13.3,13.14,13.25,6780,0
20061009,13.26,13.4,13.25,13.35,2018,0
20061010,13.4,13.4,13.2,13.25,2698,0
20061011,13.8,13.8,13.31,13.4,19503,0
20061012,13.6,13.7,13.4,13.7,5992,0
20061013,13.7,13.75,13.3,13.5,7364,0
20061016,13.5,13.5,13.2,13.4,8167,0
20061017,13.4,13.4,13.13,13.4,4089,0
20061018,13.4,13.5,13.28,13.34,13234,0
20061019,13.31,13.4,13.14,13.25,5858,0
20061020,13.3,13.67,13.25,13.67,22094,0
20061023,13.69,13.89,13.55,13.8,13012,0
20061024,13.84,15.3,13.8,14.75,106459,0
20061025,15,15.2,14.1,14.33,18312,0
20061026,14.7,14.7,14.35,14.45,12625,0
20061027,14.4,14.5,14.2,14.5,11604,0
20061030,14.78,15.2,14.2,14.98,30678,0
20061031,14.99,15.15,14.6,14.99,37928,0
20061102,15,15.15,14.75,14.95,18341,0
20061103,14.95,15,14.5,14.94,16013,0
20061106,14.71,14.95,14.6,14.7,12283,0
20061107,14.7,14.99,14.6,14.66,15588,0
20061108,14.9,15,14.6,14.64,18268,0
20061109,14.93,14.93,14.5,14.65,6208,0
20061110,14.79,14.79,14.45,14.45,8613,0
20061113,14.2,14.37,13.85,14.1,7298,0
20061114,13.95,14.1,13.8,14.1,4259,0
20061115,13.6,13.65,13.11,13.23,14478,0
20061116,13.1,13.64,13.02,13.2,10277,0
20061117,13.39,13.65,13.35,13.4,10456,0
