Date,Open,High,Low,Close,Volume,OpenInt
20071022,25.383,26.306,25.383,25.752,28261,0
20071023,25.844,26.121,25.844,25.936,4088,0
20071024,26.029,26.029,25.752,25.844,3416,0
20071025,25.844,25.936,25.392,25.392,6061,0
20071026,25.475,25.844,24.93,24.93,5315,0
20071029,25.383,25.383,23.075,23.998,5866,0
20071030,23.989,23.989,23.629,23.629,164,0
20071031,22.983,24.912,22.152,24.912,9794,0
20071102,24.912,24.912,23.555,24.912,1106,0
20071105,25.374,25.752,25.374,25.752,629,0
20071106,25.752,25.844,25.752,25.844,60,0
20071107,25.752,25.752,24.367,25.752,2178,0
20071108,25.752,25.752,24.09,25.752,414,0
20071109,25.66,25.66,24.921,24.921,217,0
20071112,25.641,25.641,23.998,24.912,135,0
20071113,24.912,24.912,24.912,24.912,433,0
20071114,24.894,24.894,23.075,24.358,1533,0
20071115,24.303,24.303,23.075,23.897,1474,0
20071116,24.275,24.275,23.26,23.537,429,0
20071119,23.527,23.527,22.521,22.891,531,0
20071120,23.527,23.527,22.152,22.152,778,0
20071121,22.152,22.152,19.946,22.152,1757,0
20071122,21.691,21.691,18.017,19.291,213178,0
20071123,19.383,19.383,18.248,19.106,36420,0
20071126,19.743,19.743,18.303,19.383,42836,0
20071127,19.383,19.383,18.275,18.46,11134,0
20071128,18.368,19.383,17.999,19.383,118651,0
20071129,19.383,19.965,19.014,19.752,133852,0
20071130,19.66,19.66,19.199,19.383,12068,0
20071203,19.383,19.743,18.94,19.706,54848,0
20071204,19.383,19.697,19.383,19.568,126789,0
20071205,19.66,20.214,19.383,20.214,95800,0
20071206,20.214,20.768,20.214,20.749,12249,0
20071207,20.768,21.275,20.758,21.229,25634,0
20071210,21.275,21.968,21.275,21.968,12201,0
20071211,21.968,21.968,21.137,21.691,58502,0
20071212,21.875,21.875,20.509,21.866,721,0
20071213,21.598,21.765,20.509,21.691,40444,0
20071214,21.46,21.46,20.768,20.768,876,0
20071217,20.888,21.811,20.509,21.506,55107,0
20071218,21.792,21.811,20.869,21.506,103007,0
20071219,21.691,21.691,20.906,21.663,905,0
20071220,21.229,21.645,20.934,21.229,3596,0
20071221,21.211,21.229,20.408,20.768,17906,0
20071227,20.768,21.211,19.54,21.211,26323,0
20071228,21.211,21.211,21.192,21.192,2005,0
20080102,21.192,21.691,21.192,21.192,7602,0
20080103,20.768,21.414,20.768,20.86,2223,0
20080104,20.86,21.183,20.306,20.851,18319,0
20080107,20.768,20.768,19.568,19.798,8996,0
20080108,20.297,20.297,19.66,19.845,5166,0
20080109,19.66,19.891,19.475,19.891,116219,0
20080110,19.752,19.752,19.531,19.54,3752,0
20080111,19.66,19.66,18.645,19.319,39381,0
20080114,19.106,19.66,19.106,19.66,3066,0
20080115,19.568,19.614,19.475,19.475,2621,0
20080116,17.999,19.475,17.999,18.922,3490,0
20080117,18.829,19.337,18.829,19.106,46527,0
20080118,19.106,19.106,18.672,18.672,18526,0
20080121,18.58,18.922,18.58,18.922,10887,0
20080122,18.829,18.922,18.552,18.922,1561,0
20080123,18.922,19.143,18.913,19.134,20464,0
20080124,19.106,19.189,18.829,19.189,11271,0
20080125,19.189,19.189,18.829,19.18,1233,0
20080128,19.199,19.199,18.829,18.829,1760,0
20080129,18.913,19.199,18.737,19.143,1686,0
20080130,19.245,19.245,18.922,19.245,2707,0
20080131,19.245,19.845,19.014,19.845,33879,0
20080201,19.845,19.845,19.199,19.614,11670,0
20080204,19.798,19.798,19.429,19.429,1318,0
20080205,19.66,19.66,18.875,19.383,2508,0
20080206,19.245,19.245,19.106,19.199,16142,0
20080207,18.691,19.199,18.682,19.199,25376,0
20080208,19.383,19.383,18.931,19.199,639,0
20080211,19.291,19.475,19.291,19.475,164,0
20080212,19.475,19.752,19.383,19.383,1286,0
20080213,19.383,19.383,19.383,19.383,2401,0
20080214,19.014,19.383,19.014,19.383,1170,0
20080215,19.365,19.365,19.355,19.355,203,0
20080218,19.3,19.309,19.245,19.272,16577,0
20080219,19.291,19.845,19.106,19.798,110518,0
20080220,19.835,20.195,19.411,19.891,3375,0
20080221,19.835,19.845,19.291,19.752,12059,0
20080222,19.743,20.195,19.743,20.159,26017,0
20080225,20.214,20.38,20.02,20.26,32722,0
20080226,20.315,20.315,19.983,20.029,38908,0
20080227,20.297,20.297,19.752,20.122,8288,0
20080228,20.26,20.26,19.586,20.168,152,0
20080229,20.26,20.288,19.383,20.232,17031,0
20080303,20.214,20.214,20.075,20.094,1426,0
20080304,20.38,20.38,19.014,19.752,4481,0
20080305,19.475,20.251,18.746,20.103,4165,0
20080306,20.029,20.242,19.937,20.195,10250,0
20080307,20.14,20.14,19.374,19.845,1587,0
20080310,19.245,19.946,19.245,19.475,8416,0
20080311,19.291,19.835,19.291,19.835,5470,0
20080312,19.808,19.826,19.66,19.826,1138,0
20080313,19.808,19.808,19.383,19.752,346,0
20080314,19.66,19.882,19.475,19.872,2053,0
20080317,19.475,19.845,19.383,19.66,6726,0
20080318,19.854,19.854,19.383,19.66,1754,0
20080319,19.835,19.835,19.383,19.475,1554,0
20080320,19.383,19.475,19.383,19.475,2997,0
20080325,19.752,19.817,19.402,19.752,393,0
20080326,19.402,19.743,19.125,19.743,5010,0
20080327,19.743,19.743,19.568,19.614,292,0
20080328,19.66,19.66,18.552,19.66,6048,0
20080331,19.743,19.743,19.383,19.614,782,0
20080401,19.734,19.743,19.383,19.743,1527,0
20080402,19.863,19.863,19.217,19.752,2679,0
20080403,19.992,20.952,19.992,20.491,38268,0
20080404,20.768,20.952,20.509,20.952,4979,0
20080407,21.128,21.137,20.768,20.952,9817,0
20080408,20.685,20.952,20.685,20.934,4172,0
20080409,20.601,20.601,20.306,20.491,5281,0
20080410,20.352,20.398,20.352,20.352,4215,0
20080411,20.352,20.398,19.854,20.306,7122,0
20080414,20.26,20.26,19.3,19.568,11615,0
20080415,19.106,19.798,18.552,19.18,15522,0
20080416,19.106,19.106,18.829,19.042,3809,0
20080417,19.042,19.245,18.691,18.94,43986,0
20080418,19.365,19.383,19.014,19.383,882,0
20080421,19.383,19.383,19.106,19.199,2711,0
20080422,19.291,19.291,17.768,18.626,5295,0
20080423,18.848,18.848,17.722,18.359,3324,0
20080424,17.676,18.368,17.676,18.183,1130,0
20080425,18.275,18.913,18.008,18.469,1533,0
20080428,18.275,18.82,18.275,18.82,304,0
20080429,18.737,19.328,18.737,19.282,572,0
20080430,19.005,19.226,18.737,19.226,139,0
20080505,19.199,19.199,18.275,18.922,6013,0
20080506,19.014,19.014,18.368,18.922,381,0
20080507,18.922,19.005,18.922,19.005,453,0
20080508,18.82,18.82,18.82,18.82,243,0
20080509,18.82,18.875,18.82,18.875,22,0
20080512,18.875,18.875,18.183,18.183,2866,0
20080513,18.552,18.552,18.229,18.543,2359,0
20080514,18.543,18.543,18.543,18.543,425,0
20080515,18.589,18.589,17.703,18.266,822,0
20080516,18.599,19.365,18.599,18.848,14653,0
20080519,18.848,18.848,18.552,18.552,4702,0
20080520,18.737,18.737,17.546,18.405,4111,0
20080521,18.46,18.46,17.629,17.722,973,0
20080523,17.768,17.814,17.768,17.814,2974,0
