Date,Open,High,Low,Close,Volume,OpenInt
20061023,9.206,9.994,9.206,9.605,2174027,0
20061024,9.728,9.861,9.71,9.834,1621644,0
20061025,9.904,9.94,9.816,9.94,1648966,0
20061026,9.922,10.373,9.922,10.356,1119652,0
20061027,10.418,10.931,10.4,10.86,596610,0
20061030,10.966,11.232,10.188,10.798,1608066,0
20061031,10.727,10.78,10.524,10.745,398619,0
20061101,10.7,11.302,10.7,11.302,318321,0
20061102,11.222,11.275,10.966,11.187,2852413,0
20061103,11.24,11.24,11.161,11.222,116218,0
20061106,11.089,11.532,11.054,11.479,317281,0
20061107,11.541,11.832,11.541,11.762,501385,0
20061108,11.85,11.885,11.806,11.806,941424,0
20061109,11.868,11.868,11.55,11.647,200133,0
20061110,11.647,11.647,11.275,11.426,256710,0
20061113,12.063,12.407,11.806,12.213,505302,0
20061114,12.284,12.699,12.213,12.47,586797,0
20061115,12.558,12.761,12.443,12.505,640145,0
20061116,12.585,12.655,12.01,12.319,920417,0
20061117,12.452,12.726,12.319,12.673,680392,0
20061120,12.681,13.053,12.681,13.017,728063,0
20061121,13.009,13.009,12.638,12.806,294361,0
20061122,12.832,12.832,12.354,12.443,320242,0
20061123,12.496,12.496,12.222,12.381,594835,0
20061124,12.417,12.417,11.771,11.903,711180,0
20061127,11.921,12.399,11.903,12.328,134825,0
20061128,12.346,12.346,12.089,12.346,109496,0
20061129,12.39,12.522,12.222,12.372,129733,0
20061130,12.399,12.505,12.364,12.47,71296,0
20061201,12.478,12.708,12.478,12.708,130581,0
20061204,12.779,13.017,12.761,13.017,106144,0
20061205,12.964,13.053,12.92,13,347395,0
20061206,13,13.088,12.92,13.088,306064,0
20061207,13.035,13.124,12.956,13.009,217081,0
20061208,13.009,13.363,13.009,13.291,339169,0
20061211,13.381,13.938,13.381,13.928,374172,0
20061212,13.902,13.902,13.442,13.787,114055,0
20061213,13.743,13.902,13.513,13.743,520370,0
20061214,13.717,13.884,13.717,13.831,473455,0
20061215,13.796,13.796,13.663,13.76,25112,0
20061218,13.805,13.805,13.557,13.69,1818954,0
20061219,13.752,14.229,13.752,14.141,99879,0
20061220,14.185,14.724,14.185,14.724,310650,0
20061221,14.84,14.84,14.423,14.671,730540,0
20061222,14.892,15.176,14.822,15.061,86056,0
20061227,15.671,15.671,15.078,15.149,222363,0
20061228,15.237,15.237,15.008,15.158,49992,0
20061229,15.096,15.131,15.051,15.113,215211,0
20070102,15.123,15.423,14.972,15.397,158182,0
20070103,15.423,15.458,15.202,15.291,635314,0
20070104,15.379,15.547,15.379,15.45,563823,0
20070105,15.706,15.812,15.635,15.706,170374,0
20070108,15.688,16.033,15.653,15.821,491668,0
20070109,15.812,16.033,15.777,15.777,120773,0
20070110,16.14,16.829,16.06,16.484,463718,0
20070111,16.519,16.519,15.919,16.298,288082,0
20070112,16.281,16.529,16.201,16.529,49251,0
20070115,16.334,16.502,16.246,16.316,76088,0
20070116,16.298,17.006,16.298,16.865,290457,0
20070117,16.926,17.014,16.67,16.926,464107,0
20070118,16.873,16.988,16.785,16.944,514707,0
20070119,16.758,17.051,16.662,16.811,86792,0
20070122,16.971,16.971,16.652,16.856,51473,0
20070123,16.909,17.094,16.82,17.059,158095,0
20070124,17.183,17.493,17.077,17.315,315803,0
