Date,Open,High,Low,Close,Volume,OpenInt
20070716,390,620,385,590,224476,0
20070717,589,600,512,580,45957,0
20070718,588,610,561,597,11841,0
20070719,583.5,750,575,750,19940,0
20070720,788,842,695,745,28731,0
20070723,745,745,653,656,16096,0
20070724,673,673,606,610,6829,0
20070725,590,679,560,670,29656,0
20070726,677,697,610,620,13355,0
20070727,621,670,612,620,14956,0
20070730,643.5,643.5,585,600,4984,0
20070731,620,630,585,595,5425,0
20070801,575,594,510,510,9331,0
20070802,530,553,491,502,4753,0
20070803,515,525,491,505,6733,0
20070806,500,514,472,496,7817,0
20070807,501,520,501,506.5,4019,0
20070808,500,510,487,496,2982,0
20070809,499.5,500,480,480,3723,0
20070810,455,470,385,401,20282,0
20070813,411,422,380,380,3275,0
20070814,380,409.9,372,400,9674,0
20070816,365,404,360,400,12756,0
20070817,397,457.8,394,457.8,13695,0
20070820,484,486,439,451.1,8478,0
20070821,450,450,415,425,2846,0
20070822,430,470,430,469,7896,0
20070823,475,480,455,460,9427,0
20070824,450,464.8,435,464,811,0
20070827,456,481.9,456,478,3897,0
20070828,463,472,454,456,857,0
20070829,436,465,436,449,4800,0
20070830,450.6,463.8,315,360,55587,0
20070831,387,394,352,358,35944,0
20070903,358,358,322.5,323,26154,0
20070904,320,320,295.1,305.1,21133,0
20070905,320,328,308,308,32072,0
20070906,313,329.5,313,324,13013,0
20070907,334,404.1,326.1,376,58177,0
20070910,385,421,360,364,67092,0
20070911,380.5,408.2,368,390,38181,0
20070912,395,404.7,384,390,14196,0
20070913,393,402,388,390.1,16230,0
20070914,393.9,395,372,385,8486,0
20070917,375,378,365,368,5289,0
20070918,356.1,367,341,365,14030,0
20070919,380,388,368,371.1,8199,0
20070920,370,370,350.5,357,6074,0
20070921,361.2,364,355,360,6675,0
20070924,382,399.5,378.5,381,31426,0
20070925,388,388,376,379.9,10717,0
20070926,378,379.7,370.1,372.8,5419,0
20070927,363,370,355,357,9366,0
20070928,352,352,328,343.7,12801,0
20071001,340,349.9,333,337.5,3119,0
20071002,340,340,317.5,323.1,5295,0
20071003,320,320,302,306,11809,0
20071004,307.5,319.7,307.2,319.7,4680,0
20071005,328.9,335,325,325.4,5066,0
20071008,328,337,325.5,333,3611,0
20071009,333,333,326.3,326.3,2263,0
20071010,325,326,315,319.5,4259,0
20071011,324.1,324.1,311,312,4892,0
20071012,312.1,316.2,310.2,313.1,5376,0
20071015,316,324,309,313,2761,0
20071016,313,315,309,309.5,3618,0
20071017,309.5,312,298,299.5,11194,0
20071018,300,300,285,289,6493,0
20071019,290.1,309,289,305.6,13620,0
20071022,307,337,307,330.1,39735,0
20071023,345,372.8,340,370,35846,0
20071024,364,398,361,365,30367,0
20071025,372,383,355,361.8,11869,0
20071026,362,362,345.9,347.1,10235,0
20071029,351,358,345.9,348.8,4742,0
20071030,347.5,347.5,331,336,5934,0
20071031,337.1,351.5,333.2,343,5771,0
20071102,335.9,343,331,343,3911,0
20071105,339.9,343,330.1,339,2507,0
20071106,340,342,332,339.5,2516,0
20071107,346,354,320,323,6829,0
20071108,302,329,301,322,6475,0
20071109,328,332.5,312,320.5,3296,0
20071112,313.9,325,311,320.5,3315,0
20071113,325,327.8,315,325,4056,0
20071114,329.4,332.5,318,320,4098,0
20071115,320,320.8,310,313.1,7148,0
20071116,306.1,311,285.1,309,6652,0
20071119,308.1,318,301,302,3259,0
20071120,302,304,287,295,4385,0
20071121,290,292,275.1,275.1,9162,0
20071122,270.1,286,243.2,279,16956,0
20071123,276,284,274,280.5,4631,0
20071126,286,286,275.1,280,3769,0
20071127,275,280,270,280,1994,0
20071128,282,289.9,277.2,289.8,7592,0
20071129,296,315,296,304.9,8957,0
20071130,308,309,303,307.9,2602,0
20071203,309,309,300,301,1832,0
20071204,290,303.9,285,287,8541,0
20071205,307,358,305,357,48308,0
20071206,360,368.5,328,338.5,28183,0
20071207,340.5,344.9,321,321,9406,0
20071210,321.5,335,312,332,10681,0
20071211,332,337.9,330,335,5059,0
20071212,329,355,328,347,8705,0
20071213,340,349,330,330.4,5380,0
20071214,335,343,330,332.1,3239,0
20071217,328,339.5,321,330.2,6589,0
20071218,333,333,315.5,330,4498,0
20071219,333,333,320,321,5761,0
20071220,320,326.5,318.3,322.1,2884,0
20071221,323,324,319,320,3842,0
20071227,322,325,318,324,1663,0
20071228,319,329,319,325,865,0
20080102,334.5,334.5,329,330.6,3447,0
20080103,334.5,334.5,331,334,3403,0
20080104,333,337,329,331.2,2477,0
20080107,330,330.5,322.3,329,3083,0
20080108,326.5,329,309,322.5,4816,0
20080109,312,312,300,304.8,3311,0
20080110,304,310.5,291.4,306.7,3652,0
20080111,320,328.7,314,317.8,6992,0
