Date,Open,High,Low,Close,Volume,OpenInt
20110405,18.783,18.783,17.898,18.104,3015254,0
20110406,18.183,18.232,18.084,18.114,891411,0
20110407,18.173,18.173,18.094,18.094,153130,0
20110408,18.094,18.586,18.094,18.586,450352,0
20110411,18.645,18.763,18.399,18.576,181912,0
20110412,18.557,18.557,18.222,18.507,74575,0
20110413,18.498,18.635,18.35,18.458,106857,0
20110414,18.389,18.439,18.291,18.389,35898,0
20110415,18.389,18.527,18.34,18.448,33050,0
20110418,18.36,18.37,17.465,17.465,386152,0
20110419,17.534,18.094,17.435,18.065,77626,0
20110420,18.016,18.193,17.898,18.173,173621,0
20110421,18.094,18.193,18.045,18.193,128119,0
20110426,18.163,18.163,17.799,17.927,16427,0
20110427,17.868,17.986,17.701,17.986,37579,0
20110428,17.898,17.986,17.78,17.898,16291,0
20110429,17.721,17.799,17.711,17.73,20068,0
20110502,17.878,17.888,17.711,17.721,3087,0
20110504,17.721,17.839,17.711,17.829,9983,0
20110505,17.76,17.898,17.76,17.898,45180,0
20110506,17.829,18.094,17.799,17.966,168571,0
20110509,17.848,17.996,17.848,17.996,41939,0
20110510,17.701,18.143,17.701,18.035,279140,0
20110511,18.025,18.094,17.898,18.094,37051,0
20110512,17.986,17.986,17.701,17.898,15837,0
20110513,17.701,17.947,17.612,17.799,122580,0
20110516,17.799,18.055,17.799,17.996,94599,0
20110517,17.996,18.134,17.76,18.134,287187,0
20110518,18.114,18.242,18.094,18.143,62641,0
20110519,18.006,18.193,17.898,18.193,25207,0
20110520,18.212,18.321,18.193,18.291,20435,0
20110523,18.311,18.311,17.829,18.291,132690,0
20110524,18.193,18.409,18.193,18.34,59158,0
20110525,18.291,18.34,18.143,18.291,4825,0
20110526,18.173,18.291,18.173,18.242,3215,0
20110527,17.947,18.045,17.898,17.898,2752,0
20110530,18.193,18.193,17.907,18.045,9049,0
20110531,17.996,18.006,17.848,17.947,25925,0
20110601,17.898,17.907,17.73,17.799,13542,0
20110602,17.701,17.848,17.622,17.701,17039,0
20110603,17.701,17.799,17.504,17.544,9452,0
20110606,17.544,17.544,16.373,17.17,37817,0
20110607,17.18,17.367,16.767,17.081,30668,0
20110608,17.091,17.209,16.885,17.003,21151,0
20110609,16.767,17.199,16.767,17.111,11827,0
20110610,17.062,17.18,16.944,17.111,2334,0
20110613,17.062,17.111,17.062,17.062,4044,0
20110614,16.914,17.042,16.914,17.042,49679,0
20110615,17.042,17.081,17.042,17.072,49312,0
20110616,17.013,17.052,16.767,17.013,6623,0
20110617,17.013,17.799,17.013,17.799,31051,0
20110620,17.799,17.799,17.258,17.721,52085,0
20110621,17.701,17.819,17.367,17.819,46070,0
20110622,17.829,18.193,17.829,18.094,167689,0
20110624,18.045,18.193,18.045,18.045,106225,0
20110627,18.094,18.094,17.504,17.504,316499,0
20110628,17.701,18.075,17.524,17.799,389762,0
20110629,17.809,18.094,17.799,17.898,213000,0
20110630,18.094,18.291,17.898,18.193,189814,0
20110701,17.996,18.232,17.996,18.222,176848,0
20110704,18.193,18.193,17.996,18.173,8997,0
20110705,18.183,18.183,17.947,18.094,89052,0
20110706,17.898,18.134,17.898,18.094,41278,0
20110707,18.094,18.389,18.094,18.389,92470,0
20110708,18.202,18.439,18.202,18.399,52939,0
20110711,18.38,18.38,18.143,18.281,138724,0
20110712,17.927,18.34,17.524,18.34,34066,0
20110713,17.711,18.193,17.711,18.193,16201,0
20110714,18.193,18.193,17.878,17.878,11951,0
20110715,17.848,18.173,17.77,17.976,36508,0
20110718,17.75,17.937,17.75,17.898,11459,0
20110719,17.701,17.75,17.701,17.75,12545,0
20110720,17.721,17.799,17.711,17.799,7004,0
20110721,17.701,17.878,17.504,17.799,27271,0
20110722,17.701,17.701,17.514,17.642,15767,0
20110725,17.514,17.848,17.514,17.701,11110,0
20110726,17.701,17.701,17.524,17.524,7133,0
20110727,17.514,17.691,17.406,17.504,4579,0
20110728,17.406,17.603,17.013,17.308,2595,0
20110729,17.013,17.799,17.013,17.799,24081,0
20110801,17.367,17.789,17.367,17.78,3425,0
20110802,17.367,17.603,17.308,17.308,58756,0
20110803,17.357,17.357,16.226,16.226,16508,0
20110804,16.521,16.855,15.754,15.754,94875,0
20110805,14.898,15.144,14.564,14.947,15100,0
20110808,14.751,14.751,12.027,12.489,77048,0
20110809,12.538,13.522,11.319,12.096,125005,0
20110810,12.587,13.276,12.096,12.292,136362,0
20110811,12.587,12.774,11.997,12.174,148357,0
20110812,13.128,13.177,12.587,12.597,17134,0
20110816,13.551,13.551,13.079,13.079,15736,0
20110817,13.374,13.463,12.981,12.981,5163,0
20110818,12.892,13.472,12.007,12.489,4899,0
20110819,12.44,12.922,11.309,12.096,24235,0
20110822,12.587,12.764,11.801,12.735,11073,0
20110823,12.932,13.276,12.292,12.637,9341,0
20110824,12.735,12.784,12.194,12.194,75420,0
20110825,12.145,12.145,11.722,12.017,25188,0
20110826,12.135,12.135,11.801,11.899,1912,0
20110829,11.801,11.997,11.653,11.889,8909,0
20110830,11.889,12.086,11.801,11.83,6686,0
20110831,11.899,11.899,11.604,11.751,7663,0
20110901,11.751,11.751,11.338,11.338,8600,0
20110902,11.299,11.309,10.267,10.326,201604,0
20110905,10.424,10.424,9.057,9.4405,32434,0
20110906,10.227,11.161,9.4208,11.161,743426,0
20110907,11.211,11.653,11.161,11.456,7319,0
20110908,11.456,12.243,11.456,12.194,6029,0
20110909,12.194,12.194,11.407,11.407,9891,0
20110912,10.906,10.965,10.326,10.326,4367,0
20110913,10.562,10.562,9.834,9.932,128445,0
20110914,10.316,10.316,10.08,10.217,4914,0
20110915,10.512,11.211,10.326,11.014,7634,0
20110916,10.827,11.407,10.827,11.309,11060,0
20110919,10.621,11.211,10.621,11.102,55745,0
20110920,11.201,11.791,11.132,11.791,2302,0
20110921,11.801,12.145,11.801,11.899,11477,0
20110922,11.801,11.801,10.817,11.014,11889,0
20110923,11.801,12.145,10.335,10.916,22697,0
20110926,10.906,11.801,10.424,11.555,112120,0
20110927,11.604,12.145,11.604,11.653,12276,0
20110928,11.81,11.988,11.801,11.899,260794,0
20110929,12.096,12.656,12.096,12.568,10923,0
