Date,Open,High,Low,Close,Volume,OpenInt
19981118,9.2097,9.4286,8.9971,8.9971,9653668,0
19981119,8.9423,8.9423,8.5046,8.7782,6396058,0
19981120,8.9423,9.1551,8.9423,9.1551,4852207,0
19981123,9.2645,9.4834,9.2645,9.3193,4716154,0
19981124,9.3193,9.3193,8.9423,8.9971,2945053,0
19981125,8.9971,9.1004,8.8876,9.0456,1574638,0
19981126,9.0456,9.0456,8.8876,8.9423,903708,0
19981127,8.8876,8.8876,8.7782,8.7782,1305583,0
19981130,8.6687,8.7782,8.6687,8.6687,1834412,0
19981201,8.5046,8.5046,8.3952,8.4499,1917449,0
19981202,8.4499,8.614,8.4499,8.5594,1109208,0
19981203,8.5046,8.8876,8.5046,8.7782,1009897,0
19981204,8.7234,9.1004,8.7234,9.1004,1504527,0
19981207,9.1551,9.1551,8.8876,8.9971,990456,0
19981208,8.9971,9.1004,8.9971,9.0456,1391989,0
19981209,9.0456,9.0456,8.9971,9.0456,1259084,0
19981210,9.1551,9.1551,9.0456,9.0456,1847978,0
19981211,8.9971,9.1004,8.8876,9.0456,1465738,0
19981214,8.9971,9.1551,8.9971,9.1004,948855,0
19981215,9.1004,9.1551,9.0456,9.0456,648797,0
19981216,9.1551,9.3193,9.1551,9.2645,1718099,0
19981217,9.1551,9.2097,9.1004,9.1004,481653,0
19981218,9.1551,9.2097,9.1551,9.2097,1048453,0
19981221,9.1551,9.3193,9.1551,9.2645,737719,0
19981222,9.3193,9.4286,9.3193,9.3738,1887553,0
19981223,9.4834,9.702,9.4834,9.647,1363737,0
19981228,9.647,9.757,9.538,9.647,610172,0
19981229,9.593,9.593,9.4286,9.4834,1387060,0
19981230,9.4834,9.593,9.4834,9.4834,569360,0
19981231,9.4834,9.538,9.4834,9.538,285955,0
19990104,9.647,10.14,9.647,10.14,1374566,0
19990105,10.085,10.195,10.085,10.14,1528884,0
19990106,10.304,11.009,10.304,11.009,1754786,0
