Date,Open,High,Low,Close,Volume,OpenInt
20101011,5.8052,6.2206,5.5877,5.5877,39035,0
20101012,5.4888,5.5382,5.3899,5.4393,10115,0
20101013,5.4888,5.4888,5.2415,5.4096,6395,0
20101014,5.3899,5.3899,5.2118,5.291,1430,0
20101015,5.1426,5.3899,5.0932,5.3899,7847,0
20101018,5.6371,5.6371,5.4393,5.4393,3780,0
20101019,5.5382,5.5382,5.3899,5.5382,844,0
20101020,5.5283,5.5283,5.3404,5.5283,1694,0
20101021,5.5283,5.5283,5.2514,5.2514,3577,0
20101022,5.2415,5.4393,4.8459,5.4393,11205,0
20101025,5.2415,5.3107,5.2415,5.3107,758,0
20101026,5.3899,5.3899,5.3899,5.3899,2,0
20101027,5.0042,5.3305,5.0042,5.3305,4404,0
20101028,5.3701,5.3701,5.2415,5.3404,304,0
20101029,5.3305,5.4195,5.3305,5.4195,2016,0
20101102,5.4195,5.4294,5.4195,5.4294,1575,0
20101103,5.4195,5.4393,5.4195,5.4393,129,0
20101104,5.4393,5.4393,5.3404,5.3404,698,0
20101105,5.4096,5.4096,5.3404,5.3404,625,0
20101108,5.4096,5.4096,5.2811,5.3404,26,0
20101109,5.3404,5.3404,5.2712,5.2712,603,0
20101110,5.3305,5.3305,5.3305,5.3305,2,0
20101112,5.2811,5.2811,5.2811,5.2811,2,0
20101115,5.1031,5.2811,5.1031,5.2811,203,0
20101116,5.2811,5.2811,5.1031,5.1031,101,0
20101117,5.2811,5.2811,5.2811,5.2811,2,0
20101118,5.2811,5.3305,5.0932,5.3305,1311,0
20101119,5.3305,5.3305,5.202,5.202,174,0
20101122,5.3305,5.3305,5.0042,5.202,497,0
20101123,5.3305,5.3305,5.202,5.202,100,0
20101124,5.3305,5.3305,5.1426,5.1426,1566,0
20101125,5.1327,5.1327,5.1327,5.1327,154,0
20101126,5.1327,5.1327,4.8855,5.0437,1164,0
20101129,5.0437,5.0437,4.8954,4.8954,214,0
20101130,5.0437,5.0437,4.8459,4.8459,1013,0
20101201,5.0437,5.0437,4.8459,4.8459,2401,0
20101202,5.0437,5.0734,4.9448,5.0734,761,0
20101203,5.2712,5.3305,5.113,5.113,1956,0
20101206,5.3404,5.3404,5.3305,5.3305,315,0
20101207,5.3305,5.3305,5.1525,5.1525,253,0
20101208,5.1426,5.1426,5.1426,5.1426,1012,0
20101209,5.3305,5.3305,5.1921,5.1921,98,0
20101210,5.0437,5.0437,5.0437,5.0437,313,0
20101213,5.3206,5.3206,5.1921,5.1921,98,0
20101214,5.3206,5.3206,5.3206,5.3206,2,0
20101215,5.2415,5.2415,5.2415,5.2415,123,0
20101216,5.3206,5.3206,5.3206,5.3206,1,0
20101217,5.3206,5.3206,5.1822,5.202,441,0
20101220,5.291,5.291,5.291,5.291,3,0
20101221,5.2415,5.2415,5.0437,5.0437,128,0
20101222,5.0437,5.1228,5.0437,5.1228,1348,0
20101223,5.1228,5.1228,5.0042,5.0042,371455,0
20101227,5.0141,5.0141,4.9448,4.9448,241,0
20101228,5.1228,5.1228,4.9448,4.9448,276,0
20101229,5.291,5.291,5.291,5.291,2,0
20101230,5.2415,5.2415,4.9646,5.2415,16,0
20101231,5.2415,5.2415,5.2415,5.2415,4,0
20110103,5.2415,5.2415,5.1031,5.1031,100,0
20110104,5.113,5.113,4.8954,4.8954,222,0
20110105,5.3305,5.3305,5.0437,5.0437,781,0
20110107,5.0536,5.0536,5.0536,5.0536,8,0
20110110,5.0635,5.0635,5.0635,5.0635,2,0
20110111,5.0437,5.0437,5.0437,5.0437,3,0
20110112,5.0338,5.0338,4.8558,4.9053,1234,0
20110113,5.3305,5.3305,5.202,5.202,628,0
20110114,5.202,5.202,5.202,5.202,61,0
20110117,5.202,5.202,5.202,5.202,3,0
20110118,4.9547,5.1921,4.9547,5.1921,302,0
20110119,5.0635,5.1921,4.9745,5.1921,98,0
20110120,5.1921,5.1921,5.1723,5.1723,5,0
20110121,5.1723,5.1723,5.1723,5.1723,3,0
20110124,5.1723,5.1723,5.1723,5.1723,2,0
20110125,5.1723,5.1723,5.1723,5.1723,2,0
20110126,5.1624,5.1921,5.1426,5.1426,2132,0
20110127,5.202,5.202,4.9646,5.202,2956,0
20110128,5.202,5.202,4.9745,4.9745,305,0
20110131,5.1327,5.1327,5.1327,5.1327,2,0
20110201,5.1327,5.1327,5.1327,5.1327,1,0
20110202,5.202,5.202,4.9844,4.9844,406,0
20110203,5.1327,5.4195,4.9448,5.0536,8953,0
20110204,5.2316,5.2316,5.0141,5.0141,383,0
20110207,5.1327,5.1327,5.1327,5.1327,1,0
20110208,5.0239,5.1327,4.9844,4.9844,985,0
20110209,4.9844,5.1822,4.9646,5.0635,5467,0
20110210,5.1327,5.1624,4.9745,5.0734,3984,0
20110211,5.0833,5.1327,4.9349,4.9943,3637,0
20110214,5.1031,5.1327,4.9844,4.9844,4843,0
20110215,5.1426,5.1426,5.0635,5.0635,1039,0
20110216,5.2118,5.2118,5.0437,5.2118,455,0
20110217,5.1426,5.1426,5.1426,5.1426,104,0
20110218,5.1624,5.1624,5.1624,5.1624,73,0
20110221,5.1426,5.2217,4.8954,5.0635,584,0
20110222,5.0833,5.5382,4.9152,5.3404,13940,0
20110223,5.3404,5.6371,5.0437,5.4789,9601,0
20110224,5.4096,5.5382,5.1723,5.3404,6340,0
20110225,5.4195,5.4195,5.1624,5.3701,2219,0
20110228,5.4195,5.4294,5.1723,5.2415,1893,0
20110301,5.1624,5.4096,5.1624,5.2415,718,0
20110302,5.4393,5.9338,5.2217,5.8151,15535,0
20110303,5.8151,5.8151,5.7854,5.8052,407,0
20110304,6.0327,6.0327,5.7558,5.7558,3357,0
20110307,5.8151,5.8151,5.6668,5.6668,2738,0
20110308,5.6668,5.9338,5.6668,5.9338,6468,0
20110309,6.1316,7.17,5.9536,6.1613,22523,0
20110310,6.2305,6.4975,6.092,6.2305,14599,0
20110311,6.0327,6.4085,6.0327,6.0525,2511,0
20110314,6.3096,6.9129,6.27,6.6755,16245,0
20110315,6.6755,7.1206,6.6755,6.9722,16334,0
20110316,7.0118,8.426,6.8436,7.4074,82920,0
