Date,Open,High,Low,Close,Volume,OpenInt
20070912,7.9444,8.6666,7.6362,7.6362,492657,0
20070913,7.6074,7.8963,7.6074,7.8963,72461,0
20070914,7.8963,7.8963,7.6555,7.6748,25426,0
20070917,7.7615,7.8481,7.5978,7.6555,17845,0
20070918,7.511,7.7519,7.4147,7.7037,12932,0
20070919,7.8867,8.0889,7.6652,8.0889,63395,0
20070920,8.1274,8.1274,7.7615,7.9925,66411,0
20070921,7.8963,7.9444,7.7903,7.7903,10636,0
20070924,8.0215,8.0215,7.8481,7.8963,7680,0
20070925,7.906,7.906,7.7037,7.8481,18406,0
20070926,7.8289,7.9925,7.8289,7.9925,75153,0
20070927,7.9925,8.6666,7.9444,8.474,154185,0
20070928,8.3779,8.3779,8.0408,8.2814,66421,0
20071001,8.3681,8.4548,8.0311,8.2622,28681,0
20071002,8.2622,8.6666,8.1659,8.2911,37616,0
20071003,8.4259,8.4259,7.8674,8.1274,28731,0
20071004,8.1274,8.137,7.8095,8.0599,22590,0
20071005,8.0408,8.2814,7.9925,8.2814,12447,0
20071008,8.1851,8.3585,8.1851,8.2814,13371,0
20071009,8.3199,8.3199,8.243,8.2814,7619,0
20071010,8.1948,8.214,8.0985,8.1563,6122,0
20071011,8.2718,8.2814,8.1659,8.2814,2852,0
20071012,8.3007,8.3779,8.1851,8.3681,5083,0
20071015,8.4452,8.4644,8.3392,8.4452,14206,0
20071016,8.3489,8.4452,8.2911,8.3681,8113,0
20071017,8.3779,8.4548,8.1851,8.4548,8305,0
20071018,8.4548,8.474,8.3199,8.4452,5464,0
20071019,8.3873,8.5221,8.2814,8.5221,5597,0
20071022,8.5031,8.5031,8.2044,8.4355,10902,0
20071023,8.4355,8.474,8.1851,8.474,18286,0
20071024,8.4355,8.4355,8.2333,8.3199,8437,0
20071025,8.2814,8.474,8.2814,8.4452,8503,0
20071026,8.1948,8.5607,8.1948,8.5607,24818,0
20071029,8.5607,8.7629,8.3779,8.7534,21054,0
