Date,Open,High,Low,Close,Volume,OpenInt
19971120,13.787,13.787,13.787,13.787,132367,0
19971121,14.328,14.328,14.328,14.328,294874,0
19971124,14.328,14.328,14.328,14.328,102513,0
19971125,14.062,14.062,14.062,14.062,64298,0
19971126,13.879,13.879,13.879,13.879,19423,0
19971127,13.879,13.879,13.879,13.879,11837,0
19971128,14.144,14.144,14.144,14.144,51957,0
19971201,14.419,14.419,14.419,14.419,69812,0
19971202,14.685,14.685,14.685,14.685,73046,0
19971203,14.776,14.776,14.776,14.776,148586,0
19971204,15.042,15.042,15.042,15.042,109126,0
19971205,15.399,15.399,15.399,15.399,223729,0
19971208,15.94,15.94,15.94,15.94,215731,0
19971209,15.757,15.757,15.757,15.757,208304,0
19971210,15.665,15.665,15.665,15.665,69205,0
19971211,15.582,15.582,15.582,15.582,130368,0
19971212,15.399,15.399,15.399,15.399,140152,0
19971215,15.491,15.491,15.491,15.491,43201,0
19971216,15.665,15.665,15.665,15.665,56123,0
19971217,15.757,15.757,15.757,15.757,57250,0
19971218,15.399,15.399,15.399,15.399,46450,0
19971219,15.582,15.582,15.582,15.582,118013,0
19971222,15.399,15.399,15.399,15.399,71384,0
19971223,15.582,15.582,15.582,15.582,44915,0
19971229,15.757,15.757,15.757,15.757,107843,0
19971230,15.757,15.757,15.757,15.757,80518,0
19971231,15.94,15.94,15.94,15.94,94240,0
19980105,16.031,16.031,16.031,16.031,80703,0
19980106,16.114,16.114,16.114,16.114,176015,0
19980107,16.114,16.114,16.114,16.114,80941,0
19980108,16.389,16.389,16.389,16.389,118715,0
19980109,16.471,16.471,16.471,16.471,111308,0
19980112,15.94,15.94,15.94,15.94,49547,0
19980113,15.94,15.94,15.94,15.94,58891,0
19980114,16.114,16.114,16.114,16.114,62540,0
19980115,16.206,16.206,16.206,16.206,24730,0
19980116,16.114,16.114,16.114,16.114,32568,0
19980119,16.389,16.389,16.389,16.389,49177,0
19980120,16.471,16.471,16.471,16.471,80770,0
19980121,16.471,16.471,16.471,16.471,52631,0
19980122,16.389,16.389,16.389,16.389,28642,0
19980123,16.389,16.389,16.389,16.389,12192,0
19980126,16.471,16.471,16.471,16.471,92795,0
19980127,16.471,16.471,16.471,16.471,32602,0
19980128,16.563,16.563,16.563,16.563,79679,0
19980129,16.654,16.654,16.654,16.654,22529,0
19980130,17.012,17.012,17.012,17.012,94701,0
19980202,17.552,17.552,17.552,17.552,109358,0
19980203,17.909,17.909,17.909,17.909,91555,0
19980204,17.909,17.909,17.909,17.909,106409,0
19980205,17.818,17.818,17.818,17.818,32676,0
19980206,17.552,17.552,17.552,17.552,82566,0
19980209,18.441,18.441,18.441,18.441,109101,0
19980210,18.89,18.89,18.89,18.89,80933,0
19980211,18.532,18.532,18.532,18.532,26923,0
19980212,18.716,18.716,18.716,18.716,49622,0
19980213,19.696,19.696,19.696,19.696,144355,0
19980216,20.593,20.593,20.593,20.593,135603,0
19980217,21.491,21.491,21.491,21.491,118673,0
19980218,21.491,21.491,21.491,21.491,109139,0
19980219,21.491,21.491,21.491,21.491,83364,0
19980220,20.951,20.951,20.951,20.951,37917,0
19980223,21.491,21.491,21.491,21.491,69228,0
19980224,21.94,21.94,21.94,21.94,436560,0
19980225,22.114,22.114,22.114,22.114,53375,0
19980226,22.92,22.92,22.92,22.92,143619,0
19980227,23.278,23.278,23.278,23.278,119458,0
19980302,23.818,23.818,23.818,23.818,106595,0
19980303,23.278,23.278,23.278,23.278,47765,0
19980304,23.012,23.012,23.012,23.012,78226,0
19980305,22.206,22.206,22.206,22.206,105431,0
19980306,22.023,22.023,22.023,22.023,170717,0
19980309,22.471,22.471,22.471,22.471,45674,0
19980310,23.278,23.278,23.278,23.278,50215,0
19980311,23.635,23.635,23.635,23.635,128911,0
19980312,24.175,24.175,24.175,24.175,110268,0
19980313,24.359,24.359,24.359,24.359,87472,0
19980316,24.533,24.533,24.533,24.533,46916,0
19980317,24.359,24.359,24.359,24.359,68497,0
19980318,24.533,24.533,24.533,24.533,54578,0
19980319,24.89,24.89,24.89,24.89,46104,0
19980320,24.624,24.624,24.624,24.624,31545,0
19980323,24.533,24.533,24.533,24.533,55139,0
19980324,24.175,24.175,24.175,24.175,79400,0
19980325,23.727,23.727,23.727,23.727,57131,0
19980326,24.175,24.175,24.175,24.175,108042,0
19980327,23.727,23.727,23.727,23.727,15628,0
19980330,24.001,24.001,24.001,24.001,62728,0
19980331,24.175,24.175,24.175,24.175,124420,0
19980401,24.359,24.359,24.359,24.359,35866,0
19980402,24.624,24.624,24.624,24.624,18676,0
19980406,24.175,24.175,24.175,24.175,12798,0
19980407,24.982,24.982,24.982,24.982,24832,0
19980408,25.073,25.073,25.073,25.073,40803,0
19980409,24.624,24.624,24.624,24.624,19308,0
19980414,24.716,24.716,24.716,24.716,8211,0
19980415,25.073,25.073,25.073,25.073,53785,0
19980416,25.788,25.788,25.788,25.788,63664,0
19980417,25.522,25.522,25.522,25.522,22262,0
19980420,25.971,26.053,25.971,26.053,46909,0
19980421,26.859,26.859,26.594,26.859,54349,0
19980422,27.757,28.655,27.757,28.472,57858,0
19980423,28.206,29.993,28.206,29.186,149699,0
19980424,29.104,29.993,29.104,29.553,46574,0
19980427,29.461,29.461,28.655,28.655,38939,0
19980428,28.655,29.553,28.655,29.553,68512,0
19980429,29.553,30.625,29.553,29.91,66540,0
19980430,29.818,30.533,29.818,30.267,126696,0
19980504,30.267,30.267,29.553,29.91,29678,0
19980505,29.553,29.553,28.747,29.104,17184,0
19980506,29.104,29.104,28.206,28.655,73548,0
19980507,28.206,28.206,27.757,28.023,54564,0
19980508,27.757,28.023,27.4,27.849,60302,0
19980511,27.574,27.574,26.411,26.411,15637,0
19980512,26.777,26.777,25.604,25.696,43485,0
19980513,25.43,25.43,24.359,24.624,24169,0
19980514,25.073,25.788,25.073,25.43,64386,0
19980515,25.971,26.145,25.971,26.053,70796,0
19980518,25.971,27.043,25.339,25.339,67573,0
19980519,25.788,25.788,25.788,25.788,36616,0
19980520,25.604,25.788,25.604,25.788,41510,0
19980521,26.685,27.492,26.685,27.043,15588,0
19980522,26.859,26.859,26.502,26.594,78428,0
19980525,26.685,26.685,26.685,26.685,39457,0
19980526,25.339,25.522,25.073,25.073,54249,0
19980527,23.369,23.369,21.849,22.297,34769,0
19980528,22.389,23.195,22.389,22.746,57180,0
19980529,23.278,23.818,23.278,23.818,33291,0
19980601,22.389,22.655,21.94,22.563,227488,0
19980602,23.278,24.441,23.278,24.175,181991,0
19980603,25.604,27.043,25.604,26.859,79328,0
19980604,26.777,27.308,26.237,26.237,165016,0
19980605,28.023,29.553,28.023,29.012,128174,0
19980608,29.553,30.084,28.655,28.655,114207,0
19980609,28.921,28.921,27.043,27.757,67561,0
19980610,26.411,27.043,26.411,26.411,72390,0
19980615,25.971,25.971,24.624,24.798,53151,0
19980616,25.073,26.859,25.073,26.859,90191,0
19980617,27.574,28.472,27.574,28.206,57852,0
19980618,28.655,28.655,27.574,27.574,105795,0
19980619,27.492,27.757,27.217,27.757,35069,0
19980622,28.023,28.655,28.023,28.38,28011,0
19980623,27.757,27.757,26.951,27.4,29801,0
19980624,26.859,26.859,26.411,26.859,40897,0
19980625,26.685,27.4,26.685,27.308,90735,0
19980626,26.951,26.951,26.594,26.685,62668,0
19980629,26.411,27.217,26.411,26.685,15060,0
19980630,27.757,28.206,27.492,27.492,38077,0
19980701,28.206,28.563,27.94,28.115,56823,0
19980702,28.206,28.206,28.023,28.023,70592,0
19980703,27.849,28.023,27.849,27.94,21669,0
19980706,27.757,27.849,27.308,27.849,12432,0
19980707,28.655,28.921,28.38,28.921,72146,0
19980708,29.186,29.186,28.298,28.298,57202,0
19980709,29.012,29.012,29.012,29.012,18605,0
19980710,28.655,28.655,28.472,28.655,61180,0
19980713,29.553,30.441,29.553,30.441,70240,0
19980714,30.441,30.441,29.553,29.818,151847,0
19980715,29.993,29.993,29.369,29.553,40150,0
19980716,29.553,29.553,29.104,29.104,30916,0
19980717,29.553,29.553,28.655,29.012,41788,0
19980720,29.553,30.267,29.553,30.176,28930,0
