Date,Open,High,Low,Close,Volume,OpenInt
20100929,17.9,17.9,14.41,14.49,25312,0
20100930,14.49,14.98,14.3,14.4,45997,0
20101001,14.38,14.5,14.35,14.39,4386,0
20101004,14.35,14.35,14.31,14.35,1600,0
20101005,14.39,14.39,14.3,14.37,1139,0
20101006,14.38,14.5,14.3,14.4,1722,0
20101007,14.45,14.45,14.38,14.4,780,0
20101008,14.6,14.6,14.58,14.58,391,0
20101011,14.57,14.57,14.45,14.5,5999,0
20101014,14.47,14.47,14.31,14.31,413,0
20101015,14.31,14.31,14.31,14.31,4172,0
20101018,14.3,14.3,14.12,14.3,1327,0
20101019,14.3,14.35,14.3,14.35,21429,0
20101020,14.35,14.35,14.3,14.3,1144,0
20101021,14.3,14.35,14.3,14.35,7490,0
20101022,14.4,14.4,14.4,14.4,30,0
20101025,14.35,14.35,14.3,14.3,260,0
20101026,14.35,14.39,14.35,14.35,435,0
20101027,14.4,14.95,14.39,14.95,47914,0
20101028,15.15,16.1,15.15,15.65,46409,0
20101029,15.62,15.84,15.53,15.84,22324,0
20101102,15.95,16.65,15.95,16.47,46399,0
20101103,16.88,16.88,16.26,16.48,40603,0
20101104,16.5,16.65,16.1,16.45,21264,0
20101105,16.5,16.5,15.66,15.95,15490,0
20101108,16.4,16.4,15.45,15.47,25674,0
20101109,15.45,15.95,15,15.66,25976,0
20101110,15.71,15.75,15.5,15.57,15309,0
20101112,15.5,15.57,15.4,15.57,11554,0
20101115,15.8,15.8,15.66,15.66,5776,0
20101116,15.83,15.83,15.62,15.66,22567,0
20101117,15.68,15.68,15.6,15.63,5577,0
20101118,15.7,16,15.64,16,9858,0
20101119,16,16,15.75,15.76,7034,0
20101122,15.76,16,15.7,15.89,2147,0
20101123,15.7,15.75,15.65,15.65,4201,0
20101124,15.61,15.84,15.61,15.84,7187,0
20101125,15.76,15.84,15.65,15.68,3696,0
20101126,15.7,15.8,15.63,15.63,4376,0
20101129,15.6,15.76,15.6,15.6,2710,0
20101130,15.77,15.77,15.67,15.76,2890,0
20101201,15.7,15.76,15.6,15.74,17018,0
20101202,15.74,16,15.74,15.91,9786,0
20101203,16,16.33,16,16.28,21883,0
20101206,16.36,16.64,15.89,16.3,31077,0
20101207,16.25,16.44,16.11,16.43,3340,0
20101208,16.4,16.4,16.16,16.38,233,0
20101209,16.38,16.38,16.15,16.38,3229,0
20101210,16.35,16.35,16.01,16.22,2165,0
20101213,16.1,16.27,15.8,16.27,2742,0
20101214,15.77,16.2,15.77,16.2,3050,0
20101215,15.8,16.14,15.8,16.14,2245,0
20101216,16,16.1,15.85,15.95,2153,0
20101217,15.8,16,15.7,16,3429,0
20101220,15.9,15.97,15.9,15.97,3467,0
20101221,15.8,15.98,15.65,15.98,6659,0
20101222,16,16.17,15.75,16.07,1380,0
20101223,16,16,15.92,15.92,776,0
20101227,15.9,15.9,15.77,15.88,1933,0
20101228,15.71,15.9,15.68,15.9,5865,0
20101229,16,16,15.8,15.8,223,0
20101230,15.77,15.8,15.57,15.77,1335,0
20101231,15.7,16,15.61,15.98,19356,0
20110103,15.61,16,15.61,15.7,2726,0
20110104,15.7,15.7,15.05,15.16,4236,0
20110105,15.12,15.38,15.09,15.1,15232,0
20110107,15.1,15.39,15.09,15.39,1184,0
20110110,15.39,15.4,15.01,15.01,2730,0
20110111,15.05,15.12,15.05,15.12,1723,0
20110112,15.05,15.2,15,15.1,9560,0
20110113,15.11,15.2,15.1,15.19,1880,0
20110114,15.05,15.15,15.05,15.07,1119,0
20110117,14.89,15.27,14.7,14.77,11373,0
20110118,14.77,14.95,14.02,14.89,16114,0
20110119,14.88,14.89,14.6,14.78,1875,0
20110120,14.51,14.82,14.5,14.81,1077,0
20110121,14.8,14.8,14.62,14.8,1157,0
20110124,14.8,14.8,14.5,14.6,2678,0
20110125,14.75,14.75,14.5,14.74,25903,0
20110126,14.7,14.7,14.58,14.6,5071,0
20110127,14.59,14.64,14.51,14.6,3833,0
20110128,14.63,14.63,14.45,14.59,4192,0
20110131,14.55,14.56,14.43,14.49,2266,0
20110201,14.45,14.45,14.07,14.18,7573,0
20110202,14.2,14.2,14.06,14.08,6608,0
20110203,14.15,14.17,14.03,14.17,4068,0
20110204,14.04,14.25,14.04,14.25,1839,0
20110207,14.08,14.39,14.08,14.35,1478,0
20110208,14.58,14.58,14.2,14.49,6184,0
20110209,14.47,14.47,14.27,14.45,1130,0
20110210,14.3,14.43,14.2,14.2,1025,0
20110211,14.35,14.35,14,14.35,4633,0
20110214,14.25,14.35,14.2,14.35,186,0
20110215,14.3,14.47,14.15,14.47,37443,0
20110216,14.3,14.43,14.15,14.39,3161,0
20110217,14.3,14.4,14.17,14.17,1623,0
20110218,14.2,14.29,14,14.29,4865,0
20110221,14.28,14.28,14.1,14.1,1667,0
20110222,14,14,13.52,13.66,7136,0
20110223,13.69,13.7,13.61,13.66,2310,0
20110224,13.61,13.95,13.55,13.8,69002,0
20110225,13.98,14.28,13.98,14.25,2556,0
20110228,14.4,14.95,14.2,14.95,61167,0
20110301,14.95,14.95,14.35,14.35,3713,0
20110302,14.35,14.5,14.3,14.49,830,0
20110303,14.2,14.48,14.15,14.2,2397,0
20110304,14.2,14.25,13.8,14.1,4131,0
20110307,14.2,14.44,13.4,14.1,2523,0
20110308,14.3,14.3,13.85,14.3,313,0
20110309,14.1,14.1,13.95,14,2680,0
20110310,14.1,14.1,14,14.09,294,0
20110311,14,14,13.7,13.98,1622,0
20110314,14,14.27,14,14.27,942,0
20110315,14.18,14.2,13.8,14.2,8664,0
20110316,14,14.25,14,14.22,1718,0
20110317,13.93,14.39,13.9,14.39,1969,0
20110318,13.7,14,13.05,13.86,11254,0
20110321,13.86,13.95,13.8,13.84,3625,0
20110322,13.74,13.9,13.74,13.78,3738,0
20110323,13.76,13.76,13.4,13.41,1529,0
20110324,13.5,13.84,13.5,13.7,2650,0
20110325,13.83,13.83,13.8,13.8,112,0
20110328,13.8,13.83,13.66,13.67,4552,0
20110329,13.67,13.67,13.55,13.58,1775,0
20110330,13.55,13.56,13.51,13.51,1206,0
20110331,13.45,13.5,13.44,13.5,2874,0
20110401,13.48,13.51,13.4,13.4,4933,0
20110404,13.4,13.4,13.05,13.3,10405,0
20110405,13.15,13.25,13.15,13.16,2262,0
20110406,13.1,13.14,12.75,12.8,12049,0
20110407,12.77,12.87,12.77,12.8,6159,0
20110408,12.88,12.88,12.79,12.79,7308,0
20110411,12.8,12.95,12.78,12.78,6303,0
20110412,12.79,12.79,12.6,12.7,3964,0
20110413,12.7,12.7,12.32,12.4,6616,0
20110414,12.3,12.4,12.15,12.15,4550,0
20110415,12.1,12.79,12,12.79,6984,0
20110418,12.75,12.79,12.69,12.79,3986,0
20110419,12.79,12.8,12.25,12.39,2030,0
20110420,12.4,12.4,12.4,12.4,264,0
20110421,12.4,12.4,12.35,12.39,1721,0
20110426,12.25,12.25,12.25,12.25,673,0
20110427,12.21,12.21,12,12.15,6396,0
20110428,12.2,12.35,11.93,12.34,8363,0
20110429,12.12,12.45,12.12,12.45,2150,0
20110504,12.45,12.45,12.06,12.2,2979,0
20110505,12.2,12.49,12.2,12.48,1345,0
20110506,12.48,12.48,11.97,12.4,24581,0
20110509,12.3,12.35,12.2,12.35,2059,0
20110510,12.3,12.55,12.01,12.55,2690,0
20110511,12.56,12.56,12.15,12.2,854,0
20110512,11.99,12,11.49,11.97,8631,0
20110513,11.57,11.75,11.56,11.7,2786,0
20110516,11.56,11.7,11.5,11.5,6298,0
20110517,11.5,11.8,11.5,11.8,1303,0
20110518,11.5,11.8,11.5,11.5,866,0
20110519,11.5,11.79,11.5,11.6,493,0
20110520,11.75,11.75,11.51,11.51,1131,0
20110523,11.5,11.5,11.2,11.25,1501,0
20110524,11.24,11.25,11.2,11.21,3128,0
20110525,11.5,11.5,11.12,11.44,1198,0
20110526,11.13,11.3,11.13,11.3,811,0
20110527,11.35,11.4,11.21,11.3,1327,0
20110530,11.26,11.36,11.26,11.36,830,0
20110531,11.49,12.99,11.36,12.99,46670,0
20110601,12.9,12.9,12.45,12.8,5129,0
20110602,12.25,12.7,12.21,12.7,1620,0
20110603,12.8,12.9,12.5,12.7,1322,0
20110606,12.79,12.79,12.72,12.72,298,0
20110607,12.77,12.77,12.3,12.3,844,0
20110608,12.3,12.3,12.14,12.15,2358,0
20110609,12,12,11.94,12,1351,0
20110610,12,12.1,12,12.1,294,0
20110613,12.1,12.1,12,12,387,0
20110614,11.89,12.39,11.1,12.39,1455,0
20110615,12,12.37,11.75,12.37,413,0
20110616,11.9,11.9,11.65,11.65,740,0
20110617,11.65,11.65,11.63,11.63,299,0
20110620,11.8,11.8,11.61,11.63,512,0
20110621,11.31,11.6,11.11,11.11,5578,0
20110622,11,11.5,10.55,11.01,2303,0
20110624,11,11.13,10.95,11.13,1106,0
20110627,11,11.38,10.65,11.38,2956,0
20110628,11.38,11.38,10.86,10.86,768,0
20110629,11.34,11.34,11.3,11.3,250,0
20110630,11.1,12,11.01,12,30447,0
20110701,12.1,12.1,11.6,11.9,648,0
20110704,12.2,12.2,12,12,636,0
20110705,11.79,11.79,11.7,11.7,966,0
20110706,11.65,11.7,11.65,11.65,550,0
20110707,11.83,11.93,11.71,11.71,521,0
20110708,11.92,11.92,11.73,11.85,580,0
20110711,11.65,11.79,11.5,11.79,793,0
20110712,11,11.69,11,11.69,4940,0
20110713,11.65,12,11.65,12,2100,0
20110714,11.2,11.9,11.2,11.3,112,0
20110715,11.4,11.8,11.4,11.8,2287,0
20110718,11.8,11.8,11.12,11.79,1195,0
20110719,11.56,11.65,11.21,11.65,1483,0
20110720,11.55,11.79,11.5,11.79,1717,0
20110721,11.24,11.8,11.24,11.8,3957,0
20110722,11.43,11.51,11.43,11.51,280,0
20110725,11.5,11.74,11.5,11.5,500,0
20110726,11.31,11.31,11.31,11.31,170,0
20110727,11.55,11.55,11.55,11.55,20,0
20110728,11.49,12,11.11,12,5366,0
20110729,11.31,11.9,11.31,11.85,3100,0
20110801,12,12,12,12,15,0
20110802,11.4,11.4,11.33,11.33,250,0
20110803,11.19,11.19,10.2,10.5,7644,0
20110804,10.44,11,9.7,11,7280,0
20110805,9.71,11,9.71,11,6697,0
20110808,10,10.49,9.72,9.72,5750,0
20110809,9.2,10,8.51,9.1,12504,0
20110810,9.5,9.9,8.9,8.9,2582,0
20110811,8.3,9.35,8.3,8.9,11318,0
20110812,9.96,9.96,9.21,9.5,2656,0
20110816,9.7,10,9.55,9.55,2368,0
20110817,9.99,9.99,9.8,9.8,2267,0
20110818,9.55,9.55,8.9,9,4531,0
20110819,8.9,8.9,8.8,8.8,2800,0
20110822,9,9.6,8.55,9,4279,0
20110823,8.5,9.45,8.5,9.2,1580,0
