Date,Open,High,Low,Close,Volume,OpenInt
20110629,61,62.2,50,62.2,76732,0
20110630,61.9,62,58.8,62,12546,0
20110701,61.95,61.95,61.9,61.9,13,0
20110704,61.9,61.9,59.3,60,899,0
20110705,58,59.95,57.5,57.65,617,0
20110706,57.4,57.4,53,54.2,7913,0
20110707,54,55.75,51.9,55.75,9398,0
20110708,55.75,57.1,55.75,57.1,100,0
20110711,57.15,57.15,57.15,57.15,1,0
20110712,56,56,54.3,55,2545,0
20110713,56.65,56.65,56,56,2,0
20110714,56.65,56.65,56,56,2,0
20110715,56,56,54.75,54.75,110,0
20110718,55,55,54,54.6,16,0
20110719,53.8,55.85,53.8,55.85,866,0
20110720,55,55,54.35,54.95,79,0
20110721,54,54.45,53.4,54.45,1258,0
20110722,55,55,53.95,55,1385,0
20110725,55.3,59,55.3,58.9,1029,0
20110726,58.85,58.85,57.5,57.5,113,0
20110727,57.5,59,57.5,57.5,14693,0
20110728,58,58,56.45,58,1013,0
20110729,58.4,58.4,58.4,58.4,2,0
20110801,58.4,58.4,56.7,58.2,281,0
20110802,57,57,56,57,216,0
20110803,57,57,52.4,54.4,281,0
20110804,54.45,57,51.9,51.9,817,0
20110805,46.71,51,46,50.5,3425,0
20110808,48.2,50.6,48.2,48.4,5088,0
20110809,50.45,50.45,45.41,45.7,36963,0
20110810,45.7,45.7,45.7,45.7,1,0
20110811,43.5,45,42,43,21220,0
20110812,45,45,44,44,329,0
20110816,44,47.2,44,47.2,20777,0
20110817,49.9,49.9,46,47.5,1737,0
20110818,47.89,47.89,45.5,45.7,131801,0
20110819,45,45,45,45,1175,0
20110822,44.99,48.5,44.99,48.5,1158,0
20110823,48.5,49.3,48.5,49.2,69731,0
20110824,48,51.1,48,49.6,15632,0
20110825,49,51.9,49,51.9,453,0
20110826,52.25,58.3,52.25,57,12590,0
20110829,58.25,61.8,58.25,60,11928,0
20110830,61.6,61.6,56.1,61.45,12799,0
20110831,61.35,61.5,59.5,61.5,47526,0
20110901,61.45,61.45,56,59.5,1371,0
20110902,57,59.1,57,58.45,10755,0
20110905,56.95,58.4,56.2,57.9,5973,0
20110906,58.35,58.35,56.3,57.9,5143,0
20110907,58,59.8,58,59.8,2862,0
20110908,60.35,60.5,59,60.5,2489,0
20110909,60.5,60.5,57.5,57.5,18578,0
20110912,57.55,57.55,56.3,57.5,795,0
20110913,57.5,59.8,57.5,59.8,2866,0
20110914,59.8,61.1,59.8,60,7522,0
20110915,60.7,61.7,58.5,60.9,16390,0
20110916,60.85,62.3,59,60,15438,0
20110919,60,61,60,61,75,0
20110920,61,61,61,61,1,0
20110921,60.95,60.95,58.7,60.5,31,0
20110922,60.5,60.5,58.7,60.5,66,0
20110923,60,60,57.5,60,1276,0
20110926,60,60,58,59.8,404,0
20110927,59.85,59.85,59,59.5,15002,0
20110928,59.5,59.9,56,58.9,5054,0
20110929,59.9,59.9,59.9,59.9,1,0
20110930,59.55,59.9,57.7,59.9,3048,0
20111003,59.5,59.5,59,59,11,0
20111004,59.5,59.5,56.1,57.3,445,0
20111005,57.35,59.3,57.35,59.3,1108,0
20111006,59.5,59.5,58,58.75,1163,0
20111007,58.7,58.7,58.6,58.6,2,0
20111010,58.5,58.5,57.5,58,42,0
20111011,59.15,59.15,59,59,2,0
20111012,59.3,59.3,58.5,58.5,935,0
20111013,59,59,58.5,58.5,2,0
20111014,58.45,59.3,56.7,59.3,765,0
20111017,59.3,60.4,59,59.5,2272,0
20111018,60,60,59.6,59.6,29,0
20111019,60,60,60,60,1,0
20111020,60,60,60,60,1,0
20111021,60,60,60,60,2,0
20111024,59,61,56.25,59.95,27147,0
20111025,59.9,59.95,59,59.95,499,0
20111026,61,61,59,59,174,0
20111027,59,60.9,59,60.9,766,0
20111028,60.7,62,60,60,2632,0
20111031,60,61.9,59,61.9,964,0
20111102,60,61,60,61,193,0
20111103,61,61,61,61,2,0
20111104,61,61,61,61,1,0
20111107,61,61,61,61,2,0
20111108,61,61,61,61,1,0
20111109,61.85,61.85,61.85,61.85,1,0
20111110,61.5,61.5,61.5,61.5,1,0
20111114,61.75,61.75,59.25,61.75,432,0
20111115,61.75,61.75,61.75,61.75,1,0
20111116,61,61,61,61,1,0
20111117,60.8,60.8,60.8,60.8,2,0
20111118,60.8,60.8,58.9,60,1249,0
20111121,60.8,60.8,58.9,60,1513,0
20111122,59.3,59.9,59.3,59.9,301,0
20111123,60,60,57.65,59,239,0
20111124,60,61,60,60,56528,0
20111125,60,60,59,60,537,0
20111128,61,61,61,61,2,0
20111129,61,61,61,61,2,0
20111130,59.05,62,59,61.95,4035,0
20111201,61.95,61.95,60,61.95,421,0
20111202,62,62,60.1,60.7,1908,0
20111205,61.95,61.95,60,61.5,59,0
20111206,62,62,62,62,1,0
20111207,61,61,59.95,61,4629,0
20111208,61,62,61,62,68,0
20111209,62,62,62,62,1,0
20111212,62,62,62,62,1,0
20111213,62,62,62,62,1,0
20111214,63,67,62.6,63.9,35971,0
20111215,64,65.95,64,65,23226,0
20111216,65,65,64,64.4,858,0
20111219,64.5,65,62.45,64.9,1792,0
20111220,64.9,66.45,64.85,66.4,12622,0
20111221,66.45,68.3,66.45,68,6500,0
20111222,68.25,71,68.25,70.9,2781,0
20111223,70.9,71,70.9,71,765,0
20111227,71,73.7,70.9,73.3,2297,0
20111228,74,74,73.1,73.1,1272,0
20111229,73.1,73.1,67.2,69.05,38111,0
20111230,69.55,72,67,67,9425,0
20120102,69,70.5,68,70,8464,0
20120103,71,74,71,74,2521,0
20120104,74,76,72.8,74,1465,0
20120105,73,75,73,74,646,0
20120109,75,76,75,76,1499,0
20120110,76,79.9,75.5,79.9,1109,0
20120111,79.9,79.9,77.75,77.8,127,0
20120112,77.6,80.6,77.6,80.6,29553,0
20120113,81,83.9,80.4,81,10656,0
20120116,80.7,84.25,80.7,83.2,4302,0
20120117,84,88,84,87,832,0
20120118,88,88,82.5,86.25,1150,0
20120119,86.45,86.45,82.35,86,2153,0
20120120,87.05,87.05,85,86.5,105,0
20120123,86.5,88,86.5,86.5,1652,0
20120124,87.5,88,85,88,654,0
20120125,88,90,85.35,90,960,0
20120126,91,91.85,90.9,90.9,1918,0
20120127,91,95.3,90,94.8,3941,0
20120130,94.2,95,92.55,95,1042,0
20120131,94,95.2,94,94.5,3309,0
20120201,95.2,95.2,93,94.95,1576,0
20120202,95,95,92.7,94,999,0
20120203,94.2,94.2,92.85,93,1395,0
20120206,93,93,85,88.9,5937,0
20120207,89.9,93,89,93,15476,0
20120208,94.8,94.8,92.1,93.7,7268,0
20120209,94.8,94.8,90,91,1237,0
20120210,91,91.5,90,91.5,477,0
20120213,91.5,91.5,90.1,90.9,117,0
20120214,90.9,91,90,90.85,5813,0
20120215,90.85,92.3,89.95,92.3,924,0
20120216,92.5,93,92.25,93,396,0
20120217,93.5,95.3,93.35,95,1837,0
20120220,95.3,95.3,95,95.3,787,0
20120221,95.3,95.3,93.55,95.3,355,0
20120222,95.3,95.3,86,94.8,1165,0
20120223,95.8,95.8,93.5,95.45,104,0
20120224,95.75,95.75,93,93.8,1698,0
20120227,93.8,93.8,93.8,93.8,10,0
20120228,93.8,93.8,91.5,93.5,1361,0
20120229,93.5,98.4,93,98,2366,0
20120301,98,100,97.5,100,346,0
20120302,102.9,106.5,102.9,104.6,2223,0
20120305,106,106,102.5,105.5,167,0
20120306,105.5,105.5,100,100,1130,0
20120307,101.1,103.1,101.1,103,293,0
20120308,103,105.5,100,102.1,333,0
20120309,102.8,104.5,100.1,102.9,1070,0
20120312,103.9,105.5,100.8,105,1505,0
20120313,105,115,105,109,4902,0
20120314,118.9,118.9,111,113,3188,0
20120315,117.3,117.3,113,113.1,1160,0
20120316,116.5,116.5,110,113,741,0
