Date,Open,High,Low,Close,Volume,OpenInt
20091109,2.46,2.67,2.35,2.45,1877056,0
20091110,2.45,2.45,2.31,2.4,235139,0
20091112,2.4,2.5,2.3,2.4,133509,0
20091113,2.38,2.44,2.35,2.41,86198,0
20091116,2.4,2.47,2.35,2.46,181340,0
20091117,2.45,2.45,2.37,2.4,29179,0
20091118,2.38,2.44,2.35,2.39,77415,0
20091119,2.36,2.37,2.35,2.37,38992,0
20091120,2.37,2.43,2.32,2.43,91845,0
20091123,2.38,2.42,2.38,2.38,6870,0
20091124,2.38,2.4,2.32,2.4,28476,0
20091125,2.35,2.4,2.32,2.4,23000,0
20091126,2.33,2.35,2.32,2.32,16231,0
20091127,2.32,2.35,2.28,2.35,76267,0
20091130,2.38,2.38,2.3,2.35,2665,0
20091201,2.3,2.32,2.28,2.29,8993,0
20091202,2.28,2.32,2.28,2.32,901,0
20091203,2.28,2.32,2.28,2.32,8795,0
20091204,2.3,2.3,2.28,2.29,4731,0
20091207,2.32,2.32,2.27,2.3,10302,0
20091208,2.31,2.31,2.25,2.25,30351,0
20091209,2.31,2.31,2.24,2.3,8860,0
20091210,2.24,2.27,2.24,2.27,9036,0
20091211,2.22,2.32,2.22,2.32,10292,0
20091214,2.25,2.38,2.24,2.35,12214,0
20091215,2.25,2.33,2.25,2.33,3003,0
20091216,2.33,2.4,2.32,2.4,8213,0
20091217,2.44,2.5,2.38,2.38,34300,0
20091218,2.41,2.41,2.38,2.38,322,0
20091221,2.38,2.51,2.38,2.47,18698,0
20091222,2.46,2.48,2.38,2.48,22686,0
20091223,2.49,2.49,2.35,2.47,8505,0
20091228,2.42,2.51,2.38,2.49,108761,0
20091229,2.49,2.49,2.41,2.48,8553,0
20091230,2.42,2.48,2.32,2.48,14144,0
20091231,2.37,2.48,2.37,2.37,25132,0
20100104,2.38,2.38,2.37,2.37,2400,0
20100105,2.37,2.37,2.37,2.37,1000,0
20100107,2.41,2.45,2.41,2.45,952,0
20100108,2.34,2.46,2.34,2.44,2917,0
20100111,2.37,2.51,2.37,2.5,21679,0
20100112,2.4,2.49,2.39,2.49,3205,0
20100113,2.36,2.48,2.33,2.36,11033,0
20100114,2.36,2.49,2.36,2.49,20323,0
20100115,2.47,2.47,2.46,2.46,10409,0
20100118,2.42,2.45,2.42,2.42,2341,0
20100119,2.41,2.45,2.41,2.45,6862,0
20100120,2.46,2.46,2.41,2.46,9909,0
20100121,2.46,2.48,2.46,2.48,52731,0
20100122,2.48,3.22,2.48,3.22,219815,0
20100125,3.4,3.7,3.07,3.07,410370,0
20100126,3.15,3.15,2.84,2.91,94871,0
20100127,2.85,3.29,2.79,3.1,74586,0
20100128,3.12,3.16,2.99,3,33725,0
20100129,2.91,3.12,2.91,3,18599,0
20100201,3,3,2.84,2.9,15300,0
20100202,2.93,2.98,2.81,2.9,21449,0
20100203,2.91,2.95,2.82,2.84,26684,0
20100204,2.83,2.88,2.81,2.81,20545,0
20100205,2.8,2.9,2.73,2.8,18292,0
20100208,2.9,2.9,2.76,2.77,46288,0
20100209,2.95,2.95,2.8,2.87,9244,0
20100210,2.88,2.94,2.8,2.8,21120,0
20100211,2.81,2.88,2.61,2.8,21903,0
20100212,2.79,2.9,2.79,2.85,10129,0
20100215,2.76,2.89,2.72,2.84,11079,0
20100216,2.84,2.87,2.77,2.87,14896,0
20100217,2.88,2.9,2.81,2.9,15680,0
20100218,2.92,2.93,2.84,2.93,17764,0
20100219,2.76,2.93,2.76,2.9,12993,0
20100222,2.9,3.09,2.89,3.02,64367,0
20100223,3.06,3.3,2.98,3.21,47881,0
20100224,3.22,3.28,3.01,3.01,38794,0
20100225,3.01,3.19,2.97,3.02,35624,0
20100226,3.12,3.13,3.03,3.1,6920,0
20100301,3.13,3.3,3.13,3.24,6976,0
20100302,3.24,3.46,3.24,3.44,16977,0
20100303,3.5,3.57,3.25,3.5,72038,0
20100304,3.48,3.5,3.35,3.5,33404,0
20100305,3.58,3.6,3.42,3.42,30436,0
20100308,3.59,3.59,3.3,3.36,69613,0
20100309,3.35,3.43,3.2,3.34,45837,0
20100310,3.43,3.44,3.21,3.35,38608,0
20100311,3.38,3.42,3.27,3.39,21072,0
20100312,3.42,3.43,3.31,3.35,11176,0
20100315,3.37,3.37,3.21,3.3,35494,0
20100316,3.3,3.34,3.25,3.29,28611,0
20100317,3.31,3.31,3.16,3.23,31147,0
20100318,3.22,3.3,3.22,3.3,60104,0
20100319,3.29,3.35,3.29,3.35,25111,0
20100322,3.39,3.4,3.25,3.4,35757,0
20100323,3.7,3.74,3.5,3.6,71602,0
20100324,3.6,3.61,3.47,3.49,38914,0
20100325,3.55,3.55,3.4,3.51,20395,0
20100326,3.5,3.5,3.4,3.49,25649,0
20100329,3.53,3.68,3.49,3.5,78733,0
20100330,3.62,3.62,3.46,3.5,21906,0
20100331,3.5,3.5,3.46,3.5,12482,0
20100401,3.54,3.55,3.4,3.48,16116,0
20100406,3.48,3.52,3.46,3.48,8517,0
20100407,3.46,3.53,3.45,3.48,16072,0
20100408,3.53,3.53,3.4,3.47,12473,0
20100409,3.5,3.51,3.28,3.51,28051,0
20100412,3.53,3.53,3.31,3.49,7435,0
20100413,3.44,3.49,3.41,3.49,2739,0
20100414,3.49,3.49,3.4,3.45,16689,0
20100415,3.44,3.44,3.35,3.43,7153,0
20100416,3.48,3.48,3.35,3.45,8496,0
20100419,3.47,3.47,3.26,3.27,14820,0
20100420,3.34,3.34,3.29,3.34,11445,0
20100421,3.34,3.44,3.27,3.43,22813,0
20100422,3.32,3.44,3.32,3.39,18020,0
20100423,3.39,3.44,3.31,3.31,8078,0
