Date,Open,High,Low,Close,Volume,OpenInt
20000309,26.532,26.532,26.532,26.532,3826,0
20000310,29.185,29.185,29.185,29.185,7645,0
20000313,32.066,32.066,32.066,32.066,7747,0
20000314,35.25,35.25,35.25,35.25,5115,0
20000315,37.903,37.903,37.903,37.903,7926,0
20000316,34.113,34.113,34.113,34.113,0,0
20000317,30.702,30.702,30.702,30.702,0,0
20000320,29.185,29.185,29.185,29.185,3699,0
20000321,30.323,30.323,30.323,30.323,5081,0
20000322,28.731,28.731,28.731,28.731,1392,0
20000323,27.29,27.29,27.29,27.29,1950,0
20000324,27.442,27.442,27.442,27.442,2269,0
20000327,28.048,28.048,28.048,28.048,2481,0
20000328,28.048,28.048,28.048,28.048,928,0
20000329,29.565,29.565,29.565,29.565,5886,0
20000330,26.608,26.608,26.608,26.608,1314,0
20000331,27.745,27.745,27.745,27.745,756,0
20000403,27.29,27.29,27.29,27.29,740,0
20000404,27.29,27.29,27.29,27.29,805,0
20000405,26.456,26.456,26.456,26.456,609,0
20000406,24.258,24.258,24.258,24.258,944,0
20000407,25.016,25.016,25.016,25.016,1713,0
20000410,24.334,24.334,24.334,24.334,1065,0
20000411,22.894,22.894,22.894,22.894,2204,0
20000412,22.894,22.894,22.894,22.894,1564,0
20000413,23.121,23.121,23.121,23.121,1030,0
20000414,22.742,22.742,22.742,22.742,972,0
20000417,21.226,21.226,21.226,21.226,927,0
20000418,21.226,21.226,21.226,21.226,1176,0
20000419,22.742,22.742,22.742,22.742,1303,0
20000420,22.742,22.742,22.742,22.742,654,0
20000425,21.984,21.984,21.984,21.984,71,0
20000426,21.302,21.302,21.302,21.302,382,0
20000427,21.605,21.605,21.605,21.605,40,0
20000428,21.605,21.605,21.605,21.605,185,0
20000504,21.529,21.529,21.529,21.529,145,0
20000505,21.605,21.605,21.605,21.605,460,0
20000508,21.226,21.226,21.226,21.226,763,0
20000509,21.832,21.832,21.832,21.832,975,0
20000510,21.377,21.377,21.377,21.377,377,0
20000511,21.226,21.226,21.226,21.226,420,0
20000512,21.377,21.377,21.377,21.377,1761,0
20000515,21.681,21.681,21.681,21.681,835,0
20000516,21.226,21.226,21.226,21.226,1031,0
20000517,21.226,21.226,21.226,21.226,1133,0
20000518,21.908,21.908,21.908,21.908,423,0
20000519,19.861,19.861,19.861,19.861,818,0
20000522,20.468,20.468,20.468,20.468,446,0
20000523,19.71,19.71,19.71,19.71,1199,0
20000524,18.952,18.952,18.952,18.952,259,0
20000525,18.269,18.269,18.269,18.269,3374,0
20000526,18.952,18.952,18.952,18.952,732,0
20000529,20.847,20.847,20.847,20.847,1261,0
20000530,22.59,22.59,22.59,22.59,2073,0
20000531,21.302,21.302,21.302,21.302,136,0
20000601,22.363,22.363,22.363,22.363,1081,0
20000602,21.984,21.984,21.984,21.984,390,0
20000605,22.135,22.135,22.135,22.135,2269,0
20000606,19.937,19.937,19.937,19.937,509,0
20000607,20.24,20.24,20.24,20.24,265,0
20000608,20.316,20.316,20.316,20.316,66,0
20000609,20.316,20.316,20.316,20.316,694,0
20000612,19.558,19.558,19.558,19.558,132,0
20000613,19.558,19.558,19.558,19.558,145,0
20000614,19.027,19.027,19.027,19.027,264,0
20000615,19.255,19.255,19.255,19.255,132,0
20000616,19.558,19.558,19.558,19.558,123,0
20000619,19.331,19.331,19.331,19.331,165,0
20000620,19.482,19.482,19.482,19.482,83,0
20000621,18.952,18.952,18.952,18.952,554,0
20000623,19.482,19.482,19.482,19.482,158,0
20000626,18.952,18.952,18.952,18.952,326,0
20000627,18.952,18.952,18.952,18.952,346,0
20000628,18.573,18.573,18.573,18.573,337,0
20000629,18.194,18.194,18.194,18.194,393,0
20000630,17.966,17.966,17.966,17.966,53,0
20000703,19.482,19.482,19.482,19.482,164,0
20000704,18.952,18.952,18.952,18.952,150,0
20000705,18.8,18.8,18.8,18.8,40,0
20000706,18.648,18.648,18.648,18.648,86,0
20000707,18.573,18.573,18.573,18.573,688,0
20000710,18.194,18.194,18.194,18.194,284,0
20000711,18.876,18.876,18.876,18.876,686,0
20000712,18.345,18.345,18.345,18.345,284,0
20000713,18.194,18.194,18.194,18.194,108,0
20000714,18.345,18.345,18.345,18.345,713,0
20000717,18.194,18.194,18.194,18.194,243,0
20000718,18.345,18.345,18.345,18.345,251,0
20000719,17.36,17.36,17.36,17.36,383,0
20000720,17.815,17.815,17.815,17.815,547,0
20000721,18.194,18.194,18.194,18.194,455,0
20000724,18.194,18.194,18.194,18.194,551,0
20000725,17.815,17.815,17.815,17.815,79,0
