Date,Open,High,Low,Close,Volume,OpenInt
20040702,33.837,35.189,33.059,35.189,227768,0
20040705,35.287,37.125,35.092,35.676,131827,0
20040706,35.87,35.87,34.898,35.189,51402,0
20040707,34.898,35.773,34.606,35.287,26834,0
20040708,35.287,36.055,35.287,35.87,30456,0
20040709,36.152,36.736,35.967,36.249,29658,0
20040712,36.347,37.699,36.347,37.125,44772,0
20040713,37.699,37.699,36.736,36.736,102223,0
20040714,36.93,36.93,36.249,36.736,9881,0
20040715,36.736,36.736,35.967,36.055,3661,0
20040716,35.967,36.639,35.87,36.152,3547,0
20040719,36.444,36.444,36.055,36.444,1894,0
20040720,36.444,36.833,35.578,36.541,34824,0
20040721,36.541,36.736,36.055,36.444,3098,0
20040722,36.444,36.736,36.249,36.736,1666,0
20040723,36.736,36.93,36.347,36.93,3283,0
20040726,37.125,37.222,36.541,37.028,6413,0
20040727,37.125,37.699,36.93,37.699,27306,0
20040728,37.514,38.185,37.417,37.699,12017,0
20040729,37.514,37.699,37.514,37.699,2589,0
20040730,37.699,37.991,37.611,37.991,3243,0
20040802,37.796,37.796,37.222,37.699,1250,0
20040803,37.991,38.574,37.222,38.574,33668,0
20040804,38.574,38.574,37.893,37.893,1874,0
20040805,37.893,37.893,37.893,37.893,524,0
20040806,37.514,37.514,37.319,37.319,259,0
20040809,37.222,37.222,35.287,37.222,10979,0
20040810,37.028,37.125,36.249,36.736,10970,0
20040811,36.152,36.541,35.87,36.541,7452,0
20040812,36.152,36.152,36.152,36.152,205,0
20040813,36.152,36.152,34.8,35.481,8552,0
20040816,34.8,36.736,34.8,36.541,8586,0
20040817,35.87,36.444,35.87,36.249,809,0
20040818,35.773,35.773,35.676,35.773,2103,0
20040819,35.967,36.347,35.578,36.249,5891,0
20040820,35.676,36.639,35.578,36.639,2376,0
20040823,36.249,37.893,36.249,37.893,18443,0
20040824,37.417,39.44,37.417,39.44,58942,0
20040825,39.158,39.158,38.38,39.06,25134,0
20040826,38.866,39.158,38.671,38.963,7815,0
20040827,38.671,39.537,38.477,39.537,10695,0
20040830,39.06,39.44,38.866,39.44,3166,0
20040831,39.537,40.12,38.866,39.634,18101,0
20040901,39.342,39.926,39.342,39.634,4265,0
20040902,39.537,40.889,39.537,40.607,15775,0
20040903,40.607,41.764,40.607,41.57,91908,0
20040906,41.57,42.056,41.375,41.861,11061,0
20040907,41.764,42.056,41.375,41.959,15895,0
20040908,41.861,42.056,41.375,41.667,3849,0
20040909,41.181,41.667,41.083,41.667,5011,0
20040910,40.986,41.959,40.986,41.375,21867,0
20040913,41.472,42.056,41.472,42.056,2123,0
20040914,41.959,42.056,41.57,42.056,6672,0
20040915,41.375,41.861,41.375,41.861,1086,0
20040916,41.472,43.894,41.472,43.894,15585,0
20040917,43.505,43.992,43.505,43.992,9007,0
20040920,44.565,45.246,44.565,45.246,7675,0
20040921,45.441,46.404,44.663,46.404,6046,0
20040922,46.695,46.89,45.538,46.209,4394,0
20040923,45.917,46.015,45.917,46.015,601,0
20040924,45.917,45.917,44.468,44.468,5148,0
20040927,44.468,44.954,43.505,44.468,2725,0
20040928,43.7,44.468,43.019,44.468,79954,0
20040929,44.468,44.468,43.505,43.992,3518,0
20040930,43.7,44.371,43.7,44.371,982,0
20041001,43.602,43.992,43.602,43.992,517,0
20041004,43.992,43.992,43.505,43.7,4105,0
20041005,43.505,45.82,43.019,45.343,12194,0
20041006,44.954,44.954,44.274,44.857,1145,0
20041007,44.274,44.274,44.079,44.079,1970,0
20041008,44.079,45.343,43.505,45.343,5764,0
20041011,44.468,45.343,44.371,45.343,1935,0
20041012,45.246,45.246,44.663,45.246,3286,0
20041013,44.468,44.954,44.371,44.954,647,0
20041014,44.468,44.954,43.992,44.76,359,0
20041015,43.797,44.954,43.505,44.954,52121,0
20041018,44.954,44.954,43.408,43.408,9806,0
20041019,43.116,44.079,43.116,43.213,246,0
20041020,43.019,44.079,42.824,43.505,5332,0
20041021,42.824,44.468,42.824,43.505,1461,0
20041022,43.505,44.371,43.505,44.371,1742,0
20041025,43.505,43.797,42.533,43.505,7925,0
20041026,43.408,43.894,43.213,43.213,1887,0
20041027,43.505,43.505,43.311,43.311,1958,0
20041028,43.505,43.602,43.505,43.505,2160,0
20041029,43.019,43.992,43.019,43.992,2090,0
20041102,44.468,44.954,43.408,44.857,600,0
20041103,44.954,45.343,44.468,44.954,154,0
20041104,44.76,44.76,44.274,44.76,166,0
20041105,43.797,44.76,43.797,44.76,247,0
20041108,43.7,43.797,43.7,43.7,403,0
20041109,44.371,44.371,43.505,44.274,1573,0
20041110,43.992,44.176,43.311,43.408,2512,0
20041112,43.505,44.371,42.922,43.894,2972,0
20041115,43.894,44.176,43.408,43.505,2376,0
20041116,44.176,44.176,43.116,43.505,1251,0
20041117,43.116,43.408,42.533,43.019,1211,0
20041118,42.922,43.408,42.63,43.408,1364,0
20041119,42.922,43.505,42.922,43.505,2110,0
20041122,43.505,43.505,43.116,43.505,1102,0
20041123,43.505,44.371,43.311,43.992,3257,0
20041124,43.7,44.76,43.408,43.7,1500,0
20041125,43.894,43.894,43.116,43.505,2152,0
20041126,42.922,43.505,42.922,43.505,576,0
20041129,42.63,43.894,41.861,43.894,6017,0
20041130,43.505,43.505,43.019,43.505,750,0
20041201,43.019,43.408,42.63,43.408,1104,0
20041202,42.727,43.311,42.251,42.922,6320,0
20041203,42.533,43.311,42.435,43.311,4942,0
20041206,42.727,42.824,42.435,42.435,2117,0
20041207,42.533,42.824,42.348,42.824,4027,0
20041208,42.435,42.922,42.251,42.922,3261,0
20041209,42.533,42.824,42.533,42.824,3030,0
20041210,44.371,45.246,44.176,44.468,19794,0
20041213,44.663,44.663,43.797,44.371,3484,0
20041214,44.274,44.274,43.311,43.992,1488,0
20041215,44.274,44.274,43.408,44.079,2378,0
20041216,43.408,43.992,43.213,43.992,7993,0
20041217,43.019,43.894,43.019,43.894,1034,0
20041220,43.992,44.079,43.505,44.079,830,0
20041221,43.894,44.663,43.894,44.663,21690,0
20041222,44.565,45.052,44.468,45.052,1106,0
20041227,44.371,45.441,44.371,44.954,1081,0
20041228,45.441,45.441,44.468,45.441,1528,0
20041229,45.441,45.441,44.857,45.441,2452,0
20041230,45.343,45.917,45.246,45.538,2677,0
20041231,45.723,45.723,45.723,45.723,156,0
20050103,45.917,46.306,45.441,45.917,2378,0
20050104,45.441,46.306,45.441,46.015,16948,0
20050105,45.538,46.112,45.441,45.82,4326,0
20050106,45.343,45.626,45.052,45.626,242,0
20050107,45.441,46.209,45.441,46.209,11210,0
20050110,46.404,46.89,44.76,44.76,1184,0
20050111,45.723,46.793,45.441,46.306,1411,0
20050112,46.404,46.793,45.917,46.793,14083,0
20050113,46.987,46.987,45.343,45.441,17573,0
20050114,46.209,46.404,45.538,45.626,984,0
20050117,45.917,45.917,44.663,45.82,436,0
20050118,45.246,46.306,45.246,46.306,872,0
20050119,46.015,46.404,46.015,46.306,5008,0
20050120,46.306,46.404,46.015,46.404,11497,0
20050121,46.695,46.695,46.501,46.501,492,0
20050124,46.501,46.501,46.306,46.404,12461,0
20050125,46.404,46.501,45.441,45.626,1646082,0
20050126,46.695,46.695,46.209,46.501,1968,0
20050127,46.695,46.793,46.404,46.793,5631,0
20050128,46.987,51.627,46.987,51.237,35809,0
20050131,53.076,54.136,51.432,53.076,57512,0
20050201,53.27,53.465,52.103,52.492,6795,0
20050202,52.2,52.2,50.459,50.946,12943,0
20050203,50.177,52.016,50.08,51.821,3959,0
20050204,51.627,52.589,51.335,52.492,10619,0
20050207,51.335,52.2,51.335,52.103,2220,0
20050208,51.335,52.103,51.335,52.103,1639,0
20050209,52.589,52.687,52.2,52.687,27907,0
20050210,52.687,52.687,51.724,52.589,1109,0
20050211,51.821,52.589,51.821,52.2,362,0
20050214,51.529,53.368,51.529,53.076,684,0
20050215,53.173,54.622,53.173,54.622,91017,0
20050216,54.525,54.525,53.562,54.136,4707,0
20050217,54.136,55.293,53.368,53.368,55520,0
20050218,53.368,55.206,53.368,54.817,12058,0
20050221,55.391,55.391,54.136,55.109,50326,0
20050222,54.622,54.622,53.941,54.33,283,0
20050223,53.65,54.136,53.465,54.136,818,0
20050224,53.747,54.136,52.881,53.173,2374,0
20050225,52.395,54.136,52.298,54.136,7833,0
20050228,53.844,55.293,53.173,55.293,12365,0
20050301,55.206,55.877,54.525,55.293,753,0
20050302,54.525,55.206,53.173,54.914,3873,0
20050303,54.525,54.622,53.173,53.173,1519,0
20050304,53.173,54.914,52.687,53.65,35366,0
20050307,54.136,54.136,53.173,53.941,11074,0
20050308,53.65,54.33,52.978,53.173,625,0
20050309,53.844,54.039,52.784,53.27,1048,0
20050310,53.076,53.173,51.724,51.918,1244,0
20050311,51.918,52.589,50.177,52.2,3066,0
20050314,51.335,52.103,51.335,52.103,142,0
20050315,51.529,52.2,51.432,52.2,1723,0
20050316,52.2,52.2,50.08,51.237,4480,0
20050317,50.08,51.529,50.08,50.946,291,0
20050318,50.751,52.2,50.08,51.237,6302,0
20050321,52.103,52.103,49.01,49.01,1259,0
20050322,48.631,49.01,47.367,48.534,3729,0
20050323,49.497,49.983,47.464,49.983,553,0
20050324,50.275,51.529,50.275,51.529,98,0
20050329,50.08,51.14,49.983,51.14,279,0
20050331,51.14,51.627,51.14,51.529,3070,0
20050401,51.043,51.14,50.751,51.14,124,0
20050404,51.529,51.529,51.529,51.529,3,0
20050405,51.529,51.627,50.177,50.751,387,0
20050407,50.557,51.627,48.913,50.459,1148,0
20050411,51.335,51.335,50.275,50.275,5,0
20050412,49.205,50.177,48.913,50.177,204,0
20050413,49.302,50.177,49.302,50.177,21,0
20050414,49.108,49.497,48.631,49.302,6472,0
20050415,50.275,51.432,49.788,51.432,1139,0
20050418,51.237,51.237,49.983,51.14,1204,0
20050419,50.275,51.237,49.399,50.751,6305,0
20050420,50.557,50.557,49.205,49.983,313,0
20050421,48.534,49.108,48.047,48.339,6107,0
20050422,49.302,49.497,49.302,49.497,101,0
20050425,49.497,49.497,49.497,49.497,98,0
20050426,49.302,49.302,47.561,48.825,5700,0
20050427,48.339,48.339,47.853,48.339,2472,0
20050428,47.756,49.205,47.367,49.205,1669,0
20050429,49.302,49.788,49.302,49.691,3886,0
20050502,49.302,50.275,48.825,50.275,231,0
20050504,49.302,49.302,48.339,48.339,45395,0
20050505,48.242,49.205,48.242,48.242,774,0
20050506,48.242,48.825,47.658,48.242,7284,0
