Date,Open,High,Low,Close,Volume,OpenInt
20091218,2.97,3.28,2.97,3.15,295667,0
20091221,3.2,3.2,3.05,3.14,35285,0
20091222,3.15,3.2,3.06,3.15,36540,0
20091223,3.25,3.25,3.17,3.2,7152,0
20091228,3.29,3.29,3.2,3.2,150,0
20091229,3.18,3.18,3.15,3.15,2000,0
20091230,3.18,3.18,3.18,3.18,620,0
20091231,3.2,3.2,3.18,3.2,3424,0
20100104,3.2,3.24,3.1,3.24,3850,0
20100105,3.28,3.28,3.1,3.2,9213,0
20100106,3.24,3.39,3.24,3.35,1222,0
20100107,3.43,3.43,3.43,3.43,888,0
20100108,3.35,3.35,3.15,3.22,5488,0
20100111,3.3,3.3,3.18,3.2,6254,0
20100112,3.14,3.21,3.14,3.21,9644,0
20100113,3.2,3.22,3.2,3.22,2500,0
20100114,3.21,3.26,3.2,3.26,1025,0
20100115,3.26,3.26,3.22,3.22,120,0
20100118,3.25,3.27,3.25,3.27,4899,0
20100119,3.27,3.27,3.24,3.24,2339,0
20100120,3.26,3.27,3.25,3.25,5665,0
20100121,3.21,3.27,3.21,3.27,498,0
20100122,3.29,3.29,3.18,3.27,4300,0
20100125,3.2,3.3,3.2,3.3,4800,0
20100126,3.3,3.38,3.3,3.38,3272,0
20100127,3.35,3.38,3.35,3.35,600,0
20100128,3.35,3.4,3.35,3.4,4600,0
20100129,3.48,3.49,3.48,3.49,900,0
20100201,3.49,3.5,3.49,3.5,103112,0
20100202,3.58,3.69,3.58,3.6,7712,0
20100203,3.6,3.63,3.59,3.63,10289,0
20100204,3.61,3.61,3.6,3.6,2290,0
20100205,3.6,3.6,3.55,3.59,8148,0
20100208,3.7,3.8,3.53,3.7,4185,0
20100209,3.69,3.69,3.67,3.67,290,0
20100210,3.7,3.7,3.68,3.68,573,0
20100211,3.7,3.7,3.67,3.67,4650,0
20100212,3.69,3.69,3.61,3.61,179,0
20100215,3.6,3.66,3.6,3.66,500,0
20100216,3.6,3.6,3.6,3.6,100,0
20100217,3.6,3.6,3.6,3.6,100,0
20100218,3.6,3.65,3.6,3.65,798,0
20100219,3.6,3.67,3.6,3.67,300,0
20100222,3.64,3.67,3.64,3.67,1100,0
20100223,3.65,3.75,3.65,3.75,3532,0
20100224,3.75,3.75,3.75,3.75,10,0
20100225,3.74,3.75,3.74,3.75,10000,0
20100226,3.7,3.7,3.7,3.7,700,0
20100301,3.7,3.75,3.7,3.75,2038,0
20100302,3.75,3.75,3.75,3.75,4116,0
20100303,3.75,3.75,3.75,3.75,12000,0
20100304,3.75,4,3.74,4,75993,0
20100305,4,4.01,4,4.01,100000,0
20100308,4.1,4.25,4.1,4.25,1842,0
20100309,4.25,4.25,4.12,4.12,780,0
20100310,4.15,4.15,4.13,4.14,750,0
20100311,4.14,4.15,4.07,4.15,1000,0
20100312,4.15,4.16,4.14,4.15,1941,0
20100315,4.15,4.15,4.14,4.14,560,0
20100316,4.15,4.2,4.06,4.16,34960,0
20100317,4.16,4.16,4.15,4.15,840,0
20100318,4.2,4.2,4.15,4.15,500,0
20100319,4.15,4.15,4.15,4.15,200,0
20100322,4.15,4.15,4.1,4.14,605,0
20100323,4.1,4.1,4,4.08,4090,0
20100324,4.1,4.1,4.1,4.1,42,0
20100325,4,4,4,4,800,0
20100326,4.09,4.09,4,4,3510,0
20100329,4,4,4,4,4000,0
20100330,4,4.09,3.97,4.09,39640,0
20100331,4.09,4.09,4.09,4.09,1345,0
20100401,4.1,4.1,4.1,4.1,400,0
20100406,4.12,4.2,4.12,4.2,2000,0
20100407,4.25,4.25,4.15,4.23,2613,0
20100408,4.22,4.22,4.22,4.22,100,0
20100409,4.2,4.23,4.2,4.23,20,0
20100412,4.23,4.23,4.21,4.21,675,0
20100413,4.23,4.23,4.2,4.23,300,0
20100414,4.23,4.23,4.2,4.2,1739,0
20100415,4.23,4.23,4.23,4.23,1000,0
20100416,4.2,4.2,4.1,4.15,4620,0
20100419,4.1,4.19,4.1,4.19,1200,0
20100420,4.19,4.19,4.19,4.19,600,0
20100421,4.2,4.2,4.2,4.2,2946,0
20100422,4.23,4.25,4.23,4.25,19000,0
20100423,4.24,4.25,4.24,4.25,4200,0
20100426,4.2,4.25,4.2,4.25,2671,0
20100427,4.25,4.27,4.23,4.27,107131,0
20100428,4.26,4.27,4.26,4.27,1800,0
20100429,4.26,4.3,4.26,4.27,1045,0
20100430,4.27,4.35,4.27,4.35,610,0
20100504,4.33,4.33,4.33,4.33,10,0
20100505,4.35,4.35,4.35,4.35,10,0
20100506,4.35,4.45,4.35,4.35,676,0
20100507,4.4,4.45,4.4,4.45,300,0
20100510,4.5,4.5,4.45,4.5,9000,0
20100511,4.5,4.5,4.45,4.5,52850,0
20100512,4.49,4.5,4.49,4.5,4010,0
20100513,4.5,4.5,4.25,4.5,9891,0
20100514,4.5,4.5,4.49,4.5,4510,0
20100517,4.49,4.5,4.49,4.5,22020,0
20100518,4.5,4.5,4.49,4.5,10520,0
20100519,4.48,4.48,4.3,4.48,220,0
20100520,4.48,4.48,4.4,4.4,237,0
20100521,4.4,4.4,4.4,4.4,10,0
20100524,4.4,4.4,4.3,4.4,285,0
20100525,4.4,4.4,4.15,4.4,2700,0
20100526,4.48,4.48,4.48,4.48,20,0
20100527,4.48,4.48,4.48,4.48,42,0
20100528,4.48,4.48,4.48,4.48,20,0
20100531,4.5,4.55,4.49,4.55,14301,0
20100601,4.55,4.55,4.55,4.55,50,0
20100602,4.49,4.75,4.49,4.71,3395,0
20100604,4.75,4.75,4.66,4.66,310,0
20100607,4.66,4.66,4.66,4.66,17,0
20100608,4.7,4.75,4.7,4.75,3700,0
20100609,4.75,4.75,4.75,4.75,178,0
20100610,4.75,4.75,4.75,4.75,5010,0
20100611,4.75,4.75,4.75,4.75,3100,0
20100614,4.75,4.99,4.75,4.99,25644,0
20100615,5,5,5,5,26310,0
20100616,5,5,5,5,1489,0
20100617,5,5,4.99,5,46415,0
20100618,5,5,5,5,30210,0
20100621,5,5,5,5,40,0
20100622,5,5,4.9,5,9025,0
20100623,5,5,5,5,29500,0
20100624,5,5,4.8,5,20605,0
20100625,5,5,5,5,20809,0
20100628,4.85,5,4.85,5,15423,0
20100629,5,5,5,5,10409,0
20100630,5,5,4.99,5,10010,0
20100701,5,5,5,5,500,0
20100702,5,5,5,5,10010,0
20100705,5,5,5,5,5010,0
20100706,5,5,5,5,60870,0
20100707,5,5,5,5,15010,0
20100708,5,5,5,5,10,0
20100709,4.99,5,4.99,5,200,0
20100712,5,5,5,5,10,0
20100713,5,5,4.99,5,5200,0
20100714,5,5,4.99,5,90953,0
20100715,5,5.17,5,5.17,25240,0
20100716,5.25,5.25,5.25,5.25,16130,0
20100719,5.25,5.25,5.25,5.25,10,0
20100720,5.25,5.25,5.25,5.25,70185,0
20100721,5.25,5.4,5.25,5.3,116305,0
20100722,5.3,5.4,5.3,5.4,30,0
20100723,5.4,5.5,5.4,5.5,9505,0
20100726,5.5,6.04,5.5,6,20199,0
20100727,6,6,5.6,5.75,1747,0
20100728,6,6,5.94,6,5268,0
20100729,6,6,6,6,575,0
20100730,6,6,6,6,1071,0
20100802,6,6,5.9,5.9,26,0
20100803,6,6,5.81,5.81,5881,0
20100804,5.83,5.85,5.71,5.83,11049,0
20100805,6,6,5.8,5.8,1190,0
20100806,5.71,5.8,5.71,5.8,265,0
20100809,5.85,5.85,5.5,5.82,31722,0
20100810,5.8,5.81,5.8,5.81,2340,0
20100811,5.82,5.82,5.8,5.8,218,0
20100812,5.8,5.8,5.8,5.8,20221,0
20100813,5.85,5.85,5.85,5.85,10,0
20100816,5.85,5.85,5.85,5.85,10,0
20100817,5.85,5.85,5.82,5.82,20815,0
20100818,5.85,5.85,5.82,5.82,20005,0
20100819,5.85,5.85,5.84,5.85,20010,0
20100820,5.85,5.85,5.81,5.82,50086,0
20100823,5.82,5.82,5.82,5.82,10,0
20100824,5.82,5.82,5.8,5.82,1060,0
20100825,5.85,5.85,5.85,5.85,505,0
20100826,5.85,5.85,5.85,5.85,400,0
20100827,5.85,5.85,5.6,5.82,1280,0
20100830,5.82,5.82,5.81,5.82,20300,0
20100831,5.82,5.82,5.82,5.82,5100,0
20100901,5.82,5.85,5.82,5.85,55062,0
20100902,5.85,5.99,5.85,5.99,60020,0
20100903,5.99,5.99,5.99,5.99,10,0
20100906,5.99,5.99,5.99,5.99,250,0
20100907,5.99,5.99,5.99,5.99,5,0
20100908,6,6.1,6,6.1,160,0
20100909,6.11,6.15,6.11,6.12,553,0
20100910,6.15,6.15,6.15,6.15,185,0
20100913,6.15,6.5,6.15,6.5,8561,0
20100914,6.6,6.7,6.6,6.7,5087,0
20100915,6.6,6.7,6.6,6.7,805,0
20100916,6.7,6.7,6.65,6.65,35,0
20100917,6.45,6.76,6.45,6.76,292,0
20100920,6.79,7,6.79,7,2118,0
20100921,7.3,7.3,7.05,7.2,13763,0
20100922,7.45,7.45,7.4,7.4,2870,0
20100923,7.5,7.5,7.4,7.4,1914,0
20100924,7.4,7.4,7.14,7.15,2169,0
20100927,7.15,7.15,7.15,7.15,789,0
20100928,7.39,7.39,7.15,7.15,228,0
20100929,6.86,6.86,5.73,6.36,20961,0
20100930,6.36,6.36,6.32,6.32,2578,0
20101001,6.32,6.32,6,6.32,1957,0
20101004,6.32,6.32,5.7,6,18855,0
20101005,5.78,5.9,5.7,5.9,5692,0
20101006,5.41,5.9,5.31,5.9,15544,0
20101007,5.9,6,5.9,6,4382,0
20101008,6.06,6.1,6.06,6.1,814,0
20101011,6.16,6.16,6.1,6.16,2010,0
20101012,6.16,6.16,6.16,6.16,2000,0
20101013,6.16,6.16,6.16,6.16,2010,0
20101014,6.16,6.16,6.16,6.16,2010,0
20101015,6.16,6.16,6.16,6.16,3160,0
20101018,6.16,6.16,6.1,6.16,1505,0
20101019,6.16,6.16,6.16,6.16,1510,0
20101020,6.16,6.16,6.16,6.16,1010,0
20101021,6.16,6.16,6.16,6.16,3510,0
20101022,6.16,6.16,6.16,6.16,2010,0
20101025,6.16,6.16,6.16,6.16,1600,0
20101026,6.16,6.16,6.16,6.16,2150,0
20101027,6.16,6.16,5.6,6.16,3370,0
20101028,6.16,6.16,6.16,6.16,10,0
20101029,6.15,6.15,6.15,6.15,20,0
20101102,6.15,6.15,5.71,6,4718,0
20101103,5.85,5.85,5.7,5.7,850,0
20101104,5.9,6.15,5.89,6.15,11637,0
20101105,6.15,6.25,6.15,6.16,43407,0
20101108,6.16,6.16,5.9,6.16,4393,0
20101109,6.16,6.16,5.81,6.16,34535,0
20101110,6.16,6.16,6.16,6.16,5111,0
20101112,6.16,6.16,6.16,6.16,2010,0
